0	Index      	 *	Score 	Summary	Detail	
1	36124 15211	 * 	192.80	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	1ASPD|2aDMG|34VULN|58AART|6LHND|7RCR|9ZMB
170	35336 22521	   	165.91	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2DUR|3LIT|4FEWX|5AART|67VULN|8DMG|9RCR|aZMB
171	45132 24111	 * 	165.89	ACR|3DMG|2AART|1ZMB	1LWND|27AART|3DUST|4RCR|58aDMG|6NUKE|9ZMB
172	45132 34111	   	165.89	ACR|3DMG|2AART|1ZMB	1LWND|27AART|3DUST|4RCR|58aDMG|6TLV|9ZMB
173	15124 53111	   	165.81	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|34VULN|5AART|6RCR|79FEWX|8aDMG
174	22245 51121	 * 	165.50	ACR|3VULN|1DMG|3DUR|2ASPD	1RCVC|27ASPD|3DMG|4RCR|57aDUR|679VULN|7BPWR|8LIT
175	54226 22321	   	165.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2ERES|38DMG|49VULN|5RCR|6LWND|7DUR|aAART
176	34122 15522	 * 	165.23	DCR|5VULN|2ASPD|1DUR	17ASPD|2CGEN|3479aVULN|57LWND|6RCR|7BPWR|8DUR
177	36153 15213	   	165.17	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2DMG|3VULN|48AART|5RCVC|6LHND|7RCR|9ZMB|aDUR
178	36153 35213	   	165.17	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3VULN|48AART|5RCVC|6BEXP|7RCR|9ZMB|aDUR
179	36131 33541	   	165.12	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|27aDMG|3VULN|49ERES|5DUST|6AART|8RCR
180	52226 12243	   	165.04	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2TLV|3DMG|49aVULN|5RCR|6ERES|7AART|8DUR
181	36122 26532	   	164.82	DCR|4VULN|1DMG|1ZMB|1ASPD	1ASPD|2DMG|347aVULN|5LWND|6ZMB|8RCR|9ERES
182	34254 33222	   	164.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2aCGEN|3LHND|4AART|5DMG|6aLIT|7CDMG|8RCR|9aVULN|aBPWR
183	34122 32531	   	164.72	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2CGEN|349VULN|5LWND|6TLV|7AART|8RCR|aDMG
184	34125 32531	   	164.72	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2CGEN|349VULN|5ERES|6LWND|7AART|8RCR|aDMG
185	36153 15221	   	164.71	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|2aDMG|3VULN|48AART|5RCVC|6LHND|7RCR|9ERES
186	36153 35221	   	164.71	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|2aDMG|3VULN|48AART|5RCVC|6BEXP|7RCR|9ERES
187	12613 41411	   	164.68	DCR|3VULN|1DMG|2CDMG|1DUR	18BEXP|2TLV|38CDMG|4DMG|5DUR|6RCR|78aVULN|8BPWR|9RCVC
188	12613 41422	   	164.68	DCR|3VULN|1DMG|2CDMG|1DUR	18BEXP|2TLV|38CDMG|4DMG|5DUR|6RCR|789VULN|8BPWR|aLWND
189	12613 41423	   	164.68	DCR|3VULN|1DMG|2CDMG|1DUR	18BEXP|2TLV|38CDMG|4DMG|5DUR|6RCR|789VULN|8BPWR|aLIT
190	12613 41431	   	164.68	DCR|3VULN|1DMG|2CDMG|1DUR	18BEXP|2TLV|38CDMG|4DMG|5DUR|6RCR|78aVULN|8BPWR|9DMSP
191	34154 33233	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|3aVULN|4AART|5DMG|6LIT|7CDMG|8RCR|9BASICY
192	12613 41226	   	164.48	DCR|3VULN|1DMG|2CDMG|1DUR	1BEXP|2TLV|3aCDMG|4DMG|5DUR|6RCR|789VULN
193	52226 41121	 * 	164.43	ACR|3VULN|2DMG|1CDMG	1FEWX|2TLV|36DMG|49aVULN|5RCR|7LWND|8CDMG
194	45221 13134	   	164.35	ACR|1AART|1DMG|1VULN|2ASPD|1ZMB|1DUR	1LWND|2AART|3RCR|46ASPD|5CGEN|7DUR|8DMG|9VULN|aZMB
195	45221 32134	   	164.35	ACR|1AART|1DMG|1VULN|2ASPD|1ZMB|1DUR	1LWND|2AART|3RCR|47ASPD|5CGEN|6DUR|8DMG|9VULN|aZMB
196	33422 35611	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|23BEXP|4AART|5NUKE|68VULN|7RCR|9ZMB|aDMG
197	33423 25611	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|23BEXP|4AART|58VULN|6NUKE|7RCR|9ZMB|aDMG
198	45223 13134	   	164.25	ACR|1AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	1LWND|2AART|3RCR|46ASPD|5TLV|7DUR|8DMG|9VULN|aZMB
199	45223 32134	   	164.25	ACR|1AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	1LWND|2AART|3RCR|47ASPD|5TLV|6DUR|8DMG|9VULN|aZMB
200	45334 12111	 * 	164.22	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|3BEXP|4RCR|5CDMG|67aVULN|8FEWX|9ASPD
201	45241 23133	   	164.22	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	16LWND|2AART|3RCR|49VULN|5ERES|7ASPD|8DMG|aDUR
202	45243 23133	   	164.22	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	16LWND|2AART|3RCR|49VULN|5TLV|7ASPD|8DMG|aDUR
203	45134 12111	   	164.12	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|3DUST|4RCR|5CDMG|67aVULN|8FEWX|9ASPD
204	45213 43133	   	164.12	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2AART|3RCR|45TLV|69VULN|7ASPD|8DMG|aDUR
205	45252 33232	   	164.04	ACR|3AART|2DMG|1ZMB|1ASPD	1LWND|268AART|3RCR|4LHND|5aDMG|7ASPD|9ZMB
206	36122 12164	   	164.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|34VULN|5LWND|6RMIN|7RCR|8BELT|9AART|aCDMG
207	45221 42331	   	163.99	ACR|2VULN|1AART|1DMG|2ASPD	1LWND|2AART|3RCR|47ASPD|5CGEN|69VULN|8MLV|aDMG
208	45236 23111	   	163.98	ACR|3DMG|1AART|1ZMB|1DUR	15LWND|2AART|3RCR|4RMIN|68aDMG|7DUR|9ZMB
209	45223 42331	   	163.89	ACR|2VULN|1AART|1DMG|2ASPD	1LWND|2AART|3RCR|47ASPD|5TLV|69VULN|8MLV|aDMG
210	45216 23111	   	163.88	ACR|3DMG|1AART|1ZMB|1DUR	15LWND|2AART|3RCR|4TLV|68aDMG|7DUR|9ZMB
211	45213 23111	   	163.78	ACR|3DMG|1AART|1ZMB|1DUR	1LWND|2AART|3RCR|45TLV|68aDMG|7DUR|9ZMB
212	22245 13511	   	163.62	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1RCVC|2ASPD|3aDMG|4RCR|57DUR|6RMIN|8AART|9VULN
213	45242 31211	   	163.48	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1LWND|26AART|3RCR|4VULN|5DMG|7BEXP|8aDUR|9ASPD
214	45242 32211	   	163.48	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1LWND|26AART|3RCR|4VULN|5DMG|7FEWX|8aDUR|9ASPD
215	12613 41241	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	1BEXP|2TLV|3CDMG|4DMG|59DUR|6RCR|78aVULN
216	43243 23361	 * 	163.43	DCR|3DMG|1AART|1CDMG|1ZMB|1SELL	1LWND|2SELL|3BEXP|48aDMG|5CDMG|6ZMB|7RCR|9AART
217	36321 53522	   	163.26	DCR|4VULN|1DMG|1DUR|1ASPD	1ASPD|2DMG|35LWND|469aVULN|7RCR|8DUR
218	36122 53121	   	163.26	DCR|4VULN|1DMG|1ASPD|1DUR	1ASPD|2DMG|3469VULN|5LWND|7RCR|8LIT|aDUR
219	36122 53521	   	163.26	DCR|4VULN|1DMG|1DUR|1ASPD	1ASPD|2DMG|3469VULN|5LWND|7RCR|8DUR|aBEXP
220	22245 52121	   	163.22	ACR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2ASPD|3DMG|4RCR|5DUR|69aVULN|7FEWX|8CDMG
221	22346 12124	 * 	163.22	DCR|3VULN|1AART|2ASPD|1CDMG	1RCVC|25ASPD|349VULN|6CDMG|7DMSP|8RCR|aAART
222	36122 53532	   	163.16	DCR|4VULN|1DMG|1ASPD|1DUR	1ASPD|2DMG|346aVULN|5LWND|7RCR|8DUR|9LEGI
223	36122 53213	 * 	163.13	DCR|4VULN|1DMG|2ASPD	1aASPD|2DMG|346aVULN|5LWND|7RCR|8CGEN|9aBEXP|aBPWR
224	36122 53223	   	163.13	DCR|4VULN|1DMG|2ASPD	1aASPD|2DMG|346aVULN|5LWND|7RCR|8CGEN|9aFEWX|aBPWR
225	22245 53121	   	163.12	ACR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2ASPD|3DMG|4RCR|5DUR|69aVULN|7DUST|8CDMG
226	36133 12213	   	163.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2DMG|3aVULN|4ERES|56DUR|7RCR|8AART|9FEWX
227	36133 12235	   	163.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2DMG|39VULN|4ERES|56DUR|7RCR|8AART|aLWND
228	36133 12236	   	163.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2DMG|39VULN|4ERES|56DUR|7RCR|8AART|aFEWX
229	36133 12253	   	163.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2DMG|3aVULN|4ERES|56DUR|7RCR|8AART|9BEXP
230	36133 52233	   	163.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2DMG|39VULN|4ERES|5aDUR|6DMSP|7RCR|8AART
231	46223 21353	   	163.07	DCR|3VULN|1AART|1CDMG|1ZMB	1LWND|2LHND|3CDMG|469VULN|5LIT|7RCR|8ZMB|aAART
232	36122 53313	   	163.03	DCR|4VULN|1DMG|2ASPD	1aASPD|2DMG|346aVULN|5LWND|7RCR|8ERES|9aBEXP|aBPWR
233	36122 53323	   	163.03	DCR|4VULN|1DMG|2ASPD	1aASPD|2DMG|346aVULN|5LWND|7RCR|8ERES|9aFEWX|aBPWR
234	36122 16512	   	163.02	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2DMG|347VULN|5LWND|6RMIN|8RCR|9BEXP|aAART
235	36122 16522	   	163.02	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2DMG|347VULN|5LWND|6RMIN|8RCR|9FEWX|aAART
236	36133 12241	   	163.00	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1ASPD|2aDMG|3VULN|49ERES|56DUR|7RCR|8AART
237	36122 53152	   	162.93	DCR|4VULN|1DMG|2ASPD	1aASPD|2DMG|346aVULN|5LWND|7RCR|8LIT|9aERES|aBPWR
