0	Index      	 *	Score 	Summary	Detail	
1	33345 33632	 * 	192.39	ACR|2ASPD|2DMG|1VULN|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|89ASPD|aVULN
150	31443 43331	 * 	166.43	DCR|3VULN|2ASPD|1BASICY|1AART	1CGEN|257VULN|3AART|45ASPD|5BPWR|6BASICY|8MLV|9LIT|aRCR
151	31443 43231	   	166.33	DCR|3VULN|2ASPD|1BASICY|1AART	1CGEN|257VULN|3AART|45ASPD|5BPWR|6BASICY|8NUKE|9LIT|aRCR
152	33345 31622	   	165.91	ACR|2DMG|1VULN|1CDMG|1BEXP	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7FEWX|8BELT|9BEXP|aVULN
153	33345 32142	   	165.91	ACR|2DMG|1VULN|1CDMG|1BEXP	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8VULN|9MLV|aBEXP
154	33345 32153	   	165.91	ACR|2DMG|1VULN|1CDMG|1BEXP	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8VULN|9DUR|aBEXP
155	11154 21241	   	165.84	ACR|1BASARM|1DMG|1CDMG	18SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|68LIT|78DUR|8BPWR|9CDMG|aDMG
156	11154 23241	   	165.84	ACR|1BASARM|1DMG|1CDMG	18SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|68LIT|78LHND|8BPWR|9CDMG|aDMG
157	33345 32112	   	165.81	ACR|2DMG|1VULN|1CDMG|1BEXP	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8VULN|9AME|aBEXP
158	33345 32124	   	165.81	ACR|2DMG|1VULN|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8VULN|9NUKE|aBEXP
159	33345 33242	   	165.81	ACR|2DMG|1VULN|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8LWND|9BEXP|aVULN
160	33345 35212	   	165.81	ACR|2DMG|1VULN|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7BEXP|8DUR|9ERES|aVULN
161	33345 35322	   	165.81	ACR|2DMG|1VULN|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7BEXP|8DUST|9LHND|aVULN
162	33345 31162	   	165.79	ACR|2DMG|2VULN|1CDMG	16CGEN|28ZMB|3CDMG|4RCR|56DMG|6BPWR|7FEWX|9aVULN
163	33345 32132	   	165.79	ACR|2VULN|2DMG|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8aVULN|9FEWX
164	33345 32161	   	165.79	ACR|2VULN|2DMG|1CDMG	16CGEN|2aZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|89VULN
165	11154 43321	   	165.74	ACR|1BASARM|1ASPD|1CDMG	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|68LWND|7RPLT|9ASPD|aCDMG
166	15154 21121	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6aLIT|7DUR|8AEFBLL|9ASPD
167	15154 21122	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7DUR|8AEFBLL|9ASPD|aMLV
168	15154 21123	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7DUR|8AEFBLL|9ASPD|aLWND
169	15154 21331	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7aDUR|8MDPS|9ASPD
170	15154 22232	   	165.74	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7ERES|8RPLT|9FEWX|aDMG
171	15154 22331	   	165.74	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|68LIT|7ERES|9DMG|aRMIN
172	15154 23121	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6aLIT|7LHND|8AEFBLL|9ASPD
173	15154 23122	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7LHND|8AEFBLL|9ASPD|aMLV
174	15154 23123	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7LHND|8AEFBLL|9ASPD|aLWND
175	15154 31122	   	165.74	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|68aCGEN|7AAC|9DMG
176	15154 31123	   	165.74	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|68CGEN|7AAC|9DMG|aLWND
177	15154 33112	   	165.74	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8LWND|9DMG|aRMIN
178	15154 33222	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9RMIN|aLHND
179	15154 33223	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9RMIN|aFEWX
180	15154 33232	   	165.74	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9FEWX|aRMIN
181	33345 33363	   	165.71	ACR|2DMG|1VULN|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8AAC|9VULN|aBEXP
182	33345 35312	   	165.71	ACR|2DMG|1VULN|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7BEXP|8DUST|9ERES|aVULN
183	43343 22152	   	165.71	ACR|2DMG|1VULN|1BEXP|1CDMG	12LWND|3CDMG|4RCR|5CGEN|69DMG|7BEXP|8DUST|aVULN
184	33345 32163	   	165.69	ACR|2VULN|2DMG|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|89VULN|aDUST
185	33345 33523	 * 	165.69	ACR|2DMG|2BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8BELT|9aBEXP
186	33345 33412	   	165.68	ACR|2DMG|1BEXP|1AART|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8RCVC|9AART|aBEXP
187	11154 21141	   	165.64	ACR|1BASARM|1DMG|1CDMG	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7DUR|8AEFBLL|9CDMG|aDMG
188	11154 21333	   	165.64	ACR|1BASARM|1ASPD|1CDMG	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7DUR|8MDPS|9ASPD|aCDMG
189	11154 21336	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7DUR|8MDPS|9ASPD|aBEXP
190	11154 23141	   	165.64	ACR|1BASARM|1DMG|1CDMG	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7LHND|8AEFBLL|9CDMG|aDMG
191	11154 31115	   	165.64	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|68CGEN|7AAC|9BEXP|aDMG
192	11154 33223	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9RMIN|aBEXP
193	15154 21332	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7DUR|8MDPS|9ASPD|aERES
194	15154 22333	   	165.64	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|68LIT|7ERES|9DMG|aSPLARM
195	15154 32321	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7DUST|8MDPS|9ZMB|aASPD
196	15154 33111	   	165.64	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8LWND|9DMG|aTLV
197	15154 33113	   	165.64	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8LWND|9DMG|aERES
198	15154 33221	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9RMIN|aTLV
199	15154 33231	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9FEWX|aTLV
200	15154 33233	   	165.64	ACR|1BASARM|1ASPD|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9FEWX|aERES
201	15154 33312	   	165.64	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8DUST|9DMG|aRMIN
202	43341 13521	   	165.59	ACR|2ASPD|2BEXP|1CDMG	125LWND|3CDMG|4RCR|6DUST|78BEXP|9aASPD
203	43345 23231	   	165.57	ACR|2ASPD|1DMG|1CDMG|1AAC	128LWND|3CDMG|4RCR|5DMG|6DUR|7aASPD|9AAC
204	11154 62233	   	165.54	ACR|1BASARM|1DMG|1CDMG	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6MDPS|7LIT|8DMG|9AEMAG|aCDMG
205	15154 33311	   	165.54	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8DUST|9DMG|aTLV
206	15154 33313	   	165.54	ACR|1BASARM|1DMG|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8DUST|9DMG|aERES
207	43345 13231	   	165.47	ACR|2ASPD|1DMG|1CDMG|1AAC	128LWND|3CDMG|4RCR|5DMG|6LEGI|7aASPD|9AAC
208	33345 33163	   	165.47	ACR|2DMG|1ASPD|1CDMG|1AAC	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8MSLFST|9ASPD|aAAC
209	15331 23262	   	165.35	3BASARM|2ASPD|1VULN|2BEXP|1AAC	1SNIHEL|29BEXP|3VULN|4LSRICY|569BASARM|7MLV|89ASPD|9BPWR|aAAC
210	11351 14225	 * 	165.31	ACR|2VULN|1ASPD|1DMG|1AART	1SNIHEL|2LEGI|3aVULN|4BELT|5RCR|6AART|7DUR|8ASPD|9DMG
211	15331 24262	   	165.25	3BASARM|2ASPD|1VULN|2BEXP|1AAC	1SNIHEL|29BEXP|3VULN|4LSRICY|569BASARM|7AME|89ASPD|9BPWR|aAAC
212	15121 63522	 * 	165.23	DCR|2BASARM|2ASPD|1BEXP	18SNIHEL|2BEXP|38BASARM|4FEWX|5MLV|68ASPD|7RMIN|8BPWR|9RPLT|aRCR
213	22323 62643	 * 	164.98	DCR|1BASARM|3BEXP|1VULN|1CDMG	1AAC|237BEXP|4VULN|5LWND|6CDMG|8BASARM|9FEWX|aRCR
214	22323 62613	   	164.88	DCR|1BASARM|3BEXP|1VULN|1CDMG	1AAC|237BEXP|4VULN|5LWND|6CDMG|8BASARM|9DUST|aRCR
215	35121 13612	   	164.85	ACR|1BASARM|1BEXP|1CDMG|1AAC	16CGEN|2BELT|3MDPS|4LIT|5RCR|7CDMG|8BEXP|9AAC|aBASARM
216	33345 35132	   	164.60	ACR|2DMG|1BEXP|1CDMG|1AART	16CGEN|28ZMB|3CDMG|4RCR|56DMG|6BPWR|7BEXP|9BELT|aAART
217	34341 32533	 * 	164.60	ACR|2ASPD|1BEXP|1AART|1CDMG	1aCGEN|2AAC|3CDMG|4RCR|5aLWND|6MLV|7BEXP|8AART|9aASPD|aBPWR
218	31632 26511	   	164.58	DCR|1BASARM|1VULN|2BEXP|1CDMG|1AAC	1CGEN|2VULN|34BEXP|5RCVC|6CDMG|7RMIN|8BASARM|9AAC|aRCR
219	15331 61262	 * 	164.58	2BASARM|2VULN|2ASPD|2BEXP|1AAC	1SNIHEL|29BEXP|37VULN|4LSRICY|59BASARM|6CGEN|89ASPD|9BPWR|aAAC
220	11351 14221	 * 	164.53	ACR|1VULN|2AART|1ASPD|1DMG	1SNIHEL|2LEGI|3VULN|4BELT|5RCR|6aAART|7DUR|8ASPD|9DMG
221	43343 12222	   	164.50	ACR|2DMG|1CDMG|1AART|1BEXP	12LWND|3CDMG|4RCR|5CGEN|6DMSP|7AART|89DMG|aBEXP
222	43343 22241	   	164.50	ACR|2DMG|1CDMG|1AART|1BEXP	128LWND|3CDMG|4RCR|5CGEN|6aDMG|7BEXP|9AART
223	11154 21343	   	164.32	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7DUR|8MDPS|9VULN|aASPD
224	11154 22332	   	164.32	ACR|1BASARM|1DMG|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|68LIT|7ERES|9DMG|aVULN
225	11154 23333	   	164.32	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7LHND|8MDPS|9VULN|aASPD
226	11154 23336	   	164.32	ACR|1BASARM|1DMG|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7LHND|8MDPS|9VULN|aDMG
227	11154 33212	   	164.32	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aRMIN
228	11154 33214	   	164.32	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aLIT
229	11154 33215	   	164.32	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6aCGEN|7MSLREG|8ASPD|9VULN
230	11154 62133	   	164.32	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6MDPS|7LIT|8LWND|9VULN|aASPD
231	11154 33211	   	164.22	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aTLV
232	11154 33213	   	164.22	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aERES
233	11154 61221	   	164.22	ACR|1BASARM|1ASPD|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6MDPS|7RMIN|8AAC|9VULN|aASPD
234	11154 62232	   	164.22	ACR|1BASARM|1DMG|1VULN	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6MDPS|7LIT|8DMG|9AEMAG|aVULN
235	33343 35531	   	164.10	ACR|2VULN|1ASPD|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6MLV|7FEWX|8AART|9ASPD
236	33343 42531	   	164.10	ACR|2VULN|1ASPD|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6RMIN|7FEWX|8AART|9ASPD
237	22124 32225	 * 	164.09	DCR|1BASARM|2ASPD|1BEXP|1CDMG	1AAC|2BEXP|3RPLT|48ASPD|5AEMAG|6CDMG|7LIT|9BASARM|aRCR
238	16215 12523	 * 	164.05	ACR|2VULN|3BEXP|1DMG|1SELL	1aSNIHEL|2SELL|3CGEN|4aVULN|5RCR|6ERES|7DMG|89aBEXP|aBPWR
239	16215 32523	 * 	164.05	ACR|2VULN|3BEXP|1DMG|1SELL	1aSNIHEL|2SELL|3CGEN|4aVULN|5RCR|6TLV|7DMG|89aBEXP|aBPWR
240	16235 12223	 * 	164.05	ACR|3BEXP|2VULN|1DMG|1SELL	1aSNIHEL|2SELL|3CGEN|49aBEXP|5RCR|6ERES|7DMG|8aVULN|aBPWR
241	16235 32223	 * 	164.05	ACR|3BEXP|2VULN|1DMG|1SELL	1aSNIHEL|2SELL|3CGEN|49aBEXP|5RCR|6TLV|7DMG|8aVULN|aBPWR
242	33343 33416	   	164.00	ACR|2VULN|1ASPD|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|58VULN|6MLV|7ASPD|9ERES|aAART
243	33343 31531	   	164.00	ACR|2VULN|1ASPD|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6MLV|7DUST|8AART|9ASPD
244	33343 41531	   	164.00	ACR|2VULN|1ASPD|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6RMIN|7DUST|8AART|9ASPD
245	43343 32131	   	164.00	ACR|2VULN|1ASPD|1AART|1CDMG	12LWND|3CDMG|4RCR|5CGEN|6DUST|7AART|8aVULN|9ASPD
246	34343 31531	   	163.90	ACR|2VULN|1ASPD|1CDMG|1AART	1CGEN|2AAC|3CDMG|4RCR|5aVULN|6MLV|7DUST|8AART|9ASPD
247	11141 13323	 * 	163.88	2BASARM|2DMG|2BEXP|1BASICY|1AART	1SNIHEL|2LEGI|3aBASARM|4MLV|5LWND|6aBEXP|7AART|8BASICY|9aDMG|aBPWR
248	33343 43433	   	163.85	ACR|2VULN|1ASPD|1CDMG|1AART|1SELL	1CGEN|2ZMB|3CDMG|4RCR|58VULN|6RMIN|7ASPD|9SELL|aAART
249	33342 33254	 * 	163.78	ACR|2ASPD|1DMG|2CDMG	1CGEN|2ZMB|3aCDMG|4RCR|5aLHND|6MLV|7aASPD|8LWND|9DMG|aBPWR
250	33342 33354	   	163.78	ACR|2ASPD|1DMG|2CDMG	1CGEN|2ZMB|3aCDMG|4RCR|5aLHND|6MLV|7aASPD|8DUR|9DMG|aBPWR
251	33341 33154	   	163.68	ACR|2ASPD|1DMG|2CDMG	1CGEN|2ZMB|3aCDMG|4RCR|5aLWND|6MLV|7aASPD|8DUST|9DMG|aBPWR
252	33342 33154	   	163.68	ACR|2ASPD|1DMG|2CDMG	1CGEN|2ZMB|3aCDMG|4RCR|5aLHND|6MLV|7aASPD|8DUST|9DMG|aBPWR
253	33345 33162	   	163.48	ACR|2DMG|1ASPD|2CDMG	16CGEN|2ZMB|3aCDMG|4RCR|56DMG|6BPWR|7NUKE|8MSLFST|9ASPD
254	33345 33335	   	163.48	ACR|2DMG|1ASPD|2CDMG	16CGEN|2ZMB|3aCDMG|4RCR|56DMG|6BPWR|7NUKE|8AAC|9ASPD
255	15135 31348	 * 	163.43	DCR|2BASARM|2VULN|2BEXP	19SNIHEL|26BEXP|39BASARM|4RMIN|5MBVNT|7AAC|89VULN|9BPWR|aRCR
256	16215 12233	 * 	163.29	ACR|3VULN|2BEXP|1DMG|1SELL	1aSNIHEL|2SELL|3CGEN|48aVULN|5RCR|6ERES|7DMG|9aBEXP|aBPWR
257	16215 32233	 * 	163.29	ACR|3VULN|2BEXP|1DMG|1SELL	1aSNIHEL|2SELL|3CGEN|48aVULN|5RCR|6TLV|7DMG|9aBEXP|aBPWR
258	21631 43323	   	163.18	ACR|2DMG|1VULN|1AART|1CDMG	12AAC|3AART|4CGEN|5RCR|6MLV|79DMG|8CDMG|aVULN
259	33346 33261	   	163.16	ACR|1ASPD|1VULN|1CDMG|1BEXP|1AART	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7ASPD|8LWND|9AART|aVULN
260	33346 33361	   	163.16	ACR|1ASPD|1VULN|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7ASPD|8DUR|9AART|aVULN
261	33341 32531	   	163.16	ACR|1ASPD|1VULN|1CDMG|1BEXP|1AART	1CGEN|2ZMB|3CDMG|4RCR|5LWND|6MLV|7BEXP|8AART|9ASPD|aVULN
262	33341 32561	   	163.16	ACR|1DMG|1VULN|1CDMG|1BEXP|1AART	1CGEN|2ZMB|3CDMG|4RCR|5LWND|6MLV|7BEXP|8AART|9DMG|aVULN
263	33341 33561	   	163.16	ACR|1ASPD|1VULN|1CDMG|1BEXP|1AART	1CGEN|2ZMB|3CDMG|4RCR|5LWND|6MLV|7ASPD|8BEXP|9AART|aVULN
264	33342 33561	   	163.16	ACR|1ASPD|1VULN|1AART|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5LHND|6MLV|7ASPD|8BEXP|9AART|aVULN
265	33343 32533	   	163.16	ACR|1VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aFEWX
266	33343 32534	   	163.16	ACR|1VULN|1ASPD|1CDMG|1BEXP|1AART	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aRPLT
267	33343 32563	   	163.16	ACR|1VULN|1DMG|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9DMG|aFEWX
268	33344 32531	   	163.16	ACR|1ASPD|1VULN|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5FEWX|6MLV|7BEXP|8AART|9ASPD|aVULN
269	33346 32531	   	163.16	ACR|1ASPD|1VULN|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7FEWX|8AART|9ASPD|aVULN
270	43342 12531	   	163.16	ACR|1ASPD|1VULN|1BEXP|1AART|1CDMG	12LWND|3CDMG|4RCR|5FEWX|6CGEN|7BEXP|8AART|9ASPD|aVULN
271	33512 51125	   	163.16	ACR|1BASARM|1DMG|1BEXP	14CGEN|24ZMB|3BELT|4BPWR|5RCR|6RPLT|7DMG|8DMSP|9BEXP|aBASARM
272	34345 32312	 * 	163.11	ACR|2DMG|3CDMG|1BEXP	1CGEN|2AAC|36aCDMG|4RCR|56DMG|6BPWR|7DMSP|8VENFST|9BEXP
273	21631 53323	   	163.08	ACR|2DMG|1VULN|1AART|1CDMG	12AAC|3AART|4CGEN|5RCR|6TLV|79DMG|8CDMG|aVULN
274	33346 33161	   	163.06	ACR|1ASPD|1VULN|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7ASPD|8DUST|9AART|aVULN
275	34343 32533	   	163.06	ACR|1VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aFEWX
276	33341 52531	   	163.06	ACR|1ASPD|1VULN|1AART|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5LWND|6ERES|7BEXP|8AART|9ASPD|aVULN
277	33343 32532	   	163.06	ACR|1VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aAEFBLL
278	33343 32535	   	163.06	ACR|1VULN|1ASPD|1BEXP|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aERES
279	33343 32562	   	163.06	ACR|1VULN|1DMG|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9DMG|aAEFBLL
280	33346 31531	   	163.06	ACR|1ASPD|1VULN|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7DUST|8AART|9ASPD|aVULN
281	34341 32531	   	163.06	ACR|1ASPD|1VULN|1CDMG|1BEXP|1AART	1CGEN|2AAC|3CDMG|4RCR|5LWND|6MLV|7BEXP|8AART|9ASPD|aVULN
282	33512 51231	   	163.06	ACR|1BASARM|1DMG|1BEXP	14CGEN|24ZMB|3BELT|4BPWR|5RCR|6RPLT|7DMG|8BEXP|9ERES|aBASARM
283	33343 16143	 * 	163.00	ACR|2VULN|3CDMG|1DMG	168CGEN|2ZMB|378CDMG|4RCR|58VULN|8BPWR|9BELT|aDMG
284	33343 16153	 * 	163.00	ACR|2VULN|3CDMG|1ASPD	168CGEN|2ZMB|378CDMG|4RCR|58VULN|8BPWR|9LIT|aASPD
285	33343 25483	   	162.96	ACR|1VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MSLREG|7MBVNT|8ASPD|9AART|aBEXP
286	34343 32532	   	162.96	ACR|1VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aAEFBLL
287	35312 51211	   	162.96	ACR|1BASARM|1DMG|1BEXP	14CGEN|2BELT|34ERES|4BPWR|5RCR|6RPLT|7DMG|8BEXP|9ZMB|aBASARM
288	33345 23432	   	162.94	ACR|1VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8VULN|9AAC|aLIT
289	34346 23223	 * 	162.88	ACR|3BEXP|2VULN|1CDMG	1aCGEN|2AAC|3CDMG|4RCR|59aBEXP|6VENFST|7ERES|8aVULN|aBPWR
290	34512 51231	   	162.86	ACR|1BASARM|1DMG|1BEXP	14CGEN|2AAC|3BELT|4BPWR|5RCR|6RPLT|7DMG|8BEXP|9ERES|aBASARM
291	35322 51211	   	162.86	ACR|1BASARM|1DMG|1BEXP	1CGEN|2BELT|34ERES|5RCR|6RPLT|7DMG|8BEXP|9ZMB|aBASARM
292	33345 13432	   	162.84	ACR|1VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8VULN|9AAC|aLIT
293	33345 23132	   	162.84	ACR|1ASPD|1DMG|1VULN|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8DUST|9AAC|aVULN
294	33345 23431	   	162.84	ACR|1VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8VULN|9AAC|aDUST
295	33345 63132	   	162.84	ACR|1ASPD|1DMG|1VULN|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LHND|7ASPD|8DUST|9AAC|aVULN
296	43345 23132	   	162.84	ACR|1ASPD|1DMG|1VULN|1CDMG|1AAC	12LWND|3CDMG|4RCR|5DMG|6DUR|7ASPD|8DUST|9AAC|aVULN
297	16215 21216	   	162.82	ACR|2VULN|1ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2SELL|3CGEN|48VULN|5RCR|6RMIN|7CDMG|9ASPD|aDMG
298	16235 22221	   	162.82	ACR|2BEXP|1VULN|1ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|49BEXP|5RCR|6RMIN|7DMG|8VULN|aASPD
