0	Index      	 *	Score 	Summary	Detail	
1	33413 23311	 * 	225.78	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aCDMG
161	33422 23316	   	197.75	ACR|2ASPD|2BEXP|1DMG|1AART	1LHND|2RCR|38BEXP|45LWND|6DMG|7aASPD|9AART
162	33441 33433	 * 	197.75	ACR|1BASARM|2ASPD|1BEXP	16LHND|2RCR|3BEXP|4aASPD|5RPLT|7RCVC|8BASARM|9LEGI
163	33413 23142	   	197.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7ASPD|8DUST|9VENICY|aAART
164	33411 43334	   	197.72	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1LHND|2RCR|3BEXP|48VULN|5FEWX|6MLV|7DMG|9AART|aASPD
165	33452 11433	   	197.72	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1LHND|2RCR|3BEXP|46CDMG|5DUST|7NUKE|8BASARM|9LEGI|aASPD
166	33412 22325	   	197.66	ACR|2VULN|2ASPD|1DMG|1BEXP	1LHND|2RCR|3BEXP|47VULN|5LWND|6LIT|89ASPD|aDMG
167	33431 22136	   	197.66	ACR|2VULN|2DMG|1ASPD|1BEXP	1LHND|2RCR|3BEXP|49DMG|5RPLT|67VULN|8RMIN|aASPD
168	33424 23151	   	197.66	ACR|3DMG|2BEXP|1ASPD	1LHND|2RCR|3aBEXP|4LWND|5AEFBLL|69aDMG|7ASPD|8aDUST|aBPWR
169	33424 23316	   	197.65	ACR|2ASPD|2BEXP|1DMG|1AART	1LHND|2RCR|38BEXP|4LWND|5AEFBLL|6DMG|7aASPD|9AART
170	33435 23316	   	197.65	ACR|2ASPD|2BEXP|1DMG|1AART	1LHND|2RCR|38BEXP|4DMG|5RMIN|6NUKE|7aASPD|9AART
171	33614 23341	   	197.56	ACR|2VULN|2ASPD|1DMG|1BEXP	1LHND|2RCR|3FEWX|4aVULN|5aAEMAG|6DMG|7aASPD|8BEXP|9VENICY|aBPWR
172	33432 53116	   	197.55	ACR|2ASPD|2BEXP|1DMG|1AART	1LHND|2RCR|36BEXP|4DMG|58DUST|7aASPD|9AART
173	33216 33165	   	197.55	ACR|1BASARM|2DMG|1BEXP	1LHND|2RCR|34CGEN|59DMG|6LWND|7BASARM|8RCVC|aBEXP
174	33414 23141	   	197.46	ACR|2VULN|2ASPD|1DMG|1BEXP	1LHND|2RCR|3BEXP|4aVULN|5aAEMAG|6DMG|7aASPD|8DUST|9VENICY|aBPWR
175	33413 23523	 * 	197.43	ACR|1VULN|2BEXP|1ASPD|1DMG|2AAC	1LHND|2RCR|35BEXP|4VULN|6DMG|7ASPD|8aAAC|9ZMB
176	33413 24513	   	197.43	ACR|1VULN|2BEXP|1ASPD|1DMG|2AAC	1LHND|2RCR|35BEXP|4VULN|6DMG|7ZMB|8aAAC|9ASPD
177	33221 41644	   	197.41	ACR|1BASARM|1ASPD|1AART|1CDMG	1LHND|2RCR|3CGEN|4MDPS|5AART|6ASPD|7SNITOX|8CDMG|9MBVNT|aBASARM
178	33114 31635	   	197.30	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1AAC	1LHND|2RCR|3AAC|4CGEN|5AART|6VULN|7ASPD|8MDPS|9DMG|aCDMG
179	33153 23414	   	197.14	ACR|2ASPD|1DMG|1VULN|1AART|1AAC	1LHND|2RCR|3AAC|4DUST|57ASPD|6NUKE|8DMG|9AART|aVULN
180	33353 65321	   	196.71	ACR|1BASARM|1DMG|1AART|1BEXP	1LHND|2RCR|3LIT|4RMIN|5DMG|6AART|7LWND|8DUR|9BEXP|aBASARM
181	33126 53422	 * 	196.41	ACR|1BASARM|1ASPD|2AAC|1BEXP	1LHND|2RCR|39AAC|4RPLT|5RMIN|6ASPD|7RCVC|8BASARM|aBEXP
182	33114 31114	   	196.40	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1LHND|2RCR|3AAC|4CGEN|5AART|6VULN|7ASPD|8BEXP|9ZMB|aDMG
183	33114 31134	   	196.40	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1LHND|2RCR|3AAC|4CGEN|5AART|6VULN|7ASPD|8BEXP|9RMIN|aDMG
184	33413 33553	   	196.34	ACR|3BEXP|1VULN|1ASPD|1AART|1AAC	1LHND|2RCR|359BEXP|4VULN|6ERES|7ASPD|8AAC|aAART
185	33114 31124	   	196.30	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1LHND|2RCR|3AAC|4CGEN|5AART|6VULN|7ASPD|8BEXP|9TLV|aDMG
186	33434 13333	   	196.27	ACR|3BEXP|2ASPD|1DMG	17aLHND|2RCR|38aBEXP|4DMG|5RCVC|6AME|9aASPD|aBPWR
187	33434 22511	   	196.16	ACR|2ASPD|2DMG|1BEXP|1AAC	1aLHND|2RCR|3BEXP|4aDMG|5RCVC|6ZMB|7LWND|8AAC|9aASPD|aBPWR
188	33431 23663	   	195.93	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|38BEXP|4DMG|5RPLT|6VULN|7MLV|9ASPD|aCDMG
189	33431 26163	   	195.93	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|37BEXP|4DMG|5RPLT|6VULN|8RMIN|9ASPD|aCDMG
190	33431 26263	   	195.93	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|37BEXP|4DMG|5RPLT|6VULN|8CGEN|9ASPD|aCDMG
191	33441 23633	   	195.93	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|38BEXP|4ASPD|5RPLT|6VULN|7MLV|9DMG|aCDMG
192	33441 26133	   	195.93	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|37BEXP|4ASPD|5RPLT|6VULN|8RMIN|9DMG|aCDMG
193	33441 26233	   	195.93	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|37BEXP|4ASPD|5RPLT|6VULN|8CGEN|9DMG|aCDMG
194	33431 33431	   	195.93	ACR|1BASARM|1DMG|1VULN|1BEXP	16LHND|2RCR|3BEXP|4DMG|5RPLT|7RCVC|8BASARM|9LEGI|aVULN
195	33441 33431	   	195.93	ACR|1BASARM|1ASPD|1VULN|1BEXP	16LHND|2RCR|3BEXP|4ASPD|5RPLT|7RCVC|8BASARM|9LEGI|aVULN
