0	Index      	 *	Score 	Summary	Detail	
1	42253 23213	 * 	213.19	ACR|3ASPD|3BEXP|1DMG|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9DMG|aVULN
157	41212 21443	   	187.21	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8BEXP|aMDPS
158	26313 24162	   	187.15	ACR|1BASARM|1VULN|2BEXP|1CDMG	1ERES|2VULN|3LWND|46DUR|5RCR|7CDMG|89BEXP|aBASARM
159	42253 23114	   	186.97	ACR|2ASPD|2BEXP|1DMG|1VULN	17DUR|27BEXP|3ZMB|4FEWX|5RCR|67ASPD|7BPWR|8RCVC|9DMG|aVULN
160	42253 33114	   	186.97	ACR|2DMG|2BEXP|1ASPD|1VULN	17DUR|27BEXP|3ZMB|4FEWX|5RCR|67DMG|7BPWR|8RCVC|9ASPD|aVULN
161	12123 21524	   	186.93	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1LHND|2BEXP|3DUR|4AAC|5RCR|6ASPD|79DUST|8VULN|aBASARM
162	12123 31564	   	186.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LHND|2BEXP|3DUR|4AAC|5RCR|6DMG|79DUST|8VULN|aBASARM
163	12413 21524	   	186.93	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1LHND|2BEXP|3AAC|4DUR|5RCR|6ASPD|79DUST|8VULN|aBASARM
164	12463 14222	   	186.52	ACR|2VULN|1DMG|1AART|1BEXP|1CDMG|1AAC	1LHND|2BEXP|3AAC|46VULN|5RCR|7CDMG|8RCVC|9AART|aDMG
165	12463 16323	 * 	186.40	ACR|3VULN|2BEXP|1AART|1CDMG|1AAC	1LHND|2aBEXP|3AAC|467VULN|5RCR|8CDMG|9AART
166	12123 23314	 * 	186.38	ACR|2ASPD|1DMG|1VULN|2AAC|1BEXP	17LHND|2BEXP|37DUR|48AAC|5RCR|67ASPD|7BPWR|9DMG|aVULN
167	12123 33314	 * 	186.38	ACR|2DMG|1ASPD|1VULN|2AAC|1BEXP	17LHND|2BEXP|37DUR|48AAC|5RCR|67DMG|7BPWR|9ASPD|aVULN
168	12413 23314	   	186.38	ACR|2ASPD|1DMG|1VULN|2AAC|1BEXP	17LHND|2BEXP|38AAC|47DUR|5RCR|67ASPD|7BPWR|9DMG|aVULN
169	12413 33314	   	186.38	ACR|2DMG|1ASPD|1VULN|2AAC|1BEXP	17LHND|2BEXP|38AAC|47DUR|5RCR|67DMG|7BPWR|9ASPD|aVULN
170	12423 23314	   	186.38	ACR|2ASPD|1DMG|1VULN|2AAC|1BEXP	17LHND|2BEXP|38AAC|47LWND|5RCR|67ASPD|7BPWR|9DMG|aVULN
171	12423 33314	   	186.38	ACR|2DMG|1ASPD|1VULN|2AAC|1BEXP	17LHND|2BEXP|38AAC|47LWND|5RCR|67DMG|7BPWR|9ASPD|aVULN
172	11312 13144	   	186.16	ACR|2DMG|2AART|1BEXP|1CDMG	17LHND|2LIT|3aAART|4RCR|57DMG|67CGEN|7BPWR|8BEXP|9CDMG
173	41212 13144	   	186.16	ACR|2DMG|2AART|1BEXP|1CDMG	17DUR|2LIT|3aAART|4RCR|57DMG|67CGEN|7BPWR|8BEXP|9CDMG
174	11312 22554	 * 	185.93	ACR|2DMG|1AART|2CDMG|1VULN	19LHND|2LIT|3AART|4RCR|59DMG|69CDMG|7MDPS|8LEGI|9BPWR|aVULN
175	12463 14323	 * 	185.71	ACR|2VULN|2BEXP|2CDMG|1AART|1AAC	1LHND|2aBEXP|3AAC|46VULN|5RCR|78CDMG|9AART
176	11312 13613	 * 	185.23	ACR|2DMG|1VULN|1AART|1ASPD	17LHND|2LIT|3AART|4RCR|57DMG|679CGEN|7BPWR|8VULN|aASPD
177	41212 13613	   	185.23	ACR|2DMG|1VULN|1AART|1ASPD	17DUR|2LIT|3AART|4RCR|57DMG|679CGEN|7BPWR|8VULN|aASPD
178	11312 13623	   	185.13	ACR|2DMG|1VULN|1AART|1ASPD	17LHND|2LIT|3AART|4RCR|57DMG|67CGEN|7BPWR|8VULN|9AEFBLL|aASPD
179	41212 13623	   	185.13	ACR|2DMG|1VULN|1AART|1ASPD	17DUR|2LIT|3AART|4RCR|57DMG|67CGEN|7BPWR|8VULN|9AEFBLL|aASPD
180	21323 34142	 * 	185.06	ACR|3DMG|2ASPD|1AAC	13aERES|23FEWX|3aBPWR|4RCR|5LEGI|67aDMG|8AAC|9aASPD
181	24323 34142	   	185.06	ACR|3DMG|2ASPD|1AAC	13aERES|23DUR|3aBPWR|4RCR|5LEGI|67aDMG|8AAC|9aASPD
182	21623 34142	   	184.96	ACR|3DMG|2ASPD|1AAC	13aERES|2FEWX|4RCR|5LEGI|67aDMG|8AAC|9aASPD|aBPWR
183	36363 14212	   	184.94	ACR|2VULN|1BASARM|1BEXP|1CDMG	1CGEN|26VULN|3LWND|4BEXP|5RCR|7CDMG|8RCVC|9DUR|aBASARM
184	26363 14212	   	184.84	ACR|2VULN|1BASARM|1BEXP|1CDMG	1ERES|26VULN|3LWND|4BEXP|5RCR|7CDMG|8RCVC|9DUR|aBASARM
185	12463 36233	 * 	184.81	ACR|2VULN|2BEXP|1ASPD|1AART|1AAC	1LHND|26BEXP|3AAC|47VULN|5RCR|8AART|9FEWX|aASPD
186	12463 36223	   	184.71	ACR|2VULN|2BEXP|1ASPD|1AART|1AAC	1LHND|26BEXP|3AAC|47VULN|5RCR|8AART|9DUST|aASPD
187	43255 12332	 * 	184.66	ACR|2VULN|2DMG|1ASPD|1CDMG	16DUR|2CDMG|3FEWX|4aVULN|5RCR|7ASPD|89DMG
188	36313 14152	   	184.64	ACR|2VULN|1BASARM|1BEXP|1CDMG	1CGEN|26VULN|3LWND|4DUR|5RCR|7CDMG|8BEXP|9RCVC|aBASARM
189	36323 14152	   	184.64	ACR|2VULN|1BASARM|1BEXP|1CDMG	1CGEN|26VULN|3LWND|4LHND|5RCR|7CDMG|8BEXP|9RCVC|aBASARM
190	21325 64312	   	184.61	ACR|1BASARM|1DMG|1AART|1BEXP	13ERES|236FEWX|3BPWR|4RCR|5BEXP|7DMG|8AART|9MLV|aBASARM
191	24325 31312	   	184.61	ACR|1BASARM|1DMG|1AART|1BEXP	13ERES|237DUR|3BPWR|4RCR|5BEXP|6DMG|8AART|9MLV|aBASARM
192	44325 31312	   	184.61	ACR|1BASARM|1DMG|1AART|1BEXP	137DUR|23ERES|3BPWR|4RCR|5BEXP|6DMG|8AART|9MLV|aBASARM
193	43255 32332	   	184.56	ACR|2VULN|2DMG|1ASPD|1CDMG	1DUR|2CDMG|3FEWX|4aVULN|5RCR|6AEFBLL|7ASPD|89DMG
194	26313 14132	   	184.54	ACR|2VULN|1BASARM|1BEXP|1CDMG	1ERES|26VULN|3LWND|4DUR|5RCR|7CDMG|8BEXP|9RCVC|aBASARM
195	26323 14132	   	184.54	ACR|2VULN|1BASARM|1BEXP|1CDMG	1ERES|26VULN|3LWND|4LHND|5RCR|7CDMG|8BEXP|9RCVC|aBASARM
196	21622 54232	   	184.52	ACR|1BASARM|1ASPD|1VULN|1CDMG	13ERES|28FEWX|4RCR|5SPLARM|6BASARM|7ASPD|9VULN|aCDMG
197	21325 14232	   	184.51	ACR|1BASARM|1DMG|1AART|1BEXP	13ERES|239FEWX|3BPWR|4RCR|5BEXP|6AME|7DMG|8AART|aBASARM
198	11312 36241	   	184.03	ACR|2DMG|1VULN|1AART|1BASICY	1LHND|2LIT|3AART|4RCR|5aDMG|6FEWX|7VULN|8RPLT|9BASICY
199	41212 36241	   	184.03	ACR|2DMG|1VULN|1AART|1BASICY	1DUR|2LIT|3AART|4RCR|5aDMG|6FEWX|7VULN|8RPLT|9BASICY
200	11312 56241	   	183.93	ACR|2DMG|1VULN|1AART|1BASICY	1LHND|2LIT|3AART|4RCR|5aDMG|6LEGI|7VULN|8RPLT|9BASICY
201	11313 61626	   	183.90	ACR|2AART|1VULN|1ASPD|1DMG	1LHND|25LIT|38AART|4RCR|6ASPD|7DUR|9VULN|aDMG
202	11312 21212	   	183.67	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|78aVULN|9LWND
203	26623 16132	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	13ERES|2VULN|4RCR|5DMSP|6RPLT|7RMIN|8ASPD|9BEXP|aBASARM
204	24325 31122	   	183.61	ACR|1BASARM|1DMG|1AART|1BEXP	13ERES|237DUR|3BPWR|4RCR|5BEXP|6DMG|8CGEN|9AART|aBASARM
205	44325 31122	   	183.61	ACR|1BASARM|1DMG|1AART|1BEXP	137DUR|23ERES|3BPWR|4RCR|5BEXP|6DMG|8CGEN|9AART|aBASARM
206	11312 21255	   	183.57	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|78aVULN|9LSRREG
207	12463 34323	 * 	183.34	ACR|3BEXP|1VULN|2CDMG|1AART|1AAC	1LHND|26aBEXP|3AAC|4VULN|5RCR|78CDMG|9AART
208	12123 23313	 * 	183.27	ACR|2ASPD|1DMG|2AAC|1AART|1BEXP	17LHND|2BEXP|37DUR|48AAC|5RCR|67ASPD|7BPWR|9DMG|aAART
209	12123 33313	 * 	183.27	ACR|2DMG|1ASPD|2AAC|1AART|1BEXP	17LHND|2BEXP|37DUR|48AAC|5RCR|67DMG|7BPWR|9ASPD|aAART
210	12413 23313	   	183.27	ACR|2ASPD|1DMG|2AAC|1AART|1BEXP	17LHND|2BEXP|38AAC|47DUR|5RCR|67ASPD|7BPWR|9DMG|aAART
211	12413 33313	   	183.27	ACR|2DMG|1ASPD|2AAC|1AART|1BEXP	17LHND|2BEXP|38AAC|47DUR|5RCR|67DMG|7BPWR|9ASPD|aAART
