0	Index      	 *	Score 	Summary	Detail	
1	15535 12131	 * 	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2VULN|3BASARM|4BEXP|5RCR|6LWND|7ERES|8ASPD|9LEGI|aDMG
167	33226 22223	   	167.92	ACR|3ASPD|1DMG|1BEXP	1DMSP|2BEXP|36LHND|4FEWX|5RCR|78aASPD|9DMG
168	25226 52223	   	167.62	ACR|3ASPD|1DMG|1BEXP	16TLV|2BEXP|3AME|4FEWX|5RCR|78aASPD|9DMG
169	31146 22251	   	167.32	ACR|1BASARM|2ASPD	1DMSP|2FEWX|3LWND|46LHND|5RCR|78ASPD|9BASARM|aRCVC
170	34126 22251	   	167.32	ACR|1BASARM|2ASPD	1DMSP|2LWND|36LHND|4FEWX|5RCR|78ASPD|9BASARM|aRCVC
171	31136 62313	   	167.30	ACR|2VULN|2ASPD|1DMG	19DMSP|28FEWX|36LWND|48VULN|5RCR|78ASPD|8BPWR|aDMG
172	31136 62332	   	167.30	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LWND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aDUR
173	31136 62333	   	167.30	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LWND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aLIT
174	31136 62334	   	167.30	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LWND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aCGEN
175	31236 22313	   	167.30	ACR|2VULN|2ASPD|1DMG	19DMSP|28FEWX|36LHND|48VULN|5RCR|78ASPD|8BPWR|aDMG
176	31236 22332	   	167.30	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LHND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aDUR
177	31236 22333	   	167.30	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LHND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aLIT
178	31236 22334	   	167.30	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LHND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aCGEN
179	11666 12233	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DUR|2DMG|36CGEN|4VULN|5RCR|78ASPD|9MLV|aBEXP
180	31136 62235	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2FEWX|36LWND|4VULN|5RCR|78ASPD|9DMG|aBEXP
181	31236 22235	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2FEWX|36LHND|4VULN|5RCR|78ASPD|9DMG|aBEXP
182	33166 62232	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2BEXP|36LWND|4VULN|5RCR|78ASPD|9DMG|aDUR
183	33166 62233	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2BEXP|36LWND|4VULN|5RCR|78ASPD|9DMG|aLIT
184	33646 22232	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2BEXP|3VULN|46LHND|5RCR|78ASPD|9DMG|aDUR
185	33646 22233	   	167.22	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2BEXP|3VULN|46LHND|5RCR|78ASPD|9DMG|aLIT
186	31136 62336	   	167.20	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LWND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aMDPS
187	31236 22336	   	167.20	ACR|2VULN|2ASPD|1DMG	1DMSP|28FEWX|36LHND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aMDPS
188	13266 12263	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	1DUR|26CGEN|3AME|4VULN|5RCR|78ASPD|9DMG|aBEXP
189	15146 23213	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	1DUR|2VULN|3ERES|48ASPD|5RCR|6LHND|7DMG|9LWND|aBEXP
190	32436 12513	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|26CGEN|3MDPS|47ASPD|5RCR|8VULN|9BEXP|aDMG
191	33126 62225	   	167.10	ACR|2ASPD|2BEXP|1DMG	1DMSP|2aBEXP|36LWND|4FEWX|5RCR|78ASPD|9DMG
192	33126 62423	   	167.10	ACR|2ASPD|2BEXP|1DMG	1DMSP|28BEXP|36LWND|4FEWX|5RCR|7aASPD|9DMG
193	33146 22235	   	167.10	ACR|2ASPD|2BEXP|1DMG	1DMSP|2aBEXP|3LWND|46LHND|5RCR|78ASPD|9DMG
194	33226 22225	   	167.10	ACR|2ASPD|2BEXP|1DMG	1DMSP|2aBEXP|36LHND|4FEWX|5RCR|78ASPD|9DMG
195	33226 22423	   	167.10	ACR|2ASPD|2BEXP|1DMG	1DMSP|28BEXP|36LHND|4FEWX|5RCR|7aASPD|9DMG
196	25246 22332	   	167.00	ACR|2ASPD|2BEXP|1DMG	18TLV|28BEXP|3AME|46LHND|5RCR|78ASPD|8BPWR|9DMG|aDUR
197	25246 22333	   	167.00	ACR|2ASPD|2BEXP|1DMG	18TLV|28BEXP|3AME|46LHND|5RCR|78ASPD|8BPWR|9DMG|aLIT
198	22366 52221	   	166.92	ACR|2ASPD|1VULN|1DMG|1BEXP	16TLV|2RMIN|3DUST|4VULN|5RCR|78ASPD|9DMG|aBEXP
199	14136 23263	 * 	166.90	ACR|2DMG|2VULN|1ASPD	1DUR|2LEGI|3aERES|4ASPD|5RCR|6LHND|7aDMG|8SNIFST|9aVULN|aBPWR
200	31256 22251	   	166.89	ACR|1BASARM|2ASPD	1DMSP|2FEWX|36LHND|4DUST|5RCR|78ASPD|9BASARM|aDUR
201	31346 22251	   	166.89	ACR|1BASARM|2ASPD	1DMSP|2FEWX|3DUST|46LHND|5RCR|78ASPD|9BASARM|aDUR
202	36226 22251	   	166.89	ACR|1BASARM|2ASPD	1DMSP|2DUST|36LHND|4FEWX|5RCR|78ASPD|9BASARM|aDUR
