0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41532 24231	1	 * 	287.49	DCR|5VULN|3DUR|2ASPD|1CDMG	13467VULN|247DUR|47BPWR|57ASPD|8ZMB|9RCR|aCDMG
170	33211 27751	5	 * 	260.00	DCR|4VULN|3TLV|2DUR	178TLV|2568VULN|38DUR|4MBVNT|8BPWR|9DUST|aRCR
171	33211 47751	6	   	260.00	DCR|4VULN|3TLV|2DUR	178TLV|2568VULN|38DUR|4MBVNT|8BPWR|9DUST|aRCR
172	33632 23354	7	   	260.00	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	13TLV|238VULN|3BPWR|4RMIN|5DMG|6CDMG|7ASPD|9AART|aRCR
173	33221 23213	3	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4CDMG|5AART|7DMG|8RCR|9LHND
174	33221 23223	3	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4CDMG|5AART|7DMG|8RCR|9LWND
175	33222 51153	3	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|29aVULN|3DUR|4CDMG|5MLV|6DMG|7AART|8RCR
176	33235 12613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|25aVULN|3DUR|4DMG|6FEWX|7AART|8RCR|9CDMG
177	33235 22613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|25aVULN|3DUR|4DMG|6LHND|7AART|8RCR|9CDMG
178	33421 23213	2	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4CDMG|5AART|7DMG|8RCR|9LHND
179	33421 23223	2	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4CDMG|5AART|7DMG|8RCR|9LWND
180	33422 51153	2	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|29aVULN|3DUR|4CDMG|5MLV|6DMG|7AART|8RCR
181	35421 23213	1	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4CDMG|5AART|7DMG|8RCR|9LHND
182	35421 23223	1	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4CDMG|5AART|7DMG|8RCR|9LWND
183	31241 41523	9	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2BEXP|3AART|4DMG|59aVULN|6DUR|7CDMG|8RCR
184	31241 42613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2BEXP|3AART|4DMG|57aVULN|6DUR|8RCR|9CDMG
185	32235 42613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2LWND|3DUR|4DMG|56aVULN|7AART|8RCR|9CDMG
186	32253 42613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|2LWND|3DUR|46aVULN|5DMG|7AART|8RCR|9CDMG
187	33231 42613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4DMG|5BEXP|7AART|8RCR|9CDMG
188	33232 42613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4DMG|5LWND|7AART|8RCR|9CDMG
189	33234 42613	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4DMG|5LHND|7AART|8RCR|9CDMG
190	44412 33333	10	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	12aVULN|36FEWX|4aLIT|5TLV|7CDMG|8RCR|9aDUR|aBPWR
191	33221 11153	3	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|29aVULN|3DUR|4CDMG|5AART|6ERES|7DMG|8RCR
192	33235 52613	8	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|25aVULN|3DUR|4DMG|6DUST|7AART|8RCR|9CDMG
193	33236 42613	8	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|26aVULN|3DUR|4DMG|5DUST|7AART|8RCR|9CDMG
194	33421 11153	2	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|29aVULN|3DUR|4CDMG|5AART|6ERES|7DMG|8RCR
195	35421 11153	1	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1TLV|29aVULN|3DUR|4CDMG|5AART|6ERES|7DMG|8RCR
196	33631 21452	7	   	259.63	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4RMIN|5ASPD|6CDMG|8LIT|aRCR
197	33631 23452	6	   	259.63	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4RMIN|5ASPD|6CDMG|8LIT|aRCR
198	33631 33452	5	   	259.63	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4RMIN|5ASPD|6CDMG|8LIT|aRCR
199	33632 33452	4	   	259.63	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4RMIN|5ASPD|6CDMG|8LIT|aRCR
200	33132 26531	5	   	259.60	DCR|5VULN|1TLV|1DMG	1TLV|26789VULN|3RCVC|4RMIN|5DMG|aRCR
201	13135 23531	3	   	259.50	DCR|5VULN|1TLV|1DMG	1ERES|25689VULN|3RCVC|4TLV|7DMG|aRCR
202	33145 23531	3	   	259.50	DCR|5VULN|1TLV|1DMG	1TLV|25689VULN|3RCVC|4ERES|7DMG|aRCR
203	33352 26531	5	   	259.50	DCR|5VULN|1TLV|1DMG	1TLV|26789VULN|3ERES|4DMSP|5DMG|aRCR
204	33355 23531	4	   	259.50	DCR|5VULN|1TLV|1DMG	1TLV|25689VULN|3ERES|4DMSP|7DMG|aRCR
205	13235 23531	2	   	259.40	DCR|5VULN|1TLV|1DMG	13ERES|25689VULN|4TLV|7DMG|aRCR
206	13335 23531	3	   	259.40	DCR|5VULN|1TLV|1DMG	13ERES|25689VULN|4TLV|7DMG|aRCR
207	13635 22431	3	   	259.40	DCR|5VULN|1TLV|1DMG	13ERES|23568VULN|3BPWR|4TLV|7RCR|9BBNT|aDMG
208	13635 22621	3	   	259.40	DCR|5VULN|1TLV|1DMG	13ERES|23569VULN|3BPWR|4TLV|7RCR|8TBNT|aDMG
209	15235 23531	1	   	259.40	DCR|5VULN|1TLV|1DMG	13ERES|25689VULN|4TLV|7DMG|aRCR
210	16335 23531	3	   	259.40	DCR|5VULN|1TLV|1DMG	12ERES|35689VULN|4TLV|7DMG|aRCR
211	33632 13621	6	 * 	259.32	DCR|3VULN|3TLV|2DUR|1DMG	138TLV|238VULN|38BPWR|4RMIN|5DMG|69DUR|78FEWX|aRCR
212	33632 14621	7	   	259.32	DCR|3VULN|3TLV|2DUR|1DMG	138TLV|238VULN|38BPWR|4RMIN|5DMG|69DUR|78FEWX|aRCR
213	33213 57841	6	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|26aVULN|37DUR|4MBVNT|5DMG|8RCR|9LIT
214	33213 57841	5	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|26aVULN|37DUR|4MBVNT|5DMG|8RCR|9LIT
215	23213 85317	7	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aCGEN|29aVULN|36DUR|4MBVNT|5DMG|7aTLV|8RCR|aBPWR
216	32211 27232	10	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19TLV|2LWND|39DUR|4MBVNT|589VULN|6BELT|7RCR|9BPWR|aDMG
217	33213 33317	7	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|29aVULN|37DUR|4MBVNT|5DMG|6aCGEN|8RCR|aBPWR
218	33213 51387	7	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|26aVULN|39DUR|4MBVNT|5DMG|7aCGEN|8RCR|aBPWR
219	33213 51617	9	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|26aVULN|38DUR|4MBVNT|5DMG|7aCGEN|9RCR|aBPWR
220	33213 52387	6	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|26aVULN|39DUR|4MBVNT|5DMG|7aCGEN|8RCR|aBPWR
221	33213 52387	5	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|26aVULN|39DUR|4MBVNT|5DMG|7aCGEN|8RCR|aBPWR
222	33213 57433	10	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|26aVULN|38DUR|4MBVNT|5DMG|7aBEXP|9RCR|aBPWR
223	33632 16222	7	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	13TLV|239VULN|3BPWR|4RMIN|5DMG|6aDUR|7BELT|8RCR
224	33253 21145	5	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	14TLV|269VULN|38DUR|5DMG|7CGEN|aRCR
225	33253 21145	4	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	14TLV|269VULN|38DUR|5DMG|7CGEN|aRCR
226	33632 44713	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	13TLV|237VULN|3BPWR|4RMIN|5DMG|6MBVNT|8aDUR|9RCR
227	44211 13313	6	   	259.11	DCR|4VULN|2DMG|1AART	1269VULN|39BEXP|4LIT|5AART|7ASPD|89DMG|9BPWR|aRCR
228	44611 13313	6	   	259.11	DCR|4VULN|2DMG|1AART	1269VULN|39LHND|4LIT|5AART|7ASPD|89DMG|9BPWR|aRCR
229	41535 23414	1	 * 	259.11	DCR|4VULN|3DUR|1DMG	1346VULN|246DUR|46BPWR|5TBNT|7MBVNT|8CGEN|9RCR|aDMG
230	43221 44511	8	   	258.99	DCR|4VULN|2TLV|2CDMG|1AART	135aVULN|2BELT|4MBVNT|6AART|7aCDMG|8aTLV|9RCR|aBPWR
231	43226 44511	8	   	258.99	DCR|4VULN|2TLV|2CDMG|1AART	135aVULN|2BELT|4MBVNT|5aBPWR|6AART|7aCDMG|8aTLV|9RCR
232	33221 23233	3	   	258.97	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1TLV|26VULN|3DUR|49CDMG|5AART|7aDMG|8RCR
233	33421 23233	2	   	258.97	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1TLV|26VULN|3DUR|49CDMG|5AART|7aDMG|8RCR
234	35421 23233	1	   	258.97	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1TLV|26VULN|3DUR|49CDMG|5AART|7aDMG|8RCR
235	44111 13313	6	   	258.91	DCR|4VULN|2DMG|1AART	1269VULN|39DUST|4LIT|5AART|7ASPD|89DMG|9BPWR|aRCR
236	13335 22123	2	   	258.84	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8CGEN|9LHND|aTLV
237	13335 22133	2	   	258.84	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8CGEN|9FEWX|aTLV
238	15335 22123	1	   	258.84	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8CGEN|9LHND|aTLV
239	15335 22133	1	   	258.84	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8CGEN|9FEWX|aTLV
240	13335 22611	2	   	258.74	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8TBNT|9BELT|aTLV
241	13335 22651	2	   	258.74	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8TBNT|9TLV|aRMIN
242	13335 22653	2	   	258.74	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8TBNT|9TLV|aRCVC
243	15335 22611	1	   	258.74	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8TBNT|9BELT|aTLV
244	13335 22323	2	   	258.64	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8DUST|9BBNT|aTLV
245	13335 22343	2	   	258.64	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8DUST|9TBNT|aTLV
246	13335 22652	2	   	258.64	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8TBNT|9TLV|aLEGI
247	15335 22323	1	   	258.64	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8DUST|9BBNT|aTLV
248	15335 22343	1	   	258.64	DCR|4VULN|2DMG|1TLV	1ERES|2456VULN|34DMG|4BPWR|7RCR|8DUST|9TBNT|aTLV
249	33211 54742	10	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|258VULN|3DUR|4MBVNT|6ASPD|7DMG|9CDMG|aRCR
250	41213 45742	10	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	168VULN|2ASPD|3DUR|4MBVNT|5DMG|7TLV|9CDMG|aRCR
251	33213 42481	10	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	19TLV|28aVULN|3DUR|4MBVNT|5DMG|6CDMG|7RCR
252	43523 16213	4	   	258.05	DCR|3VULN|2DMG|1TLV|2CDMG	17aVULN|2BELT|35CDMG|457MLV|57BPWR|67DMG|8RCR|9TLV
253	43232 43226	9	   	258.05	DCR|4VULN|3DMG|1AART	1347VULN|2BELT|5AART|679DMG|7BPWR|8BEXP|aRCR
254	43531 13124	5	   	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	158VULN|2BELT|38CDMG|4RMIN|68DMG|7RCR|8BPWR|9LHND|aTLV
255	33613 35234	4	   	257.91	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	13TLV|23aVULN|3BPWR|4LEGI|5DMG|69CDMG|7AART|8RCR
256	33613 35234	5	   	257.91	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	13TLV|23aVULN|3BPWR|4LEGI|5DMG|69CDMG|7AART|8RCR
257	33635 22325	3	   	257.64	DCR|4VULN|2TLV|1DMG	13TLV|2356VULN|3BPWR|4TBNT|7RCR|8LIT|9BELT|aDMG
258	31241 42125	9	   	257.51	DCR|2VULN|3DUR|2TLV|1DMG|1AART	19TLV|29BEXP|3AART|4DMG|57VULN|689DUR|9BPWR|aRCR
