0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52622 13431	5	 * 	276.40	DCR|4VULN|2DMG|1DUR|2LIT	15LIT|2LHND|39DMG|457aVULN|5BPWR|6RCR|8DUR
164	52622 13362	5	   	247.17	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2LHND|3DMG|457VULN|5BPWR|6RCR|8ASPD|9DUR|aMLV
165	51631 13432	6	   	247.11	DCR|3VULN|2DMG|1TLV	1LIT|2FEWX|34DMG|5RPLT|679VULN|8RCR|aTLV
166	53326 16121	7	   	247.09	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|3MLV|4TLV|58VULN|69DUR|7DMG|aRCR
167	53421 11323	9	   	247.09	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|36VULN|4LWND|5DMG|78DUR|9TLV|aRCR
168	53434 11323	9	   	247.09	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|36VULN|4DMG|5LWND|78DUR|9TLV|aRCR
169	53451 13323	9	   	247.09	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|36VULN|48DUR|5DMG|7LWND|9TLV|aRCR
170	53626 11121	7	   	247.09	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|3DMG|4TLV|58VULN|69DUR|7RMIN|aRCR
171	53412 24232	10	   	247.09	DCR|3VULN|2AART|1TLV|2LIT|1CDMG	14LIT|2CDMG|358VULN|6aAART|7RCR|9TLV
172	51222 11355	5	   	247.07	DCR|3VULN|1DMG|1TLV|2LIT|1ASPD	15LIT|2FEWX|3ASPD|45aVULN|5BPWR|6RCR|7TBNT|8DMG|9TLV
173	51222 13663	5	   	247.07	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3ASPD|457VULN|5BPWR|6RCR|8DMG|9DUR|aBBNT
174	51222 24163	8	   	247.07	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458VULN|5BPWR|6DMG|7RCR|9DUR|aBBNT
175	51622 13363	5	   	247.07	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3DMG|457VULN|5BPWR|6RCR|8ASPD|9DUR|aBBNT
176	52622 13363	5	   	247.07	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2LHND|3DMG|457VULN|5BPWR|6RCR|8ASPD|9DUR|aBBNT
177	53626 13321	6	   	246.99	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2CDMG|3DMG|4TLV|57VULN|69DUR|8ERES|aRCR
178	51222 13452	5	   	246.98	DCR|3VULN|2ASPD|1DUR|2LIT|1AART	15LIT|2FEWX|39ASPD|457VULN|5BPWR|6RCR|8AART|aDUR
179	14241 33152	3	   	246.77	DCR|2VULN|3DUR|1DMG|1CDMG|1ASPD	1LHND|25VULN|368DUR|4ASPD|7CDMG|9RCR|aDMG
180	14221 33156	3	   	246.77	DCR|2VULN|3DUR|1DMG|1CDMG|1ASPD	1LHND|25VULN|368DUR|4DMG|7CDMG|9RCR|aASPD
181	14221 24324	3	 * 	246.64	DCR|2VULN|2DMG|2DUR|2TLV	1aLHND|25VULN|3aDUR|47DMG|6BEXP|8aTLV|9RCR|aBPWR
