0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14251 53322	5	 * 	286.54	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	19DUR|2CDMG|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aASPD
162	23113 12156	3	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LWND|6DMG|8ASPD|9RCR
163	23113 32156	3	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LWND|6ASPD|8DMG|9RCR
164	23121 12156	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|4LHND|57aVULN|6DMG|8ASPD|9RCR
165	23121 32156	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|4LHND|57aVULN|6ASPD|8DMG|9RCR
166	23125 12156	4	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|4LHND|57aVULN|6DMG|8ASPD|9RCR
167	23125 32156	4	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|4LHND|57aVULN|6ASPD|8DMG|9RCR
168	23151 12156	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|4LWND|57aVULN|6DMG|8ASPD|9RCR
169	23151 32156	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|4LWND|57aVULN|6ASPD|8DMG|9RCR
170	23161 12156	4	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6DMG|8ASPD|9RCR
171	23161 32156	4	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6ASPD|8DMG|9RCR
172	23162 12156	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6DMG|8ASPD|9RCR
173	23162 32156	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6ASPD|8DMG|9RCR
174	23163 12156	4	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LWND|6DMG|8ASPD|9RCR
175	23163 32156	4	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LWND|6ASPD|8DMG|9RCR
176	23211 12156	2	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6DMG|8ASPD|9RCR
177	23211 32156	2	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6ASPD|8DMG|9RCR
178	23213 12156	2	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LWND|6DMG|8ASPD|9RCR
179	23213 32156	2	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LWND|6ASPD|8DMG|9RCR
180	13353 12416	1	 * 	258.09	DCR|4VULN|2DUR|2CDMG|1SELL	18DUR|2TBNT|3568VULN|48CDMG|7SELL|8BPWR|9DUST|aRCR
181	43211 52322	5	   	258.06	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1SELL|289VULN|39DMG|4DUR|5LIT|6RCR|79LWND|9BPWR|aASPD
182	43211 56222	5	   	258.06	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1SELL|279VULN|39DMG|4DUR|5LIT|6RCR|89LWND|9BPWR|aASPD
183	24341 31532	10	   	258.05	DCR|5VULN|3TLV|1ASPD	126TLV|26BPWR|34678VULN|5RPLT|9RCR|aASPD
184	24341 31632	10	   	258.05	DCR|5VULN|3TLV|1ASPD	126TLV|26BPWR|34679VULN|5RPLT|8RCR|aASPD
185	25341 31532	10	   	258.05	DCR|5VULN|3TLV|1ASPD	126TLV|34678VULN|5RPLT|6BPWR|9RCR|aASPD
186	25341 31632	10	   	258.05	DCR|5VULN|3TLV|1ASPD	126TLV|34679VULN|5RPLT|6BPWR|8RCR|aASPD
187	23115 36153	3	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|45aVULN|6DMG|7DUST|8ASPD|9RCR
188	23161 36153	5	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|45aVULN|6DMG|7DUST|8ASPD|9RCR
189	23215 36153	2	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|45aVULN|6DMG|7DUST|8ASPD|9RCR
190	24326 22316	9	   	257.47	DCR|3VULN|2DMG|3TLV|2LIT	128TLV|28BPWR|359VULN|48LIT|68DMG|7RPLT|aRCR
191	25326 22316	9	   	257.47	DCR|3VULN|2DMG|3TLV|2LIT	128TLV|359VULN|48LIT|68DMG|7RPLT|8BPWR|aRCR
192	16113 22331	1	   	257.33	DCR|3VULN|3DUR|2TLV	18aDUR|238VULN|4LEGI|5FEWX|6LIT|78TLV|8BPWR|9RCR
193	23115 25216	3	   	256.79	DCR|3VULN|2AART|1DUR|1TLV|1CDMG	1TLV|28AART|3DUR|456VULN|7CDMG|9RCR|aLIT
194	23161 25216	5	   	256.79	DCR|3VULN|2AART|1DUR|1TLV|1CDMG	1TLV|28AART|3DUR|456VULN|7CDMG|9RCR|aLIT
195	23215 25216	2	   	256.79	DCR|3VULN|2AART|1DUR|1TLV|1CDMG	1TLV|28AART|3DUR|456VULN|7CDMG|9RCR|aLIT
196	14212 42513	7	   	256.75	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1AART	14DUR|2CDMG|3DMG|5AART|6RCR|7TLV|8LIT|9aVULN
