0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63312 62236	4	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3BELT|4AART|57DUR|67aVULN|7BPWR|8TLV|9RCR
162	63234 12273	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2ZMB|3aDUR|4RCVC|5ASPD|6TLV|7RCR|8MBVNT|9aVULN|aBPWR
163	63111 12314	9	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|29ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN
164	63111 12315	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|29ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN
165	63111 12332	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN|9LHND
166	63111 12342	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN|9BEXP
167	63111 12355	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN|9CGEN
168	63111 12363	9	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89VULN|aLWND
169	63111 12364	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89VULN|aCGEN
170	63111 12366	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89VULN|aLHND
171	63111 12562	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8FEWX|9aVULN
172	63434 12223	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2ZMB|3aVULN|4RCVC|5ASPD|6TLV|7RCR|8MBVNT|9aDUR|aBPWR
173	43114 13115	2	   	252.28	DCR|3VULN|3DUR|2TLV	178DUR|2RMIN|3DLOT|48aERES|58aVULN|6RCR|8aBPWR|9aTLV
174	63111 12272	10	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8MBVNT|9aVULN
175	63111 12366	9	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89VULN|aERES
176	63111 12462	10	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8LEGI|9aVULN
177	42216 31132	5	   	252.14	DCR|2VULN|2DMG|2DUR|1TLV	19DUR|2LIT|3DLOT|4LEGI|5MBVNT|6RCR|79VULN|89DMG|9BPWR|aTLV
178	16115 41221	7	   	251.92	DCR|4VULN|2DUR|1TLV	1TLV|2456VULN|3DUST|7RCR|8aDUR|9MLV
179	16115 41231	7	   	251.82	DCR|4VULN|2DUR|1TLV	1TLV|2456VULN|3DUST|7RCR|8aDUR|9ERES
180	61134 21323	3	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|2CDMG|3BEXP|457VULN|6LIT|8AART|9TLV|aRCR
181	61534 21323	2	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|2CDMG|3LHND|457VULN|6LIT|8AART|9TLV|aRCR
182	65234 21323	3	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|2LWND|3CDMG|457VULN|6LIT|8AART|9TLV|aRCR
183	66224 21323	4	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|257VULN|3CDMG|4LWND|6LIT|8AART|9TLV|aRCR
184	62322 11451	8	   	251.80	DCR|3VULN|3DMG|1DUR	124DMG|24BPWR|3RPLT|569VULN|7LIT|8RCR|aDUR
185	11336 54123	8	 * 	251.79	DCR|2VULN|1TLV|3LIT|1DMG|2CDMG|1DUR	1TLV|2aCDMG|3DUR|4CGEN|59aLIT|6DMG|7aVULN|8RCR|aBPWR
186	61234 21323	3	   	251.72	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|2CDMG|3LEGI|457VULN|6LIT|8AART|9TLV|aRCR
187	61434 21323	3	   	251.72	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|2CDMG|3DUST|457VULN|6LIT|8AART|9TLV|aRCR
188	62333 51126	3	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	12DMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9LWND|aCDMG
189	63111 12341	8	 * 	251.36	DCR|3DMG|3DUR|1VULN|1TLV	159DMG|2ZMB|3ASPD|45aDUR|5BPWR|6TLV|7RCR|8VULN
190	11631 21121	2	   	251.35	DCR|4VULN|1TLV|1CDMG	1TLV|2CDMG|347aVULN|5MBVNT|6LIT|8ASPD|9RCR
191	11631 26121	2	   	251.35	DCR|4VULN|1TLV|1CDMG	1TLV|2CDMG|348aVULN|5MBVNT|6LIT|7ASPD|9RCR
192	16216 44121	4	   	251.35	DCR|4VULN|1TLV|1CDMG	1TLV|278aVULN|3CDMG|4ASPD|5MBVNT|6LIT|9RCR
193	16231 21121	3	   	251.35	DCR|4VULN|1TLV|1CDMG	1TLV|247aVULN|3CDMG|5MBVNT|6LIT|8ASPD|9RCR
194	16231 26121	3	   	251.35	DCR|4VULN|1TLV|1CDMG	1TLV|248aVULN|3CDMG|5MBVNT|6LIT|7ASPD|9RCR
195	44242 31323	9	   	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1DUR|2aTLV|3CDMG|49LWND|5aDMG|6RCR|7LHND|8aVULN|aBPWR
196	66152 21132	2	   	251.15	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	15DMG|256VULN|3DLOT|4AART|5BPWR|7DUR|8BEXP|9RCR|aCDMG
197	66152 21332	2	   	251.15	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	15DMG|256VULN|3DLOT|4AART|5BPWR|7DUR|8LHND|9RCR|aCDMG
198	16115 11263	10	   	251.13	DCR|4VULN|2TLV|1CDMG	16TLV|2459VULN|3DUST|7RCR|8CDMG|aLIT
199	11324 13324	9	   	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1TLV|24CDMG|34DUR|4BPWR|58aVULN|6RPLT|7DMSP|9RCR
200	11324 13325	10	   	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1TLV|24CDMG|34DUR|4BPWR|58aVULN|6RPLT|7DMSP|9RCR
201	11324 14324	9	   	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1TLV|24CDMG|34DUR|4BPWR|58aVULN|6RPLT|7RCVC|9RCR
202	11324 14325	10	   	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1TLV|24CDMG|34DUR|4BPWR|58aVULN|6RPLT|7RCVC|9RCR
203	61224 21323	5	   	251.03	DCR|2VULN|2DMG|1TLV|2CDMG|1AART	14DMG|24CDMG|3LEGI|4BPWR|57VULN|6LIT|8AART|9TLV|aRCR
204	16116 41212	8	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2469VULN|3DUST|5RCVC|7RCR|8CDMG|aDUR
205	16115 41231	9	   	250.89	DCR|4VULN|1TLV|2ASPD|1CDMG	1TLV|2456VULN|3DUST|7RCR|8CDMG|9aASPD
206	16115 41322	8	   	250.89	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2456VULN|38DUST|7RCR|9CDMG|aDUR
207	16114 41212	8	   	250.89	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2469VULN|35DUST|7RCR|8CDMG|aDUR
208	11321 11145	4	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1TLV|24CDMG|34DUR|4BPWR|5MBVNT|6ERES|78aVULN|9RCR
209	66114 22131	2	   	250.84	DCR|3VULN|2DUR|1TLV|1DMG	1DMG|25aVULN|3DLOT|4ERES|67DUR|8TLV|9RCR
210	63111 32364	9	   	250.73	DCR|3VULN|2DMG|2DUR	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6ERES|7RCR|89aVULN
211	63111 32365	10	   	250.73	DCR|3VULN|2DMG|2DUR	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6ERES|7RCR|89aVULN
212	34242 31333	9	   	250.68	DCR|2VULN|3DMG|2TLV|1CDMG	1FEWX|2aTLV|3CDMG|4LWND|59aDMG|6RCR|7LHND|8aVULN|aBPWR
213	42216 31134	5	   	250.63	DCR|3VULN|2DMG|2DUR	19DUR|2LIT|3DLOT|4LEGI|5MBVNT|6RCR|79aVULN|89DMG|9BPWR
214	66152 11121	2	   	250.60	DCR|4VULN|2DMG|1AART	15DMG|257aVULN|3DLOT|4AART|5BPWR|6RPLT|8ASPD|9RCR
215	63413 21121	3	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1DMG|2ZMB|37aVULN|4CDMG|5TLV|6LIT|8ASPD|9RCR
216	63413 25121	3	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1DMG|2ZMB|38aVULN|4CDMG|5TLV|6LIT|7ASPD|9RCR
217	66213 21351	4	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1DMG|27aVULN|3CDMG|4ASPD|5TLV|6LIT|8RCR|9ZMB
218	66513 21121	2	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1DMG|27aVULN|3ZMB|4CDMG|5TLV|6LIT|8ASPD|9RCR
219	66213 26121	4	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|28aVULN|3CDMG|4ASPD|5TLV|6LIT|7NUKE|9RCR
220	44224 12131	7	   	250.32	DCR|2VULN|2TLV|2DUR|3CDMG|1AART	18DUR|24TLV|348CDMG|48BPWR|58VULN|6RPLT|7AART|9DMSP|aRCR
221	11324 43522	9	   	250.32	DCR|2VULN|2TLV|2DUR|3CDMG|1AART	18TLV|246CDMG|34DUR|48BPWR|58VULN|78CGEN|9RCR|aAART
222	11322 21255	7	   	250.22	DCR|2VULN|2TLV|2DUR|3CDMG|1AART	19TLV|249CDMG|34DUR|49BPWR|5LHND|6LEGI|79VULN|8AART|aRCR
223	63122 34224	10	 * 	250.22	DCR|3VULN|2DMG|3ASPD|2LIT	19DMG|2ZMB|348ASPD|59LIT|69aVULN|7RCR|9BPWR
224	66212 63312	4	   	250.17	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1DMG|28aVULN|3CDMG|4ASPD|5AART|6LIT|7DUR|9RCR
225	11324 63522	9	   	250.12	DCR|2VULN|2TLV|2DUR|3CDMG|1AART	18TLV|247CDMG|34DUR|48BPWR|58VULN|68ERES|9RCR|aAART
226	11334 41126	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|3DUR|458VULN|6BELT|7DMG|9LWND|aRCR
227	11633 41126	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|348VULN|5DUR|6BELT|7DMG|9LWND|aRCR
228	16232 25126	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|268VULN|3CDMG|4DUR|5DMG|7BELT|9LWND|aRCR
229	16233 41126	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|248VULN|3CDMG|5DUR|6BELT|7DMG|9LWND|aRCR
230	16232 31166	5	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|278VULN|3CDMG|4DUR|5DMG|6BEXP|9BELT|aRCR
231	16235 61313	10	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|279VULN|3CDMG|4DUR|5ZMB|6DMG|8LWND|aRCR
232	11334 41116	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|3DUR|458VULN|6BELT|7DMG|9DUST|aRCR
233	11633 41116	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|348VULN|5DUR|6BELT|7DMG|9DUST|aRCR
234	16232 21166	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|268VULN|3CDMG|4DUR|5DMG|7DUST|9BELT|aRCR
235	16232 25116	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|268VULN|3CDMG|4DUR|5DMG|7BELT|9DUST|aRCR
236	16233 41116	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|248VULN|3CDMG|5DUR|6BELT|7DMG|9DUST|aRCR
237	66216 31322	7	   	249.91	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	1aDMG|26VULN|3CDMG|4ASPD|56LIT|6BPWR|7TLV|8RCR|9DUST
238	63432 42323	3	   	249.85	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	19DMG|2ZMB|389VULN|4DUST|5CDMG|69LIT|7AART|9BPWR|aRCR
239	62653 21132	3	   	249.79	DCR|3VULN|2DMG|1DUR|1CDMG	12DMG|2BPWR|3LIT|456VULN|7DUR|8BEXP|9RCR|aCDMG
240	62653 21332	3	   	249.79	DCR|3VULN|2DMG|1DUR|1CDMG	12DMG|2BPWR|3LIT|456VULN|7DUR|8LHND|9RCR|aCDMG
241	14225 22521	8	   	249.74	DCR|2VULN|3DUR|2TLV|1CDMG	18TLV|2MLV|378DUR|4BEXP|5CDMG|68VULN|8BPWR|9RCR|aLIT
242	11345 22523	10	   	249.74	DCR|2VULN|3DUR|2TLV|1CDMG	18TLV|2CDMG|378DUR|4LWND|5ZMB|68VULN|8BPWR|9ASPD|aRCR
243	11335 24143	2	   	249.73	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1TLV|26CDMG|3BBNT|456VULN|6BPWR|7DMG|8LEGI|9RCR|aAART
244	11335 24243	2	   	249.73	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1TLV|26CDMG|3BBNT|456VULN|6BPWR|7DMG|8DUST|9RCR|aAART
245	61514 23113	4	 * 	249.72	DCR|3VULN|2DMG|2CDMG|1AART	18DMG|28CDMG|3AART|4RPLT|568VULN|7RCR|8BPWR|9LHND|aLIT
246	63611 22143	4	   	249.66	ACR|3VULN|3DUR|2DMG|1TLV	18DMG|2ZMB|3DLOT|468VULN|5RCR|78aDUR|8BPWR|9TLV
247	61113 23113	1	   	249.56	ACR|3VULN|3DUR|2DMG|1TLV	18DMG|2RCR|3DLOT|4ERES|578DUR|68aVULN|8BPWR|9TLV
248	61114 22143	1	   	249.56	ACR|3VULN|3DUR|2DMG|1TLV	18DMG|2RCR|3DLOT|4ERES|568VULN|78aDUR|8BPWR|9TLV
249	61521 12143	9	   	249.52	DCR|3VULN|2DMG|2CDMG|1AART	19DMG|29CDMG|3AART|4ERES|5LIT|6LEGI|789VULN|9BPWR|aRCR
250	11342 31323	9	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1TLV|2aCDMG|3DUR|49LWND|5aDMG|6RCR|7LHND|8aVULN|aBPWR
251	11642 32323	9	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1TLV|2aCDMG|3LHND|49LWND|5aDMG|6RCR|7DUR|8aVULN|aBPWR
252	11316 35111	7	   	249.51	DCR|2VULN|2DUR|1TLV|2CDMG|2LIT	1TLV|26CDMG|39DUR|4ASPD|56LIT|6BPWR|7RCR|8aVULN
253	42313 41162	4	   	249.45	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	19DUR|29LIT|3LHND|4AART|57aVULN|6RCR|89CDMG|9BPWR
254	42542 22313	9	   	249.45	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1aDUR|2LIT|3RPLT|4aDMG|5ERES|6RCR|7CDMG|8aVULN|9AART|aBPWR
255	13616 31363	4	   	249.43	DCR|4VULN|2TLV|2CDMG	1aTLV|26BEXP|346aVULN|5RCVC|6aBPWR|7LEGI|8RCR|9aCDMG
256	63111 12321	10	   	249.36	DCR|3DUR|1VULN|2DMG|1TLV|1CDMG	15DMG|2ZMB|3ASPD|459DUR|5BPWR|6TLV|7RCR|8VULN|aCDMG
257	66522 32211	8	   	249.34	ACR|3VULN|3DMG|2DUR|2LIT	178DMG|27aVULN|3aFEWX|4ASPD|5RCR|67DUR|7aBPWR|9aLIT
258	66622 32211	8	   	249.34	ACR|3VULN|3DMG|2DUR|2LIT	178DMG|27aVULN|3aLHND|4ASPD|5RCR|67DUR|7aBPWR|9aLIT
259	16115 31263	5	   	249.33	DCR|4VULN|2TLV|2CDMG	1aTLV|245aVULN|3DUST|6RMIN|7FEWX|8RCR|9aCDMG|aBPWR
260	16115 31363	7	   	249.33	DCR|4VULN|2TLV|2CDMG	1aTLV|245aVULN|3DUST|67FEWX|8RCR|9aCDMG|aBPWR
261	16115 32263	5	   	249.33	DCR|4VULN|2TLV|2CDMG	1aTLV|245aVULN|3DUST|6RMIN|7LWND|8RCR|9aCDMG|aBPWR
262	42324 35133	5	 * 	249.31	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	1DUR|29aLIT|3LHND|4ERES|5aDMG|6TLV|7RCR|8aVULN|aBPWR
263	62334 21121	3	   	249.25	DCR|4VULN|2DMG	12DMG|2BPWR|3RPLT|457aVULN|6LIT|8ASPD|9RCR
264	62334 25121	3	   	249.25	DCR|4VULN|2DMG	12DMG|2BPWR|3RPLT|458aVULN|6LIT|7ASPD|9RCR
265	62653 11121	3	   	249.25	DCR|4VULN|2DMG	12DMG|2BPWR|3LIT|457aVULN|6RPLT|8ASPD|9RCR
266	16111 25363	7	   	249.23	DCR|4VULN|3TLV|2CDMG	16aTLV|247aVULN|3DUST|5LWND|8RCR|9aCDMG|aBPWR
267	16113 25363	7	   	249.23	DCR|4VULN|3TLV|2CDMG	16aTLV|247aVULN|3DUST|5BEXP|8RCR|9aCDMG|aBPWR
268	16115 11113	7	 * 	249.23	DCR|4VULN|3TLV|1DMG	168TLV|2458VULN|38DUST|7RCR|8BPWR|9LHND|aDMG
269	16115 11143	7	   	249.23	DCR|4VULN|3TLV|1DMG	168TLV|2458VULN|38DUST|7RCR|8BPWR|9CGEN|aDMG
270	16115 11163	7	   	249.23	DCR|4VULN|3TLV|1DMG	168TLV|2458VULN|38DUST|7RCR|8BPWR|9LWND|aDMG
271	16114 41123	7	   	249.23	DCR|4VULN|2TLV|1DMG	18TLV|2468VULN|358DUST|7RCR|8BPWR|9BEXP|aDMG
272	16115 12363	7	   	249.23	DCR|4VULN|3TLV|2CDMG	16aTLV|245aVULN|3DUST|7LHND|8RCR|9aCDMG|aBPWR
273	16115 13363	5	   	249.23	DCR|4VULN|3TLV|2CDMG	16aTLV|245aVULN|3DUST|7FEWX|8RCR|9aCDMG|aBPWR
274	16115 13363	6	   	249.23	DCR|4VULN|3TLV|2CDMG	16aTLV|245aVULN|3DUST|7FEWX|8RCR|9aCDMG|aBPWR
275	62324 13153	4	   	249.20	DCR|3VULN|3DMG|1CDMG	124DMG|24BPWR|3RPLT|5CDMG|6RCR|79aVULN|8LIT
276	62323 63352	1	 * 	249.15	ACR|3VULN|3DMG|2TLV|2CDMG|1SELL	159DMG|25TLV|3SELL|4RCR|59BPWR|69CDMG|7BBNT|89aVULN
277	11324 41522	9	   	248.97	DCR|2VULN|2TLV|2DUR|3CDMG	18TLV|246CDMG|34DUR|48BPWR|58VULN|78MLV|9RCR|aLIT
278	11642 33333	9	   	248.91	DCR|2VULN|3DMG|1TLV|2CDMG	1TLV|2aCDMG|3LHND|4LWND|59aDMG|6RCR|7FEWX|8aVULN|aBPWR
279	34612 63232	7	   	248.91	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	18FEWX|2TLV|348VULN|5CGEN|6DMG|78LIT|8BPWR|9RCR|aCDMG
280	11224 51343	6	   	248.55	ACR|3VULN|3DUR|3TLV|2CDMG	179TLV|29CDMG|3DMSP|4RCR|579VULN|678DUR|79BPWR|aLIT
281	12232 34642	8	   	248.50	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|29LWND|3CDMG|4CGEN|59DUR|6RCR|7LIT|89VULN|9BPWR|aDMG
282	13232 34642	8	   	248.50	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|29BEXP|3CDMG|4CGEN|59DUR|6RCR|7LIT|89VULN|9BPWR|aDMG
