0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63331 64333	10	 * 	300.45	橙4易伤3时间2伤害1攻速	135时间236a易伤36序列升级46伤害7敌人爆炸8核9攻速
217	63333 54332	7	   	271.76	橙4易伤3时间1伤害	138时间2369易伤3序列升级4伤害57金币生成a核
218	63361 22343	3	 * 	271.76	橙4易伤3时间2等级	139时间2349易伤39序列升级59等级6赏金邻近7额外掉落8平台a核
219	63321 15215	4	   	271.66	橙5易伤2时间1暴击	13时间23689易伤3序列升级4金币生成5双倍矿7暴击a核
220	63321 15215	5	   	271.66	橙5易伤2时间1暴击	13时间23689易伤3序列升级4金币生成5立即金币7暴击a核
221	63321 25215	6	   	271.66	橙5易伤2时间1暴击	13时间23689易伤3序列升级4金币生成5立即金币7暴击a核
222	63331 14226	4	   	271.66	橙4易伤3时间1伤害	13a时间2367易伤3序列升级4伤害5双倍矿8掉矿9核
223	63332 14226	5	   	271.66	橙4易伤3时间1伤害	13a时间2367易伤3序列升级4伤害5立即金币8掉矿9核
224	63332 51326	6	   	271.66	橙4易伤3时间1伤害	13a时间2378易伤3序列升级4伤害5立即金币6掉矿9核
225	63332 51326	7	   	271.66	橙4易伤3时间1伤害	13a时间2378易伤3序列升级4伤害5立即金币6掉矿9核
226	63326 21352	5	   	271.66	橙4易伤3时间2等级	138时间2367易伤3序列升级4金币生成59等级a核
227	63331 11436	7	   	271.66	橙4易伤3时间1伤害	135时间239a易伤3序列升级4伤害6挖尘7立即金币8核
228	63331 13432	7	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a额外掉落
229	63331 13433	7	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a基地爆炸
230	63331 13434	7	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a立即金币
231	63331 13436	5	   	271.66	橙4易伤3时间1伤害	135时间239a易伤3序列升级4伤害6掉矿7金币生成8核
232	63331 15432	6	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a额外掉落
233	63331 15433	6	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a基地爆炸
234	63331 22436	7	   	271.66	橙4易伤3时间1伤害	135时间239a易伤3序列升级4伤害6金币生成7掉矿8核
235	63331 22636	8	   	271.66	橙4易伤3时间1伤害	135时间239a易伤3序列升级4伤害6金币生成7掉矿8核
236	63331 33431	7	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6基地爆炸8核a掉矿
237	63331 35431	6	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6基地爆炸8核a掉矿
238	63331 43431	7	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6最后敌人8核a掉矿
239	63331 43433	7	   	271.66	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6最后敌人8核a挖尘
240	63332 51432	7	   	271.66	橙4易伤3时间1伤害	138时间2379易伤3序列升级4伤害5立即金币6掉矿a核
241	63332 51432	6	   	271.66	橙4易伤3时间1伤害	138时间2379易伤3序列升级4伤害5立即金币6掉矿a核
242	63333 25432	4	   	271.66	橙4易伤3时间1伤害	136时间2379易伤36序列升级4伤害56挖尘8核a额外掉落
243	63333 25433	4	   	271.66	橙4易伤3时间1伤害	136时间2379易伤36序列升级4伤害56挖尘8核a基地爆炸
244	63313 61323	5	   	271.56	橙5易伤2时间1暴击	13时间23678易伤3序列升级4掉矿5基地爆炸9核a暴击
245	63315 61323	4	   	271.56	橙5易伤2时间1暴击	13时间23678易伤3序列升级4掉矿5基地爆炸9核a暴击
246	63316 14223	4	   	271.56	橙5易伤2时间1暴击	13时间23567易伤3序列升级4掉矿8敌人爆炸9核a暴击
247	63323 61323	3	   	271.56	橙5易伤2时间1暴击	13时间23678易伤3序列升级4基地爆炸5掉矿9核a暴击
248	63331 13431	7	   	271.56	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a掉矿
249	63331 15431	6	   	271.56	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a掉矿
250	63333 25431	4	   	271.56	橙4易伤3时间1伤害	136时间2379易伤36序列升级4伤害56挖尘8核a掉矿
251	63321 14511	4	   	271.24	橙5易伤3时间	138时间23679易伤3序列升级4金币生成5双倍矿a核
252	63321 14511	5	   	271.24	橙5易伤3时间	138时间23679易伤3序列升级4金币生成5立即金币a核
253	63321 24511	6	   	271.24	橙5易伤3时间	138时间23679易伤3序列升级4金币生成5立即金币a核
254	13335 21314	5	   	271.21	橙4易伤1伤害1等级1时间1攻速	13敌人爆炸2367易伤3序列升级4伤害5攻速8时间9核a等级
255	53335 21314	5	   	271.21	橙4易伤1伤害1等级1时间1攻速	13最后敌人2367易伤3序列升级4伤害5攻速8时间9核a等级
256	63311 14511	5	   	271.14	橙5易伤3时间	138时间23679易伤3序列升级4掉矿5立即金币a核
257	63311 14511	4	   	271.14	橙5易伤3时间	138时间23679易伤3序列升级4掉矿5双倍矿a核
258	63311 24511	6	   	271.14	橙5易伤3时间	138时间23679易伤3序列升级4掉矿5立即金币a核
259	63331 26222	10	   	271.08	橙3易伤3时间1伤害1暴击	135时间239易伤3序列升级4伤害6金币生成7暴击8雷电a核
260	63311 32355	3	   	270.91	橙4易伤3时间1攻速	137时间237a易伤37序列升级4赏金塔57挖尘6核8攻速9雷电
261	13332 31353	10	 * 	270.71	橙4易伤3伤害	137敌人爆炸2379易伤37序列升级457伤害6全技能8挖尘a核
