0	Index      	 *	Score 	Summary	Detail	
1	65512 33313	 * 	266.98	ACR|DCR|2VULN|1DMG|1MLV|1AART	1TLV|2DMG|39RCR|4AART|5MLV|6LHND|7aVULN|8LWND
181	11314 33613	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3LWND|4AART|5RMIN|6DUST|7ERES|89RCR|aVULN
182	11316 11613	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3LWND|4AART|5DUST|6FEWX|7AELOIC|89RCR|aVULN
183	11316 21613	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3LWND|4AART|56DUST|7BEXP|89RCR|aVULN
184	11316 24611	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3aLWND|4AART|56DUST|7VULN|89RCR
185	11516 21611	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3VULN|4AART|56DUST|7BEXP|89RCR|aLWND
186	22224 16431	   	238.32	DCR|DCR|1VULN|1AART	1LHND|2DMSP|3DUST|4BEXP|5DUR|6AIRARM|7aRCR|8AART|9VULN
187	23241 26431	   	238.32	DCR|DCR|1VULN|1AART	16LHND|2BASHEA|3DUST|4DUR|5BEXP|7aRCR|8AART|9VULN
188	32224 16431	   	238.32	DCR|DCR|1VULN|1AART	1AME|2CGEN|3DUST|4BEXP|5DUR|6FLTHEA|7aRCR|8AART|9VULN
189	43122 16431	   	238.32	DCR|DCR|1VULN|1AART	1MDPS|2DUR|3ERES|4DMSP|5CGEN|6FLTHEA|7aRCR|8AART|9VULN
190	11512 24612	   	238.32	DCR|DCR|1VULN|1AART	17AAC|2DUR|3VULN|4AART|5LWND|6DUST|89RCR|aAME
191	11513 22612	   	238.32	DCR|DCR|1VULN|1AART|1MSE	1AAC|2DUR|3VULN|4AART|57BEXP|6DUST|89RCR|aMSE
192	11513 22613	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3VULN|4AART|57BEXP|6DUST|89RCR|aERES
193	11513 22616	   	238.32	DCR|DCR|1VULN|1AART	1AAC|2DUR|3VULN|4AART|57BEXP|6DUST|89RCR|aSPLJET
194	11513 24612	   	238.32	DCR|DCR|1VULN|1AART|1MSE	17AAC|2DUR|3VULN|4AART|5BEXP|6DUST|89RCR|aMSE
195	11513 24613	   	238.32	DCR|DCR|1VULN|1AART	17AAC|2DUR|3VULN|4AART|5BEXP|6DUST|89RCR|aERES
196	11116 24612	   	238.22	DCR|DCR|1VULN|1AART|1MSE	1AAC|2DUR|3LHND|4AART|56DUST|7VULN|89RCR|aMSE
197	11116 24613	   	238.22	DCR|DCR|1VULN|1AART	1AAC|2DUR|3LHND|4AART|56DUST|7VULN|89RCR|aERES
198	11316 24612	   	238.22	DCR|DCR|1VULN|1AART	1AAC|2DUR|3LWND|4AART|56DUST|7VULN|89RCR|aAME
199	11516 21612	   	238.22	DCR|DCR|1VULN|1AART|1MSE	1AAC|2DUR|3VULN|4AART|56DUST|7BEXP|89RCR|aMSE
200	11516 21613	   	238.22	DCR|DCR|1VULN|1AART	1AAC|2DUR|3VULN|4AART|56DUST|7BEXP|89RCR|aERES
201	24512 33613	   	238.17	DCR|DCR|1VULN|1AART|1ZMB	1LHND|2CGEN|3DUR|4AART|5LWND|6ERES|7ZMB|89RCR|aVULN
202	23234 25612	   	237.88	DCR|DCR|1VULN|1MLV	1LHND|2BASHEA|3DUST|4MLV|5TBNT|69RCR|7VULN|8FEWX|aRMIN
203	23234 25613	   	237.88	DCR|DCR|1VULN|1MLV	1LHND|2BASHEA|3DUST|4MLV|5TBNT|69RCR|7VULN|8FEWX|aLIT
204	51134 26213	   	237.88	DCR|DCR|1VULN|1MLV	18BEXP|2VULN|3SNITOX|4MLV|5TBNT|69RCR|7MDPS|aTLV
205	53134 26213	   	237.88	DCR|DCR|1VULN|1MLV	18BEXP|2BASHEA|3VULN|4MLV|5TBNT|69RCR|7MDPS|aTLV
206	23234 25611	   	237.78	DCR|DCR|1VULN|1MLV	1LHND|2BASHEA|3aDUST|4MLV|5TBNT|69RCR|7VULN|8FEWX
207	51134 26211	   	237.78	DCR|DCR|1VULN|1MLV	18BEXP|2VULN|3SNITOX|4MLV|5TBNT|69RCR|7MDPS|aDUST
208	51134 26212	   	237.78	DCR|DCR|1VULN|1MLV|1ZMB	18BEXP|2VULN|3SNITOX|4MLV|5TBNT|69RCR|7MDPS|aZMB
209	53134 26211	   	237.78	DCR|DCR|1VULN|1MLV	18BEXP|2BASHEA|3VULN|4MLV|5TBNT|69RCR|7MDPS|aDUST
210	53134 26212	   	237.78	DCR|DCR|1VULN|1MLV|1ZMB	18BEXP|2BASHEA|3VULN|4MLV|5TBNT|69RCR|7MDPS|aZMB
211	31216 21613	   	237.18	DCR|DCR|1DMG|1CDMG|1AART	1AME|2FEWX|3DMG|4AART|5DUR|6LWND|7CGEN|89RCR|aCDMG
212	31216 21615	   	237.18	DCR|DCR|1DMG|1ASPD|1AART	1AME|2FEWX|3DMG|4AART|5DUR|6LWND|7CGEN|89RCR|aASPD
213	53134 25211	 * 	237.13	DCR|4VULN|2MLV	18BEXP|2BASHEA|378aVULN|48MLV|5TBNT|6RCR|8BPWR|9BELT
214	35563 21121	 * 	237.11	ACR|DCR|2DMG|1VULN|2ZMB	1AME|25DMG|38RCR|45ZMB|5BPWR|6LWND|7BBNT|9DUR|aVULN
215	35563 31121	 * 	237.11	ACR|DCR|2DMG|1VULN|2ZMB	1AME|25DMG|38RCR|45ZMB|5BPWR|6BEXP|7BBNT|9DUR|aVULN
216	31216 11615	   	237.08	DCR|DCR|1DMG|1ASPD|1AART	1AME|2FEWX|3DMG|4AART|5DUR|6ERES|7BEXP|89RCR|aASPD
217	31216 23613	   	237.08	DCR|DCR|1DMG|1CDMG|1AART	1AME|2FEWX|3DMG|4AART|5DUR|6LWND|7ERES|89RCR|aCDMG
218	31216 23615	   	237.08	DCR|DCR|1DMG|1ASPD|1AART	1AME|2FEWX|3DMG|4AART|5DUR|6LWND|7ERES|89RCR|aASPD
219	35216 21613	   	237.08	DCR|DCR|1DMG|1CDMG|1AART	1AME|2DMG|3DUST|4AART|5DUR|6LWND|7CGEN|89RCR|aCDMG
220	53134 25223	   	237.03	DCR|4VULN|2MLV	18BEXP|2BASHEA|378aVULN|48MLV|5TBNT|6RCR|8BPWR|9DUST
221	11612 33636	   	236.98	DCR|DCR|1DMG|1ASPD|1AART	1AAC|2DUR|3AME|4AART|5MDPS|6VENFST|7aRCR|8ASPD|9DMG
222	35216 23613	   	236.98	DCR|DCR|1DMG|1CDMG|1AART	1AME|2DMG|3DUST|4AART|5DUR|6LWND|7ERES|89RCR|aCDMG
