0	Index      	 *	Score 	Summary	Detail	
1	25136 33333	 * 	194.58	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aDMG
165	25112 36512	   	168.33	DCR|2VULN|3CDMG|1AART|1DMG	13VULN|23aCDMG|3BPWR|4LWND|56LHND|7AART|8RCR|9DMG
166	25131 51421	   	168.32	DCR|3VULN|3CDMG|1DMG|1DUR	134VULN|235CDMG|3BPWR|6LHND|7RCR|8LWND|9DMG|aDUR
167	25131 31425	   	168.22	DCR|3VULN|3CDMG|1DMG|1ASPD	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LWND|9DMG|aASPD
168	31436 22323	   	168.08	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1MLV|2BEXP|3CDMG|4ASPD|5ZMB|6AART|7FLTHEA|8VULN|9RCR|aDMG
169	51435 22323	   	168.08	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1ZMB|2BEXP|3CDMG|4ASPD|5MLV|6AART|7FLTHEA|8VULN|9RCR|aDMG
170	25122 64313	   	167.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	13VULN|23CDMG|3BPWR|4DUST|5LHND|6CGEN|7DUR|8RCR|9AART|aDMG
171	25142 61313	   	167.93	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	13VULN|23CDMG|3BPWR|4LEGI|5LHND|6ASPD|7LWND|8RCR|9AART|aDMG
172	25136 62331	   	167.68	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6RMIN|7LHND|8RCR|9AART|aDMSP
173	25136 62332	   	167.68	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6RMIN|7LHND|8RCR|9AART|aLIT
174	25136 13331	   	167.58	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6LWND|7TLV|8RCR|9AART|aDMSP
175	25136 13332	   	167.58	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6LWND|7TLV|8RCR|9AART|aLIT
176	25136 13336	   	167.58	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6aLWND|7TLV|8RCR|9AART
177	23416 31242	   	167.55	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	19VULN|2TLV|3CDMG|4SELL|5RCR|6AART|7LIT|8ZMB|aDMG
178	25136 13335	   	167.48	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6LWND|7TLV|8RCR|9AART|aERES
179	25136 43331	   	167.48	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6DUST|7TLV|8RCR|9AART|aDMSP
180	25136 43332	   	167.48	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6DUST|7TLV|8RCR|9AART|aLIT
181	25323 32346	   	167.37	DCR|4VULN|1DMG|1CDMG|1DUR	147aVULN|2CDMG|3ERES|5DMG|6DUR|8RCR|9DUST
182	43226 21225	 * 	167.34	ACR|3DMG|1AART|3DUR|2ZMB	137DUR|29TLV|489DMG|5RCR|69ZMB|9BPWR|aAART
183	25323 41221	   	167.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	14VULN|27CDMG|3ERES|5DMG|6AART|8DUR|9RCR|aDMSP
184	25323 41222	   	167.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	14VULN|27CDMG|3ERES|5DMG|6AART|8DUR|9RCR|aLIT
185	25323 41225	   	167.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	14VULN|27CDMG|3ERES|5DMG|6AART|8DUR|9RCR|aBEXP
186	26423 41221	   	167.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	14VULN|2ERES|37CDMG|5DMG|6AART|8DUR|9RCR|aDMSP
187	26423 41222	   	167.23	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	14VULN|2ERES|37CDMG|5DMG|6AART|8DUR|9RCR|aLIT
188	25323 41224	   	167.13	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	14VULN|27CDMG|3ERES|5DMG|6AART|8DUR|9RCR|aMBVNT
189	21532 42315	   	167.08	DCR|3VULN|1AART|2CDMG|1ZMB	178VULN|2DUST|38CDMG|48LIT|5RMIN|6AART|8BPWR|9RCR|aZMB
190	25135 22311	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7RMIN|8RCR|9DMG|aFEWX
191	25135 22312	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7RMIN|8RCR|9DMG|aBEXP
192	25135 22313	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7RMIN|8RCR|9DMG|aLIT
193	25135 22314	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7RMIN|8RCR|9DMG|aCGEN
194	25135 22316	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7RMIN|8RCR|9DMG|aLWND
195	25135 24311	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7CGEN|8RCR|9DMG|aFEWX
196	25135 24312	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7CGEN|8RCR|9DMG|aBEXP
197	25135 24313	   	167.04	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7CGEN|8RCR|9DMG|aLIT
198	25132 63513	   	166.98	DCR|4VULN|1AART|2CDMG	1348VULN|23CDMG|3BPWR|5LIT|6ERES|7AART|9DUST|aRCR
199	25135 21311	   	166.94	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7ERES|8RCR|9DMG|aFEWX
200	25135 21312	   	166.94	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7ERES|8RCR|9DMG|aBEXP
201	25135 21313	   	166.94	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7ERES|8RCR|9DMG|aLIT
202	25135 21314	   	166.94	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7ERES|8RCR|9DMG|aCGEN
203	25135 21316	   	166.94	DCR|4VULN|1DMG|2CDMG	1346VULN|23CDMG|3BPWR|5MLV|7ERES|8RCR|9DMG|aLHND
204	25133 33512	   	166.94	DCR|4VULN|2CDMG|1DMG	134aVULN|23CDMG|3BPWR|5DUST|6LIT|7DMG|8RCR|9LWND
205	25133 33532	   	166.94	DCR|4VULN|2CDMG|1DMG	1349VULN|23CDMG|3BPWR|5DUST|6LIT|7DMG|8RCR|aLSRICY
206	25133 33535	   	166.94	DCR|4VULN|1DMG|2CDMG	1349VULN|23CDMG|3BPWR|5DUST|6aLIT|7DMG|8RCR
207	25133 33536	   	166.94	DCR|4VULN|1DMG|2CDMG	1349VULN|23CDMG|3BPWR|5DUST|6LIT|7DMG|8RCR|aMLV
208	25133 33531	   	166.84	DCR|4VULN|1DMG|2CDMG	1349VULN|23CDMG|3BPWR|5aDUST|6LIT|7DMG|8RCR
209	21631 11525	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	19VULN|26DUST|3ASPD|4AART|5LHND|7RCR|8CDMG|aDMG
210	21633 31525	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	19VULN|2DUST|3ASPD|4AART|5ERES|6MLV|7RCR|8CDMG|aDMG
211	25132 36342	   	166.75	DCR|5VULN|2CDMG|1DUR	1347aVULN|23CDMG|3BPWR|5LIT|6DUR|8RCR|9BELT
212	41124 21122	 * 	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2DUST|3LWND|4aVULN|5RCR|6ZMB|78DMG|9CDMG
213	25134 31261	   	166.66	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|238CDMG|3BPWR|5BEXP|6DUR|7RMIN|9RCR|aAART
214	21566 32112	 * 	166.52	ACR|4VULN|1CDMG|2DUR|1ZMB	168aVULN|2DUST|3CDMG|4RCR|57DUR|9ZMB
215	25266 32112	   	166.52	ACR|4VULN|1CDMG|2DUR|1ZMB	168aVULN|2CDMG|3DUST|4RCR|57DUR|9ZMB
216	25132 13215	   	166.38	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6MLV|7AART|8LEGI|9RCR|aZMB
217	32631 31525	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2CGEN|3ASPD|49VULN|5AART|6DUST|7RCR|8CDMG|aDMG
218	25132 63215	   	166.28	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6ERES|7AART|8LEGI|9RCR|aZMB
219	25131 31144	   	166.22	DCR|4VULN|3CDMG|1ZMB	1349VULN|235CDMG|3BPWR|6DUST|7RCR|8DLOT|aZMB
220	33631 31525	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2TLV|3ASPD|49VULN|5AART|6DUST|7RCR|8CDMG|aDMG
221	25641 22133	   	166.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2CDMG|3ZMB|46FEWX|5RCR|7MLV|9AART|aDMG
222	25641 32133	   	166.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2CDMG|3ZMB|4FEWX|5RCR|6RCVC|7MLV|9AART|aDMG
223	25641 23133	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2CDMG|3ZMB|46FEWX|5RCR|7ERES|9AART|aDMG
224	25641 33133	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2CDMG|3ZMB|4FEWX|5RCR|6RCVC|7ERES|9AART|aDMG
225	32632 64322	 * 	165.99	ACR|4VULN|1AART|2ASPD	16MLV|2CGEN|38ASPD|469aVULN|5RCR|6BPWR|7AART
226	25133 36312	 * 	165.75	DCR|5VULN|3CDMG	1347aVULN|23aCDMG|3aBPWR|5DUST|6LIT|8RCR|9aTLV
227	25133 36361	   	165.75	DCR|5VULN|3CDMG	13479VULN|23aCDMG|3BPWR|5DUST|6LIT|8RCR
228	22521 52333	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LWND|3CDMG|4CGEN|5ZMB|6DMSP|8RCR|9AART|aDMG
229	22552 34313	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2LWND|3CDMG|4LHND|5ZMB|6FEWX|8RCR|9AART|aDMG
230	25536 13333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	14VULN|2CDMG|3DMSP|5ZMB|6LWND|7TLV|8RCR|9AART|aDMG
231	25622 32333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2CDMG|3ZMB|4ERES|56LHND|8RCR|9AART|aDMG
232	25622 52333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2CDMG|3ZMB|4ERES|5LHND|6DMSP|8RCR|9AART|aDMG
233	25624 22333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2CDMG|3ZMB|4ERES|56BEXP|8RCR|9AART|aDMG
234	65321 32333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16LHND|2CDMG|3ERES|47VULN|5ZMB|8RCR|9AART|aDMG
235	65321 52333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3ERES|47VULN|5ZMB|6DMSP|8RCR|9AART|aDMG
236	66421 32333	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16LHND|2ERES|3CDMG|47VULN|5ZMB|8RCR|9AART|aDMG
237	21114 21124	   	165.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2DUST|3LWND|4FEWX|5RCR|6ZMB|78DMG|9CDMG|aAART
238	21114 21344	   	165.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	19VULN|2DUST|3LWND|4FEWX|5RCR|6ZMB|7DMG|8CDMG|aAART
239	22354 21124	   	165.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LWND|3FEWX|4DUST|5RCR|6ZMB|78DMG|9CDMG|aAART
240	23233 51631	   	165.25	DCR|3VULN|1AART|2DUR|1ZMB	19aVULN|2TLV|3aDUR|4AART|5ERES|6ZMB|7RCR|8aCGEN|aBPWR
241	23341 12121	   	165.12	DCR|3VULN|1AART|3CDMG	19aVULN|29aTLV|3CGEN|4MLV|5AART|6RPLT|79aCDMG|8RCR|9aBPWR
242	26341 12121	   	165.12	DCR|3VULN|1AART|3CDMG	19aVULN|29aERES|3CGEN|4MLV|5AART|6RPLT|79aCDMG|8RCR|9aBPWR
243	25131 31241	   	165.02	DCR|3VULN|3CDMG|1AART	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LIT|9AART|aCGEN
244	25131 31243	   	165.02	DCR|3VULN|3CDMG|1AART	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LIT|9AART|aRMIN
245	25131 31245	   	165.02	DCR|3VULN|3CDMG|1AART	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LIT|9AART|aFEWX
246	21563 31411	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2DUST|3CDMG|4RCR|5DMG|67BELT|8AART|aDUR
247	25263 31411	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CDMG|3DUST|4RCR|5DMG|67BELT|8AART|aDUR
248	25134 32313	   	164.92	DCR|4VULN|2CDMG|1ZMB|1DUR	1347VULN|23CDMG|3BPWR|5BEXP|6DUR|8RCR|9ZMB|aLWND
249	25134 32315	   	164.92	DCR|4VULN|2CDMG|1ZMB|1DUR	1347VULN|23CDMG|3BPWR|5aBEXP|6DUR|8RCR|9ZMB
250	25114 32314	   	164.92	DCR|4VULN|2CDMG|1ZMB|1DUR	1367VULN|23CDMG|3BPWR|4LWND|5BEXP|8RCR|9ZMB|aDUR
251	25131 31246	   	164.92	DCR|3VULN|3CDMG|1AART	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LIT|9AART|aSNIHEL
252	21563 33411	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|27DUST|3CDMG|4RCR|5DMG|6BELT|8AART|aDUR
253	25263 33411	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	19VULN|2CDMG|37DUST|4RCR|5DMG|6BELT|8AART|aDUR
254	25124 32314	   	164.82	DCR|4VULN|2CDMG|1ZMB|1DUR	1367VULN|23CDMG|3BPWR|4DUST|5BEXP|8RCR|9ZMB|aDUR
255	25132 36333	   	164.82	DCR|4VULN|2CDMG|1ZMB|1DUR	1347VULN|23CDMG|3BPWR|5LIT|6DUR|8RCR|9LEGI|aZMB
256	25133 12314	   	164.82	DCR|4VULN|2CDMG|1ZMB|1DUR	1347VULN|23CDMG|3BPWR|5DUST|6BEXP|8RCR|9ZMB|aDUR
257	25136 33352	   	164.82	DCR|4VULN|2CDMG|1ZMB|1DUR	134aVULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9RMIN
258	25135 33312	   	164.82	DCR|4VULN|2CDMG|1ZMB|1DUR	134aVULN|23CDMG|3BPWR|5MLV|6DUR|7TLV|8RCR|9ZMB
259	25132 35261	   	164.82	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9BEXP|aRPLT
260	25132 35263	   	164.82	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9BEXP|aCGEN
261	25132 35232	   	164.72	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9TLV|aCGEN
262	25132 35235	   	164.72	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9TLV|aLSRICY
263	25132 35252	   	164.72	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ERES|aCGEN
264	25132 25234	   	164.72	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9TLV|aDUR
265	25132 35231	   	164.62	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9TLV|aNUKE
266	25132 35233	   	164.62	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9TLV|aDUST
267	25132 35251	   	164.62	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ERES|aNUKE
268	25132 35253	   	164.62	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ERES|aDUST
269	25133 35234	   	164.62	DCR|3VULN|1AART|2CDMG|1DUR	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9TLV|aDUR
