0	Index      	 *	Score 	Summary	Detail	
1	31326 32146	 * 	182.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36aVULN|4CDMG|5ZMB|7AART|8RCR|9DMG
166	42633 15323	   	156.55	ACR|2VULN|1AART|1DMG|1ZMB	19LIT|2ERES|3RCR|4LHND|5DMG|6ZMB|78VULN|aAART
167	33221 61642	   	156.45	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	19DUST|2TLV|38VULN|4ASPD|5ZMB|6AART|7RCR|aCDMG
168	33221 61663	   	156.45	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1DUST|2TLV|38VULN|4ASPD|5ZMB|6AART|7RCR|9CDMG|aMBVNT
169	11443 43332	   	156.31	ACR|3VULN|1AART|1ASPD|1DUR	1LHND|2FEWX|3RCR|4DUR|5RCVC|679VULN|8AART|aASPD
170	31326 52135	   	156.10	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1DUST|2FEWX|3VULN|49CDMG|5ZMB|6AART|7DMSP|8RCR|aDMG
171	11431 23316	   	156.09	ACR|3VULN|1AART|1CDMG	1LHND|2FEWX|3RCR|47aVULN|5BEXP|6RCVC|8AART|9CDMG
172	11433 33316	   	156.09	ACR|3VULN|1AART|1CDMG	1LHND|2FEWX|3RCR|47aVULN|5RCVC|6BEXP|8AART|9CDMG
173	11433 43316	   	156.09	ACR|3VULN|1AART|1CDMG	1LHND|2FEWX|3RCR|46aVULN|5RCVC|7BEXP|8AART|9CDMG
174	11432 23316	   	155.99	ACR|3VULN|1AART|1CDMG	1LHND|2FEWX|3RCR|47aVULN|5DUST|6RCVC|8AART|9CDMG
175	31423 43316	   	155.99	ACR|3VULN|1AART|1CDMG	1DUST|2FEWX|3RCR|4LWND|5RCVC|67aVULN|8AART|9CDMG
176	31433 33316	   	155.99	ACR|3VULN|1AART|1CDMG	1DUST|2FEWX|3RCR|47aVULN|5RCVC|6BEXP|8AART|9CDMG
177	31433 43316	   	155.99	ACR|3VULN|1AART|1CDMG	1DUST|2FEWX|3RCR|46aVULN|5RCVC|7BEXP|8AART|9CDMG
178	31434 23316	   	155.99	ACR|3VULN|1AART|1CDMG	1DUST|2FEWX|3RCR|47aVULN|5LHND|6RCVC|8AART|9CDMG
179	11436 31236	   	155.94	ACR|3VULN|1DMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|489VULN|5ZMB|6ERES|7DMG|aDUR
180	13442 31423	   	155.77	ACR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LHND|25TLV|3CDMG|4RCR|6ASPD|79DMG|8AART|aZMB
181	11415 52233	   	155.68	ACR|2VULN|1AART|1DMG|1DUR	148LHND|24FEWX|3RCR|4BPWR|5AART|69VULN|7DUR|aDMG
182	31322 42146	   	155.68	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|25FEWX|3aVULN|4CDMG|6NUKE|7AART|8RCR|9DMG
183	33431 32146	   	155.68	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2TLV|3CDMG|4BEXP|59DMG|6CGEN|7AART|8RCR|aVULN
184	45311 23343	   	155.65	DCR|2DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|29DMG|3DUST|4DUR|5VULN|6ZMB|7ASPD|8RCR|aCDMG
185	33225 33366	   	155.57	DCR|3VULN|1DMG|2ASPD|1DUR	18DUST|2TLV|368VULN|48ASPD|5NUKE|7RCR|8BPWR|9DMG|aDUR
186	31326 42135	   	155.40	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	16DUST|2FEWX|3VULN|49CDMG|5ZMB|7AART|8RCR|aDMG
187	33443 51131	   	155.38	ACR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUST|2TLV|3CDMG|4RCR|5DUR|6AART|7DMG|8FEWX|9ASPD|aVULN
188	33443 51331	   	155.38	ACR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUST|2TLV|3CDMG|4RCR|5DUR|6AART|7DMG|8BEXP|9ASPD|aVULN
189	31435 12316	 * 	155.19	ACR|2VULN|1AART|2ZMB|1CDMG	1DUST|2FEWX|3RCR|4aVULN|56ZMB|7CGEN|8AART|9CDMG
190	11335 11436	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	1LHND|24FEWX|39VULN|5AART|6RCR|7LWND|8DUR|aDMG
191	11335 12233	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	18LHND|24FEWX|39VULN|5AART|6RCR|7DUR|aDMG
192	11335 15533	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	17LHND|24FEWX|39VULN|5AART|6RCR|8DUR|aDMG
193	11436 61111	   	155.12	ACR|3VULN|1CDMG|2DUR|1ZMB	19LHND|2FEWX|3RCR|479VULN|5ZMB|6CDMG|89DUR|9BPWR|aBEXP
194	11436 61113	   	155.12	ACR|3VULN|1CDMG|2DUR|1ZMB	19LHND|2FEWX|3RCR|479VULN|5ZMB|6CDMG|89DUR|9BPWR|aLWND
195	11436 51233	   	155.11	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB	19LHND|2FEWX|3RCR|4VULN|5ZMB|6AART|7CDMG|8LWND|aDMG
196	31335 33514	 * 	155.09	ACR|2VULN|2DMG|2CDMG	1DUST|2FEWX|38VULN|4BELT|5RCR|69CDMG|7aDMG
197	14232 15361	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	13LHND|2BASHEA|4RMIN|5AART|6RCR|7DMG|89VULN|aDUR
198	33225 33363	 * 	154.94	DCR|3VULN|3ASPD|1DMG	18DUST|2TLV|368VULN|48aASPD|5NUKE|7RCR|8BPWR|9DMG
199	31335 33131	   	154.75	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2FEWX|3VULN|4BELT|5RCR|6CDMG|7DMG|8ZMB|9DUR|aAART
200	11411 32526	   	154.61	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB	148LHND|24FEWX|3RCR|4BPWR|5ZMB|6CDMG|7AART|9DMG|aVULN
201	43354 31312	 * 	154.54	DCR|2VULN|1DMG|2CDMG|2ZMB	1aLIT|2RCVC|3DMG|4aZMB|56CDMG|7RCR|8ERES|9aVULN|aBPWR
202	11436 52331	   	154.54	ACR|3VULN|1AART|1ZMB	1aLHND|2FEWX|3RCR|479VULN|5ZMB|6AART|8ERES
203	21436 21316	   	154.44	ACR|2VULN|2DMG|1AART|1CDMG|1MSE	1MSE|2FEWX|3RCR|4aVULN|5TLV|67DMG|8AART|9CDMG
204	31335 33552	   	154.29	ACR|2VULN|1AART|1DMG|1CDMG	19DUST|2FEWX|38VULN|4BELT|5RCR|6CDMG|7DMG|aAART
205	31326 52116	   	154.25	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|3aVULN|4CDMG|5ZMB|6AART|7DMSP|8RCR|9DUR
206	33443 21152	   	154.18	ACR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUST|2TLV|3CDMG|4RCR|5DUR|6BEXP|7VULN|8AART|9DMG|aASPD
207	31435 13111	   	153.97	ACR|2VULN|3ZMB|1AART	19DUST|27FEWX|3RCR|49VULN|569ZMB|8RPLT|9BPWR|aAART
208	12413 51262	 * 	153.97	DCR|4VULN|1CDMG|1ZMB	1LHND|2LIT|3FEWX|468aVULN|5CDMG|7RCR|9ZMB
209	11436 31253	   	153.93	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|48VULN|5ZMB|6ERES|7DMG|9DUR|aCDMG
210	11436 61323	   	153.93	ACR|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2FEWX|3RCR|47VULN|5ZMB|6CDMG|8NUKE|9ASPD|aDMG
211	42613 13343	   	153.93	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR	1LIT|2ERES|3RCR|4DUR|59DMG|6ZMB|7LHND|8VULN|aCDMG
212	42613 15313	   	153.93	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2ERES|3RCR|4DUR|5DMG|6ZMB|78VULN|9BEXP|aCDMG
213	42613 15321	   	153.93	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR	19LIT|2ERES|3RCR|4DUR|5DMG|6ZMB|78VULN|aCDMG
214	11411 25316	   	153.91	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB	14LHND|24FEWX|3RCR|4BPWR|5ZMB|6DUST|7DMG|8AART|9CDMG|aVULN
215	43353 42222	 * 	153.87	DCR|3DMG|1AART|2ZMB	1LIT|2RCVC|368DMG|4aZMB|5BELT|7RCR|9AART
216	11456 21332	   	153.78	ACR|2DMG|1AART|1VULN|1DUR	1LHND|2FEWX|3RCR|4CGEN|5DUR|67DMG|8AART|9VULN|aRMIN
217	11415 32343	 * 	153.78	ACR|2AART|2DMG|1CDMG	14LHND|24FEWX|3RCR|4BPWR|56AART|7RPLT|89DMG|aCDMG
218	42613 11235	 * 	153.73	ACR|3ZMB|1VULN|1DMG|1CDMG|1DUR	1LIT|2ERES|3RCR|4DUR|5DMG|679ZMB|8VULN|aCDMG
219	31435 41233	   	153.71	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2FEWX|3RCR|4VULN|5ZMB|6TLV|7DMG|8AART|9RPLT|aCDMG
220	31436 11233	   	153.71	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6ZMB|7DMG|8AART|9RPLT|aCDMG
221	31436 25233	   	153.71	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6DMG|7ZMB|8AART|9RPLT|aCDMG
222	11456 21331	   	153.68	ACR|2DMG|1AART|1VULN|1DUR	1LHND|2FEWX|3RCR|4CGEN|5DUR|67DMG|8AART|9VULN|aTLV
223	11456 21333	   	153.68	ACR|2DMG|1AART|1VULN|1DUR	1LHND|2FEWX|3RCR|4CGEN|5DUR|67DMG|8AART|9VULN|aERES
224	31423 41233	   	153.68	ACR|2DMG|1AART|1VULN|1DUR	1DUST|2FEWX|3RCR|4LWND|5RCVC|6VULN|7aDMG|8AART|9DUR
225	31326 32112	   	153.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DUR|aLWND
226	31326 32113	   	153.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DUR|aRCVC
227	31326 32114	   	153.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DUR|aLHND
228	31326 32115	   	153.65	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DUR|aRPLT
229	31326 32155	   	153.65	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9CGEN|aASPD
230	45511 13222	   	153.61	DCR|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2DMG|3CDMG|4ASPD|5LHND|6RCR|7BEXP|8aVULN|9ZMB
231	45513 13222	   	153.61	DCR|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2DMG|3CDMG|4ASPD|5FEWX|6RCR|7BEXP|8aVULN|9ZMB
232	33411 13412	   	153.60	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1DUST|2TLV|39CDMG|4VULN|5DMG|6BELT|7ZMB|8RCR|aAART
233	35411 13412	   	153.60	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1DUST|2ERES|39CDMG|4VULN|5DMG|6BELT|7ZMB|8RCR|aAART
234	11436 14111	   	153.56	ACR|3VULN|3ZMB|1DUR	19LHND|2FEWX|3RCR|479VULN|569ZMB|8RPLT|9BPWR|aDUR
235	31326 32111	   	153.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|9DUR|aTLV
236	31326 32122	   	153.55	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	19DUST|2FEWX|36VULN|4CDMG|5ZMB|7AART|8RCR|aASPD
237	31326 42116	   	153.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	16DUST|2FEWX|3aVULN|4CDMG|5ZMB|7AART|8RCR|9DUR
238	13443 31262	   	153.44	ACR|3VULN|2CDMG|1ZMB|1DUR	1LHND|2TLV|39CDMG|4RCR|5DUR|678VULN|aZMB
239	11436 51112	 * 	153.43	ACR|2AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|4VULN|5ZMB|6aAART|7CDMG|8DUR|9LIT
240	42611 22231	   	153.37	ACR|3VULN|1AART|2DUR	1LIT|2ERES|3RCR|46DUR|589VULN|7RCVC|aAART
241	42611 25331	   	153.37	ACR|3VULN|1AART|2DUR	18LIT|2ERES|3RCR|46DUR|579VULN|aAART
242	31435 14112	   	153.36	ACR|3VULN|3ZMB|1DUR	19DUST|2FEWX|3RCR|479VULN|569ZMB|8RPLT|9BPWR|aDUR
243	11436 43331	   	153.34	ACR|3VULN|1AART|1ZMB	1aLHND|2FEWX|3RCR|479VULN|5ZMB|6TLV|8AART
244	31435 62331	   	153.34	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|469VULN|5ZMB|7CGEN|8AART|aLHND
245	31435 62332	   	153.34	ACR|3VULN|1AART|1ZMB	1DUST|2aFEWX|3RCR|469VULN|5ZMB|7CGEN|8AART
246	31435 62333	   	153.34	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|469VULN|5ZMB|7CGEN|8AART|aLIT
247	42611 15221	   	153.27	ACR|3VULN|1AART|2DUR	1LIT|26ERES|3RCR|49DUR|578VULN|aAART
248	11335 14522	 * 	153.26	DCR|2AART|2VULN|1CDMG	1LHND|24FEWX|38VULN|59AART|6RCR|7CGEN|aCDMG
249	13443 34123	 * 	153.24	ACR|1AART|1VULN|1DMG|1CDMG|2DUR	1LHND|2TLV|3CDMG|4RCR|5aDUR|6VULN|7AART|8RCVC|9DMG
250	31435 43331	   	153.24	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|479VULN|5ZMB|6TLV|8AART|aLHND
251	31435 43332	   	153.24	ACR|3VULN|1AART|1ZMB	1DUST|2aFEWX|3RCR|479VULN|5ZMB|6TLV|8AART
252	31435 43333	   	153.24	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|479VULN|5ZMB|6TLV|8AART|aLIT
253	31436 13331	   	153.24	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|479VULN|5TLV|6ZMB|8AART|aLHND
254	31436 13332	   	153.24	ACR|3VULN|1AART|1ZMB	1DUST|2aFEWX|3RCR|479VULN|5TLV|6ZMB|8AART
255	31436 13333	   	153.24	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|479VULN|5TLV|6ZMB|8AART|aLIT
256	31436 13334	   	153.14	ACR|3VULN|1AART|1ZMB	1DUST|2FEWX|3RCR|479VULN|5TLV|6ZMB|8AART|aERES
257	11434 15231	   	153.08	ACR|2VULN|1AART|1DMG|1DUR	1LHND|2FEWX|3RCR|4aVULN|5LEGI|6CGEN|7DMG|8DUR|9AART
258	11434 35231	   	153.08	ACR|2VULN|1AART|1DMG|1DUR	1LHND|2FEWX|3RCR|4aVULN|5LEGI|6MLV|7DMG|8DUR|9AART
259	31431 23533	   	153.08	ACR|2VULN|1AART|1DMG|1DUR	1DUST|2FEWX|3RCR|48VULN|5BEXP|6DUR|7CGEN|9AART|aDMG
260	31326 32131	   	153.03	DCR|2VULN|1AART|2CDMG|1ZMB	1DUST|2FEWX|36VULN|49CDMG|5ZMB|7AART|8RCR|aLHND
261	31326 32134	   	153.03	DCR|2VULN|1AART|2CDMG|1ZMB	1DUST|2FEWX|36VULN|49CDMG|5ZMB|7AART|8RCR|aLIT
262	31326 32136	   	153.03	DCR|2VULN|1AART|2CDMG|1ZMB	1DUST|2FEWX|36VULN|49CDMG|5ZMB|7AART|8RCR|aLWND
263	33221 33464	   	153.02	DCR|3VULN|1DMG|1ZMB|1ASPD	1DUST|2TLV|368VULN|4ASPD|5ZMB|7RCR|9DMG|aLHND
264	33221 33465	   	153.02	DCR|3VULN|1DMG|1ZMB|1ASPD	1DUST|2TLV|368VULN|4ASPD|5ZMB|7RCR|9DMG|aBEXP
265	31426 22231	   	152.98	ACR|2VULN|1AART|1DMG|1DUR	1DUST|2FEWX|3RCR|4LWND|5TLV|6DMG|7aVULN|8DUR|9AART
266	31431 26533	   	152.98	ACR|2VULN|1AART|1DMG|1DUR	1DUST|2FEWX|3RCR|47VULN|5BEXP|6DUR|8TLV|9AART|aDMG
267	31436 23231	   	152.98	ACR|2VULN|1AART|1DMG|1DUR	1DUST|2FEWX|3RCR|4aVULN|5TLV|6DMG|7LHND|8DUR|9AART
268	31436 26231	   	152.98	ACR|2VULN|1AART|1DMG|1DUR	1DUST|2FEWX|3RCR|4aVULN|5TLV|6DMG|7LWND|8DUR|9AART
269	31326 32123	   	152.93	DCR|2VULN|1AART|2CDMG|1ZMB	19DUST|2FEWX|36VULN|4aCDMG|5ZMB|7AART|8RCR
270	33444 23222	 * 	152.88	ACR|2DMG|1AART|2CDMG|1DUR	1aDUST|26aTLV|36CDMG|4RCR|5AART|6aBPWR|7RCVC|8DUR|9aDMG
271	11436 31231	 * 	152.85	ACR|3VULN|1DMG|2ZMB	1LHND|2FEWX|3RCR|489VULN|5aZMB|6ERES|7DMG
272	11443 43313	 * 	152.66	ACR|2VULN|1AART|1CDMG|2DUR	1LHND|2FEWX|3RCR|4aDUR|5RCVC|67VULN|8AART|9CDMG
273	11436 51211	   	152.63	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|4aVULN|5ZMB|6AART|7CDMG|8LWND|9LIT
274	11436 51222	   	152.63	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8aLWND
275	11436 51333	   	152.63	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8RPLT|aBELT
276	11436 51221	   	152.53	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8LWND|aTLV
277	11436 51331	   	152.53	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8RPLT|aTLV
278	11436 51332	   	152.53	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8RPLT|aDUST
279	43346 23321	   	152.45	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1LIT|2RCVC|36DMG|4LSRHEA|5ZMB|7CDMG|8RCR|9AART|aDUR
280	43313 31236	   	152.45	ACR|2DMG|1AART|1VULN|1ZMB	16LIT|2RCVC|34DMG|5RCR|7ZMB|8FEWX|9AART|aVULN
281	43313 61236	   	152.45	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|2RCVC|34DMG|5RCR|6DMSP|7ZMB|8FEWX|9AART|aVULN
282	11436 52311	   	152.43	ACR|2VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3RCR|47VULN|5ZMB|6AART|8aERES|9CDMG
