0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65312 26312	8	 * 	285.29	DCR|3VULN|3DMG|2DUR|1TLV	127DMG|28BPWR|368VULN|48DUR|5MBVNT|9TLV|aRCR
172	62253 33612	1	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	17DMG|267VULN|3CGEN|4CDMG|57TLV|7BPWR|8DUST|9FEWX|aRCR
173	12245 14312	1	 * 	256.17	DCR|3VULN|2ASPD|2TLV|1DUR|1CDMG	17TLV|247VULN|3CGEN|5CDMG|67ASPD|7BPWR|8DUR|9FEWX|aRCR
174	12254 34312	1	   	256.17	DCR|3VULN|2ASPD|2TLV|1DUR|1CDMG	17TLV|267VULN|3CGEN|4CDMG|57ASPD|7BPWR|8DUR|9FEWX|aRCR
175	65332 22213	4	   	256.17	DCR|3VULN|3DMG|1AART	124DMG|2BPWR|358VULN|6LHND|7AART|9LIT|aRCR
176	65332 32213	4	   	256.17	DCR|3VULN|3DMG|1AART	124DMG|2BPWR|358VULN|6AART|7BEXP|9LIT|aRCR
177	65332 33213	4	   	256.17	DCR|3VULN|3DMG|1AART	124DMG|2BPWR|358VULN|6AART|7LHND|9LIT|aRCR
178	65331 52213	4	   	256.17	DCR|3VULN|3DMG|1AART	124DMG|2BPWR|368VULN|5LWND|7AART|9LIT|aRCR
179	13222 14161	9	   	256.16	DCR|3VULN|2DMG|2TLV|1CDMG	1aTLV|2CDMG|3aERES|4MLV|56DMG|78aVULN|9RCR|aBPWR
180	13261 14161	9	   	256.16	DCR|3VULN|2DMG|2TLV|1CDMG	1aTLV|2CDMG|3aERES|46DMG|5CGEN|78aVULN|9RCR|aBPWR
181	65332 34113	4	   	256.07	DCR|3VULN|3DMG|1AART	124DMG|2BPWR|357VULN|6AART|8DUST|9LIT|aRCR
182	16325 31122	2	   	255.93	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	1aTLV|2CGEN|3BELT|4aVULN|5DMG|6CDMG|7RCR|89aDUR|aBPWR
183	63354 12417	3	   	255.91	DCR|2VULN|3DMG|2TLV|1DUR	169DMG|2MBVNT|3CGEN|49VULN|5DUR|7LIT|89TLV|9BPWR|aRCR
184	63374 12417	4	   	255.91	DCR|2VULN|3DMG|2TLV|1DUR	169DMG|2MBVNT|3CGEN|49VULN|5DUR|7LIT|89TLV|9BPWR|aRCR
185	63713 32643	4	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	13DMG|2MBVNT|3BPWR|458DUR|6RCR|7aVULN|9TLV
186	12325 61122	2	   	255.83	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	1aTLV|2ERES|3BELT|4aVULN|5DMG|6CDMG|7RCR|89aDUR|aBPWR
187	63113 82714	2	   	255.33	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1DMG|2MBVNT|347VULN|5DUR|6RCR|8AART|9LIT|aTLV
