0	Index      	 *	Score 	Summary	Detail	
1	42232 36336	 * 	199.95	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|79BEXP|8DMG|aCDMG
161	42436 33213	   	171.08	ACR|2BEXP|1VULN|1ASPD|1DMG	1MDPS|2DUST|3FEWX|4RCR|57BEXP|6VULN|8DMSP|9DMG|aASPD
162	42232 33121	 * 	171.02	ACR|4VULN|1ASPD|1AART	1MDPS|29DUST|3689VULN|4RCR|5AART|79AME|9BPWR|aASPD
163	42232 33131	   	171.02	ACR|4VULN|1ASPD|1AART	1MDPS|2DUST|3689VULN|4RCR|5AART|7AME|aASPD
164	42232 34121	   	171.02	ACR|4VULN|1ASPD|1AART	1MDPS|29DUST|3689VULN|4RCR|5AART|79ERES|9BPWR|aASPD
165	42232 34131	   	171.02	ACR|4VULN|1ASPD|1AART	1MDPS|2DUST|3689VULN|4RCR|5AART|7ERES|aASPD
166	42231 21265	   	170.98	ACR|1VULN|2BEXP|1ASPD|1DMG	1MDPS|2DUST|3VULN|4RCR|5TLV|6aBEXP|7RPLT|8ASPD|9DMG
167	42436 31331	   	170.98	ACR|2BEXP|1VULN|1ASPD|1DMG	1MDPS|2DUST|3FEWX|4RCR|58BEXP|6VULN|7DMG|9ASPD|aERES
168	42236 31363	 * 	170.79	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DUST|3VULN|4RCR|5CDMG|6AIRHEL|7ZMB|8DMG|9BEXP|aASPD
169	42232 36325	   	170.77	ACR|2VULN|1DMG|1AART|1BEXP	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|8DMG|9FEWX|aRCVC
170	42231 23236	   	170.77	ACR|1BASARM|1VULN|1BEXP|1AAC	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9LWND|aAAC
171	42231 23246	   	170.67	ACR|1BASARM|1VULN|1BEXP|1AAC	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9LEGI|aAAC
172	42232 22162	 * 	170.55	ACR|2VULN|3AART	1MDPS|2DUST|38VULN|4RCR|57aAART|6LWND|9AIRARM
173	42236 13212	   	170.39	ACR|2ASPD|1VULN|2CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|56CDMG|7LHND|89ASPD|aAAC
174	13234 36512	   	170.37	DCR|1BASARM|1VULN|1DMG|1AART|1CDMG	1RMIN|2ZMB|3AEMAG|4VULN|5CDMG|6AART|7CGEN|8DMG|9BASARM|aRCR
175	42232 51513	   	170.36	ACR|1BASARM|1VULN|1AART	1MDPS|29DUST|3VULN|4RCR|5AART|6FEWX|7BELT|8ERES|aBASARM
176	42232 51533	   	170.36	ACR|1BASARM|1VULN|1AART	1MDPS|2DUST|3VULN|4RCR|5AART|6FEWX|7BELT|8ERES|9AEMAG|aBASARM
177	42231 25233	 * 	170.32	ACR|3ASPD|1VULN|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7MLV|89aASPD
178	42234 13262	   	170.20	ACR|2VULN|2ASPD|1CDMG	1MDPS|2aDUST|3aVULN|4RCR|5RCVC|6CDMG|7LHND|8aASPD|9MBVNT|aBPWR
179	42231 55121	   	170.02	ACR|4VULN|1ASPD|1AART	1MDPS|29DUST|3789VULN|4RCR|59TLV|6AART|9BPWR|aASPD
180	42231 55131	   	170.02	ACR|4VULN|1ASPD|1AART	1MDPS|2DUST|3789VULN|4RCR|5TLV|6AART|aASPD
