0	Index      	 *	Score 	Summary	Detail	
1	56333 33432	 * 	189.79	ACR|3DMG|2VULN|1AART|1ZMB	15aVENICY|2NUKE|35aDMG|4RCR|5aBPWR|6AART|7FEWX|8ZMB|9aVULN
163	56333 31361	   	161.10	ACR|3DMG|1AART|1VULN	15VENICY|2NUKE|35aDMG|4RCR|5BPWR|6AART|7LHND|8VULN|9FEWX
164	61412 51133	   	161.03	DCR|2DMG|1AART|1VULN|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8VULN|9LHND|aDUST
165	61412 52112	   	161.03	DCR|2DMG|1AART|1VULN|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7TLV|89LWND|aVULN
166	61412 52132	   	161.03	DCR|2DMG|1AART|1VULN|1ZMB	149CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7TLV|8LWND|aVULN
167	61313 23551	 * 	161.01	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	14CGEN|2AART|34ASPD|4BPWR|5DUR|68VULN|7LWND|9DMG|aRCR
168	61413 31633	   	161.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	14CGEN|2AART|34DMG|4BPWR|5DUR|6DUST|7CDMG|8VULN|9LHND|aRCR
169	61622 35333	   	161.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|38VULN|4CDMG|5FEWX|6DMG|7DUR|9LHND|aRCR
170	61624 31333	   	161.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|38VULN|4CDMG|5DUR|6DMG|7BEXP|9LHND|aRCR
171	56333 32116	   	161.00	ACR|3DMG|1AART|1VULN	15VENICY|2NUKE|359DMG|4RCR|5BPWR|6AART|7ERES|8CGEN|aVULN
172	61312 52212	 * 	160.93	DCR|2DMG|1AART|3ASPD|1ZMB	14aCGEN|2AART|348ASPD|4aBPWR|5ZMB|6RCR|7aTLV|9aDMG
173	61312 56212	   	160.93	DCR|2DMG|1AART|3ASPD|1ZMB	14aCGEN|2AART|348ASPD|4aBPWR|5ZMB|6RCR|7aERES|9aDMG
174	61412 52342	   	160.93	DCR|2DMG|1AART|1VULN|1ZMB	149CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7TLV|8MBVNT|aVULN
175	61412 53322	   	160.93	DCR|2DMG|1AART|1VULN|1ZMB	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8ERES|9DUST|aVULN
176	56333 32216	   	160.90	ACR|3DMG|1AART|1VULN	15VENICY|2NUKE|359DMG|4RCR|5BPWR|6AART|7ERES|8TLV|aVULN
177	53116 33432	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1VENICY|2AART|3RMIN|48VULN|5LIT|6RCR|7DUST|9DMG|aZMB
178	61423 62321	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2AART|3DMG|4DUST|5ERES|6RCR|78VULN|9DMSP|aZMB
179	61512 22843	 * 	160.73	DCR|3ZMB|1AART|1DMG|1VULN	14CGEN|2AART|348ZMB|4BPWR|5MBVNT|6RCR|7ERES|9DMG|aVULN
180	35341 13513	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2ASPD|3RPLT|4LHND|59VULN|6ZMB|7RCR|8DMG|aAART
181	35361 13513	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2ASPD|3RPLT|4LWND|59VULN|6ZMB|7RCR|8DMG|aAART
182	61222 26161	   	159.97	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	17CGEN|2AART|3DUR|4CDMG|5FEWX|6RCR|8ASPD|9DMG|aVULN
183	61226 25333	   	159.97	DCR|1AART|1DMG|1VULN|1CDMG|1ASPD|1DUR	1CGEN|2AART|3DUR|4CDMG|5LWND|6RCR|7ASPD|8VULN|9LSRICY|aDMG
184	62521 16221	   	159.88	DCR|2VULN|2AART|1DMG|1ZMB	1CGEN|2DMG|36VULN|4ZMB|5LWND|79AART|8BEXP|aRCR
185	61223 26161	   	159.87	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	17CGEN|2AART|3DUR|4CDMG|5DUST|6RCR|8ASPD|9DMG|aVULN
186	61624 21311	 * 	159.84	DCR|2AART|1VULN|2CDMG|3DUR	1CGEN|28AART|3VULN|49CDMG|57aDUR|6RCR
