0	Index      	 *	Score 	Summary	Detail	
1	24611 22253	 * 	207.13	DCR|4VULN|2DMG|3ZMB|1DUR|1ASPD	1379VULN|239ZMB|39BPWR|4DUR|5BEXP|69DMG|8RCR|aASPD
173	13533 31142	 * 	179.07	DCR|3VULN|2AART|1CDMG|1ZMB|1SELL	1SELL|28AART|39aVULN|4ZMB|5CDMG|6MLV|7RCR
174	13535 31142	 * 	179.07	DCR|3VULN|2AART|1CDMG|1ZMB|1SELL	1SELL|28AART|39aVULN|4ZMB|5CGEN|6CDMG|7RCR
175	23515 21262	   	179.07	DCR|3VULN|2DMG|1AART	17aVULN|27BEXP|3ERES|4FEWX|57DMG|6RCR|7BPWR|8DUST|9AART
176	24153 22251	   	179.05	DCR|3VULN|2DMG|3ZMB	179VULN|249ZMB|3aBEXP|5LWND|69DMG|8RCR|9BPWR
177	13135 16433	   	178.97	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1SELL|2AART|3DUR|4ZMB|5CGEN|6VULN|7RCR|89DMG|aCDMG
178	13322 16433	   	178.97	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1SELL|2AART|3CGEN|4ZMB|5DUR|6VULN|7RCR|89DMG|aCDMG
179	21115 21262	   	178.97	DCR|3VULN|2DMG|1AART	17aVULN|27ERES|3BEXP|4FEWX|57DMG|6RCR|7BPWR|8DUST|9AART
180	24153 22252	   	178.95	DCR|3VULN|2DMG|3ZMB	179VULN|249ZMB|3BEXP|5LWND|69DMG|8RCR|9BPWR|aDUST
181	21323 35662	   	178.89	ACR|3DMG|2VULN|1AART	1aVULN|2ERES|356DMG|4RCR|7FEWX|8RCVC|9AART
182	24562 42234	   	178.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|2ZMB|3MBVNT|4RCR|58BEXP|6DMSP|78DMG|8BPWR|9ASPD|aAART
183	24563 32234	   	178.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|2ZMB|3MBVNT|4RCR|5DMSP|68LWND|78DMG|8BPWR|9ASPD|aAART
184	23325 21643	   	178.70	DCR|3DMG|2VULN|2DUR|1ZMB	17VULN|27BEXP|39DUR|4MLV|57aDMG|6RCR|7BPWR|8ZMB
185	24564 42234	   	178.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|2ZMB|3MBVNT|4RCR|58DUST|6DMSP|78DMG|8BPWR|9ASPD|aAART
186	21323 34461	   	178.57	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	1VULN|2ERES|356DMG|4RCR|78DUR|9AART|aASPD
187	31323 66361	   	178.57	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	17DUR|2ERES|358DMG|4RCR|6VULN|9AART|aASPD
188	23535 21533	   	178.57	DCR|3VULN|2DMG|1AART	179VULN|27BEXP|3ERES|4LHND|57DMG|6RCR|7BPWR|8LIT|aAART
189	23352 22254	   	178.55	DCR|3VULN|3DMG|2DUR	179VULN|24BEXP|39DUR|5RMIN|69aDMG|8RCR|9BPWR
190	34223 24262	   	178.54	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2ZMB|3ERES|4RCR|569DMG|7AART|8CGEN|aVULN
191	24631 36333	   	178.50	DCR|3VULN|3ZMB|1DMG|2DUR	134VULN|234ZMB|34BPWR|5LIT|6RCR|7aDUR|8MGNLIT|9DMG
192	21135 21533	   	178.47	DCR|3VULN|2DMG|1AART	179VULN|27ERES|3BEXP|4LHND|57DMG|6RCR|7BPWR|8LIT|aAART
193	24423 31631	   	178.39	ACR|4VULN|2DMG|1ZMB	1589VULN|2ZMB|37RMIN|4RCR|6aDMG
194	24423 32631	   	178.39	ACR|4VULN|2DMG|1ZMB	1589VULN|2ZMB|3RMIN|4RCR|6aDMG|7DMSP
195	21313 36662	   	178.37	DCR|3DMG|2VULN|1AART	1aVULN|2ERES|356DMG|4DUST|7RCR|8RCVC|9AART
196	21322 22262	   	178.19	ACR|3DMG|2VULN|1AART	1aVULN|2ERES|369DMG|4RCR|5RMIN|7AART|8CGEN
197	21323 52262	   	178.19	ACR|3DMG|2VULN|1AART	1aVULN|2ERES|359DMG|4RCR|6RMIN|7AART|8CGEN
198	31325 22266	   	178.17	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	19DUR|2ERES|369DMG|4RCR|5ASPD|7VULN|89BEXP|9BPWR|aAART
199	31325 22366	   	178.17	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	19DUR|2ERES|369DMG|4RCR|5ASPD|7VULN|89FEWX|9BPWR|aAART
200	21322 22542	   	178.09	ACR|3VULN|2DMG|1AART	19aVULN|28ERES|36DMG|4RCR|5RMIN|7AART
201	21323 52542	   	178.09	ACR|3VULN|2DMG|1AART	19aVULN|28ERES|35DMG|4RCR|6RMIN|7AART
202	24562 32231	   	177.94	ACR|3VULN|2DMG|2ASPD|1ZMB	168VULN|2ZMB|3MBVNT|4RCR|58BEXP|78DMG|8BPWR|9aASPD
203	21323 31651	   	177.84	ACR|3DMG|2VULN|1CDMG|1ZMB	17VULN|27ERES|356DMG|4RCR|7BPWR|8ZMB|9CDMG|aBEXP
204	21323 31654	   	177.84	ACR|3DMG|2VULN|1CDMG|1ZMB	17VULN|27ERES|356DMG|4RCR|7BPWR|8ZMB|9CDMG|aLHND
205	21323 31656	   	177.84	ACR|3DMG|2VULN|1CDMG|1ZMB	17VULN|27ERES|356DMG|4RCR|7BPWR|8ZMB|9CDMG|aLWND
206	34133 22254	   	177.75	DCR|3DMG|2VULN|2ZMB|2DUR	19DUR|29ZMB|3BEXP|47VULN|5DMSP|69aDMG|8RCR|9BPWR
207	34133 22255	   	177.75	DCR|3VULN|2DMG|2ZMB|2DUR	19DUR|29ZMB|3BEXP|47aVULN|5DMSP|69DMG|8RCR|9BPWR
208	21323 64612	   	177.75	ACR|3VULN|2DMG|1AART|1SELL	168VULN|2ERES|35DMG|4RCR|7SELL|9RCVC|aAART
209	21323 31652	   	177.74	ACR|3DMG|2VULN|1CDMG|1ZMB	17VULN|27ERES|356DMG|4RCR|7BPWR|8ZMB|9CDMG|aDUST
210	21323 31655	   	177.74	ACR|3DMG|2VULN|1CDMG|1ZMB	17VULN|27aERES|356DMG|4RCR|7BPWR|8ZMB|9CDMG
211	24564 32231	   	177.74	ACR|3VULN|2DMG|2ASPD|1ZMB	168VULN|2ZMB|3MBVNT|4RCR|58DUST|78DMG|8BPWR|9aASPD
212	32421 26252	   	177.72	DCR|3VULN|2DMG|3DUR|1ZMB	179DUR|2DMSP|39aVULN|4ZMB|5BEXP|69DMG|8RCR|9BPWR
213	21322 21142	   	177.59	ACR|3VULN|2DMG|1AART	19aVULN|2ERES|36DMG|4RCR|57RMIN|8AART
214	21323 51142	   	177.59	ACR|3VULN|2DMG|1AART	19aVULN|2ERES|35DMG|4RCR|67RMIN|8AART
215	21322 25142	   	177.49	ACR|3VULN|2DMG|1AART	19aVULN|27ERES|36DMG|4RCR|5RMIN|8AART
216	21323 36618	   	177.49	ACR|3DMG|2VULN|1AART	1aVULN|2ERES|356DMG|4RCR|7RMIN|8AART|9MBVNT
217	21323 55142	   	177.49	ACR|3VULN|2DMG|1AART	19aVULN|27ERES|35DMG|4RCR|6RMIN|8AART
218	13281 14641	   	177.23	ACR|3DMG|1AART|1VULN|1ASPD|1DUR|1SELL	1SELL|2AART|3MBVNT|4RCR|5DUR|6VULN|789DMG|aASPD
219	24423 12142	 * 	177.19	ACR|4VULN|2AART|1ZMB	159aVULN|2ZMB|3RMIN|4RCR|6CGEN|78AART
