0	Index      	 *	Score 	Summary	Detail	
1	42331 52511	 * 	190.82	DCR|3DMG|2VULN|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|57aDMG|8RCR|9LSRHEA
154	42331 11333	 * 	169.22	DCR|2AART|2DMG|1VULN|1FLTHEA	16FEWX|2FLTHEA|3VULN|4aAART|56DMG|6BPWR|7CGEN|8RCR|9RPLT
155	42331 51333	 * 	169.12	DCR|2AART|2VULN|1DMG|1FLTHEA	1FEWX|2FLTHEA|36VULN|4aAART|5DMG|7CGEN|8RCR|9RPLT
156	42331 13255	   	169.03	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	16FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|7RMIN|8CGEN|9RCR|aCDMG
157	42331 16111	   	168.93	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	168FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|7DUST|9RCR|aCDMG
158	32533 12346	 * 	168.90	ACR|3DMG|1VULN|2FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4aFLTHEA|59aDMG|6VULN|7DUR|8aFEWX|aBPWR
159	55112 36133	   	168.90	DCR|3VULN|2DMG|2DUR|1ZMB	138VULN|2ZMB|45DMG|6FEWX|79DUR|aRCR
160	36133 53513	   	168.86	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|29DMG|3BELT|49VULN|5LIT|6CDMG|7AART|89CGEN|9BPWR|aRCR
161	21313 12346	   	168.84	ACR|3VULN|1AART|1DMG|1ASPD	1MLV|2RPLT|3RCR|478VULN|5LIT|6DMG|9AART|aASPD
162	42331 31255	   	168.83	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	1FEWX|2FLTHEA|3VULN|4AART|57DMG|6ERES|8CGEN|9RCR|aCDMG
163	55132 33323	   	168.83	ACR|3VULN|2DMG|1ZMB|1DUR	137VULN|2ZMB|4LHND|5RCR|6DUR|8aDMG|9FEWX
164	25613 34232	   	168.82	DCR|2VULN|2DMG|1AART	1aMLV|23CGEN|4AART|5aVULN|6RCR|7RCVC|8BELT|9aDMG|aBPWR
165	54214 12333	   	168.81	DCR|3VULN|2DMG|1CDMG	128VULN|3RMIN|4aDMG|5CDMG|6RCR|7TLV|9RPLT
166	42331 11334	   	168.78	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	16FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|7CGEN|8RCR|9RPLT|aZMB
167	42331 11366	   	168.78	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	16FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|79CGEN|8RCR|aZMB
168	13362 16533	   	168.78	DCR|2VULN|2AART|1DMG|1ZMB	1DUST|23VULN|4LIT|5ZMB|6RCR|7RPLT|89AART|aDMG
169	61313 12346	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1TLV|2RPLT|3RCR|478VULN|5LIT|6DMG|9AART|aASPD
170	24513 18412	 * 	168.72	DCR|3VULN|1AART|3CDMG	18MLV|258CDMG|3AART|48aVULN|6MBVNT|7RCR|8BPWR|9LIT
171	42331 51334	   	168.68	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FEWX|2FLTHEA|36VULN|4AART|5DMG|7CGEN|8RCR|9RPLT|aZMB
172	36133 53212	   	168.66	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|29DMG|3BELT|49VULN|5LIT|6CDMG|7AART|89ERES|9BPWR|aRCR
173	36133 53612	   	168.66	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|29DMG|3BELT|49VULN|5LIT|6CDMG|7AART|89TLV|9BPWR|aRCR
174	55114 13211	   	168.64	DCR|3VULN|1DMG|2CDMG|1ZMB	13aVULN|2ZMB|4DMG|58CDMG|6RCR|79FEWX
175	42332 12513	   	168.58	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	15FEWX|2FLTHEA|3VULN|4AART|67DMG|8RCR|9LSRHEA|aZMB
176	32533 13642	   	168.29	ACR|2VULN|2DMG|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5aDMG|68VULN|7ZMB|9LEGI
177	42231 31651	   	168.22	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|6VULN|7DUR|8RCR|9CDMG|aASPD
178	32533 13124	   	168.14	ACR|2VULN|2DMG|1FLTHEA|1ZMB|1SELL	1RMIN|2RCVC|3RCR|4FLTHEA|58DMG|6aVULN|7ZMB|9SELL
179	36136 26122	 * 	168.13	DCR|3DMG|2VULN|2CDMG	1RMIN|257DMG|3BELT|47VULN|67CDMG|7BPWR|8NUKE|9RCR|aFEWX
180	36136 26123	   	168.13	DCR|3DMG|2VULN|2CDMG	1RMIN|257DMG|3BELT|47VULN|67CDMG|7BPWR|8NUKE|9RCR|aLHND
181	36136 26121	   	168.03	DCR|3DMG|2VULN|2CDMG	1RMIN|257DMG|3BELT|47VULN|67CDMG|7BPWR|8NUKE|9RCR|aDUST
182	55112 23261	   	167.92	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2ZMB|45DMG|69LWND|7AART|8RCVC|aRCR
183	22531 36447	   	167.92	DCR|2VULN|2DMG|1AART|1ZMB	18MLV|2ZMB|3RPLT|4AART|58VULN|68DMG|7MBVNT|8BPWR|9LWND|aRCR
184	12212 12564	   	167.88	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1DUST|2FLTHEA|3ASPD|4ZMB|5ERES|6AART|7DMG|8CDMG|9RCR|aVULN
185	12633 32117	 * 	167.80	DCR|2VULN|1AART|2FLTHEA|2DUR|1ASPD	17DUST|27FLTHEA|37DUR|4AART|5MBVNT|6RCR|7BPWR|8aVULN|9ASPD
186	42211 22634	 * 	167.66	DCR|3AART|1VULN|1DMG|1CDMG|1FLTHEA	1FEWX|2FLTHEA|356AART|4RMIN|7CDMG|8VULN|9RCR|aDMG
187	42253 12336	   	167.38	DCR|1AART|1VULN|1DMG|1FLTHEA|2ASPD|1ZMB|1DUR	1FEWX|2FLTHEA|3AART|45ASPD|6DUR|7DMG|8ZMB|9VULN|aRCR
188	42414 12111	   	167.24	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1FEWX|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8aVULN|9LWND
189	42414 12121	   	167.24	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1FEWX|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8aVULN|9LHND
190	42414 12133	   	167.24	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1FEWX|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|89VULN|aRMIN
191	12414 12111	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8aVULN|9LWND
192	12414 12121	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8aVULN|9LHND
193	12414 12133	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|89VULN|aRMIN
194	12414 12134	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|89VULN|aFEWX
195	12414 12135	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|89VULN|aBEXP
196	12414 12151	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8aVULN|9BEXP
197	12414 12631	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|8BEXP|9aVULN
198	42414 12132	   	167.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1FEWX|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|89VULN|aERES
199	12414 12132	   	167.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7DMG|89VULN|aERES
200	42331 64122	   	167.01	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1FEWX|2FLTHEA|38VULN|4AART|5DMG|6LIT|7RCR|9ASPD|aLWND
201	42331 64123	   	167.01	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1FEWX|2FLTHEA|38VULN|4AART|5DMG|6LIT|7RCR|9ASPD|aRMIN
202	21315 32342	   	166.94	ACR|4VULN|1AART|1ZMB	1MLV|2RPLT|3RCR|478aVULN|5ZMB|6LIT|9AART
203	21313 62342	   	166.94	ACR|4VULN|1AART|1ZMB	1MLV|2RPLT|3RCR|478aVULN|5LIT|6ZMB|9AART
204	36424 13113	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|23DMG|3BPWR|4DUST|5CDMG|6RCR|7FEWX|8AART|9DUR|aVULN
205	61313 62342	   	166.84	ACR|4VULN|1AART|1ZMB	1TLV|2RPLT|3RCR|478aVULN|5LIT|6ZMB|9AART
206	61315 32342	   	166.84	ACR|4VULN|1AART|1ZMB	1TLV|2RPLT|3RCR|478aVULN|5ZMB|6LIT|9AART
207	42331 21226	   	166.75	DCR|2DMG|1AART|1VULN|1FLTHEA|1ASPD|1DUR	1FEWX|2FLTHEA|3VULN|4AART|57DMG|6ASPD|8CGEN|9DUR|aRCR
208	42331 21626	   	166.65	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR|1ASPD	1FEWX|2FLTHEA|3VULN|4AART|57DMG|6ASPD|8TLV|9DUR|aRCR
209	32661 11334	   	166.52	DCR|2VULN|2DMG|1AART	18RMIN|2RCVC|34VULN|5MLV|6RCR|79DMG|aAART
210	31213 35241	   	166.41	DCR|2VULN|2DMG|1AART	139RMIN|2aERES|4AART|5aVULN|6RCR|7RPLT|8aDMG|aBPWR
211	32661 13522	   	166.38	DCR|3VULN|1AART|1DMG	1RMIN|2RCVC|348VULN|59MLV|6RCR|7AART|aDMG
212	42331 13256	   	166.38	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	16FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|7RMIN|8CGEN|9RCR|aZMB
213	32536 12334	   	166.35	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8ZMB|9VULN|aFEWX
214	32536 12335	   	166.35	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8ZMB|9VULN|aLHND
215	32533 13142	   	166.35	ACR|3DMG|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|58aDMG|6VULN|7ZMB|9LEGI
216	36136 53313	   	166.32	DCR|3VULN|3DMG	1RMIN|257DMG|3BELT|47aVULN|67LIT|7BPWR|8RCR|9LHND
217	13362 11424	   	166.27	DCR|3VULN|2DMG|1ZMB	1aDUST|23aVULN|48LIT|5ZMB|6RCR|7aDMG|9RPLT|aBPWR
218	32536 12331	   	166.25	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8ZMB|9VULN|aTLV
219	32536 12336	   	166.25	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7DMG|8ZMB|9VULN|aDUST
220	36136 53323	   	166.22	DCR|3VULN|3DMG	1RMIN|257DMG|3BELT|47aVULN|67LIT|7BPWR|8RCR|9DUST
221	32533 13624	 * 	166.21	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1SELL	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|68aVULN|7ZMB|9SELL
222	42331 31256	   	166.18	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1FEWX|2FLTHEA|3VULN|4AART|57DMG|6ERES|8CGEN|9RCR|aZMB
223	13362 11324	   	166.17	DCR|3VULN|2DMG|1ZMB	18aDUST|23aVULN|4LIT|5ZMB|6RCR|7aDMG|9RPLT|aBPWR
224	13362 11155	   	166.17	DCR|3DMG|2VULN|1ZMB	1DUST|23VULN|4LIT|5ZMB|6RCR|79aDMG|8LHND
225	53362 11324	   	166.17	DCR|3VULN|2DMG|1ZMB	13aVULN|28aDUST|4LIT|5ZMB|6RCR|7aDMG|9RPLT|aBPWR
226	51363 42331	   	166.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	13VULN|2LEGI|48LIT|5AART|6RCR|7DUR|9ZMB|aDMG
227	32534 23363	 * 	166.00	ACR|2VULN|1AART|2FLTHEA|2ZMB	1RMIN|2RCVC|3RCR|4aFLTHEA|5aZMB|6ERES|7AART|8LIT|9aVULN|aBPWR
228	32536 34111	   	166.00	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|7LHND|8aVULN|9LWND
229	32536 34112	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6aDMG|7LHND|8VULN|9LWND
230	32536 36111	   	166.00	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|78VULN|9CGEN|aLWND
231	32536 36123	   	166.00	ACR|2VULN|1AART|1DMG|1FLTHEA	1aRMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|78VULN|9FEWX
232	32536 36131	   	166.00	ACR|2VULN|1AART|1DMG|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|78VULN|aLHND
233	32536 36133	   	166.00	ACR|2VULN|1AART|1DMG|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|78VULN|aLIT
234	32536 36311	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|68DMG|7VULN|9CGEN|aLWND
235	32536 36323	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	1aRMIN|2RCVC|3RCR|4FLTHEA|5AART|68DMG|7VULN|9FEWX
236	32536 36331	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5AART|68DMG|7VULN|aLHND
237	32536 36333	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5AART|68DMG|7VULN|aLIT
238	32536 62111	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|69LWND|7aDMG|8VULN
239	32536 62121	   	166.00	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6LWND|7DMG|8aVULN|9FEWX
240	32536 62122	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6LWND|7aDMG|8VULN|9FEWX
241	32536 62131	   	166.00	ACR|2DMG|1AART|1VULN|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5AART|6LWND|7aDMG|8VULN
242	55111 22522	   	165.91	DCR|3VULN|2DMG|1ZMB|1DUR	13aVULN|2ZMB|4aDMG|5DUST|6RMIN|7DUR|8aTLV|9RCR|aBPWR
243	55112 36223	   	165.91	DCR|3DMG|2VULN|1ZMB|1DUR	13VULN|2ZMB|45aDMG|6FEWX|7DUR|8DUST|9RCR
244	32536 34121	   	165.90	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|7LHND|8aVULN|9LEGI
245	32536 34122	   	165.90	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6aDMG|7LHND|8VULN|9LEGI
246	32536 36122	   	165.90	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DMG|78VULN|9FEWX|aERES
247	32536 36322	   	165.90	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|68DMG|7VULN|9FEWX|aERES
248	36235 11423	 * 	165.83	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1RMIN|2DMG|3RPLT|46AART|5RCR|7ASPD|8VULN|9CDMG|aDUR
249	12131 51623	   	165.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|2FLTHEA|3FEWX|4AART|5DMG|69VULN|7DUR|8RCR|aRCVC
250	15331 18522	   	165.77	DCR|2VULN|1AART|3CDMG|1ZMB	1aDUST|2ZMB|3MBVNT|4RCVC|5AART|69aCDMG|7RCR|8aVULN|aBPWR
251	36136 26221	   	165.73	DCR|3DMG|2VULN|2CDMG	1RMIN|257DMG|3BELT|47VULN|67CDMG|7BPWR|8DUST|9BEXP|aRCR
252	62531 11141	   	165.72	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1aTLV|2aZMB|3RPLT|4AART|5VULN|6DUR|7MBVNT|8RCR|9aDMG|aBPWR
253	32631 36611	 * 	165.62	DCR|3VULN|2DMG|3DUR	1RMIN|2RCVC|389VULN|4LHND|568DUR|78DMG|8BPWR|aRCR
254	42333 14363	 * 	165.53	DCR|2AART|2VULN|2FLTHEA|2ZMB	19FEWX|29FLTHEA|38VULN|46AART|5LSRHEA|79ZMB|9BPWR|aRCR
255	12214 12561	   	165.50	DCR|2DMG|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	1DUST|2FLTHEA|3ASPD|4ZMB|5MLV|6AART|7aDMG|8CDMG|9RCR
256	34314 37437	   	165.45	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|27DUST|3MBVNT|4FEWX|57DMG|67VULN|7BPWR|8RCR|9AART|aDUR
257	55112 11411	   	165.42	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2ZMB|45DMG|6RMIN|79CGEN|8AART|aRCR
258	12212 12561	   	165.40	DCR|2DMG|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	1DUST|2FLTHEA|3ASPD|4ZMB|5ERES|6AART|7aDMG|8CDMG|9RCR
259	32533 41136	 * 	165.40	ACR|3DMG|1AART|2FLTHEA	1RMIN|2RCVC|3RCR|4aFLTHEA|58aDMG|6LEGI|7aERES|9AART|aBPWR
260	32532 12111	   	165.40	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|8aVULN|9LWND
261	32532 12112	   	165.40	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7aDMG|8VULN|9LWND
262	32532 12121	   	165.40	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|8aVULN|9LHND
263	32532 12122	   	165.40	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7aDMG|8VULN|9LHND
264	32532 12133	   	165.40	ACR|2VULN|1AART|1DMG|1FLTHEA	1aRMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|89VULN
265	32532 12134	   	165.40	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5aFEWX|6AART|7DMG|89VULN
266	32532 12151	   	165.40	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|8aVULN|9BEXP
267	32532 12152	   	165.40	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7aDMG|8VULN|9BEXP
268	32532 12631	   	165.40	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|8BEXP|9aVULN
269	32532 12632	   	165.40	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7aDMG|8BEXP|9VULN
270	32532 12132	   	165.30	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|89VULN|aERES
271	32532 12531	   	165.30	ACR|2VULN|1AART|1DMG|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|8DUST|9aVULN
272	32532 12532	   	165.30	ACR|2DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7aDMG|8DUST|9VULN
273	42211 12336	   	165.28	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1FEWX|2FLTHEA|35AART|4RMIN|6DUR|7DMG|8ZMB|9VULN|aRCR
274	42261 12336	   	165.28	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1FEWX|2FLTHEA|35AART|4MLV|6DUR|7DMG|8ZMB|9VULN|aRCR
275	12464 12333	 * 	165.23	ACR|2DMG|2AART|1FLTHEA|1CDMG	1DUST|2FLTHEA|3RCVC|47DMG|5RCR|6aAART|8LIT|9CDMG
276	42231 31622	   	165.21	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|69VULN|7DUR|8RCR|aDMSP
277	42231 31623	   	165.21	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|69VULN|7DUR|8RCR|aBELT
278	42231 31624	   	165.21	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4aLWND|5DMG|69VULN|7DUR|8RCR
279	42231 31626	   	165.21	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|69VULN|7DUR|8RCR|aRMIN
280	36235 11632	 * 	165.21	ACR|2AART|1VULN|1DMG|2CDMG|1ASPD	1RMIN|2DMG|3RPLT|46AART|5RCR|7ASPD|89CDMG|aVULN
281	42221 35315	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LHND|5DMG|67VULN|8RCR|9SNIHEL|aDUR
282	42221 35324	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LHND|5DMG|67VULN|8RCR|9MBVNT|aDUR
283	42231 21621	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|6DUST|7DUR|8RCR|9aVULN
284	42231 21623	   	165.11	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5aDMG|6DUST|7DUR|8RCR|9VULN
285	42231 31611	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|6aVULN|7DUR|8RCR|9DUST
286	42231 31613	   	165.11	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5aDMG|6VULN|7DUR|8RCR|9DUST
287	42231 31621	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|69VULN|7DUR|8RCR|aTLV
288	42231 31631	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|6aVULN|7DUR|8RCR|9LEGI
289	42231 35524	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|67VULN|8RCR|9MBVNT|aDUR
290	42231 32625	   	165.11	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2FLTHEA|3AART|4LWND|5DMG|69VULN|7DUST|8RCR|aDUR
291	43532 12612	   	165.10	DCR|3VULN|1AART|1CDMG|2DUR	19FEWX|269VULN|3CGEN|4LIT|5AART|79DUR|8RCR|9BPWR|aCDMG
292	52532 12612	   	165.10	DCR|3VULN|1AART|1CDMG|2DUR	169VULN|29FEWX|3CGEN|4LIT|5AART|79DUR|8RCR|9BPWR|aCDMG
293	32535 33631	   	165.05	ACR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1ASPD	1RMIN|2RCVC|3RCR|4FLTHEA|5ERES|6ASPD|7AART|8VULN|9ZMB|aDMG
294	32512 34213	   	165.03	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RMIN|2RCVC|3RCR|45DMG|6BELT|7AART|8ASPD|9DUR|aVULN
295	34315 37434	 * 	165.00	DCR|3VULN|3ZMB|1AART	1RMIN|27aDUST|3MBVNT|4FEWX|57aZMB|67aVULN|7aBPWR|8RCR|9AART
296	43242 12612	   	165.00	DCR|3VULN|1AART|1CDMG|2DUR	19FEWX|269VULN|3ERES|4LIT|5AART|79DUR|8RCR|9BPWR|aCDMG
297	52242 12612	   	165.00	DCR|3VULN|1AART|1CDMG|2DUR	169VULN|29FEWX|3ERES|4LIT|5AART|79DUR|8RCR|9BPWR|aCDMG
298	15132 21346	   	164.99	ACR|3DMG|2VULN|1ZMB	19DUST|2ZMB|39VULN|4RCVC|5RCR|6CGEN|7FEWX|89aDMG|9BPWR
299	15132 22346	   	164.99	ACR|3DMG|2VULN|1ZMB	19DUST|2ZMB|39VULN|4RCVC|5RCR|6CGEN|7BEXP|89aDMG|9BPWR
300	55132 33351	 * 	164.89	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	137VULN|2ZMB|4LHND|5RCR|6DUR|8DMG|9RPLT|aCDMG
301	12632 32561	   	164.87	DCR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1DUST|2FLTHEA|3DUR|4AART|5FEWX|6ZMB|7DMG|8RCR|9VULN|aASPD
302	22535 11413	 * 	164.85	ACR|3AART|2VULN|2ASPD|1ZMB	1aMLV|2ZMB|3RPLT|469AART|5RCR|7aASPD|8aVULN|aBPWR
303	34314 37442	   	164.85	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|27DUST|3MBVNT|4FEWX|57DMG|67VULN|7BPWR|8RCR|9DUR|aAART
304	61323 41142	   	164.83	ACR|2VULN|2DMG|1AART	1TLV|2RPLT|3RCR|4BEXP|5MBVNT|6aVULN|7AART|89DMG
305	55112 13212	   	164.72	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2ZMB|45DMG|6RMIN|7LIT|8AIRHEL|9AART|aRCR
306	42331 11332	   	164.71	DCR|2DMG|1AART|1VULN|1FLTHEA|1ASPD	16FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|7CGEN|8RCR|9RPLT|aASPD
307	42331 11365	   	164.71	DCR|2DMG|1AART|1VULN|1FLTHEA|1ASPD	16FEWX|2FLTHEA|3VULN|4AART|56DMG|6BPWR|79CGEN|8RCR|aASPD
