0	Index      	 *	Score 	Summary	Detail	
1	22111 26235	 * 	214.26	4VULN|3DMG|3ASPD|1BASARM	169aVULN|2RMIN|3FEWX|49aDMG|56LWND|69aBPWR|7BASARM|89aASPD
153	13463 11162	   	187.24	ACR|2DMG|1VULN|1AART|1ASPD|1AAC	1LHND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8DUR|9AAC
154	23463 11162	   	187.24	ACR|2DMG|1VULN|1AART|1ASPD|1AAC	1VULN|2TLV|3CGEN|4AART|5RCR|6aDMG|7ASPD|8DUR|9AAC
155	33463 11162	   	187.24	ACR|2DMG|1VULN|1AART|1ASPD|1AAC	1LWND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8DUR|9AAC
156	23363 11162	   	187.14	ACR|2DMG|1VULN|1AART|1ASPD|1AAC	1VULN|2TLV|3AME|4AART|5RCR|6aDMG|7ASPD|8DUR|9AAC
157	23363 11662	   	187.14	ACR|2DMG|1VULN|1AART|1ASPD|1AAC	1VULN|2TLV|3AME|4AART|5RCR|6aDMG|7ASPD|8FEWX|9AAC
158	23433 65332	   	186.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1VULN|24TLV|3CGEN|5RCR|6AART|7aBEXP|8DMG|9ASPD
159	23333 65332	   	186.63	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1VULN|24TLV|3AME|5RCR|6AART|7aBEXP|8DMG|9ASPD
160	23633 65332	   	186.63	ACR|1VULN|2BEXP|1DMG|1ASPD|1AART	1VULN|24TLV|3ERES|5RCR|6AART|7aBEXP|8DMG|9ASPD
161	13323 14214	 * 	186.15	ACR|2VULN|2DMG|1AART|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|6aDMG|79VULN|8RPLT
162	13323 62214	   	186.15	ACR|2VULN|2DMG|1AART|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|69VULN|7aDMG|8RPLT
163	33323 14314	   	186.15	ACR|2VULN|2DMG|1AART|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|6aDMG|79VULN|8RPLT
164	33323 32314	   	186.15	ACR|2VULN|2DMG|1AART|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|69VULN|7aDMG|8RPLT
165	23363 25338	 * 	186.10	ACR|3VULN|1BASARM|1AART	178VULN|2TLV|3AME|4AART|5RCR|6LWND|9MBVNT|aBASARM
166	23363 35338	   	186.10	ACR|3VULN|1BASARM|1AART	178VULN|2TLV|3AME|4AART|5RCR|6LHND|9MBVNT|aBASARM
167	32242 26233	   	185.10	DCR|2BASARM|3ASPD|1VULN	19LWND|25RMIN|389ASPD|4DUST|6VULN|79BASARM|9BPWR|aRCR
168	23363 15314	   	185.05	ACR|2VULN|2DMG|1AART|1BEXP	19VULN|2TLV|3AME|4AART|5RCR|6aDMG|7BEXP|8RPLT
169	32246 26233	   	185.00	DCR|2BASARM|3ASPD|1VULN	19LWND|2RMIN|389ASPD|45DUST|6VULN|79BASARM|9BPWR|aRCR
170	33423 26252	 * 	184.94	ACR|1BASARM|1VULN|1ASPD|1BASICY	16LWND|2AEMAG|3VULN|46DUST|5RCR|6BPWR|7BASARM|8ASPD|9MSLTOX|aBASICY
171	33423 36252	   	184.94	ACR|1BASARM|1VULN|1ASPD|1BASICY	16LWND|2AEMAG|3VULN|4DUST|5RCR|7BASARM|8ASPD|9MSLTOX|aBASICY
172	13323 16431	 * 	184.73	ACR|1AART|1DMG|1VULN|2AAC|1BEXP|1CDMG	1LHND|2AEMAG|3AART|4BEXP|5RCR|6DMG|79AAC|8CDMG|aVULN
173	13323 11442	   	184.72	ACR|2BEXP|1AART|1ASPD|1DMG|1CDMG	1LHND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|7ASPD|8CDMG|9FEWX
174	13323 11541	   	184.72	ACR|2BEXP|1AART|1ASPD|1DMG|1CDMG	1LHND|2AEMAG|3AART|48BEXP|5RCR|6DMG|7ASPD|9RPLT|aCDMG
175	33323 11442	   	184.72	ACR|2BEXP|1AART|1ASPD|1DMG|1CDMG	1LWND|2AEMAG|3AART|4aBEXP|5RCR|6DMG|7ASPD|8CDMG|9FEWX
176	33323 11541	   	184.72	ACR|2BEXP|1AART|1ASPD|1DMG|1CDMG	1LWND|2AEMAG|3AART|48BEXP|5RCR|6DMG|7ASPD|9RPLT|aCDMG
177	22213 43511	   	184.70	3VULN|3ASPD|3DMG|2BEXP	17aVULN|2RMIN|369ASPD|4MDPS|56aDMG|6aBPWR|8aBEXP
178	23363 62226	   	184.38	ACR|2VULN|1AART|1ASPD|1DMG|1AAC	16VULN|2TLV|3AME|4AART|5RCR|7RCVC|8DMG|9ASPD|aAAC
