0	Index      	 *	Score 	Summary	Detail	
1	11232 11553	 * 	229.72	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AAC	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8AAC|9DMG|aBASARM
152	11233 11431	   	203.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RPLT|3RCR|4SNIFST|5LHND|6aBEXP|7AEFBLL|8DMG|9BASARM
153	11233 11553	   	203.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2RPLT|3RCR|4SNIFST|5LHND|68BEXP|7AEFBLL|9DMG|aBASARM
154	11213 23161	 * 	203.44	ACR|1BASARM|1VULN|1ASPD|1BASICY|1AAC	1VULN|2RPLT|3RCR|4DUST|5AAC|6ASPD|7DUR|8CGEN|9BASICY|aBASARM
155	11213 24161	   	203.44	ACR|1BASARM|1VULN|1ASPD|1BASICY|1AAC	1VULN|2RPLT|3RCR|4DUST|5AAC|6ASPD|7FEWX|8CGEN|9BASICY|aBASARM
156	51213 21161	   	203.44	ACR|1BASARM|1VULN|1ASPD|1BASICY|1AAC	1LHND|2RPLT|3RCR|4DUST|5AAC|6ASPD|7VULN|8CGEN|9BASICY|aBASARM
157	11245 31111	   	203.41	ACR|2BASARM|1VULN|1ASPD|1BEXP	1VULN|2RPLT|3RCR|4aLHND|5LIT|6ASPD|7aBASARM|8BEXP|9aAME|aBPWR
158	11245 31131	   	203.41	ACR|2BASARM|1VULN|1ASPD|1BEXP	1VULN|2RPLT|3RCR|4aLHND|5LIT|6ASPD|7aBASARM|8BEXP|9aERES|aBPWR
159	11245 31112	   	203.37	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8BEXP|9AME|aCDMG
160	11245 31132	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8BEXP|9ERES|aCDMG
161	11245 31512	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2RPLT|3RCR|4LHND|5LIT|6ASPD|7BASARM|8ERES|9BEXP|aCDMG
162	14123 53321	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2LIT|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aDMSP
163	14123 53323	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2LIT|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aRMIN
164	14123 53325	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2LIT|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aMLV
165	64123 53321	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1LIT|2VULN|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aDMSP
166	64123 53323	   	203.37	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1LIT|2VULN|3RCR|4LWND|5ERES|6BASARM|7BEXP|8CDMG|9ASPD|aRMIN
167	11261 21621	   	203.36	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|7ASPD|8RCVC|9BASARM|aDMSP
168	11261 21622	   	203.36	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6aCGEN|7ASPD|8RCVC|9BASARM
169	11261 21624	   	203.36	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|7ASPD|8RCVC|9BASARM|aMLV
170	11261 21626	   	203.36	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|7ASPD|8RCVC|9BASARM|aBELT
171	11261 21623	   	203.26	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|7ASPD|8RCVC|9BASARM|aDUST
172	11261 21625	   	203.26	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|7ASPD|8RCVC|9BASARM|aERES
173	14113 34482	 * 	203.17	ACR|2VULN|2ASPD|2CDMG|1AART	1aVULN|25LIT|3RCR|4aASPD|6RCVC|7MBVNT|8aCDMG|9AART|aBPWR
174	14224 36211	   	203.02	ACR|3DMG|2VULN|1ASPD|1BEXP	17VULN|27aLIT|347DMG|5RCR|6RCVC|7BPWR|8ASPD|9BEXP
175	14224 36212	   	203.02	ACR|3DMG|2VULN|1ASPD|1BEXP	17VULN|27LIT|347DMG|5RCR|6RCVC|7BPWR|8ASPD|9BEXP|aDUR
176	14224 36213	   	203.02	ACR|3DMG|2VULN|1ASPD|1BEXP	17VULN|27LIT|347DMG|5RCR|6RCVC|7BPWR|8ASPD|9BEXP|aRMIN
177	11216 33134	   	202.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2RPLT|3RCR|4DUST|5SNIHEL|6AART|7CDMG|8FEWX|9BEXP|aBASARM
178	11216 33334	   	202.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2RPLT|3RCR|4DUST|5SNIHEL|6AART|7CDMG|8LWND|9BEXP|aBASARM
179	11242 22523	 * 	202.74	ACR|2VULN|2AART|2BEXP|1CDMG	1aVULN|2RPLT|3RCR|4aLHND|58AART|6CDMG|7DUR|9aBEXP|aBPWR
180	11242 23561	   	202.68	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	1VULN|2RPLT|3RCR|4LHND|5AART|6CDMG|7aASPD|8LIT|9DMG
181	11213 51362	   	202.28	ACR|2BASARM|2VULN|1CDMG|1AAC	18VULN|2RPLT|3RCR|49DUST|5AAC|68LWND|78BASARM|8BPWR|aCDMG
182	11261 33634	   	202.03	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1AAC	15VULN|2RPLT|3RCR|4CDMG|6DUR|7AAC|8ASPD|9DMG|aAART
183	14153 41233	   	202.03	ACR|1BASARM|1VULN|1BASICY|1AART|1AAC	1VULN|25LIT|3RCR|4MLV|6BASICY|7AART|8ERES|9BASARM|aAAC
184	11216 33634	 * 	201.74	ACR|1BASARM|2VULN|1AART|1CDMG	19VULN|2RPLT|3RCR|4DUST|5SNIHEL|6AART|7CDMG|8MDPS|aBASARM
185	11261 21421	   	201.45	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|68CGEN|7ASPD|9BASARM|aDMSP
186	11261 21422	   	201.45	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|68aCGEN|7ASPD|9BASARM
187	11261 21424	   	201.45	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|68CGEN|7ASPD|9BASARM|aMLV
188	11261 21426	   	201.45	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|68CGEN|7ASPD|9BASARM|aBELT
189	11224 33166	   	201.45	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2RPLT|3RCR|4ERES|58BEXP|6BELT|7BASARM|9AART|aRCVC
190	11261 21423	   	201.35	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|68CGEN|7ASPD|9BASARM|aDUST
191	11261 21425	   	201.35	ACR|2VULN|1BASARM|1ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|68CGEN|7ASPD|9BASARM|aERES
192	51262 23253	   	201.35	ACR|1BASARM|2VULN|1ASPD|1CDMG	1LHND|2RPLT|3RCR|4CDMG|5ASPD|6SNITOX|7aVULN|8CGEN|9BASARM
193	11251 16253	   	201.26	ACR|2VULN|1BASARM|1DMG|1BEXP	14VULN|2RPLT|3RCR|5FEWX|6BEXP|7VENICY|8RCVC|9DMG|aBASARM
194	11231 13253	   	201.26	ACR|2VULN|1BASARM|1DMG|1BEXP	17VULN|2RPLT|3RCR|4SNIFST|5DUR|6BEXP|8RCVC|9DMG|aBASARM
195	11233 13253	   	201.26	ACR|2VULN|1BASARM|1DMG|1BEXP	17VULN|2RPLT|3RCR|4SNIFST|5LHND|6BEXP|8RCVC|9DMG|aBASARM
196	11256 42322	   	201.25	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AAC	14VULN|2RPLT|3RCR|5AME|6AAC|7CDMG|8LWND|9BASARM|aBEXP
197	11262 41423	   	201.11	ACR|1BASARM|2VULN|1DMG|1CDMG|1SELL	19VULN|2RPLT|3RCR|4CDMG|5SELL|6MDPS|7BASARM|8FEWX|aDMG
198	11262 41623	   	201.11	ACR|1BASARM|2VULN|1DMG|1CDMG|1SELL	19VULN|2RPLT|3RCR|4CDMG|5SELL|6MDPS|7BASARM|8DUR|aDMG
199	11264 42133	   	201.09	ACR|2VULN|2DMG|2BEXP|1CDMG	1aVULN|2RPLT|3RCR|4CDMG|59DMG|68BEXP|7RMIN
200	11232 16135	   	201.05	ACR|2VULN|2BEXP|1ASPD|1AART|1CDMG	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7CDMG|8aBEXP|9AART
201	11264 23135	 * 	201.05	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	17VULN|2RPLT|3RCR|4CDMG|5DMG|6MULARM|8aBEXP|9AART
202	11264 43133	   	200.99	ACR|2VULN|2DMG|2BEXP|1CDMG	1aVULN|2RPLT|3RCR|4CDMG|59DMG|68BEXP|7ERES
203	11232 11436	   	200.66	ACR|2VULN|1BASARM|1ASPD|1BEXP	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8DUR|9BASARM|aRCVC
204	11232 15236	   	200.66	ACR|2VULN|1BASARM|1ASPD|1BEXP	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7LWND|8BEXP|9BASARM|aRCVC
205	11231 13436	   	200.66	ACR|2VULN|1BASARM|1DMG|1BEXP	17VULN|2RPLT|3RCR|4SNIFST|5DUR|6BEXP|8DMG|9BASARM|aRCVC
206	11233 13436	   	200.66	ACR|2VULN|1BASARM|1DMG|1BEXP	17VULN|2RPLT|3RCR|4SNIFST|5LHND|6BEXP|8DMG|9BASARM|aRCVC
207	11232 11336	   	200.56	ACR|2VULN|1BASARM|1ASPD|1BEXP	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8DUST|9BASARM|aRCVC
208	11211 51323	   	200.39	ACR|2BASARM|2VULN|1DMG	18VULN|2RPLT|3RCR|48DUST|5ZMB|6LWND|78BASARM|8BPWR|9LHND|aDMG
209	11213 51322	   	200.38	ACR|2BASARM|2VULN|1BEXP|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68LWND|78BASARM|8BPWR|9LHND|aBEXP
210	11213 51352	   	200.38	ACR|2BASARM|2VULN|1BEXP|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|689LWND|78BASARM|8BPWR|aBEXP
211	11211 51361	   	200.29	ACR|2BASARM|2VULN|1ASPD	18VULN|2RPLT|3RCR|489DUST|5ZMB|6LWND|78BASARM|8BPWR|aASPD
212	14113 36431	 * 	200.27	ACR|2VULN|2ASPD|1BASICY|1AART	17VULN|257LIT|3RCR|47ASPD|6RCVC|7BPWR|8AART|9FLTFST|aBASICY
213	11243 13232	   	200.26	ACR|2VULN|2DMG|1AART|1BEXP|1AAC	17VULN|2RPLT|3RCR|47LHND|57DMG|6RCVC|7BPWR|8BEXP|9AAC|aAART
214	11261 21363	   	200.21	ACR|3VULN|3ASPD|1CDMG|1SELL	15aVULN|2RPLT|3RCR|4CDMG|6aCGEN|78aASPD|9SELL|aBPWR
215	11224 33163	   	200.15	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2RPLT|3RCR|4ERES|58BEXP|6BELT|7BASARM|9AART|aFEWX
216	11224 33165	   	200.15	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2RPLT|3RCR|4ERES|58BEXP|6BELT|7BASARM|9AART|aLWND
217	11224 33162	   	200.05	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2RPLT|3RCR|4aERES|58BEXP|6BELT|7BASARM|9AART
218	11224 33164	   	200.05	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2RPLT|3RCR|4ERES|58BEXP|6BELT|7BASARM|9AART|aMDPS
219	11261 41363	   	200.01	ACR|3VULN|3ASPD|1CDMG|1SELL	15aVULN|2RPLT|3RCR|4CDMG|6aERES|78aASPD|9SELL|aBPWR
220	11224 33441	   	199.96	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2RPLT|3RCR|4ERES|5BEXP|6BELT|7BASARM|8ZMB|9AART|aCDMG
221	11213 51333	   	199.96	ACR|3BASARM|2VULN|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68LWND|789BASARM|8BPWR|aLHND
222	11213 51334	   	199.96	ACR|3BASARM|2VULN|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68aLWND|789BASARM|8BPWR
223	11213 51335	   	199.86	ACR|3BASARM|2VULN|1AAC	18VULN|2RPLT|3RCR|4DUST|5AAC|68LWND|789BASARM|8BPWR|aTLV
