0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16332 13415	9	 * 	303.04	DCR|5VULN|2DMG|1DUR|1CDMG	12356VULN|36BPWR|46DMG|7LIT|8CDMG|9DUR|aRCR
176	31116 43123	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|2BEXP|37aVULN|4LWND|5CDMG|67ASPD|7BPWR|8DUR|9RCR
177	32166 43123	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|2LHND|37aVULN|4BEXP|5CDMG|67ASPD|7BPWR|8DUR|9RCR
178	33116 43323	2	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|2DUR|37aVULN|4LWND|5CDMG|67ASPD|7BPWR|8LHND|9RCR
179	51116 43123	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17ASPD|2BEXP|37aVULN|4LWND|5CDMG|67DMG|7BPWR|8DUR|9RCR
180	53116 43323	2	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17ASPD|2DUR|37aVULN|4LWND|5CDMG|67DMG|7BPWR|8LHND|9RCR
181	12133 63422	1	   	273.80	DCR|4VULN|2DMG|2LIT|1CDMG	168aVULN|2CGEN|3BBNT|48DMG|58LIT|7RCR|8BPWR|9CDMG
182	32636 43323	4	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|27aVULN|3LEGI|4DUR|5CDMG|67ASPD|7BPWR|8LWND|9RCR
183	33116 43423	2	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|2DUR|37aVULN|4LWND|5CDMG|67ASPD|7BPWR|8DUST|9RCR
184	54323 12613	9	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	13ASPD|23DMG|3BPWR|4RCVC|568VULN|7DUR|9CDMG|aRCR
185	16334 23251	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1238VULN|3BPWR|4DMG|5CDMG|6BEXP|7TLV|9RCR|aDUR
186	32133 63442	3	   	273.72	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	18DMG|269VULN|38LIT|48TLV|5BBNT|7RCR|8BPWR|aDUR
187	16334 15212	8	 * 	273.67	DCR|4VULN|3CDMG|3LIT|1DMG	1238VULN|38BPWR|4DMG|589CDMG|678LIT|aRCR
188	16333 14313	8	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	123VULN|36BPWR|46DMG|56DUR|79CDMG|8ZMB|aRCR
189	32623 42225	10	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1aDMG|25aVULN|3LEGI|4DUST|6RCR|78CDMG|9aDUR|aBPWR
