0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25614 11233	1	 * 	265.45	DCR|4VULN|3DUR|1TLV	138LHND|2356VULN|36BPWR|469DUR|7TLV|aRCR
169	43311 43243	1	   	237.63	DCR|2VULN|2DMG|2TLV|1DUR	158MLV|2aDMG|3aVULN|4DUR|6RCR|7FEWX|9aTLV|aBPWR
170	12521 21333	3	   	237.55	DCR|3VULN|2DMG|1TLV|1SELL	1RCVC|2SELL|3BELT|468VULN|59DMG|7RCR|aTLV
171	12521 24333	3	   	237.55	DCR|3VULN|2DMG|1TLV|1SELL	1RCVC|2SELL|3BELT|467VULN|59DMG|8RCR|aTLV
172	12326 33253	10	   	237.50	DCR|3VULN|2DMG|1TLV|2SELL	1RCVC|23SELL|459VULN|59BPWR|6RCR|79DMG|89LWND|aTLV
173	14152 11243	1	   	237.43	DCR|2VULN|2DMG|2TLV|1DUR	1RCVC|2aVULN|3aDMG|4TBNT|5BBNT|6BEXP|7RCR|8DUR|9aTLV|aBPWR
174	54111 42832	6	   	237.43	DCR|2VULN|2DMG|2TLV|1DUR	1ERES|2aDMG|3FEWX|4MBVNT|5DUR|6aVULN|7RCR|8LWND|9aTLV|aBPWR
175	12326 33553	7	   	237.30	DCR|3VULN|2DMG|1TLV|2SELL	1RCVC|23SELL|459VULN|5BPWR|6RCR|7aDMG|8TLV
176	12326 33353	10	   	237.30	DCR|3VULN|2DMG|1TLV|2SELL	1RCVC|23SELL|459VULN|59BPWR|6RCR|79DMG|89DUST|aTLV
177	66226 13311	3	   	237.15	DCR|2VULN|2DUR|1DMG|2LIT|1CDMG	1BEXP|2aDUR|3DMG|4CDMG|5aLIT|6RMIN|7ASPD|8RCR|9aVULN|aBPWR
178	66326 13311	2	   	237.15	DCR|2VULN|2DUR|1DMG|2LIT|1CDMG	1BEXP|2aDUR|3DMG|4CDMG|5aLIT|6RMIN|7ASPD|8RCR|9aVULN|aBPWR
179	12323 51415	2	   	237.09	DCR|4VULN|1TLV|1DUR|1SELL	1RCVC|2SELL|3459VULN|6BBNT|7RCR|8DUR|aTLV
180	12352 21415	2	   	237.09	DCR|4VULN|1TLV|1DUR|1SELL	1RCVC|2SELL|3569VULN|4BBNT|7RCR|8DUR|aTLV
181	35614 21212	1	   	236.55	DCR|3VULN|1TLV|1DMG|1DUR	13LWND|235VULN|3BPWR|4DUR|6BEXP|7CGEN|8DMG|9TLV|aRCR
182	65623 21212	1	   	236.55	DCR|3VULN|1TLV|1DMG|1DUR	13BEXP|236VULN|3BPWR|4LWND|5DUR|7CGEN|8DMG|9TLV|aRCR
183	14121 46132	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|289VULN|3DMG|4TLV|5LWND|6RCR|7DUR|aBEXP
184	14124 43131	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|289VULN|3DMG|4TLV|5DUR|6RCR|7FEWX|aLHND
185	31214 46112	3	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|2FEWX|3DMG|4CGEN|568VULN|7DUR|9TLV|aRCR
186	31314 46112	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|2DMG|3FEWX|4CGEN|568VULN|7DUR|9TLV|aRCR
187	31314 46112	2	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|2FEWX|3DMG|4CGEN|568VULN|7DUR|9TLV|aRCR
188	35614 22212	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	13LWND|235VULN|3BPWR|4DUR|6BEXP|7ERES|8DMG|9TLV|aRCR
189	35663 21212	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	13LWND|236VULN|3BPWR|4DUST|5DUR|7CGEN|8DMG|9TLV|aRCR
190	11134 14216	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2FEWX|3DMG|4TLV|5DUR|6MLV|78aVULN|9RCR
191	14126 31216	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|28aVULN|3DMG|4TLV|5FEWX|6DUR|7CGEN|9RCR
192	25524 16121	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|258VULN|3MBVNT|45BEXP|5BPWR|6DMG|7TLV|9RCR|aDUR
193	35235 82442	1	   	236.45	DCR|3VULN|1TLV|1DMG|2ASPD	18LWND|28aVULN|3FEWX|4TLV|5MBVNT|68ASPD|7RCR|8BPWR|9DMG
194	35522 82442	1	   	236.45	DCR|3VULN|1TLV|1DMG|2ASPD	18LWND|28aVULN|3MBVNT|4BEXP|5TLV|68ASPD|7RCR|8BPWR|9DMG
195	35524 16121	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|258VULN|3MBVNT|45BEXP|5BPWR|6DMG|7TLV|9RCR|aDUR
196	35531 82442	1	   	236.45	DCR|3VULN|1TLV|1DMG|2ASPD	18LWND|28aVULN|3MBVNT|4TLV|5LHND|68ASPD|7RCR|8BPWR|9DMG
197	35542 82442	1	   	236.45	DCR|3VULN|1TLV|1DMG|2ASPD	18LWND|28aVULN|3MBVNT|4LHND|5TLV|68ASPD|7RCR|8BPWR|9DMG
198	65313 42112	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1BEXP|268VULN|3DMG|4CGEN|5DUR|7LWND|9TLV|aRCR
199	65623 22212	1	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	13BEXP|236VULN|3BPWR|4LWND|5DUR|7ERES|8DMG|9TLV|aRCR
200	11134 34216	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2FEWX|3DMG|4TLV|5DUR|6ERES|78aVULN|9RCR
201	14121 46131	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|289VULN|3DMG|4TLV|5LWND|6RCR|7DUR|aLEGI
202	14121 46133	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|289VULN|3DMG|4TLV|5LWND|6RCR|7DUR|aERES
203	14122 43133	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|289VULN|3DMG|4TLV|5DUST|6RCR|7FEWX|aDUR
204	14126 32216	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|28aVULN|3DMG|4TLV|5FEWX|6DUR|7ERES|9RCR
205	25543 14127	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	14LHND|28aVULN|3MBVNT|5DUR|6DMG|7TLV|9RCR
206	31214 46112	4	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|2FEWX|3DMG|4ERES|568VULN|7DUR|9TLV|aRCR
207	35663 22212	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	13LWND|236VULN|3BPWR|4DUST|5DUR|7ERES|8DMG|9TLV|aRCR
208	21532 35121	2	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2FEWX|3MBVNT|4TLV|568VULN|7DMG|9RCR|aDUR
209	25235 35121	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|268VULN|3FEWX|4TLV|5MBVNT|7DMG|9RCR|aDUR
210	25522 35121	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|268VULN|3MBVNT|4BEXP|5TLV|7DMG|9RCR|aDUR
211	35235 35121	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|268VULN|3FEWX|4TLV|5MBVNT|7DMG|9RCR|aDUR
212	35522 35121	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|268VULN|3MBVNT|4BEXP|5TLV|7DMG|9RCR|aDUR
213	35531 35121	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|268VULN|3MBVNT|4TLV|5LHND|7DMG|9RCR|aDUR
214	35542 35121	1	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|268VULN|3MBVNT|4LHND|5TLV|7DMG|9RCR|aDUR
215	15341 12631	1	   	236.34	DCR|3VULN|2DMG|1DUR	1RCVC|2RPLT|39aVULN|4aLWND|5DUR|6RCR|7LIT|8aDMG|aBPWR
216	15361 12631	1	   	236.34	DCR|3VULN|2DMG|1DUR	1RCVC|2RPLT|39aVULN|4aLHND|5DUR|6RCR|7LIT|8aDMG|aBPWR
217	11641 12631	4	   	236.34	DCR|3VULN|2DMG|1DUR	1RCVC|2aLWND|3RPLT|49aVULN|5DUR|6RCR|7LIT|8aDMG|aBPWR
218	25151 12631	1	   	236.34	DCR|3VULN|2DMG|1DUR	1aLHND|29aVULN|3RCVC|4RPLT|5DUR|6RCR|7LIT|8aDMG|aBPWR
219	35151 12631	1	   	236.34	DCR|3VULN|2DMG|1DUR	1aLWND|29aVULN|3RCVC|4RPLT|5DUR|6RCR|7LIT|8aDMG|aBPWR
220	41153 21113	7	   	236.24	DCR|3VULN|2DMG|1DUR	15MLV|2LIT|3DUR|45DMG|5BPWR|69aVULN|7RCR|8CGEN
221	41153 21613	8	   	236.24	DCR|3VULN|2DMG|1DUR	15MLV|2LIT|3DUR|45DMG|5BPWR|69aVULN|7RCR|8CGEN
222	41153 61113	6	   	236.24	DCR|3VULN|2DMG|1DUR	15MLV|2LIT|3DUR|45DMG|5BPWR|6RCR|79aVULN|8CGEN
223	25651 12131	1	   	235.99	DCR|4VULN|2ASPD|1DUR	13aLHND|239aVULN|3aBPWR|4RPLT|5DUR|6RCR|7LIT|8aASPD
224	35651 12131	1	   	235.99	DCR|4VULN|2ASPD|1DUR	13aLWND|239aVULN|3aBPWR|4RPLT|5DUR|6RCR|7LIT|8aASPD
225	12326 33552	7	   	235.96	DCR|3VULN|1TLV|1DMG|1DUR|2SELL	1RCVC|23SELL|459VULN|5BPWR|6RCR|7DMG|8TLV|aDUR
226	14351 13362	1	   	235.86	DCR|2VULN|3DUR|1TLV|2ASPD	1RCVC|29VULN|3FEWX|4RPLT|579DUR|6RCR|89ASPD|9BPWR|aTLV
227	51153 23622	7	   	235.80	DCR|3VULN|2DMG|1DUR|1SELL	15ERES|2LIT|3DUR|45DMG|5BPWR|69aVULN|7SELL|8RCR
228	25613 34322	1	   	235.73	DCR|3VULN|3DUR|2AART	137LHND|237VULN|37BPWR|457DUR|6aAART|8RCR|9CGEN
229	21222 14163	9	   	235.55	DCR|3VULN|3DMG	1LHND|2FEWX|345DMG|6LIT|7RCR|89aVULN
230	21222 14163	10	   	235.55	DCR|3VULN|3DMG	1LHND|2FEWX|345DMG|6LIT|7RCR|89aVULN
231	21262 51211	4	   	235.52	DCR|2VULN|3DUR|1DMG|1CDMG	1LHND|2aFEWX|3DMG|4LIT|58aDUR|6CDMG|7RCR|9aVULN|aBPWR
232	51153 13113	6	 * 	235.51	DCR|3DUR|1VULN|2DMG|1TLV	15ERES|2LIT|368DUR|45DMG|5BPWR|7RCR|9TLV|aVULN
233	51153 33113	5	   	235.51	DCR|3DUR|1VULN|2DMG|1TLV	15ERES|2LIT|368DUR|45DMG|5BPWR|7RCR|9TLV|aVULN
