0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41122 42252	6	 * 	277.29	DCR|4VULN|3DMG|1DUR	189DMG|2DUST|3489VULN|589LWND|6RCR|7TBNT|89BPWR|aDUR
167	61628 22133	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	15DUR|2RMIN|3MBVNT|45aVULN|5BPWR|6LWND|7CDMG|8RCR|9DMG
168	61331 53511	1	   	249.36	DCR|2VULN|3DUR|2DMG|1AART	19aDUR|25VULN|3BELT|45aERES|5aBPWR|6AART|7aDMG|8RCR
169	61628 32311	9	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	15DUR|2RMIN|3MBVNT|45aVULN|5BPWR|6RCR|7CDMG|89TLV
170	61628 32314	10	   	249.35	DCR|3VULN|2DUR|2TLV|1CDMG	15DUR|2RMIN|3MBVNT|45aVULN|5BPWR|6RCR|7CDMG|89TLV
171	63421 22324	4	   	249.12	DCR|3VULN|3DUR|1DMG	167DUR|28FEWX|3BELT|478VULN|578ERES|78BPWR|9DMG|aRCR
172	63423 22324	5	   	249.12	DCR|3VULN|3DUR|1DMG	167DUR|28FEWX|3BELT|478VULN|578ERES|78BPWR|9DMG|aRCR
173	61628 12234	5	   	249.12	DCR|3VULN|3DUR|1DMG	158DUR|2RMIN|3MBVNT|458VULN|58BPWR|68LWND|7TBNT|9RCR|aDMG
174	61628 22234	6	   	249.12	DCR|3VULN|3DUR|1DMG	158DUR|2RMIN|3MBVNT|458VULN|58BPWR|68LWND|7TBNT|9RCR|aDMG
175	61628 32234	6	   	249.02	DCR|3VULN|3DUR|1DMG	158DUR|29RMIN|3MBVNT|458VULN|58BPWR|6RCR|7TBNT|aDMG
176	61628 34122	6	   	249.02	DCR|3VULN|3DUR|1DMG	157DUR|2RMIN|3MBVNT|459VULN|5BPWR|6RCR|8LWND|aDMG
177	63633 22237	5	   	248.92	DCR|3VULN|3DUR|2TLV	168DUR|2FEWX|38aVULN|4MBVNT|58TLV|7TBNT|8BPWR|9RCR
178	45323 22226	5	 * 	248.86	DCR|2VULN|3DMG|2ASPD|1TLV	17aDMG|27ASPD|3DUST|4CGEN|57VULN|6BELT|7BPWR|8TLV|9RCR
179	51123 62141	4	 * 	248.47	DCR|4VULN|2ASPD|3LIT|1SELL	1aASPD|2DUST|346aVULN|57aLIT|8SELL|9RCR|aBPWR
180	61123 63343	1	   	248.35	DCR|4VULN|1TLV|1DUR	1DUR|269aVULN|37DMSP|4TLV|5LIT|8RCR
181	33622 21125	7	   	248.23	DCR|4VULN|2DUR|1AART	1aBEXP|24FEWX|389aVULN|5aDUR|6AART|7RCR|aBPWR
182	63523 11125	7	   	248.23	DCR|4VULN|2DUR|1AART	1aDUR|24FEWX|3aLHND|589aVULN|6AART|7RCR|aBPWR
183	51121 42252	6	   	248.13	DCR|4VULN|3ASPD|1AART	189ASPD|2DUST|3489VULN|589FEWX|6RCR|7TBNT|89BPWR|aAART
184	12242 21144	7	   	248.03	DCR|4VULN|2DUR|1AART	19ERES|2RMIN|3FEWX|489aVULN|59DUR|6AART|7RCR|9BPWR
185	34313 21125	7	   	248.03	DCR|4VULN|2DUR|1AART	1aBEXP|23DUST|4aDUR|589aVULN|6AART|7RCR|aBPWR
186	34342 21125	7	   	248.03	DCR|4VULN|2DUR|1AART	1aBEXP|23DUST|489aVULN|5aDUR|6AART|7RCR|aBPWR
187	63323 21125	7	   	248.03	DCR|4VULN|2DUR|1AART	1aDUR|24FEWX|3aDUST|589aVULN|6AART|7RCR|aBPWR
188	64323 11125	7	   	248.03	DCR|4VULN|2DUR|1AART	1aDUR|23DUST|4aLHND|589aVULN|6AART|7RCR|aBPWR
189	64333 21125	7	   	248.03	DCR|4VULN|2DUR|1AART	1aDUR|23DUST|4aBEXP|589aVULN|6AART|7RCR|aBPWR
190	12342 21144	7	   	247.93	DCR|4VULN|2DUR|1AART	19ERES|2RMIN|3DUST|489aVULN|59DUR|6AART|7RCR|9BPWR
191	61313 21144	7	   	247.93	DCR|4VULN|2DUR|1AART	19DUR|2RMIN|3DUST|49ERES|589aVULN|6AART|7RCR|9BPWR
192	63363 21124	7	   	247.93	DCR|4VULN|2DUR|1AART	14DUR|2FEWX|3DUST|589aVULN|6AART|7RCR
193	63634 33152	9	   	247.89	DCR|4VULN|2DUR|1AART|1SELL	18DUR|28FEWX|3589VULN|4MBVNT|6SELL|7AART|8BPWR|aRCR
194	46131 32621	3	   	247.86	DCR|3VULN|3DMG|1AART	148DMG|25LWND|367VULN|9AART|aRCR
