0	Index      	 *	Score 	Summary	Detail	
1	12514 48734	 * 	242.39	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2DUST|3ERES|4MBVNT|5LHND|6aRCR|7VULN|8TLV|9TBNT
164	25242 11222	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1ASPD|2BOSS|3LIT|49RCR|5DUR|6ERES|7VULN|8TLV|aMDPS
165	25242 11223	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1ASPD|2BOSS|3LIT|49RCR|5DUR|6ERES|7VULN|8TLV|aAEWIND
166	25242 31222	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1ASPD|2BOSS|3LIT|49RCR|5DUR|6AME|7VULN|8TLV|aMDPS
167	25242 31223	   	215.61	ACR|DCR|1VULN|1TLV|1DUR	1ASPD|2BOSS|3LIT|49RCR|5DUR|6AME|7VULN|8TLV|aAEFRZ
168	23222 52342	 * 	215.45	DCR|3VULN|3ASPD|1MLV|1DUR	159ASPD|2DUR|39LWND|459VULN|59BPWR|6DMSP|7BBNT|8RCR|aMLV
169	46123 51222	   	215.25	DCR|3VULN|1DMG|1MLV|1AART	1RPLT|2AETHUN|3MDPS|4AART|569VULN|7RCR|8MLV|aDMG
170	41423 33432	 * 	214.69	DCR|3VULN|2DMG|1NUKE	1RPLT|2MDPS|3BEXP|469VULN|57DMG|8RCR|aNUKE
171	41523 33432	   	214.69	DCR|3VULN|2DMG|1NUKE	1RPLT|2MDPS|3FEWX|469VULN|57DMG|8RCR|aNUKE
172	23322 64332	   	214.20	DCR|2VULN|1MLV|1DUR|2ASPD|1AART|1CDMG	15ASPD|2DUR|3LHND|45VULN|5BPWR|6AART|7BEXP|8RCR|9CDMG|aMLV
173	15314 41532	   	213.55	DCR|DCR|1MLV|1DUR|1AAC	1DUR|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|9RCVC|aAAC
174	12241 41623	   	213.52	ACR|2VULN|3DUR|2TLV|1MLV|1AART	158DUR|25DUST|3RCR|4BELT|58BPWR|68TLV|78VULN|9AART|aMLV
175	22222 31323	   	213.50	DCR|3VULN|1DMG|2ASPD|1CDMG	15ASPD|2BEXP|3LWND|45aVULN|5BPWR|6CDMG|7BOSS|8DMG|9RCR
176	15314 41513	   	213.45	DCR|DCR|1MLV|1DUR|1AAC	1DUR|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|9VENFST|aAAC
177	22222 61356	   	213.40	DCR|3VULN|1DMG|1AART|2ASPD	15ASPD|2BEXP|3LWND|45aVULN|5BPWR|6AART|7DMG|8RCR|9MDPS
178	22322 61356	   	213.40	DCR|3VULN|1DMG|1AART|2ASPD	15ASPD|2BEXP|3LHND|45aVULN|5BPWR|6AART|7DMG|8RCR|9MDPS
179	23222 16263	   	213.10	DCR|2VULN|1TLV|1MLV|2ASPD|1DUR|1AAC	15ASPD|2DUR|3LWND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aCGEN
180	23222 16266	   	213.10	DCR|2VULN|1TLV|1MLV|2ASPD|1DUR|1AAC	15ASPD|2DUR|3LWND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aLIT
181	23322 16263	   	213.10	DCR|2VULN|1TLV|1MLV|2ASPD|1DUR|1AAC	15ASPD|2DUR|3LHND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aCGEN
182	23322 16266	   	213.10	DCR|2VULN|1TLV|1MLV|2ASPD|1DUR|1AAC	15ASPD|2DUR|3LHND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aLIT
183	22222 65212	   	213.10	DCR|2VULN|1TLV|1MLV|2ASPD|1AART	15ASPD|2BEXP|3LWND|45VULN|5BPWR|6AART|7CGEN|8TLV|9MLV|aRCR
184	22322 65212	   	213.10	DCR|2VULN|1TLV|1MLV|2ASPD|1AART	15ASPD|2BEXP|3LHND|45VULN|5BPWR|6AART|7CGEN|8TLV|9MLV|aRCR
185	23222 16262	   	213.00	DCR|2VULN|1TLV|1MLV|1AAC|2ASPD|1DUR	15ASPD|2DUR|3LWND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aAEBURN
186	23222 16264	   	213.00	DCR|2VULN|1TLV|1MLV|1AAC|2ASPD|1DUR	15ASPD|2DUR|3LWND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aAETHUN
187	23222 16265	   	213.00	DCR|2VULN|1TLV|1MLV|1DUR|2ASPD|1AAC|1MSE	15ASPD|2DUR|3LWND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aMSE
188	23322 16262	   	213.00	DCR|2VULN|1TLV|1MLV|2ASPD|1DUR|1AAC	15ASPD|2DUR|3LHND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aAEBURN
189	23322 16264	   	213.00	DCR|2VULN|1TLV|1MLV|2ASPD|1DUR|1AAC	15ASPD|2DUR|3LHND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aAETHUN
190	23322 16265	   	213.00	DCR|2VULN|1TLV|1MLV|1DUR|2ASPD|1AAC|1MSE	15ASPD|2DUR|3LHND|45VULN|5BPWR|6AAC|7RCR|8MLV|9TLV|aMSE
191	22222 41412	   	213.00	DCR|2VULN|1TLV|1MLV|2ASPD|1AART	15ASPD|2BEXP|3LWND|45VULN|5BPWR|6AME|7TLV|8AART|9MLV|aRCR
192	22322 31412	   	213.00	DCR|2VULN|1TLV|1MLV|2ASPD|1AART	15ASPD|2BEXP|3LHND|45VULN|5BPWR|6AME|7TLV|8AART|9MLV|aRCR
193	12241 41632	   	212.96	ACR|3VULN|3TLV|3DUR	158DUR|259DUST|3RCR|4BELT|589BPWR|689TLV|789VULN|aRAT
194	21364 11224	 * 	212.93	DCR|2FLTARM|1VULN|1TLV|1DUR	1ASPD|2CGEN|3DUR|4BEXP|59FLTARM|6VULN|7RCR|8BELT|aTLV
195	15613 12251	   	212.90	DCR|2VULN|1TLV|1MLV|1DUR|1AAC|1CDMG	1DUR|2MLV|3BBNT|48VULN|5ERES|6AAC|7TLV|9CDMG|aRCR
196	41333 31163	   	212.87	ACR|DCR|1FLTARM|1MLV|1AART|1CDMG	1RPLT|2MDPS|39RCR|4RAT|5MLV|6AART|7CDMG|8ASPD|aFLTARM
197	12241 41633	   	212.86	ACR|3VULN|3TLV|3DUR	158DUR|259DUST|3RCR|4BELT|589BPWR|689TLV|789VULN|aSPLREG
198	21344 11224	   	212.83	DCR|2FLTARM|1VULN|1TLV|1DUR	1ASPD|2CGEN|3DUR|4DUST|59FLTARM|6VULN|7RCR|8BELT|aTLV
199	23612 21231	   	212.61	DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1ASPD|27DUR|3BBNT|4VULN|5MGNSTR|6DMG|8TLV|9MLV|aRCR
200	23615 21231	   	212.61	DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1ASPD|27DUR|3BBNT|4VULN|5VENTOX|6DMG|8TLV|9MLV|aRCR
201	23322 16333	   	212.60	DCR|4VULN|1DUR|2ASPD|1AAC	15ASPD|2DUR|38LHND|459aVULN|5BPWR|6AAC|7RCR
202	23614 21231	   	212.51	DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1ASPD|27DUR|3BBNT|4VULN|5LSRHEA|6DMG|8TLV|9MLV|aRCR
203	23322 16433	   	212.50	DCR|4VULN|1DUR|2ASPD|1AAC	15ASPD|2DUR|3LHND|459aVULN|5BPWR|6AAC|7RCR|8AEWIND
204	35314 41535	   	212.45	DCR|DCR|1TLV|1MLV	1FEWX|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|9RCVC|aTLV
205	32121 34332	   	212.45	DCR|DCR|1TLV|1MLV	169FEWX|2DUST|3BEXP|4MLV|5MULARM|7TLV|8aRCR
206	32122 34332	   	212.45	DCR|DCR|1TLV|1MLV	169FEWX|2DUST|3BEXP|4MLV|5LSRICY|7TLV|8aRCR
207	43143 31321	   	212.40	DCR|3VULN|1TLV|1DMG	1RPLT|2FEWX|346VULN|5TLV|7BOSS|8DMG|9RCR|aCGEN
208	43143 31325	   	212.40	DCR|3VULN|1TLV|1DMG	1RPLT|2FEWX|346VULN|5TLV|7BOSS|8DMG|9RCR|aBEXP
209	45133 31323	   	212.40	DCR|3VULN|1TLV|1DMG	1RPLT|2LWND|36aVULN|4DMSP|5TLV|7BOSS|8DMG|9RCR
210	45143 31321	   	212.40	DCR|3VULN|1TLV|1DMG	1RPLT|2LWND|346VULN|5TLV|7BOSS|8DMG|9RCR|aCGEN
