0	Index      	 *	Score 	Summary	Detail	
1	34333 16383	 * 	202.37	DCR|3VULN|2DMG|1AART|3CDMG	17aVULN|2AART|367CDMG|47aLHND|5MBVNT|7aBPWR|8aDMG|9RCR
164	34361 21263	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	16aVULN|2AART|3CDMG|4RCR|5DUR|7ERES|8ZMB|9LIT
165	34361 23614	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	16aVULN|2AART|3CDMG|4RCR|5DUR|7MBVNT|8RMIN|9ZMB
166	34361 31133	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	19aVULN|2AART|3CDMG|4RCR|5DUR|6ZMB|7LHND|8DUST
167	34361 32133	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	19aVULN|2AART|3CDMG|4RCR|5DUR|6ZMB|7LWND|8DUST
168	34361 35333	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	19aVULN|2AART|3CDMG|4RCR|5DUR|6ZMB|7DUST|8LWND
169	34363 33433	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	19aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7DUR|8LHND
170	34363 33633	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	19aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7DUR|8LWND
171	34363 53214	   	175.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	18aVULN|2AART|3CDMG|4RCR|5MBVNT|6CGEN|7DUR|9ZMB
172	63223 52724	 * 	175.13	DCR|3VULN|2DMG|3ASPD	1CGEN|24DMG|34aASPD|4BPWR|589VULN|6RCR|7MBVNT
173	34362 25131	   	175.05	ACR|2VULN|1AART|1DMG|1CDMG|2ASPD	17VULN|2AART|3CDMG|4RCR|57ASPD|67ERES|7BPWR|8CANSTR|9DMG|aTLV
174	34361 23514	   	175.03	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	16aVULN|2AART|3CDMG|4RCR|5DUR|7MBVNT|8ERES|9ZMB
175	34363 33136	   	175.03	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	19aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7DUR|8DUST
176	33125 11536	   	175.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|5RMIN|67DMG|8AART|9LSRICY|aRCR
177	33223 23125	 * 	174.87	DCR|4VULN|2CDMG|3DUR|1ASPD	189aVULN|249DUR|3ASPD|5LIT|6RCR|79CDMG|9BPWR
178	33223 24525	   	174.87	DCR|4VULN|2CDMG|3DUR|1ASPD	179aVULN|249DUR|3ASPD|5LIT|6RCR|89CDMG|9BPWR
179	33123 44342	   	174.86	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	13VULN|2DUR|4CDMG|5RCVC|6aAART|7DMG|8RCR|9LIT
180	34363 17444	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	17VULN|2AART|36CDMG|4RCR|5MBVNT|8DUR|9MLV|aDMG
181	34361 12135	 * 	174.85	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1VULN|2AART|36CDMG|4RCR|5DUR|7DUST|8RPLT|9aDMG
182	34361 13136	   	174.85	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1VULN|2AART|36CDMG|4RCR|5DUR|7MBVNT|8RPLT|9aDMG
183	34361 23252	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	16VULN|2AART|3aCDMG|4RCR|5DUR|7MBVNT|8LWND|9DMG
184	34361 23352	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	16VULN|2AART|3aCDMG|4RCR|5DUR|7MBVNT|8FEWX|9DMG
185	33121 11546	   	174.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7ERES|8AART|9AIRHEA|aRCR
186	23336 11142	   	174.75	DCR|2VULN|2DMG|1AART|2DUR	169LWND|29DUR|3AART|4LIT|56DMG|69BPWR|79VULN|8RCR|aBEXP
187	13411 34511	   	174.73	ACR|4VULN|1AART|1CDMG|1DUR	1BEXP|2679VULN|3CDMG|4RCR|5RCVC|8AART|aDUR
188	31411 34511	   	174.73	ACR|4VULN|1AART|1CDMG|1DUR	1679VULN|2BEXP|3CDMG|4RCR|5RCVC|8AART|aDUR
189	34322 25633	   	174.66	DCR|3VULN|1AART|2CDMG|1DUR|1ASPD	179VULN|2AART|37CDMG|4BEXP|5ASPD|67ERES|7BPWR|8RCR|aDUR
190	23336 11143	   	174.65	DCR|2VULN|2DMG|1AART|2DUR	169LWND|29DUR|3AART|4LIT|56DMG|69BPWR|79VULN|8RCR|aTLV
191	33122 46224	   	174.62	DCR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	13VULN|2DUR|4CDMG|5SELL|69AART|7RPLT|8RCR|aDMG
192	63611 23216	   	174.47	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3MLV|4FEWX|5AART|68aVULN|7RPLT|9RCR|aBPWR
193	63621 23216	   	174.47	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3MLV|4LWND|5AART|68aVULN|7RPLT|9RCR|aBPWR
194	63631 23216	   	174.47	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3MLV|4LHND|5AART|68aVULN|7RPLT|9RCR|aBPWR
195	63411 23216	   	174.37	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3TLV|4FEWX|5AART|68aVULN|7RPLT|9RCR|aBPWR
196	63421 23216	   	174.37	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3TLV|4LWND|5AART|68aVULN|7RPLT|9RCR|aBPWR
197	63431 23216	   	174.37	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3TLV|4LHND|5AART|68aVULN|7RPLT|9RCR|aBPWR
198	33125 14263	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2DUR|4CDMG|5RMIN|6DMG|8DUST|9RCR|aAART
199	46321 33511	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DMG|368VULN|4ASPD|5TLV|7CDMG|9RCR|aAART
200	46322 33511	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DMG|368VULN|4ASPD|5ERES|7CDMG|9RCR|aAART
201	13411 34512	   	174.10	ACR|4VULN|1AART|2CDMG	1BEXP|2679VULN|3aCDMG|4RCR|5RCVC|8AART
202	31411 34512	   	174.10	ACR|4VULN|1AART|2CDMG	1679VULN|2BEXP|3aCDMG|4RCR|5RCVC|8AART
203	21336 11134	   	174.03	DCR|3DMG|1AART|1VULN|1CDMG	16LWND|2BEXP|3AART|4LIT|56aDMG|6BPWR|7VULN|8RCR|9CDMG
204	33267 21821	 * 	174.00	ACR|5VULN|1DMG|1ASPD|1DUR	16789VULN|2DUR|3ASPD|4MBVNT|5RCR|aDMG
205	36133 22134	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	13VULN|2ASPD|4LHND|5LIT|6RCR|7DUR|8AART|9CDMG|aDMG
206	36143 22134	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	13VULN|2ASPD|4BEXP|5LIT|6RCR|7DUR|8AART|9CDMG|aDMG
207	46362 13231	   	173.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1LIT|2aDMG|3VULN|4AART|5ASPD|6DUR|7RCR|8LWND|9CDMG
208	34363 16142	 * 	173.95	ACR|2VULN|1AART|3CDMG|1DMG	17VULN|2AART|367CDMG|4RCR|5MBVNT|7BPWR|8LIT|9TLV|aDMG
209	33268 42832	   	173.95	DCR|3VULN|2DMG|2ASPD|2DUR	17aVULN|27DUR|3aASPD|4MBVNT|5CGEN|67DMG|7aBPWR|8aCANHEL|9RCR
210	34361 24312	   	173.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	16VULN|2AART|3CDMG|4RCR|57DUR|8CGEN|9RPLT|aDMG
211	63223 51121	 * 	173.85	DCR|2VULN|2DMG|1CDMG|2ASPD|1DUR	1CGEN|24DMG|34ASPD|4BPWR|5aVULN|6RCR|7CDMG|8DUR|9LHND
212	34361 23353	   	173.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	16VULN|2AART|3CDMG|4RCR|5aDUR|7MBVNT|8FEWX|9DMG
213	34363 53224	   	173.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2AART|3CDMG|4RCR|5MBVNT|6CGEN|79DUR|aDMG
214	33411 23624	 * 	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	168VULN|2DUR|3CDMG|4RCR|5BELT|7aDMG|9LSRHEA
215	12126 32361	   	173.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17BEXP|2CGEN|37VULN|4DUR|5ZMB|67DMG|7BPWR|8LHND|9RCR|aAART
216	13411 31526	   	173.75	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|26aVULN|3CDMG|4RCR|5RCVC|7DMG|8AART|9FEWX
217	31411 31526	   	173.75	ACR|3VULN|1AART|1DMG|1CDMG	16aVULN|2BEXP|3CDMG|4RCR|5RCVC|7DMG|8AART|9FEWX
218	34361 21124	   	173.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	16VULN|2AART|3CDMG|4RCR|59DUR|7ERES|8DUST|aDMG
219	34361 21142	   	173.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	16VULN|2AART|3CDMG|4RCR|5aDUR|7ERES|8DUST|9DMG
220	34333 34256	   	173.63	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1VULN|2AART|3CDMG|4LHND|5MBVNT|67ZMB|8RCR|9aDMG
221	21336 11144	   	173.52	DCR|2VULN|2DMG|1AART|1ZMB	169LWND|29BEXP|3AART|4LIT|56DMG|69BPWR|79VULN|8RCR|aZMB
222	36153 23132	 * 	173.35	DCR|3VULN|2AART|1CDMG|1ASPD	138VULN|2ASPD|4DUST|5LIT|6RCR|7CDMG|9aAART
223	63223 51352	 * 	173.22	DCR|2VULN|2DMG|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|59VULN|6RCR|78CDMG|aDMSP
224	36215 22611	   	173.20	DCR|3VULN|3ZMB|3ASPD|1DUR	178VULN|278ASPD|3LHND|4MLV|578ZMB|6RCR|78BPWR|9DUR|aLWND
225	36215 22612	   	173.20	DCR|3VULN|3ZMB|3ASPD|1DUR	178VULN|278ASPD|3LHND|4MLV|578ZMB|6RCR|78BPWR|9DUR|aRMIN
226	36215 22613	   	173.20	DCR|3VULN|3ZMB|3ASPD|1DUR	178VULN|278ASPD|3LHND|4MLV|578ZMB|6RCR|78BPWR|9DUR|aBEXP
227	33416 12225	 * 	173.18	ACR|4VULN|3DUR|2ASPD|1CDMG	179aVULN|269DUR|3CDMG|4RCR|5LIT|89ASPD|9BPWR
228	33416 11125	   	173.18	ACR|4VULN|3DUR|2ASPD|1CDMG	189aVULN|269DUR|3CDMG|4RCR|5LIT|79ASPD|9BPWR
229	63223 51351	   	173.12	DCR|2VULN|2DMG|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|59VULN|6RCR|78CDMG|aERES
230	63223 51353	   	173.12	DCR|2VULN|2DMG|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|59VULN|6RCR|78CDMG|aDUST
231	34333 16425	   	173.12	DCR|3VULN|1AART|3CDMG|1ZMB	179VULN|2AART|367CDMG|47LHND|5MBVNT|7BPWR|8ZMB|aRCR
232	41317 21341	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1LIT|2FEWX|3RCR|4MBVNT|5AART|6aVULN|7DUR|89DMG
233	33667 42131	   	173.07	ACR|2VULN|2DMG|1AART|2DUR	1aVULN|2aDUR|3ERES|4MBVNT|5RCR|6AART|79DMG|8aMLV|aBPWR
234	23333 41146	   	172.71	DCR|3VULN|1AART|1DMG|2DUR	19LWND|29DUR|3AART|4LIT|5RCVC|6DMG|79aVULN|8RCR|9BPWR
235	34322 51225	   	172.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1aVULN|2AART|3CDMG|4BEXP|5ASPD|6DMG|7ERES|8RCR|9DUR
236	34332 51225	   	172.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1aVULN|2AART|3CDMG|4LHND|5ASPD|6DMG|7ERES|8RCR|9DUR
237	34363 23435	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7RPLT|8LWND|9DMG|aZMB
238	34363 24416	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7MLV|8FEWX|9ZMB|aDMG
239	34363 34254	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7RMIN|8LWND|9DMG
240	34363 34354	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7RMIN|8FEWX|9DMG
241	13411 34633	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|267VULN|3CDMG|4RCR|5RCVC|8DMG|9LWND|aAART
242	31411 34633	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2BEXP|3CDMG|4RCR|5RCVC|8DMG|9LWND|aAART
243	63223 51243	   	172.53	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1CGEN|24DMG|34ASPD|4BPWR|5VULN|6RCR|7CDMG|8BEXP|9RCVC|aAART
244	34363 21416	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7ERES|8FEWX|9ZMB|aDMG
245	34363 22135	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7DUST|8RPLT|9DMG|aZMB
246	34363 23235	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7RPLT|8DUST|9DMG|aZMB
247	34363 24116	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7MLV|8DUST|9ZMB|aDMG
248	34363 31254	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7LHND|8ERES|9DMG
249	34363 32254	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7LWND|8ERES|9DMG
250	34363 41135	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2AART|3CDMG|4RCR|5MBVNT|6LEGI|8RPLT|9DMG|aZMB
251	33431 23653	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	168VULN|2DUR|3CDMG|4BEXP|5BELT|7DMG|9AART|aRCR
252	13411 34613	   	172.45	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|267VULN|3CDMG|4RCR|5RCVC|8DMG|9MBVNT|aAART
253	31411 34613	   	172.45	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2BEXP|3CDMG|4RCR|5RCVC|8DMG|9MBVNT|aAART
254	33133 43324	   	172.40	DCR|2VULN|2DMG|1AART|2DUR|1SELL	13VULN|25DUR|4SELL|6AART|7aDMG|8RCR|9FEWX
255	34363 21116	   	172.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2AART|3CDMG|4RCR|5MBVNT|7ERES|8DUST|9ZMB|aDMG
256	34363 16114	   	172.37	ACR|2AART|2VULN|3CDMG|1ASPD	17VULN|29AART|367CDMG|4RCR|5MBVNT|7BPWR|8LIT|aASPD
