0	Index      	 *	Score 	Summary	Detail	
1	62366 12111	 * 	195.95	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|1DUR	1aDMG|2CGEN|3RPLT|4aVULN|5DUR|6CDMG|7RCR|8AART|9aASPD|aBPWR
159	65321 13361	 * 	169.28	DCR|2DMG|3CDMG|1AART|1VULN|1SELL	16DMG|2SELL|38CGEN|4VULN|56aCDMG|6BPWR|7RCR|9AART
160	32512 21443	   	169.26	DCR|4VULN|1AART|1ZMB|1DUR	1LHND|2LWND|378aVULN|4AART|5DUR|6ZMB|9RCR
161	23351 21633	 * 	169.22	ACR|2VULN|3ZMB|1DMG|1CDMG|1ASPD	17BEXP|2RMIN|3DMG|4RCR|578ZMB|67VULN|7BPWR|9ASPD|aCDMG
162	42323 21431	   	169.17	DCR|4VULN|3CDMG|3DUR	127DUR|257BPWR|356CDMG|4579VULN|8RCR|aLHND
163	42323 21432	   	169.17	DCR|4VULN|3CDMG|3DUR	127DUR|257BPWR|356CDMG|4579VULN|8RCR|aFEWX
164	42323 21433	   	169.17	DCR|4VULN|3CDMG|3DUR	127DUR|257BPWR|356CDMG|4579VULN|8RCR|aLIT
165	43323 21614	   	169.17	DCR|4VULN|3CDMG|3DUR	17aDUR|2DMSP|356CDMG|457aVULN|57aBPWR|8RCR|9aERES
166	63332 35162	   	169.13	DCR|3DMG|1AART|1VULN|1CDMG	13aDMG|28LWND|4VULN|5CGEN|6CDMG|7AART|9RCR
167	63333 35162	   	169.13	DCR|3DMG|1AART|1VULN|1CDMG	13aDMG|28LWND|4VULN|5MLV|6CDMG|7AART|9RCR
168	62273 23448	   	169.12	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9BELT|aAART
169	62274 43448	   	169.12	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9BELT|aAART
170	42323 21425	   	169.07	DCR|4VULN|3CDMG|3DUR	127DUR|257BPWR|356CDMG|457aVULN|8RCR|9TLV
171	63312 35162	   	169.03	DCR|3DMG|1AART|1VULN|1CDMG	13aDMG|28LWND|4ERES|5VULN|6CDMG|7AART|9RCR
172	62251 43418	   	169.02	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4LHND|5ZMB|67VULN|7BPWR|8RCR|9ERES|aAART
173	62212 33366	   	168.83	DCR|3VULN|2DMG|2CDMG	19DMG|28CGEN|3MBVNT|4RCVC|579VULN|69CDMG|9BPWR|aRCR
174	62212 13842	   	168.76	DCR|2VULN|2DMG|1AART|1ASPD	17DMG|2CGEN|3MBVNT|4RCVC|57VULN|67BEXP|7BPWR|8RCR|9AART|aASPD
175	62212 13844	   	168.76	DCR|2VULN|2DMG|1AART|1DUR	17DMG|2CGEN|3MBVNT|4RCVC|57VULN|67BEXP|7BPWR|8RCR|9AART|aDUR
176	62218 43842	   	168.76	DCR|2VULN|2DMG|1AART|1ASPD	17DMG|2CGEN|3MBVNT|4RCVC|57BEXP|67VULN|7BPWR|8RCR|9AART|aASPD
177	62218 43844	   	168.76	DCR|2VULN|2DMG|1AART|1DUR	17DMG|2CGEN|3MBVNT|4RCVC|57BEXP|67VULN|7BPWR|8RCR|9AART|aDUR
178	44323 21633	   	168.76	DCR|4VULN|3CDMG|2DUR	17DUR|256CDMG|3RCVC|457aVULN|57BPWR|8RCR|9DMSP
179	56281 12111	   	168.68	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1aMLV|2DMG|3MBVNT|4aVULN|5ZMB|6BEXP|7RCR|8AART|9aASPD|aBPWR
180	44323 21611	   	168.66	DCR|4VULN|3CDMG|2DUR	17DUR|256CDMG|3RCVC|457aVULN|57BPWR|8RCR|9ERES
181	63332 35325	   	168.56	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LWND|48VULN|5CGEN|6CDMG|7AART|9DUST|aRCR
182	32515 13151	   	168.52	DCR|2VULN|2DMG|1AART	1aLHND|2LWND|3aVULN|4AART|5CGEN|6RCR|7LIT|8RCVC|9aDMG|aBPWR
183	61632 11261	   	168.51	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8LIT|9RCR|aLWND
184	62274 43471	   	168.51	DCR|3VULN|2DMG|1ZMB|1ASPD	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67aVULN|7BPWR|8RCR|9ASPD
185	62251 43463	   	168.51	DCR|3DMG|2VULN|1ZMB|1ASPD	179DMG|27CGEN|3MBVNT|4LHND|5ZMB|67VULN|7BPWR|8RCR|aASPD
186	62273 23463	   	168.51	DCR|3DMG|2VULN|1ZMB|1ASPD	179DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|aASPD
187	63312 35325	   	168.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LWND|4ERES|58VULN|6CDMG|7AART|9DUST|aRCR
188	51521 21261	   	168.42	DCR|2VULN|2DMG|1AART	1aMLV|2RCVC|3AART|4aVULN|5LHND|6MBVNT|7RCR|8LIT|9aDMG|aBPWR
189	23351 21553	 * 	168.34	ACR|3VULN|2DMG|2ZMB	17BEXP|2RMIN|39DMG|4RCR|57ZMB|67aVULN|7BPWR|8LWND
190	63331 23452	   	168.23	DCR|3VULN|3DMG|2SELL	13aDMG|26aLWND|48aVULN|59SELL|7RCR|aBPWR
191	62222 37442	   	168.13	DCR|3DMG|2VULN|2CDMG	178DMG|24aCGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR
192	62222 37446	   	168.13	DCR|3DMG|2VULN|2CDMG	178DMG|24CGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR|aBELT
193	62222 37448	   	168.13	DCR|3DMG|2VULN|2CDMG	178DMG|24CGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR|aFEWX
194	62222 37445	   	168.03	DCR|3DMG|2VULN|2CDMG	178DMG|24CGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR|aDUST
195	62212 41175	   	168.02	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|267CGEN|3MBVNT|4RCVC|57VULN|7BPWR|8ZMB|9AART|aRCR
196	62232 83543	   	167.88	DCR|3VULN|2DMG|2CDMG|1SELL	17DMG|2CGEN|3MBVNT|47aVULN|57CDMG|6SELL|7BPWR|8BEXP|9RCR
197	61632 13412	   	167.81	DCR|4VULN|2DMG|1CDMG|1DUR|2MSE	1aDMG|2RCVC|348aVULN|5CDMG|6DUR|7RCR|9aMSE|aBPWR
198	53352 52332	   	167.81	ACR|2DMG|1AART|1VULN|2CDMG	1MLV|2LWND|3aDMG|4RCR|59CDMG|6AART|7RCVC|8VULN
199	34323 22541	   	167.77	DCR|4VULN|3CDMG|2ASPD	18LHND|256CDMG|3RCVC|458aVULN|58BPWR|78ASPD|9RCR
200	62232 83823	   	167.77	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR|1SELL	17DMG|2CGEN|3MBVNT|47VULN|57CDMG|6SELL|7BPWR|8ZMB|9DUR|aRCR
201	61632 13111	   	167.72	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2RCVC|34VULN|5CDMG|6DUR|7RCR|8RMIN|9AART|aLWND
202	61632 13112	   	167.72	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2RCVC|34VULN|5CDMG|6DUR|7RCR|8RMIN|9AART|aLHND
203	61632 13114	   	167.72	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2RCVC|34VULN|5CDMG|6DUR|7RCR|8RMIN|9AART|aMLV
204	61632 13115	   	167.72	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2RCVC|34VULN|5CDMG|6DUR|7RCR|8aRMIN|9AART
205	61632 11236	 * 	167.71	3VULN|3DMG|1AART|2CDMG|2DUR	17aDMG|2RCVC|34aVULN|57CDMG|67DUR|7aBPWR|8aLIT|9AART
206	13122 28331	   	167.71	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1RPLT|2RCVC|37ASPD|47VULN|5MBVNT|67DMG|7BPWR|8DUR|9RCR|aZMB
207	41521 11343	 * 	167.68	ACR|2DMG|1VULN|3DUR|1CDMG|1ZMB|1ASPD	123DUR|4RCR|5ZMB|6CDMG|79DMG|8VULN|aASPD
208	42521 11343	   	167.68	ACR|2DMG|1VULN|3DUR|1CDMG|1ZMB|1ASPD	123DUR|2BPWR|4RCR|5ZMB|6CDMG|79DMG|8VULN|aASPD
209	61632 13113	   	167.62	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2RCVC|34VULN|5CDMG|6DUR|7RCR|8RMIN|9AART|aTLV
210	61632 11362	   	167.58	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|29RCVC|34VULN|57CDMG|67DUR|7BPWR|8CGEN|aRCR
211	62231 42846	   	167.58	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2CGEN|3MBVNT|46aVULN|5ZMB|7RMIN|8RCR|9AART
212	62231 48433	   	167.58	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2CGEN|3MBVNT|46aVULN|5ZMB|7LWND|8RCR|9AART
213	62231 43226	   	167.56	DCR|3VULN|2DMG|2ZMB|1ASPD	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8LIT|9ASPD|aRCR
214	62231 43573	   	167.56	DCR|3VULN|2DMG|2ZMB|1ASPD	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8BEXP|9ASPD|aRCR
215	62231 43683	   	167.56	DCR|3VULN|2DMG|2ZMB|1DUR	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8DUR|9RMIN|aRCR
216	62231 43723	   	167.56	DCR|3VULN|2DMG|2ZMB|1DUR	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8MLV|9DUR|aRCR
217	64281 43323	   	167.56	DCR|3VULN|2DMG|2ZMB|1DUR	17DMG|2MLV|3MBVNT|467VULN|57ZMB|7BPWR|8CGEN|9DUR|aRCR
218	62231 43632	   	167.46	DCR|3VULN|2DMG|2ZMB|1DUR	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8DUR|9DUST|aRCR
219	62231 43643	   	167.46	DCR|3VULN|2DMG|2ZMB|1DUR	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8DUR|9TLV|aRCR
220	62222 34443	   	167.23	DCR|3DMG|1AART|1VULN|1CDMG	178DMG|24CGEN|3MBVNT|5VULN|6CDMG|9RCR|aAART
221	23261 33453	   	167.19	DCR|2DMG|1AART|1VULN|2CDMG	19BEXP|2RMIN|3LHND|49CDMG|59DMG|6RCR|7AART|8RPLT|9BPWR|aVULN
222	62231 72163	   	167.16	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2CGEN|3MBVNT|4aVULN|5ZMB|69DUR|7RCR|8AART
223	53351 25133	   	167.08	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1MLV|2LWND|3DMG|4RCR|5ZMB|6aVULN|78DUR|9AART
224	43323 21144	   	166.97	DCR|4VULN|3CDMG|3DUR	17aDUR|2DMSP|356CDMG|457aVULN|57aBPWR|8aMLV|9RCR
225	23352 63343	 * 	166.93	ACR|3VULN|2DMG|1CDMG	1BEXP|2RMIN|38DMG|4RCR|5CDMG|6FEWX|79aVULN
226	62152 25231	 * 	166.93	ACR|3DMG|2VULN|1CDMG	189DMG|2CGEN|39DUST|4RCR|5CDMG|6LSRICY|79VULN|9BPWR|aRMIN
227	62152 25233	   	166.93	ACR|3DMG|2VULN|1CDMG	189DMG|2CGEN|39DUST|4RCR|5CDMG|6LSRICY|79VULN|9BPWR|aLHND
228	41153 21612	 * 	166.83	ACR|2VULN|2AART|3DUR|2ZMB	127DUR|3DUST|4RCR|57ZMB|67VULN|7BPWR|8aAART|9LIT
229	42153 21612	   	166.83	ACR|2VULN|2AART|3DUR|2ZMB	127DUR|27BPWR|3DUST|4RCR|57ZMB|67VULN|8aAART|9LIT
230	34436 31321	   	166.82	DCR|3VULN|1AART|2ASPD|1CDMG	1LHND|2CDMG|356VULN|4AART|79ASPD|8RCR|aFEWX
231	34436 31323	   	166.82	DCR|3VULN|1AART|2ASPD|1CDMG	1LHND|2CDMG|356VULN|4AART|79ASPD|8RCR|aCGEN
232	53352 23842	 * 	166.74	ACR|3DMG|3CDMG|1AART	18MLV|2LWND|389DMG|4RCR|58aCDMG|6MBVNT|7AART|8BPWR
233	62133 16333	   	166.63	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2CGEN|3DUST|489VULN|5RPLT|6CDMG|7AART|aRCR
234	43153 21533	   	166.62	ACR|3VULN|1AART|2ZMB|2DUR	17DUR|2DMSP|3DUST|4RCR|57ZMB|67aVULN|7BPWR|8LWND|9AART
235	61631 12521	   	166.62	DCR|3VULN|1AART|1DMG|1ASPD	1DMG|2RCVC|345VULN|6LIT|7LEGI|8RCR|9ASPD|aAART
236	32512 51621	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1aLHND|2LWND|37aVULN|4AART|5DUR|6DMG|8RCR|9aTLV|aBPWR
237	32511 12643	   	166.61	DCR|3VULN|2AART|1ZMB|1DUR	1LHND|2LWND|35aVULN|46AART|7DUR|8ZMB|9RCR
238	62231 72733	   	166.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2CGEN|3MBVNT|4aVULN|5ZMB|68DUR|7RCR|9AART
239	61632 13243	   	166.51	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1DMG|2RCVC|34aVULN|5CDMG|6DUR|7RCR|8FEWX|9ASPD
240	66223 31431	 * 	166.48	ACR|5VULN|1AART|1DMG|1MSE	1DMG|2MSE|3AART|4RCR|5LHND|6789aVULN
241	61632 13433	   	166.41	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1DMG|2RCVC|348VULN|5CDMG|6DUR|7RCR|9TLV|aASPD
242	62131 16343	   	166.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2CGEN|3DUST|48aVULN|5ZMB|6BEXP|7AART|9RCR
243	62131 36343	   	166.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2CGEN|3DUST|48aVULN|5ZMB|6LWND|7AART|9RCR
244	32511 42143	 * 	166.37	DCR|4VULN|1AART|2ZMB	17LHND|2LWND|357aVULN|4AART|67ZMB|7BPWR|8BEXP|9RCR
245	32516 32143	   	166.37	DCR|4VULN|1AART|2ZMB	17LHND|2LWND|367aVULN|4AART|57ZMB|7BPWR|8BEXP|9RCR
246	41521 11332	 * 	166.36	ACR|1AART|1VULN|1DMG|3DUR|1CDMG|1ZMB	123DUR|4RCR|5ZMB|6CDMG|7DMG|8VULN|9LHND|aAART
247	42521 11332	   	166.36	ACR|1AART|1DMG|1VULN|3DUR|1CDMG|1ZMB	123DUR|2BPWR|4RCR|5ZMB|6CDMG|7DMG|8VULN|9LHND|aAART
248	44323 21141	   	166.36	DCR|4VULN|3CDMG|2DUR	17DUR|256CDMG|3RCVC|457aVULN|57BPWR|8MLV|9RCR
249	63321 26521	 * 	166.35	DCR|3DMG|2VULN|2ASPD|1DUR	138DMG|2LWND|48ASPD|5FEWX|6DUR|78VULN|8BPWR|9RPLT|aRCR
250	62633 12143	   	166.22	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2CGEN|3DUR|4aVULN|5RPLT|6CDMG|7RCR|8AART|9RCVC
251	62263 23461	   	166.22	DCR|3VULN|3DMG	179DMG|2CGEN|3MBVNT|4RMIN|57BEXP|67aVULN|7BPWR|8RCR
252	23351 21626	 * 	166.22	ACR|2VULN|2DMG|3ZMB	17BEXP|2RMIN|3aDMG|4RCR|578ZMB|67VULN|7BPWR|9LIT
253	46326 21442	   	166.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2ERES|3aDMG|4CGEN|5AART|6MBVNT|7RCR|8VULN|9CDMG
254	23351 21252	   	166.12	ACR|2VULN|2DMG|3ZMB	17BEXP|2RMIN|39DMG|4RCR|57aZMB|67VULN|7BPWR|8DUST
255	61632 11132	   	166.11	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8RPLT|9MLV|aRCR
256	61632 11143	   	166.11	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8RPLT|9FEWX|aRCR
257	61632 11322	   	166.11	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|89CGEN|aRCR
258	61632 11334	   	166.11	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8CGEN|9MGNSTR|aRCR
259	62212 13825	   	166.10	DCR|3DMG|2VULN|2DUR	17aDMG|2aCGEN|3MBVNT|4RCVC|57VULN|67BEXP|7aBPWR|8RCR|9aDUR
260	61632 11243	   	166.01	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8LIT|9MBVNT|aRCR
261	61632 11624	   	166.01	DCR|2VULN|2DMG|2CDMG|2DUR	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8MBVNT|9RPLT|aRCR
