0	Index      	 *	Score 	Summary	Detail	
1	53322 36241	 * 	199.63	ACR|3DMG|2VULN|3ZMB|2CDMG	178DMG|2aBEXP|3RCVC|47VULN|5RCR|67aZMB|7aBPWR|9aCDMG
160	63626 22121	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1FEWX|2aDMG|3RCR|4ZMB|5RCVC|6DUR|7aVULN|8CDMG|9aBEXP|aBPWR
161	63626 22212	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18FEWX|28DMG|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9RMIN|aCDMG
162	63626 22231	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	189FEWX|28DMG|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|aCDMG
163	53622 12222	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28BEXP|3RCR|4ZMB|5FEWX|6DMSP|78VULN|8BPWR|9ASPD|aCDMG
164	53622 22222	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28BEXP|3RCR|4ZMB|56FEWX|78VULN|8BPWR|9ASPD|aCDMG
165	53622 41222	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28BEXP|3RCR|4ZMB|5FEWX|68VULN|7RCVC|8BPWR|9ASPD|aCDMG
166	55622 12222	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28LWND|3RCR|4ZMB|5FEWX|6DMSP|78VULN|8BPWR|9ASPD|aCDMG
167	55622 22222	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28LWND|3RCR|4ZMB|56FEWX|78VULN|8BPWR|9ASPD|aCDMG
168	53632 12242	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28BEXP|3RCR|4ASPD|5FEWX|6DMSP|78VULN|8BPWR|9ZMB|aCDMG
169	53632 22242	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28BEXP|3RCR|4ASPD|56FEWX|78VULN|8BPWR|9ZMB|aCDMG
170	54323 32226	   	171.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|24VULN|3RCVC|5DUR|6ZMB|7LHND|9AART|aRCR
171	55323 32226	   	171.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|2LWND|3RCVC|47VULN|5DUR|6ZMB|9AART|aRCR
172	53623 22262	   	171.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28BEXP|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9ERES|aCDMG
173	53633 22226	   	171.72	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18DMG|28BEXP|3RCR|49ASPD|5RCVC|6DUR|78VULN|8BPWR|aZMB
174	53322 53612	   	171.67	ACR|3VULN|2DMG|1CDMG|1ASPD	18DMG|2BEXP|3RCVC|478VULN|5RCR|68CGEN|8BPWR|9CDMG|aASPD
175	54613 31222	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28VULN|3RCR|45FEWX|6ZMB|78DUST|8BPWR|9ASPD|aCDMG
176	54622 11222	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28VULN|3RCR|4ZMB|5FEWX|6DMSP|78DUST|8BPWR|9ASPD|aCDMG
177	54622 21222	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	18DMG|28VULN|3RCR|4ZMB|56FEWX|78DUST|8BPWR|9ASPD|aCDMG
178	54622 32122	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	16DMG|27VULN|3RCR|4ZMB|5FEWX|8LWND|9ASPD|aCDMG
179	54623 21212	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28VULN|3RCR|4ZMB|5RCVC|6DUR|78DUST|8BPWR|9RMIN|aCDMG
180	54623 21232	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28VULN|3RCR|4ZMB|5RCVC|6DUR|78DUST|8BPWR|9FEWX|aCDMG
181	54623 22211	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|27VULN|3RCR|4ZMB|5RCVC|6DUR|9CDMG|aFEWX
182	54623 22213	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|27VULN|3RCR|4ZMB|5RCVC|6DUR|9CDMG|aRMIN
183	54623 22223	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|27VULN|3RCR|4ZMB|5RCVC|6DUR|9DMSP|aCDMG
184	63622 22111	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15FEWX|2aDMG|3RCR|4ZMB|6DUR|7aVULN|8CDMG|9aDUST|aBPWR
185	63626 22111	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1FEWX|2aDMG|3RCR|4ZMB|5RCVC|6DUR|7aVULN|8CDMG|9aDUST|aBPWR
186	31662 36221	   	171.55	ACR|3VULN|1AART|1DMG|2ZMB	1RMIN|2RCVC|379VULN|47FEWX|5RCR|67ZMB|7BPWR|8DMG|aAART
187	32662 36221	   	171.55	ACR|3VULN|1AART|1DMG|2ZMB	12RMIN|379VULN|47FEWX|5RCR|67ZMB|7BPWR|8DMG|aAART
188	45322 23212	   	171.47	ACR|3DMG|2VULN|1CDMG|1ASPD	1ASPD|2LWND|3RCVC|46VULN|5RCR|78aDMG|9CDMG
189	55322 23212	   	171.47	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2LWND|3RCVC|46VULN|5RCR|7ASPD|9CDMG
190	53322 13612	   	171.47	ACR|3VULN|2DMG|1CDMG|1ASPD	18DMG|2BEXP|3RCVC|478VULN|5RCR|68ERES|8BPWR|9CDMG|aASPD
191	53322 24612	   	171.47	ACR|3VULN|2DMG|1CDMG|1ASPD	18DMG|2BEXP|3RCVC|468VULN|5RCR|78ERES|8BPWR|9CDMG|aASPD
192	55322 13612	   	171.47	ACR|3VULN|2DMG|1CDMG|1ASPD	18DMG|2LWND|3RCVC|478VULN|5RCR|68ERES|8BPWR|9CDMG|aASPD
193	63322 36421	   	171.45	ACR|3VULN|1AART|1DMG|2ZMB	17FEWX|2DMG|3RCVC|479VULN|5RCR|67ZMB|7BPWR|8TLV|aAART
194	56316 13231	   	171.44	ACR|3VULN|3DMG	169DMG|2RPLT|3RCR|4aMLV|57aVULN|8RMIN|aBPWR
195	56352 13231	   	171.44	ACR|3VULN|3DMG	169DMG|2RPLT|3RCR|47aVULN|5aMLV|8RMIN|aBPWR
196	31422 36221	   	171.35	ACR|3VULN|1AART|1DMG|2ZMB	1RMIN|2RCVC|37DUST|479VULN|5RCR|67ZMB|7BPWR|8DMG|aAART
197	31652 36221	   	171.35	ACR|3VULN|1AART|1DMG|2ZMB	1RMIN|2RCVC|379VULN|47DUST|5RCR|67ZMB|7BPWR|8DMG|aAART
198	32422 36221	   	171.35	ACR|3VULN|1AART|1DMG|2ZMB	12RMIN|37DUST|479VULN|5RCR|67ZMB|7BPWR|8DMG|aAART
199	32652 36221	   	171.35	ACR|3VULN|1AART|1DMG|2ZMB	12RMIN|379VULN|47DUST|5RCR|67ZMB|7BPWR|8DMG|aAART
200	53322 36122	   	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	17DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8LWND|9ASPD|aCDMG
201	53322 36312	   	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	17DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8DMSP|9CDMG|aASPD
202	43622 32112	   	170.80	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	17ASPD|2BEXP|3RCR|4ZMB|5FEWX|6aDMG|8VULN|9AART
203	55322 34222	   	170.77	ACR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	18DMG|2LWND|3RCVC|48VULN|5RCR|68ZMB|7LEGI|8BPWR|9ASPD|aCDMG
204	53322 36613	   	170.76	ACR|2VULN|2DMG|3ZMB|1DUR	17DMG|2BEXP|3RCVC|47VULN|5RCR|67aZMB|7BPWR|8LSRICY|9DUR
205	44622 32312	   	170.70	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	17ASPD|2VULN|3RCR|4ZMB|5FEWX|6aDMG|8DUST|9AART
206	53612 31622	   	170.68	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2BEXP|3RCR|4BELT|5ZMB|68DUR|7AART|9aVULN
207	63612 31622	   	170.68	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1FEWX|2DMG|3RCR|4BELT|5ZMB|68DUR|7AART|9aVULN
208	34134 11411	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	1RMIN|2AART|3RCVC|4RCR|589VULN|6DUR|7DMG|aLWND
209	34134 11412	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	1RMIN|2AART|3RCVC|4RCR|589VULN|6DUR|7DMG|aBEXP
210	34134 11413	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	1RMIN|2AART|3RCVC|4RCR|589VULN|6DUR|7DMG|aFEWX
211	24452 32222	   	170.63	ACR|4VULN|1DMG|2DUR|1ZMB	1MLV|2479VULN|34DUR|4BPWR|5RCR|6ZMB|8DMG|aDUST
212	24452 32223	   	170.63	ACR|4VULN|1DMG|2DUR|1ZMB	1MLV|2479VULN|34DUR|4BPWR|5RCR|6ZMB|8DMG|aERES
213	53322 25121	   	170.60	ACR|4VULN|1AART|1DMG	1DMG|2BEXP|3RCVC|4689VULN|5RCR|7LWND|aAART
214	54362 23121	   	170.60	ACR|4VULN|1AART|1DMG	1DMG|2689VULN|3RCVC|4FEWX|5RCR|7BEXP|aAART
215	63322 23121	   	170.60	ACR|4VULN|1AART|1DMG	1FEWX|2DMG|3RCVC|4689VULN|5RCR|7BEXP|aAART
216	63322 25121	   	170.60	ACR|4VULN|1AART|1DMG	1FEWX|2DMG|3RCVC|4689VULN|5RCR|7LWND|aAART
217	55322 26121	   	170.50	ACR|4VULN|1AART|1DMG	1DMG|2LWND|3RCVC|4689VULN|5RCR|7DUST|aAART
218	54352 21121	   	170.50	ACR|4VULN|1AART|1DMG	1DMG|2689VULN|3RCVC|4DUST|5RCR|7BEXP|aAART
219	62233 12325	 * 	170.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	17FEWX|2LIT|37VULN|48CDMG|5DMG|67DUR|7BPWR|9RCR|aAART
220	53623 22225	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28BEXP|3RCR|4ZMB|5RCVC|6aDUR|78VULN|8BPWR|9ASPD
221	53626 22212	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|258BEXP|3RCR|4ZMB|69DUR|78VULN|8BPWR|aASPD
222	63622 22212	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	158FEWX|28DMG|3RCR|4ZMB|69DUR|78VULN|8BPWR|aASPD
223	63632 22215	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	158FEWX|28DMG|3RCR|4ASPD|69DUR|78VULN|8BPWR|aZMB
224	24432 23221	   	170.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1MLV|269VULN|3DUR|4DMSP|5RCR|7ASPD|8DMG|aAART
225	31636 22221	   	170.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RMIN|2RCVC|379VULN|4ASPD|5RCR|6DUR|8DMG|aAART
226	32636 22221	   	170.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12RMIN|379VULN|4ASPD|5RCR|6DUR|8DMG|aAART
227	53632 43221	   	170.27	ACR|2VULN|2DMG|1AART|1ASPD	18DMG|278BEXP|3RCR|4ASPD|5FEWX|68VULN|8BPWR|9ERES|aAART
228	55322 32221	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|2aLWND|3RCVC|47VULN|5RCR|6ZMB|9AART
229	55322 32222	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|2LWND|3RCVC|47VULN|5RCR|6ZMB|9AART|aMLV
230	55322 32224	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|2LWND|3RCVC|47VULN|5RCR|6ZMB|9AART|aLIT
231	55322 32223	   	169.94	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|2LWND|3RCVC|47VULN|5RCR|6ZMB|9AART|aTLV
232	63332 21562	   	169.93	ACR|3DMG|1AART|1VULN|2DUR	1FEWX|29aDMG|3RCVC|47DUR|5RCR|6VULN|8AART
233	54323 51211	   	169.86	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1DMG|246VULN|3RCVC|56DUR|6BPWR|7ZMB|8RCR|9CDMG|aFEWX
234	54323 51213	   	169.86	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1DMG|246VULN|3RCVC|56DUR|6BPWR|7ZMB|8RCR|9CDMG|aRMIN
235	54323 51223	   	169.86	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1DMG|246VULN|3RCVC|56DUR|6BPWR|7ZMB|8RCR|9DMSP|aCDMG
236	56316 11221	   	169.76	ACR|3DMG|2VULN|1DUR|1ASPD	16aDMG|2RPLT|3RCR|4MLV|5aVULN|7DUR|8ASPD|9aFEWX|aBPWR
237	53632 32213	   	169.76	ACR|3DMG|2VULN|1DUR|1ASPD	168DMG|28BEXP|3RCR|4ASPD|59FEWX|78VULN|8BPWR|aDUR
238	53632 32225	   	169.76	ACR|3DMG|2VULN|1DUR|1ASPD	168DMG|28BEXP|3RCR|4ASPD|5FEWX|78VULN|8BPWR|9MLV|aDUR
239	53632 32235	   	169.76	ACR|3DMG|2VULN|1ASPD|1DUR	168DMG|28BEXP|3RCR|4ASPD|5FEWX|78VULN|8BPWR|9CGEN|aDUR
240	53632 43213	   	169.76	ACR|3VULN|2DMG|1DUR|1ASPD	18DMG|278BEXP|3RCR|4ASPD|5FEWX|68aVULN|8BPWR|9DUR
241	53636 22223	   	169.76	ACR|3VULN|2DMG|1DUR|1ASPD	18DMG|258BEXP|3RCR|4ASPD|6DUR|78aVULN|8BPWR|9FEWX
242	53636 22233	   	169.76	ACR|3VULN|2DMG|1DUR|1ASPD	18DMG|258BEXP|3RCR|4ASPD|6DUR|78aVULN|8BPWR|9LHND
243	63632 22223	   	169.76	ACR|3VULN|2DMG|1DUR|1ASPD	158FEWX|28DMG|3RCR|4ASPD|6DUR|78aVULN|8BPWR|9BEXP
244	63632 22233	   	169.76	ACR|3VULN|2DMG|1DUR|1ASPD	158FEWX|28DMG|3RCR|4ASPD|6DUR|78aVULN|8BPWR|9LHND
245	63632 22253	   	169.76	ACR|3VULN|2DMG|1DUR|1ASPD	158FEWX|28DMG|3RCR|4ASPD|6DUR|78aVULN|8BPWR|9LWND
