0	Index      	 *	Score 	Summary	Detail	
1	31261 43112	 * 	198.19	DCR|3VULN|3CDMG|1AART|1DMG|3DUR|1SELL	178VULN|257DUR|3SELL|457CDMG|57BPWR|6AART|9RCR|aDMG
179	33215 31213	   	172.87	DCR|3VULN|2DMG|1AART	15aVULN|28aTLV|3BEXP|4ERES|6aDMG|7AART|9RCR|aBPWR
180	33632 14125	   	172.83	ACR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2TLV|5RCR|6ASPD|7AART|8CDMG|9FEWX
181	33632 24115	   	172.83	ACR|4VULN|1AART|1CDMG|1DUR	134aVULN|2TLV|5RCR|6RMIN|7AART|8CDMG|9DUR
182	35632 41123	   	172.78	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	134VULN|2CGEN|5RCR|6AART|7DUR|8ASPD|9RMIN|aDMG
183	35631 31322	   	172.73	DCR|3VULN|2DMG|2CDMG	134VULN|2CGEN|56DMG|7RCR|8aCDMG|9ERES
184	33632 14143	   	172.73	ACR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2TLV|5RCR|6ASPD|7AART|8CDMG|9ERES
185	33632 41123	   	172.68	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	134VULN|2TLV|5RCR|6AART|7DUR|8ASPD|9RMIN|aDMG
186	21262 53134	   	172.57	DCR|3VULN|2DMG|2CDMG|1DUR	1LWND|2DUR|35DMG|48CDMG|679VULN|aRCR
187	33663 23613	   	172.47	DCR|3VULN|2DMG|1AART	13aVULN|2aTLV|47DMG|5BEXP|6aMLV|8AART|9RCR|aBPWR
188	33632 41343	   	172.36	ACR|5VULN|1AART|1DUR|1SELL	1349aVULN|2TLV|5RCR|6AART|7DUR|8SELL
189	35632 11533	   	172.28	ACR|4VULN|1DMG|1ZMB|1DUR|1ASPD	1349VULN|2CGEN|5RCR|6ASPD|7DUR|8ZMB|aDMG
190	22254 17145	   	172.26	DCR|2VULN|2DMG|1AART|1CDMG	18LWND|2MBVNT|38DMG|4CGEN|5AART|6ERES|78VULN|8BPWR|9RCR|aCDMG
191	22214 17145	   	172.26	DCR|2VULN|2DMG|1AART|1CDMG	18LWND|2MBVNT|38DMG|4ERES|5AART|6CGEN|78VULN|8BPWR|9RCR|aCDMG
192	35631 21323	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|29CGEN|5DMG|6AART|7NUKE|8RCR|aCDMG
193	12173 64113	   	171.87	DCR|3VULN|2DMG|1AART	179BEXP|2MBVNT|369VULN|4DLOT|5AART|89DMG|9BPWR|aRCR
194	12173 73213	   	171.87	DCR|3VULN|2DMG|1AART	189BEXP|2MBVNT|379VULN|4DLOT|5AART|69DMG|9BPWR|aRCR
195	32873 64113	   	171.87	DCR|3VULN|2DMG|1AART	169VULN|2MBVNT|379BEXP|4DLOT|5AART|89DMG|9BPWR|aRCR
196	32873 73213	   	171.87	DCR|3VULN|2DMG|1AART	179VULN|2MBVNT|389BEXP|4DLOT|5AART|69DMG|9BPWR|aRCR
197	32145 15353	 * 	171.85	ACR|4VULN|1DMG|1CDMG|1ZMB	1467VULN|2MBVNT|36TLV|5RCR|6BPWR|8ZMB|9CDMG|aDMG
198	35632 14312	 * 	171.85	ACR|3VULN|1AART|1DMG|2ASPD	134VULN|2CGEN|5RCR|68ASPD|7AART|9LIT|aDMG
199	33631 21363	   	171.83	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|29TLV|5DMG|6AART|7NUKE|8RCR|aCDMG
200	33662 21363	   	171.83	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|29TLV|4DMG|6AART|7NUKE|8RCR|aCDMG
201	33632 14242	   	171.75	ACR|3VULN|1AART|1DMG|2ASPD	134VULN|2TLV|5RCR|69ASPD|7AART|8LIT|aDMG
202	33632 14312	   	171.75	ACR|3VULN|1AART|1DMG|2ASPD	134VULN|2TLV|5RCR|68ASPD|7AART|9LIT|aDMG
203	33632 13613	   	171.63	ACR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2TLV|5RCR|6ASPD|7CGEN|8CDMG|9AART
204	33632 21245	   	171.63	ACR|4VULN|1AART|1CDMG|1DUR	134aVULN|2TLV|5RCR|6RMIN|7DUR|8CDMG|9AART
205	22246 15482	 * 	171.58	ACR|2VULN|2DMG|2AART	1LWND|2MBVNT|39DMG|4aVULN|5RCR|6LIT|78AART
206	32221 37488	   	171.57	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|8ERES|9AART|aZMB
207	32373 82113	   	171.57	DCR|3VULN|2DMG|1AART	169VULN|2MBVNT|379DUST|4DLOT|5AART|89DMG|9BPWR|aRCR
208	32221 62683	   	171.42	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6BELT|7FEWX|8RCR|9CDMG|aAART
209	33632 33543	   	171.40	ACR|5VULN|1AART|1ASPD	13479VULN|2TLV|5RCR|6RPLT|8AART|aASPD
210	36261 31116	   	171.33	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	16VULN|2VENICY|3ZMB|4DUR|5RCR|7FEWX|89AART|aDMG
211	31345 33332	   	171.27	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1aVULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LHND|8ASPD|9AART
212	31345 36332	   	171.27	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1aVULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LWND|8ASPD|9AART
213	12882 45244	 * 	171.25	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|2MBVNT|38CDMG|4AART|5RCR|67DMG|9VULN|aDUR
214	34652 21112	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	13VULN|2ZMB|4CDMG|57DMG|6RCR|8DMSP|9RPLT|aDUR
215	34652 21212	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	13VULN|2ZMB|4CDMG|57DMG|6RCR|8RCVC|9RPLT|aDUR
216	32178 33614	   	171.15	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2MBVNT|3TLV|4CDMG|5RCR|8AART|9MLV|aDMG
217	32178 33633	   	171.15	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2MBVNT|3TLV|4CDMG|5RCR|8AART|9MGNSTR|aDMG
218	31343 33136	   	171.03	ACR|3VULN|1AART|1DMG|2DUR	179VULN|25DUR|3DUST|4RCR|6DMG|8RCVC|aAART
219	32145 13275	   	171.00	ACR|4VULN|1AART|1DMG	146aVULN|2MBVNT|36TLV|5RCR|6BPWR|7DMG|8RPLT|9AART
220	32145 15734	   	170.93	ACR|4VULN|1AART|1CDMG|1DUR	1467VULN|2MBVNT|36TLV|5RCR|6BPWR|8CDMG|9DUR|aAART
221	32178 33734	   	170.93	ACR|4VULN|1AART|1CDMG|1DUR	1678VULN|2MBVNT|3TLV|4CDMG|5RCR|9DUR|aAART
222	22244 15332	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2MBVNT|3DMG|4aVULN|5CDMG|6DUR|7RCR|8ASPD|9AART
223	22275 15332	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2MBVNT|3DMG|4CDMG|5aVULN|6DUR|7RCR|8ASPD|9AART
224	22823 15332	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2MBVNT|3CDMG|4aVULN|5DMG|6DUR|7RCR|8ASPD|9AART
225	34631 21233	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	134VULN|2ZMB|5aDMG|6DMSP|7RCR|8CGEN|9DUR
226	34662 21233	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	135VULN|2ZMB|4aDMG|6DMSP|7RCR|8CGEN|9DUR
227	33632 46313	   	170.78	ACR|4VULN|1AART|1ZMB|1DUR	1347VULN|2TLV|5RCR|6AART|8ZMB|9LIT|aDUR
228	11145 33313	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2DUR|39VULN|4RCR|5DMG|6CDMG|7LHND|8ASPD|aAART
229	21145 35313	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|39VULN|4RCR|5DMG|6CDMG|7BEXP|8ASPD|aAART
230	35634 23333	   	170.67	DCR|3VULN|3DMG|1SELL	134VULN|2CGEN|5BEXP|6RCR|79aDMG|8SELL
231	35636 23333	   	170.67	DCR|3VULN|3DMG|1SELL	134VULN|2CGEN|5FEWX|6RCR|79aDMG|8SELL
232	31345 33313	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	19VULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LHND|8ASPD|aAART
233	31345 35312	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	19VULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7BEXP|8ASPD|aAART
234	31345 36313	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	19VULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LWND|8ASPD|aAART
235	11141 31523	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2DUR|38VULN|4RCR|5ASPD|6CDMG|7BASICY|9DMG|aAART
236	36332 11551	 * 	170.61	DCR|5VULN|2CDMG|1ZMB	1347aVULN|26VENICY|56CDMG|6BPWR|8RCR|9ZMB
237	33634 23333	   	170.57	DCR|3VULN|3DMG|1SELL	134VULN|2TLV|5BEXP|6RCR|79aDMG|8SELL
238	33636 23333	   	170.57	DCR|3VULN|3DMG|1SELL	134VULN|2TLV|5FEWX|6RCR|79aDMG|8SELL
239	35633 23333	   	170.57	DCR|3VULN|3DMG|1SELL	134VULN|2CGEN|5DUST|6RCR|79aDMG|8SELL
240	31341 31523	   	170.57	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	18VULN|2DUR|3DUST|4RCR|5ASPD|6CDMG|7BASICY|9DMG|aAART
241	12882 43284	 * 	170.55	ACR|2DMG|1AART|3CDMG|1VULN	179BEXP|2MBVNT|389CDMG|4AART|5RCR|69DMG|9BPWR|aVULN
242	34652 21122	   	170.48	DCR|2VULN|2DMG|2CDMG|1ZMB	13VULN|2ZMB|4aCDMG|57DMG|6RCR|8DMSP|9ERES
243	34652 21222	   	170.48	DCR|2VULN|2DMG|2CDMG|1ZMB	13VULN|2ZMB|4aCDMG|57DMG|6RCR|8RCVC|9ERES
244	34652 21312	   	170.48	DCR|2VULN|2DMG|2CDMG|1ZMB	13VULN|2ZMB|4aCDMG|57DMG|6RCR|8ERES|9DMSP
245	33633 23333	   	170.47	DCR|3VULN|3DMG|1SELL	134VULN|2TLV|5DUST|6RCR|79aDMG|8SELL
246	34652 21322	   	170.38	DCR|2VULN|2DMG|2CDMG|1ZMB	13VULN|2ZMB|4aCDMG|57DMG|6RCR|89ERES
247	33611 32631	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	13VULN|2TLV|4RCVC|56DMG|7CDMG|8AART|9RCR|aLHND
248	33611 32634	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	13VULN|2TLV|4RCVC|56DMG|7CDMG|8AART|9RCR|aBELT
249	33611 32636	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	13VULN|2TLV|4aRCVC|56DMG|7CDMG|8AART|9RCR
250	33611 32633	   	170.26	DCR|2VULN|2DMG|1AART|1CDMG	13VULN|2TLV|4RCVC|56DMG|7CDMG|8AART|9RCR|aERES
251	22244 15313	   	170.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2MBVNT|3DMG|49VULN|5CDMG|6DUR|7RCR|8ASPD|aAART
252	22275 15313	   	170.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2MBVNT|3DMG|4CDMG|59VULN|6DUR|7RCR|8ASPD|aAART
253	22823 15313	   	170.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2MBVNT|3CDMG|49VULN|5DMG|6DUR|7RCR|8ASPD|aAART
254	22244 33331	   	170.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|39DMG|467VULN|5CDMG|8ZMB|aRCR
255	22272 63341	   	170.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|35DMG|4CDMG|679VULN|8ZMB|aRCR
256	22275 33331	   	170.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|39DMG|4CDMG|567VULN|8ZMB|aRCR
257	22823 33331	   	170.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|3CDMG|467VULN|59DMG|8ZMB|aRCR
258	33632 33452	   	170.20	ACR|5VULN|1AART|1DUR	13479VULN|2TLV|5RCR|6RPLT|8DUR|aAART
259	21515 63312	   	170.20	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1LWND|26DUR|3RCR|47VULN|59DMG|8ASPD|aZMB
260	33631 24113	 * 	170.18	DCR|4VULN|1AART|1DMG	134aVULN|2aTLV|5DMG|6AART|7CGEN|8aLHND|9RCR|aBPWR
261	33631 24213	   	170.18	DCR|4VULN|1AART|1DMG	134aVULN|2aTLV|5DMG|6AART|7CGEN|8aLWND|9RCR|aBPWR
262	33662 24113	   	170.18	DCR|4VULN|1AART|1DMG	135aVULN|2aTLV|4DMG|6AART|7CGEN|8aLHND|9RCR|aBPWR
263	33662 24213	   	170.18	DCR|4VULN|1AART|1DMG	135aVULN|2aTLV|4DMG|6AART|7CGEN|8aLWND|9RCR|aBPWR
264	34631 53313	 * 	170.17	4VULN|3DMG|1AART|1CDMG|1ZMB	1347VULN|2ZMB|57aDMG|67ERES|7BPWR|8CDMG|9AART
265	11515 21125	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1BEXP|2DUR|3RCR|47VULN|59DMG|6MLV|8DUST|aAART
266	21515 21125	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2DUR|3RCR|47VULN|59DMG|6MLV|8DUST|aAART
267	36312 34613	   	170.06	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13VULN|2VENICY|4aDUR|5BASHEA|6RCR|7AART|8DMG|9ZMB
268	22246 34764	   	170.05	ACR|3VULN|1AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|489VULN|5RCR|6CDMG|7RCVC|aAART
269	35631 25311	   	169.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	134VULN|2CGEN|5DMG|6AART|7DUR|8ASPD|9RCR|aFEWX
270	35631 25312	   	169.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	134VULN|2CGEN|5DMG|6AART|7DUR|8ASPD|9RCR|aRMIN
271	32145 13464	   	169.95	ACR|3VULN|1AART|1DMG|1CDMG	146VULN|2MBVNT|36TLV|5RCR|6BPWR|7DMG|8MLV|9CDMG|aAART
272	32178 33234	   	169.95	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2MBVNT|3TLV|4CDMG|5RCR|8CGEN|9DMG|aAART
273	33632 63464	   	169.95	ACR|3VULN|1AART|1DMG|1CDMG	134VULN|2TLV|5RCR|6MBVNT|7DMG|8MLV|9CDMG|aAART
274	35631 25313	   	169.86	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	134VULN|2CGEN|5DMG|6AART|7DUR|8ASPD|9RCR|aLSRREG
275	32241 73368	 * 	169.84	DCR|4VULN|1AART|2CDMG|1SELL	1579VULN|2MBVNT|3SELL|45CDMG|5BPWR|6RPLT|8RCR|aAART
276	33612 46312	   	169.80	ACR|3VULN|1AART|1DMG|1ZMB	137VULN|2TLV|4RCVC|5RCR|6AART|8ZMB|9LIT|aDMG
277	12842 45523	 * 	169.75	DCR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1ZMB	1BEXP|2MBVNT|34CDMG|5VULN|6FLTHEA|7RCR|8ZMB|9DMG|aAART
278	31141 31413	   	169.75	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2aDUR|3TLV|4CGEN|5RCVC|6aDMG|7AART|8DMSP|9RCR|aBPWR
279	36323 43423	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2VENICY|4FEWX|5DUST|6RCR|7CDMG|8ZMB|9DMG|aAART
280	22246 15483	 * 	169.65	ACR|3DMG|2AART|1VULN	1LWND|2MBVNT|39aDMG|4VULN|5RCR|6LIT|78AART
281	31111 31413	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2aDUR|3TLV|4ERES|5RCVC|6aDMG|7AART|8DMSP|9RCR|aBPWR
282	31141 31213	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2aDUR|38TLV|4CGEN|5RCVC|6aDMG|7AART|9RCR|aBPWR
283	31343 32164	   	169.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aVULN|25DUR|3DUST|4RCR|6DMG|7CDMG|8MLV|9AART
284	35634 21123	   	169.62	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2CGEN|5BEXP|6RCR|7AART|8ASPD|9RMIN|aDMG
285	36261 23134	   	169.58	ACR|4VULN|1AART|1ZMB|1DUR	179aVULN|2VENICY|3ZMB|4DUR|5RCR|6LHND|8AART
286	31111 31213	   	169.55	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2aDUR|38TLV|4ERES|5RCVC|6aDMG|7AART|9RCR|aBPWR
287	35633 21123	   	169.52	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2CGEN|5DUST|6RCR|7AART|8ASPD|9RMIN|aDMG
288	33634 21123	   	169.52	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2TLV|5BEXP|6RCR|7AART|8ASPD|9RMIN|aDMG
289	12882 53324	   	169.44	ACR|2AART|2VULN|1DMG|1CDMG	16BEXP|2MBVNT|3CDMG|48AART|5RCR|79VULN|aDMG
290	11515 21212	   	169.44	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DUR|3RCR|47aVULN|5DMG|6MLV|8AART|9RPLT
291	11515 21242	   	169.44	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DUR|3RCR|47aVULN|5DMG|6MLV|8AART|9RMIN
292	33633 21123	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2TLV|5DUST|6RCR|7AART|8ASPD|9RMIN|aDMG
293	22242 35434	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aLWND|2MBVNT|3DMG|4aVULN|5BEXP|6CDMG|7RCR|8aDUR|9AART|aBPWR
294	32846 35434	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aVULN|2MBVNT|3BEXP|4aLWND|5DMG|6CDMG|7RCR|8aDUR|9AART|aBPWR
295	35634 23123	   	169.37	DCR|4VULN|2DMG	134aVULN|2CGEN|5BEXP|6RCR|79DMG|8BELT
296	35636 23123	   	169.37	DCR|4VULN|2DMG	134aVULN|2CGEN|5FEWX|6RCR|79DMG|8BELT
297	22278 11184	   	169.35	ACR|2DMG|3CDMG|1AART|1VULN	189LWND|2MBVNT|39DMG|479CDMG|5RCR|6AART|9BPWR|aVULN
298	11515 21222	   	169.34	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DUR|3RCR|47aVULN|5DMG|6MLV|8AART|9TLV
299	21515 11325	   	169.34	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2DUR|3RCR|49aVULN|5DMG|6LIT|7DUST|8AART
300	34652 22111	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	139VULN|2ZMB|4CDMG|5DMG|6RCR|7LIT|8ASPD|aCGEN
301	34652 22112	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	139VULN|2ZMB|4CDMG|5DMG|6RCR|7LIT|8ASPD|aRCVC
302	34652 22123	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	13aVULN|2ZMB|4CDMG|5DMG|6RCR|7LIT|8ASPD|9LHND
303	33634 23123	   	169.27	DCR|4VULN|2DMG	134aVULN|2TLV|5BEXP|6RCR|79DMG|8BELT
304	33636 23123	   	169.27	DCR|4VULN|2DMG	134aVULN|2TLV|5FEWX|6RCR|79DMG|8BELT
305	35633 23123	   	169.27	DCR|4VULN|2DMG	134aVULN|2CGEN|5DUST|6RCR|79DMG|8BELT
306	33634 21343	 * 	169.20	DCR|5VULN|1AART|1SELL	1349aVULN|2TLV|5BEXP|6RCR|7AART|8SELL
307	33636 21343	 * 	169.20	DCR|5VULN|1AART|1SELL	1349aVULN|2TLV|5FEWX|6RCR|7AART|8SELL
308	31345 33531	   	169.20	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LHND|8ZMB|9aAART
309	33633 23123	   	169.17	DCR|4VULN|2DMG	134aVULN|2TLV|5DUST|6RCR|79DMG|8BELT
310	33633 21343	 * 	169.10	DCR|5VULN|1AART|1SELL	1349aVULN|2TLV|5DUST|6RCR|7AART|8SELL
311	33635 24311	 * 	169.07	DCR|4VULN|1AART|1CDMG	1347VULN|2TLV|5LWND|6RCR|8CDMG|9AART|aMLV
312	33635 24312	   	169.07	DCR|4VULN|1AART|1CDMG	1347VULN|2TLV|5aLWND|6RCR|8CDMG|9AART
313	33635 24313	   	169.07	DCR|4VULN|1AART|1CDMG	1347VULN|2TLV|5LWND|6RCR|8CDMG|9AART|aFEWX
314	33634 23334	   	169.02	DCR|4VULN|2DMG|1SELL	134aVULN|2TLV|5BEXP|6RCR|79DMG|8SELL
315	33636 23334	   	169.02	DCR|4VULN|2DMG|1SELL	134aVULN|2TLV|5FEWX|6RCR|79DMG|8SELL
316	35633 23334	   	169.02	DCR|4VULN|2DMG|1SELL	134aVULN|2CGEN|5DUST|6RCR|79DMG|8SELL
317	15615 31313	   	168.96	DCR|2VULN|2DMG|2AART	1aBEXP|2aCGEN|35VULN|4ERES|6aDMG|78AART|9RCR|aBPWR
318	35211 31313	   	168.96	DCR|2VULN|2DMG|2AART	1aVULN|2aCGEN|3BEXP|4ERES|5RCVC|6aDMG|78AART|9RCR|aBPWR
319	35216 31313	   	168.96	DCR|2VULN|2DMG|2AART	1aVULN|2aCGEN|35BEXP|4ERES|6aDMG|78AART|9RCR|aBPWR
320	33633 23334	   	168.92	DCR|4VULN|2DMG|1SELL	134aVULN|2TLV|5DUST|6RCR|79DMG|8SELL
321	33635 21263	   	168.92	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2TLV|5LWND|6RCR|7DUR|8AART|9LIT|aDMG
322	35634 23133	   	168.91	DCR|3VULN|2DMG|1CDMG	134VULN|2CGEN|5BEXP|6RCR|7aDMG|8BELT|9CDMG
323	35636 23133	   	168.91	DCR|3VULN|2DMG|1CDMG	134VULN|2CGEN|5FEWX|6RCR|7aDMG|8BELT|9CDMG
324	12882 15342	   	168.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2MBVNT|3CDMG|4AART|5RCR|6aVULN|7DUST|8ZMB|9DMG
325	21515 23136	   	168.84	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2DUR|3RCR|48aVULN|5DMG|6MLV|7CGEN|9AART
326	33634 23133	   	168.81	DCR|3VULN|2DMG|1CDMG	134VULN|2TLV|5BEXP|6RCR|7aDMG|8BELT|9CDMG
327	33636 23133	   	168.81	DCR|3VULN|2DMG|1CDMG	134VULN|2TLV|5FEWX|6RCR|7aDMG|8BELT|9CDMG
328	35633 23133	   	168.81	DCR|3VULN|2DMG|1CDMG	134VULN|2CGEN|5DUST|6RCR|7aDMG|8BELT|9CDMG
329	34631 16232	 * 	168.78	DCR|3VULN|1DMG|1FLTHEA|1CDMG|1ZMB	134VULN|2ZMB|5DMG|6LIT|7RPLT|8FLTHEA|9RCR|aCDMG
330	22244 15631	   	168.78	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3DMG|4VULN|5CDMG|6DUR|7RCR|8ZMB|9aAART
331	22823 15631	   	168.78	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3CDMG|4VULN|5DMG|6DUR|7RCR|8ZMB|9aAART
332	33633 23133	   	168.71	DCR|3VULN|2DMG|1CDMG	134VULN|2TLV|5DUST|6RCR|7aDMG|8BELT|9CDMG
333	12884 43424	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2MBVNT|38CDMG|4AART|5RCVC|6RCR|79VULN|aDMG
334	12884 48224	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2MBVNT|37CDMG|4AART|5RCVC|6RCR|89VULN|aDMG
335	33633 23443	   	168.61	DCR|3VULN|2DMG|1CDMG	134VULN|2TLV|58DUST|6RCR|7aDMG|9CDMG
336	12166 35442	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2MBVNT|3aVULN|4FEWX|5DMG|6CDMG|7RCR|8AART|9ZMB
337	12275 35442	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2MBVNT|3DMG|4CDMG|5aVULN|6FEWX|7RCR|8AART|9ZMB
338	12716 35442	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2MBVNT|3FEWX|4aVULN|5DMG|6CDMG|7RCR|8AART|9ZMB
339	12825 35442	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2MBVNT|3CDMG|4DMG|5aVULN|6FEWX|7RCR|8AART|9ZMB
340	32366 35442	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|2MBVNT|3DUST|4FEWX|5DMG|6CDMG|7RCR|8AART|9ZMB
341	33631 31243	   	168.42	DCR|3VULN|3DMG	134VULN|2TLV|56aDMG|7RCR|8CGEN|9LHND
342	33662 31243	   	168.42	DCR|3VULN|3DMG	135VULN|2TLV|46aDMG|7RCR|8CGEN|9LHND
343	33631 31263	   	168.32	DCR|3VULN|3DMG	134VULN|2TLV|56aDMG|7RCR|8CGEN|9DUST
344	33662 31263	   	168.32	DCR|3VULN|3DMG	135VULN|2TLV|46aDMG|7RCR|8CGEN|9DUST
345	22278 16211	   	168.24	ACR|2VULN|2AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|4CDMG|5RCR|67AART|89VULN|aLIT
346	22278 16212	   	168.24	ACR|2VULN|2AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|4CDMG|5RCR|67AART|89VULN|aBEXP
347	22278 16214	   	168.24	ACR|2VULN|2AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|4CDMG|5RCR|67AART|89VULN|aLHND
348	11521 33636	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	14BEXP|2DUR|3RCR|5RCVC|6DMG|789VULN|aAART
349	11531 33636	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DUR|3RCR|45RCVC|6DMG|789VULN|aAART
350	33661 41213	   	168.21	DCR|3VULN|1AART|1DMG|2DUR	13aVULN|28aTLV|4DMG|5CGEN|6AART|7aDUR|9RCR|aBPWR
