0	Index      	 *	Score 	Summary	Detail	
1	13133 12662	 * 	226.64	ACR|3VULN|3DMG|1AART|2ASPD|1CDMG	15aVULN|2AART|3RCR|47aDMG|6CDMG|8CANSTR|9aASPD|aBPWR
182	13133 51321	   	197.69	ACR|4VULN|2DMG|1AART	158aVULN|2AART|3RCR|47DMG|6RPLT|9DUST
183	13133 51351	   	197.69	ACR|4VULN|2DMG|1AART	158aVULN|2AART|3RCR|47DMG|6RPLT|9LEGI
184	13133 13344	   	197.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	158VULN|2AART|3RCR|4DMG|6CDMG|7DUR|9ERES|aZMB
185	13143 12354	   	197.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	158VULN|2AART|3RCR|4ASPD|6CDMG|7DMG|9DUST|aZMB
186	13133 11544	   	197.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	157VULN|2AART|3RCR|4DMG|6CDMG|8DUR|9ERES|aZMB
187	13112 33738	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	189VULN|2AART|3RCR|49LIT|5LEGI|6MBVNT|79DMG|9BPWR|aCDMG
188	13133 12121	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9LWND|aBEXP
189	13133 12122	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9LWND|aLIT
190	13133 12125	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9LWND|aLHND
191	13133 12151	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9BEXP|aFEWX
192	13133 12152	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9BEXP|aLIT
193	13133 12155	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9BEXP|aLHND
194	13133 12231	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|47DMG|6CDMG|8LHND|9BEXP
195	13133 12412	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8CGEN|aBEXP
196	13133 12413	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8CGEN|aRMIN
197	13133 15531	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|48DMG|6CDMG|7LHND|9BEXP
198	13433 34532	   	197.25	DCR|3VULN|2DMG|1AART	159VULN|2AART|3DUR|49DMG|6RCR|7LEGI|89LIT|9BPWR|aASPD
199	13133 12123	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9LWND|aERES
200	13133 12126	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9LWND|aNUKE
201	13133 12153	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9BEXP|aERES
202	13133 12156	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|2AART|3RCR|47DMG|6CDMG|9BEXP|aNUKE
203	13133 12221	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|47DMG|6CDMG|8LHND|9DUST
204	13133 12416	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|2AART|3RCR|47DMG|6CDMG|8CGEN|aERES
205	13133 15521	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	15aVULN|2AART|3RCR|48DMG|6CDMG|7LHND|9DUST
206	13136 12135	   	196.66	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|2AART|3RCR|47DMG|5aRCVC|6CDMG|9ZMB
