0	Index      	 *	Score 	Summary	Detail	
1	43141 12116	 * 	197.83	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	1aCDMG|2aDMG|39VULN|4RCR|5LHND|6AART|7RCVC|8aDUR|aBPWR
167	23534 32612	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	1ERES|29BEXP|3AART|4aDMG|5RCR|68VULN|7DUR
168	43143 54442	   	169.34	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3aVULN|4RCR|5DUST|6MBVNT|7CGEN|89AART
169	43143 22442	   	169.24	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3aVULN|4RCR|5DUST|6ERES|7MBVNT|89AART
170	43143 42442	   	169.24	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3aVULN|4RCR|5DUST|6TLV|7MBVNT|89AART
171	43543 22442	   	169.24	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3DUST|4RCR|5aVULN|6ERES|7MBVNT|89AART
172	51426 11213	   	169.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2CDMG|3RCR|4MGNLIT|5AART|6LWND|7aVULN|8DMG|9DUR
173	23534 31124	   	169.14	ACR|3VULN|1AART|1DMG|1ASPD	1ERES|2BEXP|3AART|4DMG|5RCR|68aVULN|7ASPD|9RCVC
174	42426 11213	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LEGI|3RCR|4MGNLIT|5AART|6LWND|7aVULN|8DMG|9DUR
175	61426 31213	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2CDMG|3RCR|4MGNLIT|5AART|6DUST|7aVULN|8DMG|9DUR
176	34226 33321	 * 	169.01	DCR|3VULN|2DMG|3DUR	1RMIN|28DMG|3ERES|458DUR|68aVULN|7RCR|8BPWR|9CGEN
177	34226 33361	   	169.01	DCR|3VULN|2DMG|3DUR	1RMIN|28DMG|3ERES|458DUR|68aVULN|7RCR|8BPWR|9LHND
178	34226 33331	   	168.91	DCR|3VULN|2DMG|3DUR	1RMIN|28DMG|3ERES|458DUR|68aVULN|7RCR|8BPWR|9DUST
179	33545 33322	   	168.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13RMIN|28MLV|4DMG|58DUR|68VULN|7RCR|8BPWR|9CDMG|aAART
180	43213 56223	   	168.73	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1CDMG|28DMG|37ASPD|4AART|5SNIHEL|6RMIN|9RCR|aVULN
181	34152 23222	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|26DMG|3VULN|48DUR|5CGEN|7RCR|9CDMG|aAART
182	51442 13113	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2CDMG|3RCR|4DMG|58FEWX|6AART|79VULN|aDUR
183	34116 23222	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|26DMG|3VULN|4ERES|58DUR|7RCR|9CDMG|aAART
184	34146 23222	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|26DMG|3VULN|4TLV|58DUR|7RCR|9CDMG|aAART
185	34151 23222	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|26DMG|3VULN|48DUR|5TLV|7RCR|9CDMG|aAART
186	34265 33222	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|24DMG|3ERES|58DUR|6VULN|7RCR|9CDMG|aAART
187	35442 23222	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|28DUR|36DMG|4TLV|5VULN|7RCR|9CDMG|aAART
188	41232 21221	   	168.58	DCR|1AART|3CDMG|1VULN|1DMG|1ZMB|1DUR	167CDMG|2DUR|3AART|4ZMB|5DMG|8BELT|9RCR|aVULN
189	43141 12313	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8LWND|aDUR
190	43141 12613	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8BEXP|aDUR
191	43141 12111	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8DUR|aCGEN
192	43141 12115	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8DUR|aRMIN
193	43141 12132	   	168.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3aVULN|4RCR|5LHND|6AART|7RCVC|8DUR|9MLV
194	43141 12213	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8LEGI|aDUR
195	43143 12214	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|7RCVC|8LHND|aDUR
196	43146 12213	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LEGI|6AART|7RCVC|8LHND|aDUR
197	43141 12112	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8DUR|aDUST
198	43143 12111	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|7RCVC|8DUR|aCGEN
199	43143 12113	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|7RCVC|8DUR|aLHND
200	43143 12115	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|7RCVC|8DUR|aLIT
201	43143 12132	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3aVULN|4RCR|5DUST|6AART|7RCVC|8DUR|9MLV
202	43146 12111	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LEGI|6AART|7RCVC|8DUR|aCGEN
203	43146 12132	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3aVULN|4RCR|5LEGI|6AART|7RCVC|8DUR|9MLV
204	43543 12111	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3DUST|4RCR|59VULN|6AART|7RCVC|8DUR|aCGEN
205	43543 12113	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3DUST|4RCR|59VULN|6AART|7RCVC|8DUR|aLHND
206	43543 12132	   	168.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3DUST|4RCR|5aVULN|6AART|7RCVC|8DUR|9MLV
207	43143 12112	   	168.24	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5aDUST|6AART|7RCVC|8DUR
208	43146 12112	   	168.24	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|39VULN|4RCR|5LEGI|6AART|7RCVC|8DUR|aDUST
209	43543 12112	   	168.24	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3aDUST|4RCR|59VULN|6AART|7RCVC|8DUR
210	31514 22241	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RMIN|2LWND|3AART|47DUR|58VULN|6DMG|9RCR|aCDMG
211	31522 52241	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RMIN|2LWND|3AART|48VULN|5DMG|67DUR|9RCR|aCDMG
212	32514 22241	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RMIN|2LHND|3AART|47DUR|58VULN|6DMG|9RCR|aCDMG
213	32522 52241	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RMIN|2LHND|3AART|48VULN|5DMG|67DUR|9RCR|aCDMG
214	23512 62241	   	168.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|2BEXP|3AART|47DUR|5DMG|68VULN|9RCR|aCDMG
215	23522 52241	   	168.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|2BEXP|3AART|48VULN|5DMG|67DUR|9RCR|aCDMG
216	23523 22241	   	168.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|2BEXP|3AART|48VULN|57DUR|6DMG|9RCR|aCDMG
217	43343 12152	   	167.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|5aVULN|6AART|7CGEN|8DUR|9RCVC
218	43343 13151	   	167.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|57VULN|6AART|8DUR|9RCVC|aCGEN
219	43343 13253	   	167.84	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3FEWX|4RCR|57VULN|6AART|8LHND|9RCVC|aDUR
