0	Index      	 *	Score 	Summary	Detail	
1	21112 52651	 * 	184.82	DCR|4VULN|3DMG	1LEGI|2ERES|3459VULN|6RCR|78aDMG
176	64221 12336	   	155.39	ACR|2VULN|1AART|3ASPD|1CDMG	1RMIN|2CDMG|3aVULN|467ASPD|5RCR|8AART|9TLV
177	51512 51233	   	155.37	ACR|2VULN|2DMG|1ZMB|1DUR	1MGNSTR|2ERES|35VULN|4RCR|69DMG|7DUR|8ZMB|aDUST
178	13521 42316	   	155.31	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1RCVC|24CDMG|3LIT|5DLOT|6ZMB|7DMG|8VULN|9RCR|aAART
179	65124 21333	   	155.30	DCR|2VULN|2DMG|1CDMG|1ASPD	1RMIN|2DUST|35VULN|47DMG|6LWND|8RCR|9CDMG|aASPD
180	56512 31241	   	155.27	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1MGNSTR|2ZMB|35VULN|4RCR|6MBVNT|7LWND|8CDMG|9AART|aASPD
181	56512 31133	   	155.25	ACR|2VULN|1AART|1DMG|1ZMB	1MGNSTR|2ZMB|35VULN|4RCR|6MBVNT|7LWND|8AART|9LEGI|aDMG
182	21112 52611	   	155.06	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9BEXP|aCGEN
183	21112 52615	   	155.06	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9BEXP|aLIT
184	21112 52616	   	155.06	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9BEXP|aBELT
185	21112 52642	   	155.06	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9CGEN|aLWND
186	21112 52643	   	155.06	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9CGEN|aLHND
187	51532 53231	   	155.05	DCR|2VULN|2DMG|1ZMB|1DUR	1MGNSTR|2ERES|35VULN|4DUR|69DMG|7RCR|8ZMB|aBEXP
188	51532 53232	   	155.05	DCR|2VULN|2DMG|1ZMB|1DUR	1MGNSTR|2ERES|35VULN|4DUR|69DMG|7RCR|8ZMB|aLHND
189	24211 23562	   	155.00	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR|1SELL	1LEGI|2ZMB|3SELL|4ERES|5RCR|6DUR|7CDMG|8DMG|9AART|aVULN
190	52251 21161	   	155.00	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1MGNSTR|25CDMG|3BELT|4AART|6VULN|7FEWX|8ZMB|9RCR|aDMG
191	52251 22161	   	155.00	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1MGNSTR|25CDMG|3BELT|4AART|6VULN|7ZMB|8FEWX|9RCR|aDMG
192	52253 12361	   	155.00	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1MGNSTR|26CDMG|3BELT|4AART|5LHND|7ZMB|8VULN|9RCR|aDMG
193	21112 52613	   	154.96	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9BEXP|aDUST
194	21112 52614	   	154.96	DCR|3VULN|2DMG	1LEGI|2ERES|345VULN|6RCR|78DMG|9BEXP|aTLV
195	51532 53233	   	154.95	DCR|2VULN|2DMG|1ZMB|1DUR	1MGNSTR|2ERES|35VULN|4DUR|69DMG|7RCR|8ZMB|aDUST
196	22115 42532	 * 	154.87	DCR|2VULN|2DMG|2CDMG	1LEGI|2DMSP|39RPLT|4BELT|5aDMG|6aCDMG|7aVULN|8RCR|aBPWR
197	52314 24132	   	154.87	DCR|2AART|2VULN|2CDMG	16MGNSTR|27CDMG|3LIT|46VULN|5aAART|6BPWR|8RCR|9LWND
198	21122 53236	   	154.85	DCR|2VULN|2DMG|1ZMB|1ASPD	1LEGI|2ERES|35VULN|4CANSTR|69DMG|7RCR|8ZMB|aASPD
