0	Index      	 *	Score 	Summary	Detail	
1	15262 14131	 * 	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2ASPD|3DUR|4RCR|5RPLT|6DMG|7SPLARM|8VULN|9ZMB|aBASARM
163	13262 24332	   	172.92	ACR|3BEXP|1DMG|1VULN|1CDMG	168BEXP|2AAC|3DUR|4RCR|5RPLT|7CDMG|9VULN|aDMG
164	13264 21116	   	172.92	ACR|3BEXP|1VULN|1ASPD|1CDMG	179BEXP|2AAC|3DUR|4RCR|5FEWX|6VULN|8ASPD|aCDMG
165	21262 24331	   	172.92	ACR|3BEXP|1ASPD|1VULN|1CDMG	1LWND|268BEXP|3TLV|4RCR|5RPLT|7CDMG|9VULN|aASPD
166	21262 24332	   	172.92	ACR|3BEXP|1DMG|1VULN|1CDMG	1LWND|268BEXP|3TLV|4RCR|5RPLT|7CDMG|9VULN|aDMG
167	33323 32255	 * 	172.88	ACR|2DMG|1ASPD|1BASICY|1CDMG	1MLV|2DUST|3TLV|4CDMG|5RCR|6ASPD|78DMG|9RCVC|aBASICY
168	14236 23121	   	172.84	ACR|2ASPD|2BEXP|3CDMG	17BEXP|246CDMG|36DUST|5RCR|6BPWR|8aASPD|9MBVNT
169	12266 21116	   	172.82	ACR|3BEXP|1VULN|1ASPD|1CDMG	179BEXP|2ERES|3DUR|4RCR|5MBVNT|6VULN|8ASPD|aCDMG
170	12462 24331	   	172.82	ACR|3BEXP|1ASPD|1VULN|1CDMG	168BEXP|2ERES|3DUST|4RCR|5RPLT|7CDMG|9VULN|aASPD
171	12462 24332	   	172.82	ACR|3BEXP|1DMG|1VULN|1CDMG	168BEXP|2ERES|3DUST|4RCR|5RPLT|7CDMG|9VULN|aDMG
172	13266 21117	   	172.82	ACR|3BEXP|1VULN|1ASPD|1CDMG	179BEXP|2AAC|3DUR|4RCR|5MBVNT|6VULN|8ASPD|aCDMG
173	13462 24331	   	172.82	ACR|3BEXP|1ASPD|1VULN|1CDMG	168BEXP|2AAC|3DUST|4RCR|5RPLT|7CDMG|9VULN|aASPD
174	13462 24332	   	172.82	ACR|3BEXP|1DMG|1VULN|1CDMG	168BEXP|2AAC|3DUST|4RCR|5RPLT|7CDMG|9VULN|aDMG
175	16262 24331	   	172.82	ACR|3BEXP|1ASPD|1VULN|1CDMG	168BEXP|2DUST|3TLV|4RCR|5RPLT|7CDMG|9VULN|aASPD
176	16262 24332	   	172.82	ACR|3BEXP|1DMG|1VULN|1CDMG	168BEXP|2DUST|3TLV|4RCR|5RPLT|7CDMG|9VULN|aDMG
177	25623 21224	 * 	172.23	ACR|2DMG|1ASPD|2CDMG|1AART	16LWND|2ASPD|3AME|46CDMG|5RCR|6BPWR|7AART|8aDMG|9RMIN
178	25623 21237	   	172.13	ACR|2DMG|1ASPD|2CDMG|1AART	16LWND|2ASPD|3AME|46CDMG|5RCR|6BPWR|7AART|8aDMG|9MBVNT
179	15262 11153	   	172.10	ACR|2DMG|2BEXP|1ASPD	17BEXP|2ASPD|3DUR|4RCR|58RPLT|6aDMG|9CGEN
180	15262 11342	   	172.10	ACR|2ASPD|2BEXP|1DMG	17BEXP|2aASPD|3DUR|4RCR|5RPLT|6DMG|8FEWX|9MLV
181	15262 11412	   	172.10	ACR|2ASPD|2BEXP|1DMG	17BEXP|2aASPD|3DUR|4RCR|5RPLT|6DMG|8MLV|9LWND
182	15262 11512	   	172.10	ACR|2ASPD|2BEXP|1DMG	17BEXP|2aASPD|3DUR|4RCR|5RPLT|6DMG|8CGEN|9LWND
183	15262 13423	   	172.10	ACR|2DMG|2BEXP|1ASPD	19BEXP|2ASPD|3DUR|4RCR|5RPLT|6aDMG|78RMIN
184	13262 13134	   	172.10	ACR|2DMG|2BEXP|2CDMG	1aBEXP|2AAC|39DUR|4RCR|5RPLT|6aDMG|7RMIN|8aCDMG|aBPWR
185	33323 32246	 * 	172.03	ACR|2DMG|1ASPD|2CDMG|1BEXP	1MLV|2DUST|3TLV|4aCDMG|5RCR|6ASPD|78DMG|9BEXP
186	13266 27221	   	172.02	ACR|2ASPD|1VULN|1DMG|1BEXP	1BEXP|2AAC|3DUR|4RCR|5MBVNT|6VULN|7DMG|8ZMB|9aASPD
187	15261 26311	 * 	172.02	ACR|2DMG|1ASPD|1VULN|1BEXP	1BEXP|2ASPD|3DUR|4RCR|5MULARM|6MSLREG|7MLV|8aDMG|9VULN
188	15261 26312	   	172.02	ACR|2ASPD|1DMG|1VULN|1BEXP	1BEXP|2aASPD|3DUR|4RCR|5MULARM|6MSLREG|7MLV|8DMG|9VULN
189	15261 42323	   	172.02	ACR|2ASPD|1DMG|1VULN|1BEXP	1BEXP|2aASPD|3DUR|4RCR|5MULARM|6DMG|7LIT|8TLV|9VULN
190	15261 43211	   	172.02	ACR|2DMG|1ASPD|1VULN|1BEXP	1BEXP|2ASPD|3DUR|4RCR|5MULARM|6aDMG|7ZMB|8MSLTOX|9VULN
191	15261 43212	   	172.02	ACR|2ASPD|1DMG|1VULN|1BEXP	1BEXP|2aASPD|3DUR|4RCR|5MULARM|6DMG|7ZMB|8MSLTOX|9VULN
192	15262 14111	   	172.02	ACR|2ASPD|1VULN|1DMG|1BEXP	1BEXP|2aASPD|3DUR|4RCR|5RPLT|6DMG|7SPLARM|8VULN|9MDPS
193	21262 11265	   	172.00	ACR|2DMG|2BEXP|1ASPD	19LWND|27BEXP|39TLV|4RCR|5RPLT|69DMG|8MDPS|9BPWR|aASPD
194	13266 27341	   	171.92	ACR|2ASPD|1VULN|1DMG|1BEXP	1BEXP|2AAC|3DUR|4RCR|5MBVNT|6VULN|7DMG|8AME|9aASPD
195	15461 13123	   	171.82	ACR|2DMG|1VULN|1ASPD|1BEXP	1BEXP|2ASPD|3DUST|4RCR|5MULARM|6MDPS|7FLTFST|8VULN|9aDMG
196	15461 22311	   	171.82	ACR|2DMG|1ASPD|1VULN|1BEXP	1BEXP|2ASPD|3DUST|4RCR|5MULARM|6MSLREG|7ERES|8aDMG|9VULN
197	15461 22312	   	171.82	ACR|2ASPD|1DMG|1VULN|1BEXP	1BEXP|2aASPD|3DUST|4RCR|5MULARM|6MSLREG|7ERES|8DMG|9VULN
198	15261 33512	   	171.81	ACR|3BEXP|2ASPD|1AAC	18aBEXP|28ASPD|3aDUR|4RCR|5aMULARM|678LWND|8aBPWR|9AAC
