0	Index      	 *	Score 	Summary	Detail	
1	22152 24361	 * 	207.47	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|2ZMB	19ZMB|2CGEN|39ASPD|4DMG|5DUST|6MDPS|79VULN|8AART|9BPWR|aRCR
155	62231 88221	   	185.59	DCR|3VULN|2DMG|1DUR	1LEGI|2MBVNT|35aVULN|4DUR|6RMIN|7RCR|8aBEXP|9aDMG|aBPWR
156	24363 11212	   	185.55	DCR|2VULN|2DMG|3ZMB	12aZMB|3MBVNT|4aDMG|5AME|6FEWX|7RCR|8RPLT|9aVULN|aBPWR
157	24363 61212	   	185.55	DCR|2VULN|2DMG|3ZMB	12aZMB|3MBVNT|4aDMG|5AME|6BEXP|7RCR|8RPLT|9aVULN|aBPWR
158	24366 31212	   	185.55	DCR|2VULN|2DMG|3ZMB	12aZMB|3MBVNT|4aDMG|5LHND|6AME|7RCR|8RPLT|9aVULN|aBPWR
159	24362 31212	   	185.45	DCR|2VULN|2DMG|3ZMB	12aZMB|3MBVNT|4aDMG|5DUST|6AME|7RCR|8RPLT|9aVULN|aBPWR
160	23146 63131	 * 	185.41	DCR|3ZMB|1VULN|1AART|1DMG|1CDMG	146ZMB|2LIT|3CDMG|5TLV|7AART|8RCR|9DMG|aVULN
161	62241 15414	   	185.33	DCR|2VULN|2DMG|1AART|1DUR	1LEGI|2MBVNT|39VULN|49DMG|5DUR|6BEXP|79BASFIG|8AART|9BPWR|aRCR
162	62234 53421	   	185.33	DCR|2VULN|2DMG|2DUR|1ZMB	1LEGI|2MBVNT|3aVULN|4aDUR|5ZMB|6RCR|7BEXP|8RCVC|9aDMG|aBPWR
163	62253 34521	 * 	185.27	DCR|3VULN|1MDPS|2CDMG|1DMG	1LEGI|2MBVNT|38aVULN|48LIT|58CDMG|6RCR|7MDPS|8BPWR|9DMG
164	13651 13122	   	185.09	DCR|3VULN|1MDPS|1AART|2CDMG	1FEWX|26CDMG|3MDPS|4AART|56aVULN|6BPWR|7LWND|8RCR|9DMSP
165	13651 13132	   	185.09	DCR|3VULN|1MDPS|1AART|2CDMG	1FEWX|26CDMG|3MDPS|4AART|56aVULN|6BPWR|79LWND|8RCR
166	13651 15132	   	185.09	DCR|3VULN|1MDPS|1AART|2CDMG	19FEWX|26CDMG|3MDPS|4AART|56aVULN|6BPWR|7BEXP|8RCR
167	22253 41215	   	185.05	DCR|2ASPD|1VULN|1AART|1ZMB|1DUR|1SPLREG	1ZMB|2CGEN|3DUR|4LIT|5SPLREG|68ASPD|7RCR|9AART|aVULN
168	23533 41215	   	185.05	DCR|2ASPD|1AART|1VULN|1ZMB|1DUR|1SPLREG	1ZMB|2LIT|3MLV|4DUR|5SPLREG|68ASPD|7RCR|9AART|aVULN
169	62222 55411	   	185.03	DCR|2VULN|2DMG|1AART	1LEGI|2MBVNT|39VULN|4BEXP|59DMG|6RCR|79BASFIG|8AART|9BPWR|aLIT
170	62222 55413	   	185.03	DCR|2VULN|2DMG|1AART	1LEGI|2MBVNT|39VULN|4BEXP|59DMG|6RCR|79BASFIG|8AART|9BPWR|aRPLT
171	13651 13141	   	184.99	DCR|3VULN|1MDPS|1AART|2CDMG	1FEWX|26CDMG|3MDPS|4AART|569VULN|6BPWR|7LWND|8RCR|aDUST
172	13651 13143	   	184.99	DCR|3VULN|1MDPS|1AART|2CDMG	1FEWX|26CDMG|3MDPS|4AART|569VULN|6BPWR|7LWND|8RCR|aLEGI
173	13651 13163	   	184.99	DCR|3VULN|1MDPS|1AART|2CDMG	1FEWX|26CDMG|3MDPS|4AART|56aVULN|6BPWR|7LWND|8RCR|9TSLARM
174	13651 32142	   	184.99	DCR|3VULN|1MDPS|1AART|2CDMG	1FEWX|27CDMG|3MDPS|4AART|59aVULN|6BEXP|8RCR
175	62222 55412	   	184.93	DCR|2VULN|2DMG|1AART	1LEGI|2MBVNT|39VULN|4BEXP|59DMG|6RCR|79BASFIG|8AART|9BPWR|aERES
176	44112 21131	 * 	184.92	DCR|3DMG|1VULN|1ASPD|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|5VULN|69aDMG|7RCR|8RMIN
177	44152 21131	 * 	184.92	DCR|3DMG|1VULN|1ASPD|1NUKE|1ZMB	1ERES|2ZMB|3ASPD|49aDMG|5VULN|6NUKE|7RCR|8RMIN
178	41235 22362	   	184.88	DCR|2VULN|2DMG|1MDPS|1AART|1SELL	19ERES|2LHND|3AART|4MDPS|59DMG|6RCR|79VULN|8SELL|9BPWR|aAELBLL
179	41235 22363	   	184.88	DCR|2VULN|2DMG|1MDPS|1AART|1SELL	19ERES|2aLHND|3AART|4MDPS|59DMG|6RCR|79VULN|8SELL|9BPWR
180	63235 22362	   	184.78	DCR|2VULN|1MDPS|2DMG|1AART|1SELL	1LEGI|29ERES|3AART|4MDPS|59DMG|6RCR|79VULN|8SELL|9BPWR|aAELBLL
181	63235 22363	   	184.78	DCR|2VULN|2DMG|1MDPS|1AART|1SELL	1LEGI|29ERES|3AART|4MDPS|59DMG|6RCR|79VULN|8SELL|9BPWR|aLHND
182	41235 22361	   	184.78	DCR|2VULN|2DMG|1MDPS|1AART|1SELL	19ERES|2LHND|3AART|4MDPS|59DMG|6RCR|79VULN|8SELL|9BPWR|aDUST
183	32151 42122	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	18DUST|2RCVC|3ASPD|48DMG|58ERES|6RCR|7DMSP|8BPWR|9VULN|aAART
184	32156 21214	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	1DUST|2RCVC|3ASPD|4aDMG|5VULN|6RCR|7LHND|8ERES|9AART
185	32156 22214	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	1DUST|2RCVC|3ASPD|4aDMG|5VULN|6RCR|7LWND|8ERES|9AART
186	32156 23314	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	1DUST|2RCVC|3ASPD|4aDMG|5VULN|6RCR|7TLV|8LWND|9AART
187	32156 25232	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	1DUST|27RCVC|3ASPD|49DMG|5VULN|6RCR|8TLV|aAART
188	32156 25332	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	1DUST|27RCVC|3ASPD|49DMG|5VULN|6RCR|8ERES|aAART
189	63235 22361	   	184.68	DCR|2VULN|2DMG|1MDPS|1AART|1SELL	1LEGI|29ERES|3AART|4MDPS|59DMG|6RCR|79VULN|8SELL|9BPWR|aDUST
190	64531 32221	 * 	184.64	ACR|3ASPD|2VULN|1AART|1CDMG	1LEGI|259ASPD|3RCR|4RCVC|5BPWR|68VULN|7AART|aCDMG
191	42133 33432	 * 	184.27	DCR|3ASPD|2DMG|1VULN	1aERES|2CGEN|37aASPD|45BEXP|6VULN|8RCR|9aDMG|aBPWR
192	42135 33432	   	184.27	DCR|3ASPD|2DMG|1VULN	1aERES|2CGEN|37aASPD|4BEXP|5DMSP|6VULN|8RCR|9aDMG|aBPWR
193	23166 32215	   	184.24	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2LIT|3CDMG|48ASPD|5MDPS|6RCR|7RCVC|9VULN|aDMG
194	23166 33215	   	184.24	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1ZMB|27LIT|3CDMG|48ASPD|5MDPS|6RCR|9VULN|aDMG
195	24363 22821	   	184.23	DCR|3DMG|1VULN|1ASPD|2ZMB	12ZMB|3MBVNT|46aDMG|5AME|7VULN|8ASPD|9RCR
196	15313 34243	   	184.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1FEWX|2LEGI|3DUR|48VULN|5LHND|6AART|7RCR|9ZMB|aASPD
197	36212 23611	   	184.18	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|2FEWX|3BEXP|479VULN|5DMG|6CDMG|8RCR|aZMB
198	36214 23611	   	184.18	DCR|3VULN|1ASPD|1CDMG|1ZMB	1DUST|2FEWX|3BEXP|479VULN|5ASPD|6CDMG|8RCR|aZMB
199	36234 23611	   	184.18	DCR|3VULN|1ASPD|1CDMG|1ZMB	1DUST|2FEWX|3BEXP|4ASPD|579VULN|6CDMG|8RCR|aZMB
200	36622 23611	   	184.18	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|2FEWX|379VULN|4BEXP|5DMG|6CDMG|8RCR|aZMB
201	42134 33432	   	184.17	DCR|3ASPD|2DMG|1VULN	15aERES|2CGEN|37aASPD|4BEXP|6VULN|8RCR|9aDMG|aBPWR
202	66224 31111	   	184.14	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2MDPS|3DMG|45ASPD|6RCR|7CDMG|8ZMB|9VULN|aAME
203	13265 33312	 * 	184.11	DCR|2VULN|2AART|1NUKE|1CDMG|1DUR	1FEWX|2CDMG|3NUKE|4DUR|5RPLT|6aVULN|79AART|8RCR
204	25322 21751	   	184.08	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2RCVC|3MBVNT|4ERES|59VULN|6DMG|7RCR|8DUR|aAART
205	35212 23611	   	184.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1DUST|2LEGI|3BEXP|479VULN|5DMG|6CDMG|8RCR|aZMB
206	35214 23611	   	184.08	DCR|3VULN|1ASPD|1CDMG|1ZMB	1DUST|2LEGI|3BEXP|479VULN|5ASPD|6CDMG|8RCR|aZMB
207	35234 23611	   	184.08	DCR|3VULN|1ASPD|1CDMG|1ZMB	1DUST|2LEGI|3BEXP|4ASPD|579VULN|6CDMG|8RCR|aZMB
208	66224 31113	   	184.04	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2MDPS|3DMG|45ASPD|6RCR|7CDMG|8ZMB|9VULN|aERES
209	62243 64641	   	184.02	DCR|3VULN|2DMG|1SPLREG	1LEGI|2MBVNT|389VULN|4aDMG|5SPLREG|6LHND|7RCR
210	33265 33312	   	184.01	DCR|2VULN|2AART|1NUKE|1CDMG|1DUR	1DUST|2CDMG|3NUKE|4DUR|5RPLT|6aVULN|79AART|8RCR
211	36212 25611	   	183.93	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|2FEWX|3BEXP|49VULN|57DMG|6CDMG|8RCR|aZMB
212	14552 21222	 * 	183.90	ACR|2VULN|2AART|1MDPS|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3RCR|4MDPS|56AART|7DMG|8aVULN|9CDMG
213	26552 21222	   	183.90	ACR|2VULN|2AART|1MDPS|1DMG|1CDMG|1ZMB	1ZMB|2FEWX|3RCR|4MDPS|56AART|7DMG|8aVULN|9CDMG
214	35212 25611	   	183.83	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|2LEGI|3BEXP|49VULN|57DMG|6CDMG|8RCR|aZMB
215	62214 24387	   	183.79	DCR|3VULN|1AART|1CDMG|1ZMB	1LEGI|2MBVNT|347VULN|5ZMB|6CDMG|8LHND|9AART|aRCR
216	21256 32117	   	183.79	DCR|3VULN|1AART|1CDMG|1ZMB	1ZMB|2LHND|3AART|4MBVNT|579VULN|6TLV|8CDMG|aRCR
217	13265 33316	 * 	183.79	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1FEWX|2CDMG|3NUKE|4DUR|5RPLT|6VULN|79AART|8RCR|aASPD
218	44122 22136	   	183.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1ERES|2ZMB|39ASPD|4AME|5VULN|6DMG|7AART|8RMIN|aRCR
219	44112 21611	   	183.76	DCR|1AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ERES|2ZMB|3ASPD|4AAC|5VULN|6DMG|7RCR|8DUR|9DMSP|aAART
220	62253 33264	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG	1LEGI|2MBVNT|39VULN|4LIT|5CDMG|6RCR|7LWND|8DMG|aAART
221	33265 33316	   	183.69	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1DUST|2CDMG|3NUKE|4DUR|5RPLT|6VULN|79AART|8RCR|aASPD
222	44112 21411	   	183.66	DCR|1AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	18ERES|2ZMB|3ASPD|4AAC|5VULN|6DMG|7RCR|9DUR|aAART
223	42122 22541	   	183.60	DCR|2VULN|1AART|1ASPD|1DMG	1ERES|2CGEN|3ASPD|4AME|5aVULN|6DMG|7AART|8RCR|9BELT
224	36214 51111	   	183.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUST|2FEWX|3BEXP|4VULN|5ASPD|69AART|7DMG|8DUR|aRCR
225	36234 51111	   	183.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUST|2FEWX|3BEXP|4ASPD|5VULN|69AART|7DMG|8DUR|aRCR
226	62211 44332	   	183.59	DCR|3VULN|2AART|1DUR	1LEGI|2MBVNT|34aVULN|5DUR|68AART|7RPLT|9RCR
227	62231 44332	   	183.59	DCR|3VULN|2AART|1DUR	1LEGI|2MBVNT|35aVULN|4DUR|68AART|7RPLT|9RCR
228	62253 36234	   	183.59	DCR|2VULN|1AART|1ASPD|1CDMG	1LEGI|2MBVNT|37VULN|4LIT|5CDMG|6RCR|8ASPD|9DUST|aAART
229	62253 36324	   	183.59	DCR|2VULN|1AART|1ASPD|1CDMG	1LEGI|2MBVNT|37VULN|4LIT|5CDMG|6RCR|8DUST|9ASPD|aAART
230	32123 32436	   	183.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2RCVC|3ASPD|4AME|5AAC|67VULN|8RCR|9DMG|aAART
231	62335 52421	   	183.45	DCR|2DMG|2ASPD|1VULN|1DUR	1LEGI|2MBVNT|3aDUST|4aASPD|5VULN|6RCR|7DUR|8RCVC|9aDMG|aBPWR
232	41234 22131	   	183.41	DCR|2VULN|2AART|1MDPS|1ASPD	1ERES|2LHND|38AART|4MDPS|5ASPD|6RCR|7aVULN|9DUST
233	41235 22131	   	183.41	DCR|2VULN|2AART|1MDPS|1DMG	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7aVULN|9DUST
234	32163 32436	   	183.40	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2RCVC|3ASPD|4TLV|5AAC|67VULN|8RCR|9DMG|aAART
235	32156 21211	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2RCVC|3ASPD|4DMG|5VULN|6RCR|7LHND|8ERES|9AART|aCDMG
236	32156 21611	   	183.37	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1DUST|2RCVC|3ASPD|4DMG|5VULN|6RCR|7LHND|8AAC|9AART|aCDMG
237	32156 22211	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2RCVC|3ASPD|4DMG|5VULN|6RCR|7LWND|8ERES|9AART|aCDMG
238	32156 23311	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2RCVC|3ASPD|4DMG|5VULN|6RCR|7TLV|8LWND|9AART|aCDMG
239	44212 32226	   	183.32	DCR|2VULN|1AART|1ASPD|2DUR|1ZMB	1ERES|2ZMB|34DUR|58VULN|6TLV|7AART|9ASPD|aRCR
240	63234 22131	   	183.31	DCR|2VULN|2AART|1MDPS|1ASPD	1LEGI|2ERES|38AART|4MDPS|5ASPD|6RCR|7aVULN|9DUST
241	63235 22131	   	183.31	DCR|2VULN|2AART|1MDPS|1DMG	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7aVULN|9DUST
242	62241 57421	   	183.30	DCR|2VULN|2DMG|2ZMB|1DUR	1LEGI|2MBVNT|3aVULN|4aDMG|5DUR|6RCR|7LHND|8RCVC|9aZMB|aBPWR
243	62247 52421	   	183.30	DCR|2VULN|2DMG|2ZMB|1DUR	1LEGI|2MBVNT|3aVULN|4aDMG|5LHND|6RCR|7DUR|8RCVC|9aZMB|aBPWR
244	66221 12212	   	183.30	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|2MDPS|3DMG|4ASPD|59VULN|6DUST|7TSLFST|8RCR|aAART
245	25633 32122	   	183.29	DCR|4VULN|1DMG|2ZMB	18ZMB|2RCVC|3678VULN|458BEXP|8BPWR|9DMG|aRCR
246	25633 32162	   	183.29	DCR|4VULN|1ASPD|2ZMB	18ZMB|2RCVC|3678VULN|458BEXP|8BPWR|9ASPD|aRCR
247	66236 22213	 * 	183.29	DCR|3VULN|2DMG|1MDPS|1AAC|1DUR	1LEGI|2MDPS|3aDMG|4DUR|59aVULN|6AAC|7aTSLFST|8RCR|aBPWR
248	41235 22123	   	183.19	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7VULN|9AME|aASPD
249	41235 22163	   	183.19	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7VULN|9MLV|aASPD
250	66225 12113	 * 	183.17	ACR|3VULN|1MDPS|2DMG|2ASPD	1LEGI|2MDPS|3aDMG|4aASPD|5RCR|6DUST|7VENFST|89aVULN|aBPWR
251	44212 22326	   	183.10	DCR|1VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	1ERES|2ZMB|34DUR|5VULN|6DMG|7AART|8RCVC|9ASPD|aRCR
252	63235 22123	   	183.09	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7VULN|9AME|aASPD
253	63235 22163	   	183.09	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7VULN|9MLV|aASPD
254	62243 43145	 * 	182.75	DCR|3DMG|2VULN|2SPLREG	1LEGI|2MBVNT|39VULN|469DMG|56SPLREG|69BPWR|7AELBLL|89LHND|aRCR
255	22236 26241	   	182.46	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2CGEN|3DUR|4RCVC|59VULN|6RCR|7RPLT|8CDMG|aAART
256	23112 55316	 * 	182.39	DCR|1MDPS|1AART|1VULN|2CDMG|1ASPD|2ZMB	15ZMB|2LIT|36CDMG|4MDPS|7RCR|8ASPD|9VULN|aAART
257	42121 12324	   	182.38	DCR|2VULN|2ASPD|1DMG|1ZMB	158ERES|2CGEN|38ASPD|4AME|6ZMB|78VULN|8BPWR|9RCR|aDMG
258	42124 23422	   	182.35	DCR|2VULN|2ASPD|1DMG|1DUR	1ERES|2CGEN|37ASPD|4AME|5DUR|6DMG|8RCR|9aVULN
259	42122 23412	   	182.35	DCR|2VULN|2ASPD|1DMG|1DUR	1ERES|2CGEN|37ASPD|4AME|5aVULN|6DMG|8RCR|9DUR
260	62212 26352	 * 	182.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2MBVNT|34VULN|5DMG|6CDMG|7LIT|8ASPD|9RCR|aDUR
261	32156 13412	   	182.25	DCR|2VULN|2ASPD|1DMG|1DUR	1DUST|2RCVC|37ASPD|4DMG|5aVULN|6ERES|8RCR|9DUR
262	62232 52814	   	182.24	DCR|2VULN|2DMG|3DUR|1AAC	1LEGI|2MBVNT|38VULN|478DUR|58DMG|6RCR|8BPWR|9LHND|aAAC
263	62232 52834	   	182.24	DCR|2VULN|2DMG|3DUR|1AAC	1LEGI|2MBVNT|38VULN|478DUR|58DMG|6RCR|8BPWR|9RPLT|aAAC
264	62241 52814	   	182.24	DCR|2VULN|2DMG|3DUR|1AAC	1LEGI|2MBVNT|38VULN|48DMG|578DUR|6RCR|8BPWR|9LHND|aAAC
265	62241 52834	   	182.24	DCR|2VULN|2DMG|3DUR|1AAC	1LEGI|2MBVNT|38VULN|48DMG|578DUR|6RCR|8BPWR|9RPLT|aAAC
266	13511 16236	   	182.18	DCR|2VULN|2CDMG|1DMG|1ZMB|1DUR	13FEWX|27CDMG|4ZMB|5DUR|6DMG|8RCR|9aVULN
267	13511 26236	   	182.18	DCR|2VULN|2CDMG|1ASPD|1ZMB|1DUR	13FEWX|27CDMG|4ZMB|5DUR|6ASPD|8RCR|9aVULN
268	21256 54222	   	182.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2LHND|3AART|4MBVNT|59VULN|6BELT|7DMG|8RCR|aDUR
269	22216 26242	   	181.76	DCR|3VULN|1CDMG|2DUR|1ZMB	1ZMB|2CGEN|34DUR|59aVULN|6RCR|7RPLT|8CDMG
270	22121 33436	   	181.68	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2aCGEN|37ASPD|4AME|5aERES|6VULN|8RCR|9aDMG|aBPWR
271	22123 33431	   	181.68	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2CGEN|37ASPD|4AME|5MLV|6VULN|8RCR|9aDMG
272	22133 33431	   	181.68	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2CGEN|37ASPD|45BEXP|6VULN|8RCR|9aDMG
273	62211 41372	   	181.66	DCR|3VULN|1AART|1CDMG|1DUR	1LEGI|2MBVNT|349VULN|5DUR|6AART|7TSLFST|8CDMG|aRCR
274	62215 36442	   	181.66	DCR|3VULN|1AART|1CDMG|1DUR	1LEGI|2MBVNT|348VULN|5CDMG|6AART|7DUR|9MSLREG|aRCR
275	62231 41372	   	181.66	DCR|3VULN|1AART|1CDMG|1DUR	1LEGI|2MBVNT|359VULN|4DUR|6AART|7TSLFST|8CDMG|aRCR
276	62211 42142	   	181.66	DCR|3VULN|1AART|1CDMG|1DUR	1LEGI|2MBVNT|347VULN|5DUR|6AART|8CDMG|9MSLREG|aRCR
277	62231 42142	   	181.66	DCR|3VULN|1AART|1CDMG|1DUR	1LEGI|2MBVNT|357VULN|4DUR|6AART|8CDMG|9MSLREG|aRCR
278	44112 21312	   	181.66	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|5VULN|6DMG|7RCR|8LWND|9AART|aMDPS
279	44152 21312	 * 	181.66	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1ERES|2ZMB|3ASPD|4DMG|5VULN|6NUKE|7RCR|8LWND|9AART|aMDPS
280	22121 33431	   	181.58	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2CGEN|37ASPD|4AME|5ERES|6VULN|8RCR|9aDMG
281	22161 33436	   	181.58	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2aCGEN|37ASPD|4TLV|5aERES|6VULN|8RCR|9aDMG|aBPWR
282	22163 33431	   	181.58	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2CGEN|37ASPD|4TLV|5MLV|6VULN|8RCR|9aDMG
283	44133 33431	   	181.58	DCR|2DMG|2ASPD|1VULN|1ZMB	1ERES|2ZMB|37ASPD|45BEXP|6VULN|8RCR|9aDMG
284	42122 23451	   	181.58	DCR|2DMG|2ASPD|1VULN|1ZMB	1ERES|2CGEN|37ASPD|4AME|5VULN|6aDMG|8RCR|9ZMB
285	32156 21242	   	181.56	DCR|3VULN|1ASPD|1DMG	1DUST|2RCVC|3ASPD|4DMG|59aVULN|6RCR|7LHND|8ERES
286	32156 22242	   	181.56	DCR|3VULN|1ASPD|1DMG	1DUST|2RCVC|3ASPD|4DMG|59aVULN|6RCR|7LWND|8ERES
287	32156 23214	   	181.56	DCR|3VULN|1ASPD|1DMG	1DUST|2RCVC|3ASPD|4DMG|59aVULN|6RCR|7TLV|8RPLT
288	12126 22631	   	181.54	DCR|2ASPD|1VULN|1AART|1DMG	1FEWX|2RCVC|38ASPD|4AME|5VULN|6RCR|7LWND|9DMG|aAART
289	16126 22631	   	181.54	DCR|2ASPD|1VULN|1AART|1DMG	12FEWX|38ASPD|4AME|5VULN|6RCR|7LWND|9DMG|aAART
290	41234 22362	   	181.51	DCR|2VULN|1MDPS|2ASPD|1AART|1SELL	19ERES|2LHND|3AART|4MDPS|59ASPD|6RCR|79VULN|8SELL|9BPWR|aAELBLL
291	41234 22363	   	181.51	DCR|2VULN|1MDPS|2ASPD|1AART|1SELL	19ERES|2aLHND|3AART|4MDPS|59ASPD|6RCR|79VULN|8SELL|9BPWR
292	62225 53421	   	181.51	DCR|2VULN|2DMG|1ASPD	1LEGI|2MBVNT|3aVULN|4aBEXP|5ASPD|6RCR|7LWND|8RCVC|9aDMG|aBPWR
293	22161 33431	   	181.48	DCR|2DMG|2ASPD|1VULN|1ZMB	1ZMB|2CGEN|37ASPD|4TLV|5ERES|6VULN|8RCR|9aDMG
294	44122 33431	   	181.48	DCR|2DMG|2ASPD|1VULN|1ZMB	1ERES|2ZMB|37ASPD|4AME|5VULN|6TLV|8RCR|9aDMG
295	24362 51344	   	181.45	DCR|2VULN|2DMG|3ZMB	128ZMB|3MBVNT|48DMG|5DUST|6LIT|78VULN|8BPWR|9RCR|aMLV
296	32155 23631	   	181.44	DCR|2ASPD|1AART|1VULN|1DMG	1DUST|2RCVC|39ASPD|4DMG|5LHND|6RCR|7AART|8VULN|aFEWX
297	32155 23632	   	181.44	DCR|2ASPD|1VULN|1AART|1DMG	1DUST|2RCVC|39ASPD|4DMG|5LHND|6RCR|7AART|8VULN|aMLV
298	12116 22631	   	181.44	DCR|2ASPD|1VULN|1AART|1DMG|1AAC	1FEWX|2RCVC|38ASPD|4AAC|5VULN|6RCR|7LWND|9DMG|aAART
299	16116 22631	   	181.44	DCR|2ASPD|1VULN|1AART|1DMG|1AAC	12FEWX|38ASPD|4AAC|5VULN|6RCR|7LWND|9DMG|aAART
300	63234 22362	   	181.41	DCR|2VULN|1MDPS|2ASPD|1AART|1SELL	1LEGI|29ERES|3AART|4MDPS|59ASPD|6RCR|79VULN|8SELL|9BPWR|aAELBLL
301	63234 22363	   	181.41	DCR|2VULN|1MDPS|2ASPD|1AART|1SELL	1LEGI|29ERES|3AART|4MDPS|59ASPD|6RCR|79VULN|8SELL|9BPWR|aLHND
302	41234 22361	   	181.41	DCR|2VULN|1MDPS|2ASPD|1AART|1SELL	19ERES|2LHND|3AART|4MDPS|59ASPD|6RCR|79VULN|8SELL|9BPWR|aDUST
303	25363 31212	   	181.40	DCR|2VULN|2DMG|2ZMB|1DUR	1aZMB|2RCVC|3MBVNT|4aDMG|5AME|6DUR|7RCR|8RPLT|9aVULN|aBPWR
304	25368 31212	   	181.40	DCR|2VULN|2DMG|2ZMB|1DUR	1aZMB|2RCVC|3MBVNT|4aDMG|5DUR|6AME|7RCR|8RPLT|9aVULN|aBPWR
305	24121 32226	   	181.40	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	12ZMB|3AME|4DUR|5ERES|68VULN|7AART|9ASPD|aRCR
306	24126 12226	   	181.40	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	12ZMB|3AME|4DUR|58VULN|6ERES|7AART|9ASPD|aRCR
307	62212 25721	   	181.37	DCR|3VULN|2CDMG|1DMG	1LEGI|2MBVNT|34aVULN|5DMG|6aCDMG|7RPLT|8RCR|9aFEWX|aBPWR
308	32234 42777	   	181.36	DCR|4VULN|1AART|1DUR	1DUST|2RCVC|3DUR|4MBVNT|5789VULN|6AART|aRCR
309	62211 42728	   	181.36	DCR|4VULN|1AART|1DUR	1LEGI|2MBVNT|3478VULN|5DUR|6AART|9LWND|aRCR
310	62231 42728	   	181.36	DCR|4VULN|1AART|1DUR	1LEGI|2MBVNT|3578VULN|4DUR|6AART|9LWND|aRCR
311	24362 51342	   	181.35	DCR|2VULN|2DMG|3ZMB	128ZMB|3MBVNT|48DMG|5aDUST|6LIT|78VULN|8BPWR|9RCR
312	24322 21752	   	181.35	DCR|3VULN|1DMG|2ZMB|1DUR	12ZMB|3MBVNT|4ERES|59aVULN|6DMG|7RCR|8DUR
