0	Index      	 *	Score 	Summary	Detail	
1	31632 33163	 * 	223.64	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34aVULN|5ZMB|67DMG|8CDMG|9RCR
161	33344 13341	 * 	198.33	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9ERES|aMDPS
162	31332 32425	 * 	198.28	ACR|3VULN|2AART|1ASPD|1CDMG|1AAC	15AART|2FEWX|3RCR|478VULN|6ASPD|9CDMG|aAAC
163	62212 31344	 * 	198.14	DCR|3VULN|3ASPD|1MDPS|1AAC	149VULN|2RCVC|349LIT|49BPWR|569ASPD|7AAC|8RCR|aMDPS
164	33341 12624	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7FEWX|8CDMG|9AME
165	33341 12641	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7FEWX|8CDMG|aRMIN
166	33341 13114	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7CDMG|8CGEN|9LWND
167	33341 13214	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7CDMG|8RMIN|9LWND
168	33341 13262	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aCGEN
169	33341 13266	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aBEXP
170	36431 13361	   	198.10	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RCVC|3BELT|4DUR|5aASPD|6VULN|7RCR|8ZMB|9CDMG
171	31315 32661	 * 	198.07	ACR|3VULN|1MDPS|1AART|1ASPD|1DMG	1AART|2FEWX|3RCR|4ASPD|5RMIN|6DMG|789VULN|aMDPS
172	31336 32425	 * 	198.05	ACR|4VULN|1AART|1ASPD|1CDMG|1AAC	1AART|2FEWX|3RCR|4578VULN|6ASPD|9CDMG|aAAC
173	33463 22411	   	198.04	DCR|3VULN|2AART|1CDMG|1DUR	15AART|2RPLT|378VULN|4DUR|6CDMG|9FEWX|aRCR
174	33463 22431	   	198.04	DCR|3VULN|2AART|1CDMG|1DUR	15AART|2RPLT|378VULN|4DUR|6CDMG|9BEXP|aRCR
175	33344 14123	   	198.03	DCR|2VULN|2AART|2ASPD	15AART|2RPLT|3aASPD|4aVULN|6RCR|7DUST|8LHND|9aBEXP|aBPWR
176	33341 12642	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7FEWX|8CDMG|aTLV
177	33341 13255	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7CDMG|8RMIN|9MBVNT
178	33341 13263	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aLEGI
179	33341 13264	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG|1MSE	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aMSE
180	33341 15147	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7MBVNT|8LHND|9CDMG
181	22313 32211	   	197.95	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|3aASPD|4LWND|5BELT|6DMG|7AART|8RCR|9VULN
182	22353 32211	   	197.95	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1RCVC|2CDMG|3aASPD|4LHND|5BELT|6DMG|7AART|8RCR|9VULN
183	33344 12133	   	197.93	DCR|2VULN|2AART|2ASPD	15AART|2RPLT|3aASPD|4aVULN|6RCR|7FEWX|8LHND|9aDUST|aBPWR
184	33341 12115	   	197.93	DCR|2VULN|2AART|2ASPD	19AART|2RPLT|35ASPD|4aVULN|6RCR|7FEWX|8LHND
185	33345 23343	   	197.86	DCR|2VULN|2AART|1ASPD|1CDMG	1aAART|2RPLT|3ASPD|49VULN|5TLV|6CDMG|7RCR|8MLV
186	33453 23714	   	197.86	DCR|2VULN|2AART|1ASPD|1CDMG	15AART|2RPLT|38VULN|4MBVNT|6CDMG|7RCR|9LWND|aASPD
187	33361 32336	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5DUST|6DMG|7aVULN|8MLV|9RCR
188	33362 32347	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5MBVNT|6DMG|7aVULN|8MLV|9RCR
189	31132 67314	   	197.83	DCR|2VULN|2AART|2ASPD	15AART|2FEWX|3MBVNT|47VULN|6RCR|8aASPD|9LWND
190	31132 67354	   	197.83	DCR|2VULN|2AART|2ASPD	15AART|2FEWX|3MBVNT|47VULN|6RCR|8aASPD|9RMIN
191	33341 14115	   	197.83	DCR|2VULN|2AART|2ASPD	19AART|2RPLT|35ASPD|4aVULN|6RCR|7DUST|8LHND
192	33341 15116	   	197.83	DCR|2VULN|2AART|2ASPD	19AART|2RPLT|35ASPD|4aVULN|6RCR|7MBVNT|8LHND
193	36232 33161	   	197.79	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2aRCVC|3DUR|4VULN|5ZMB|67DMG|8CDMG|9RCR
194	31634 31531	 * 	197.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2FEWX|34VULN|5CDMG|6DMG|7TLV|8MDPS|9RCR|aASPD
195	33362 32648	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5MBVNT|6DMG|7aVULN|8ERES|9RCR
196	33464 33233	   	197.73	DCR|2VULN|2DMG|1AART|2DUR	1AART|2RPLT|3aVULN|4aDUR|5LHND|6LWND|7RCR|8aDMG|9RCVC|aBPWR
197	32634 31531	   	197.65	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2DUST|34VULN|5CDMG|6DMG|7TLV|8MDPS|9RCR|aASPD
198	33365 33352	 * 	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	19AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8MLV|aBEXP
199	33365 33353	   	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	19AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8MLV|aCGEN
200	33411 23224	   	197.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AART|2RPLT|3aVULN|4RMIN|5ASPD|69CDMG|7RCR|8DUR
201	33412 33224	   	197.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AART|2RPLT|3aVULN|4RMIN|59CDMG|6ASPD|7RCR|8DUR
202	33413 23224	   	197.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|2RPLT|3aVULN|4RMIN|5DMG|69CDMG|7RCR|8DUR
203	31634 33522	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|349VULN|5CDMG|6DMG|7DUST|8RCR|aCGEN
204	62213 46222	   	197.62	DCR|3VULN|1AART|1DMG|1DUR	145VULN|2RCVC|34LIT|4BPWR|6RCR|7DUR|8DMG|9SNIFST|aAART
205	61213 43262	   	197.60	DCR|4VULN|1DMG|1ASPD	1459VULN|2DMSP|34LIT|4BPWR|6RCR|7MBVNT|8DMG|aASPD
206	32133 12648	   	197.59	DCR|3VULN|2ASPD|1AART	1AART|29DUST|3MBVNT|49aVULN|5LIT|6FEWX|7RCR|89ASPD|9BPWR
207	32135 42648	   	197.59	DCR|3VULN|2ASPD|1AART	1AART|29DUST|3MBVNT|49aVULN|5LHND|6LIT|7RCR|89ASPD|9BPWR
208	33362 11674	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2RPLT|3ASPD|4CDMG|5MBVNT|6LWND|7RCR|8VULN|9DMG
209	33365 33112	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8LIT|9BASFIG
210	33365 33351	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	19AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8MLV|aDUST
211	31634 33521	   	197.52	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|349VULN|5CDMG|6DMG|7aDUST|8RCR
212	31634 33523	   	197.52	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|349VULN|5CDMG|6DMG|7DUST|8RCR|aERES
213	33344 12321	   	197.51	DCR|2AART|2ASPD|1VULN|1DMG	15AART|2RPLT|3aASPD|4VULN|6RCR|7FEWX|8DMG|9DUST
214	33344 15334	   	197.51	DCR|2AART|2ASPD|1VULN|1DMG	15AART|2RPLT|3aASPD|4VULN|6RCR|7MBVNT|8DMG|9RMIN
215	33341 12326	   	197.51	DCR|2AART|2ASPD|1VULN|1DMG	1aAART|2RPLT|35ASPD|4VULN|6RCR|7FEWX|8DMG|9DUST
216	33341 15384	   	197.51	DCR|2AART|2ASPD|1VULN|1DMG	1aAART|2RPLT|35ASPD|4VULN|6RCR|7MBVNT|8DMG|9BEXP
217	36232 33162	   	197.47	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RCVC|3DUR|4VULN|5ZMB|67DMG|8CDMG|9RCR|aFEWX
218	36232 33163	   	197.47	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2RCVC|3DUR|4VULN|5ZMB|67DMG|8CDMG|9RCR|aLIT
219	36232 33164	   	197.47	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RCVC|3DUR|4VULN|5ZMB|67DMG|8CDMG|9RCR|aBEXP
220	36232 33165	   	197.47	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RCVC|3DUR|4VULN|5ZMB|67DMG|8CDMG|9RCR|aMULARM
221	35232 32661	 * 	197.43	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1AART|23RMIN|4DMG|5MDPS|6ASPD|789VULN|aRCR
222	31613 23431	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2FEWX|368VULN|4ASPD|5ERES|7DMG|9LWND|aRCR
223	31613 26631	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2FEWX|367VULN|4ASPD|5ERES|8DMG|9LWND|aRCR
224	32615 23411	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DUST|368VULN|4ASPD|5CGEN|7DMG|9FEWX|aRCR
225	32615 23431	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DUST|368VULN|4ASPD|5CGEN|7DMG|9BEXP|aRCR
226	32132 66422	   	197.43	DCR|3VULN|2AART|1CDMG	15AART|2DUST|3MBVNT|49aVULN|6RCR|7CDMG|8CANARM
227	33344 15321	   	197.41	DCR|2AART|2ASPD|1VULN|1DMG	15AART|2RPLT|3aASPD|4VULN|6RCR|7MBVNT|8DMG|9DUST
228	33341 15324	   	197.41	DCR|2AART|2ASPD|1VULN|1DMG	1aAART|2RPLT|35ASPD|4VULN|6RCR|7MBVNT|8DMG|9DUST
229	53161 32316	   	197.37	DCR|3DMG|2VULN|1MDPS|1ASPD|1NUKE|1DUR	1NUKE|2MDPS|3ASPD|46VULN|568DMG|6BPWR|7DUR|9LHND|aRCR
230	53161 32336	   	197.37	DCR|3DMG|2VULN|1MDPS|1ASPD|1NUKE|1DUR	1NUKE|2MDPS|3ASPD|46VULN|568DMG|6BPWR|7DUR|9FEWX|aRCR
231	32613 23411	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DUST|368VULN|4ASPD|5ERES|7DMG|9FEWX|aRCR
232	32613 23431	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DUST|368VULN|4ASPD|5ERES|7DMG|9BEXP|aRCR
233	32613 26611	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DUST|367VULN|4ASPD|5ERES|8DMG|9FEWX|aRCR
234	32613 26631	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DUST|367VULN|4ASPD|5ERES|8DMG|9BEXP|aRCR
235	33362 43358	 * 	197.22	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1AART|2RPLT|36ASPD|46CDMG|5MBVNT|6BPWR|7DMG|8CGEN|9VULN|aRCR
236	33362 43516	   	197.22	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1AART|2RPLT|36ASPD|46CDMG|5MBVNT|6BPWR|7DMG|8VULN|9LWND|aRCR
237	32137 66422	   	197.20	DCR|4VULN|1AART|1CDMG	1AART|2DUST|3MBVNT|459aVULN|6RCR|7CDMG|8CANARM
238	23531 33165	 * 	197.02	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCVC|2aDMG|3ZMB|4aTLV|5CGEN|6AART|7VULN|8aCDMG|9RCR|aBPWR
239	33464 33213	   	196.98	DCR|2VULN|2DMG|1AART|2DUR	1AART|2RPLT|3aVULN|4aDUR|5LHND|69LWND|7RCR|8aDMG|aBPWR
240	32136 38244	   	196.93	DCR|2DMG|2ASPD|1AART|1VULN	1AART|2DUST|3MBVNT|4VULN|5CGEN|69DMG|7RCR|8aASPD
241	32131 38244	   	196.83	DCR|2DMG|2ASPD|1VULN|1AART	1AART|2DUST|3MBVNT|4VULN|5ERES|69DMG|7RCR|8aASPD
242	32232 35264	   	196.78	DCR|2AART|2DMG|1VULN|1ASPD	15AART|2DUST|3LHND|4VULN|6ASPD|7CANARM|8RCR|9aDMG
243	33332 46124	   	196.51	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1AART|2RPLT|3ASPD|4DUR|5LHND|6RCR|7VULN|8DMG|9CDMG|aMDPS
244	33342 41124	   	196.51	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1AART|2RPLT|3ASPD|4VULN|5LHND|6RCR|7DUR|8DMG|9CDMG|aMDPS
245	33365 33431	   	196.43	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8ZMB|9MDPS|aRMIN
246	33365 33432	   	196.43	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8ZMB|9MDPS|aCGEN
247	33365 33433	   	196.43	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8ZMB|9MDPS|aLWND
248	33331 12654	   	196.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RPLT|35ASPD|4DUR|6RCR|7FEWX|8CDMG|9ZMB|aVULN
249	31132 67346	   	196.31	DCR|2VULN|2AART|1MDPS|1ASPD|1AAC	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9MDPS|aAAC
250	33332 35636	   	196.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RPLT|3ASPD|4DUR|5LHND|6ZMB|7DMG|8CDMG|9RCR|aVULN
251	32615 24131	 * 	196.13	DCR|1SPLARM|2VULN|1AART|1ASPD|1NUKE	1AART|2DUST|36VULN|4ASPD|5CGEN|7SPLARM|8FEWX|9RCR|aNUKE
252	32615 24331	   	196.13	DCR|1SPLARM|2VULN|1AART|1ASPD|1NUKE	1AART|2DUST|36VULN|4ASPD|5CGEN|7SPLARM|8LHND|9RCR|aNUKE
253	66221 15231	   	196.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUST|3DMG|4ZMB|5BEXP|6CDMG|7DUR|8AART|9RCR|aASPD
254	31634 32521	   	195.96	DCR|2VULN|2AART|1DMG|1CDMG	1aAART|2FEWX|34VULN|5CDMG|6DMG|7LHND|8RCR|9BELT
255	33341 21334	   	195.94	DCR|3ASPD|2VULN|1AART|1DUR	1AART|2RPLT|356ASPD|46VULN|6BPWR|7DUR|8LWND|9RCVC|aRCR
256	55222 13342	 * 	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1NUKE|2AART|3RMIN|4BELT|5ASPD|69VULN|7RCR|8ZMB|aDMG
257	31232 46311	   	195.86	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	15AART|2FEWX|3LHND|47VULN|6MDPS|8RCR|9CDMG|aASPD
258	31232 46314	 * 	195.86	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	15AART|2FEWX|3LHND|47VULN|6MDPS|8RCR|9CDMG|aDMG
259	31634 33512	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	19AART|2FEWX|34VULN|5CDMG|6DMG|7DUST|8RCR|aCGEN
260	32634 32521	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	1aAART|2DUST|34VULN|5CDMG|6DMG|7LHND|8RCR|9BELT
261	33362 32716	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5MBVNT|6DMG|78VULN|9LWND|aRCR
262	32146 28247	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DUST|3MBVNT|4ZMB|5CGEN|6aVULN|7RCR|8ASPD|9DMG
263	33362 44846	   	195.79	DCR|2ASPD|1VULN|1AART|2CDMG|1ZMB|1DUR	1AART|2RPLT|36ASPD|46CDMG|5MBVNT|6BPWR|7DUR|8VULN|9ZMB|aRCR
264	33365 33162	   	195.79	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1AART|2RPLT|3aASPD|4CDMG|5VULN|6DMG|7RCR|8LIT|9RMIN
265	31632 33541	   	195.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2FEWX|34VULN|5ZMB|67DMG|8DUR|9ERES|aRCR
266	31634 33511	   	195.76	DCR|2VULN|2AART|1DMG|1CDMG	19AART|2FEWX|34VULN|5CDMG|6DMG|7aDUST|8RCR
267	31634 33513	   	195.76	DCR|2VULN|2AART|1DMG|1CDMG	19AART|2FEWX|34VULN|5CDMG|6DMG|7DUST|8RCR|aERES
268	32121 74842	   	195.74	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2DUST|3MBVNT|45CDMG|6DMG|7RCR|8ASPD|9SPLREG|aVULN
269	32143 28248	   	195.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DUST|3MBVNT|4ZMB|5ERES|6aVULN|7RCR|8ASPD|9DMG
270	41353 33261	   	195.73	DCR|3VULN|2ASPD|1DMG|1SELL	1LIT|2BELT|378VULN|4DMG|5aASPD|6RCR|9SELL
271	32632 33541	   	195.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUST|34VULN|5ZMB|67DMG|8DUR|9ERES|aRCR
272	33413 41361	   	195.63	DCR|2VULN|2AART|2DMG	16AART|2RPLT|37VULN|4RMIN|58DMG|9RCR|aRCVC
273	31634 51331	   	195.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1AART|2FEWX|347VULN|5CDMG|6LHND|8MDPS|9RCR|aASPD
274	23314 33166	   	195.60	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC	13RCVC|2DMG|4ZMB|5aVULN|6AART|7LWND|8CDMG|9RCR
275	31126 72824	 * 	195.59	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1CDMG	1AART|2FEWX|3MBVNT|4CDMG|5NUKE|6DMG|7RCR|8aASPD|9VULN
276	32157 38224	   	195.59	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1AART|2DUST|3MBVNT|4RMIN|5VULN|6DMG|7RCR|8aASPD|9CDMG
277	33343 41263	   	195.55	DCR|3VULN|2AART|1ASPD	16AART|28RPLT|3ASPD|47aVULN|5CGEN|9RCR
278	33411 41263	   	195.55	DCR|3VULN|2AART|1ASPD	16AART|28RPLT|37aVULN|4RMIN|5ASPD|9RCR
279	33413 41263	   	195.55	DCR|3VULN|2AART|1DMG	16AART|28RPLT|37aVULN|4RMIN|5DMG|9RCR
280	61213 43238	   	195.53	DCR|3VULN|2DMG|1CDMG	145VULN|2DMSP|34LIT|4BPWR|6RCR|7MBVNT|89DMG|aCDMG
281	31621 33526	   	195.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|39VULN|45CDMG|6DMG|7DUST|8RCR|aDUR
282	31623 33526	   	195.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AART|2FEWX|39VULN|47CDMG|5DUST|6ASPD|8RCR|aDUR
283	61213 43146	   	195.51	DCR|5VULN|1AART	1458aVULN|2DMSP|34LIT|4BPWR|6RCR|7MBVNT|9AART
284	23314 32166	   	195.50	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC	13RCVC|2DMG|4ZMB|5aVULN|6AART|7LEGI|8CDMG|9RCR
285	32126 72824	   	195.49	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1CDMG	1AART|2DUST|3MBVNT|4CDMG|5NUKE|6DMG|7RCR|8aASPD|9VULN
286	31132 32145	   	195.45	DCR|3VULN|2AART|1ASPD	15AART|2FEWX|3MBVNT|47aVULN|6ASPD|8LWND|9RCR
287	31132 37745	   	195.45	DCR|3VULN|2AART|1ASPD	15AART|2FEWX|3MBVNT|48aVULN|6ASPD|7LHND|9RCR
288	35533 33163	   	195.38	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1AART|2RMIN|3CGEN|4aVULN|5AAC|67DMG|8CDMG|9RCR
289	23111 15223	   	195.37	DCR|2VULN|2DMG|1CDMG|2DUR|1SELL	1RCVC|29DMG|39DUR|4LWND|5SELL|6RCR|7SNIFST|89VULN|9BPWR|aCDMG
290	23131 15223	   	195.37	DCR|2VULN|2DMG|1CDMG|2DUR|1SELL	1RCVC|29DMG|39DUR|4FEWX|5SELL|6RCR|7SNIFST|89VULN|9BPWR|aCDMG
291	32132 32145	   	195.35	DCR|3VULN|2AART|1ASPD	15AART|2DUST|3MBVNT|47aVULN|6ASPD|8LWND|9RCR
292	32132 37745	   	195.35	DCR|3VULN|2AART|1ASPD	15AART|2DUST|3MBVNT|48aVULN|6ASPD|7LHND|9RCR
293	33432 41531	 * 	195.35	DCR|3VULN|2AART|1MDPS|1ASPD	16AART|2RPLT|357VULN|45DUST|5BPWR|8MDPS|9RCR|aASPD
294	61213 43224	   	195.33	DCR|4VULN|2DMG	145aVULN|2DMSP|34LIT|4aBPWR|6RCR|7MBVNT|8aDMG|9aSNIFST
295	33562 15313	   	195.32	DCR|3VULN|1AART|1DMG|2DUR	1AART|2RPLT|35aLHND|45aVULN|5aBPWR|6LWND|7DMG|8RCR|9aDUR
296	33442 15313	   	195.32	DCR|3VULN|1AART|1DMG|2DUR	1AART|2RPLT|35aVULN|45aLHND|5aBPWR|6LWND|7DMG|8RCR|9aDUR
297	33413 41362	   	195.30	DCR|2VULN|2AART|2DMG	16AART|2RPLT|37VULN|4RMIN|58DMG|9RCR|aBELT
298	33341 13334	 * 	195.28	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9FEWX|aMDPS
299	35633 33163	   	195.28	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1AART|2RMIN|3TLV|4aVULN|5AAC|67DMG|8CDMG|9RCR
300	61223 43264	   	195.23	DCR|4VULN|2DMG	159aVULN|24DMSP|3aLIT|6RCR|7MBVNT|8aDMG|aBPWR
301	31137 32145	   	195.22	DCR|4VULN|1AART|1ASPD	1AART|2FEWX|3MBVNT|457aVULN|6ASPD|8LWND|9RCR
302	33341 21314	   	195.19	DCR|3ASPD|2VULN|1AART|1DUR	1AART|2RPLT|356ASPD|46VULN|6BPWR|7DUR|89LWND|aRCR
303	33341 13321	   	195.18	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9MDPS|aAIRARM
304	33341 13322	   	195.18	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9MDPS|aMULARM
305	33341 13323	   	195.18	DCR|3ASPD|1MDPS|1AART|1VULN|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9MDPS|aCGEN
306	33341 13324	   	195.18	DCR|3ASPD|1MDPS|1AART|1VULN|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9MDPS|aLIT
307	33341 13325	   	195.18	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9MDPS|aAELBLL
308	33341 13326	   	195.18	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9MDPS|aBEXP
309	61213 43261	   	195.13	DCR|4VULN|2DMG	1459VULN|2DMSP|34LIT|4BPWR|6RCR|7MBVNT|8aDMG
310	32137 32145	   	195.12	DCR|4VULN|1AART|1ASPD	1AART|2DUST|3MBVNT|457aVULN|6ASPD|8LWND|9RCR
311	31616 41121	   	195.09	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	1AART|2FEWX|3VULN|4aASPD|5RPLT|6RCR|79DUR|8DMG
312	31623 32334	   	195.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2FEWX|3VULN|4CDMG|5DUST|6ASPD|7BEXP|8aDMG|9RCR
313	31623 36134	   	195.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2FEWX|3VULN|4CDMG|5DUST|6ASPD|7aDMG|8LHND|9RCR
314	61223 43234	   	195.03	DCR|3VULN|3DMG	15aVULN|24DMSP|3aLIT|6RCR|7MBVNT|89aDMG|aBPWR
315	63221 15231	 * 	195.02	DCR|1SPLARM|2VULN|1AART|1DMG|1AAC|1SELL	18VULN|2LWND|3DMG|4RCVC|5SELL|6RCR|7SPLARM|9AART|aAAC
316	36226 13363	   	195.01	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	1AART|2RCVC|3aDUR|48ASPD|5RPLT|6RCR|7CDMG|9VULN
317	33346 41121	   	194.99	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	1AART|2RPLT|3aASPD|4VULN|5DUST|6RCR|79DUR|8DMG
318	33341 12355	   	194.95	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1AART|2RPLT|35ASPD|4aVULN|6RCR|7FEWX|8DMG|9AAC
319	33333 42424	   	194.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	16AART|2RPLT|3ASPD|4aDUR|5CGEN|7RCR|8DMG|9VULN
320	61213 43231	   	194.93	DCR|3VULN|3DMG	145VULN|2DMSP|34LIT|4BPWR|6RCR|7MBVNT|89aDMG
321	33341 14123	   	194.88	DCR|3ASPD|2VULN|1AART	1AART|2RPLT|35aASPD|4aVULN|6RCR|7DUST|8LHND|9aBEXP|aBPWR
