0	Index      	 *	Score 	Summary	Detail	
1	51132 62224	 * 	185.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9aVULN
162	51154 31344	   	157.18	DCR|3DMG|1VULN|2CDMG|1DUR	1CANHEL|24aDMG|34CDMG|4BPWR|5DUR|6DUST|7VULN|8MBVNT|9RCR
163	46242 11222	   	157.09	ACR|1AART|1VULN|1DMG|2DUR|1ZMB	1LIT|2RCR|39DUR|4AART|5ERES|6TLV|7DMG|8VULN|aZMB
164	31533 35162	   	157.08	DCR|2DMG|1AART|1VULN|1CDMG	1BEXP|29CGEN|3aDMG|4VULN|5AART|6CDMG|7RMIN|8RCR
165	25136 32352	   	157.08	DCR|2DMG|1AART|1VULN|1CDMG	1MLV|2CDMG|36RMIN|4BEXP|5AART|7VULN|8RCR|9aDMG
166	51124 35141	   	157.07	DCR|2VULN|2DMG|2CDMG	1aCANHEL|26DMG|3aCDMG|4MBVNT|5CGEN|7RCR|8BEXP|9aVULN|aBPWR
167	25236 43132	   	156.98	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|39VULN|4ERES|5AART|6CGEN|7BEXP|8RCR|aDMG
168	31533 35132	   	156.98	DCR|2DMG|1AART|1VULN|1CDMG	1BEXP|2CGEN|3aDMG|4VULN|5AART|6CDMG|7RMIN|8RCR|9ERES
169	31533 36133	   	156.98	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2CGEN|3DMG|49VULN|5AART|6CDMG|7ERES|8RCR|aLHND
170	31533 36135	   	156.98	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2CGEN|3DMG|49VULN|5AART|6CDMG|7ERES|8RCR|aRMIN
171	31533 36136	   	156.98	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2aCGEN|3DMG|49VULN|5AART|6CDMG|7ERES|8RCR
172	31533 36162	   	156.98	DCR|2DMG|1AART|1VULN|1CDMG	1BEXP|29CGEN|3aDMG|4VULN|5AART|6CDMG|7ERES|8RCR
173	51124 35341	   	156.97	DCR|2VULN|2DMG|2CDMG	1aCANHEL|26DMG|3aCDMG|4MBVNT|5CGEN|7RCR|8DUST|9aVULN|aBPWR
174	51126 35141	   	156.97	DCR|2VULN|2DMG|2CDMG	1aCANHEL|26DMG|3aCDMG|4MBVNT|5TLV|7RCR|8BEXP|9aVULN|aBPWR
175	31533 36131	   	156.88	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2CGEN|3DMG|49VULN|5AART|6CDMG|7ERES|8RCR|aDUST
176	31533 36134	   	156.88	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2CGEN|3DMG|49VULN|5AART|6CDMG|7ERES|8RCR|aTLV
177	36533 36132	   	156.88	DCR|2DMG|1AART|1VULN|1CDMG	1BEXP|2TLV|3aDMG|4VULN|5AART|6CDMG|7CGEN|8RCR|9ERES
178	51126 35341	   	156.87	DCR|2VULN|2DMG|2CDMG	1aCANHEL|26DMG|3aCDMG|4MBVNT|5TLV|7RCR|8DUST|9aVULN|aBPWR
179	52262 62132	   	156.84	DCR|2VULN|1AART|1DMG|1DUR	1CANHEL|25VULN|3ERES|48RCVC|6AART|7RCR|9DMG|aDUR
180	31533 53241	   	156.77	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9RCVC|aRMIN
181	31533 53335	   	156.77	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|28CGEN|37DMG|4VULN|5AART|6RCR|9RCVC|aDUR
182	31533 53242	   	156.67	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9RCVC|aDUST
183	31533 53243	   	156.67	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9RCVC|aLEGI
184	51132 63413	 * 	156.64	DCR|2DMG|1VULN|2CDMG|2ZMB	1CANHEL|24DMG|38CDMG|5ERES|6RCR|7aZMB|9VULN
185	54332 32121	   	156.26	ACR|3DMG|1VULN|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67aDMG|7BPWR|8LHND|9VULN
186	54332 32621	   	156.26	ACR|3DMG|1VULN|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67aDMG|7BPWR|8LWND|9VULN
187	54332 32841	   	156.26	ACR|3DMG|1VULN|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67aDMG|7BPWR|8VULN|9BEXP
188	43132 35226	   	156.23	DCR|2VULN|1AART|1DMG|1ZMB	14LIT|27VULN|3ZMB|5RPLT|6RCR|8BEXP|9DMG|aAART
189	54332 32321	   	156.16	ACR|3DMG|1VULN|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67aDMG|7BPWR|8DUST|9VULN
190	54332 36321	   	156.16	ACR|3DMG|1VULN|2CDMG	18CANHEL|2MBVNT|38CDMG|4RCVC|5RCR|68aDMG|7LEGI|8BPWR|9VULN
191	23434 13633	   	156.16	DCR|2VULN|1AART|1DMG|2DUR	1MLV|2aDUR|3ERES|45VULN|6LHND|7RCR|8AART|9DMG
192	25231 15352	   	155.78	DCR|2DMG|1AART|1VULN|1CDMG	1MLV|2CDMG|3VULN|4ERES|5DMSP|6BEXP|7AART|8RCR|9aDMG
193	23132 33351	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	1MLV|2DUR|359VULN|4CANHEL|6BEXP|7RCR|8CDMG|aDMG
194	51124 35531	   	155.67	DCR|3DMG|1VULN|1CDMG|1ASPD	1CANHEL|26aDMG|3CDMG|4MBVNT|5CGEN|7RCR|8VULN|9ASPD
195	11533 53252	   	155.64	DCR|3VULN|2DMG	19DUST|2CGEN|39DMG|479VULN|56RCVC|8RCR|9BPWR|aRMIN
196	11533 53253	   	155.64	DCR|3VULN|2DMG	19DUST|2CGEN|39DMG|479VULN|56RCVC|8RCR|9BPWR|aBEXP
197	31142 16432	   	155.60	DCR|2VULN|2DMG|1CDMG|1DUR	1BEXP|2CGEN|3aVULN|4aMLV|5DUR|6aDMG|7CDMG|8RCR|9FEWX|aBPWR
198	23162 16432	   	155.50	DCR|2VULN|2DMG|1CDMG|1DUR	1MLV|2DUR|3aVULN|4aBEXP|5TLV|6aDMG|7CDMG|8RCR|9FEWX|aBPWR
199	36533 53123	   	155.42	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2TLV|3DMG|4VULN|5AART|6RCR|7DUR|8ZMB|9ASPD|aBELT
200	36523 53122	   	155.42	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2TLV|3DMG|4LHND|5AART|6RCR|7DUR|8ZMB|9ASPD|aVULN
201	23141 16432	   	155.40	DCR|2VULN|2DMG|1CDMG|1DUR	1MLV|2DUR|3aVULN|4aTLV|5BEXP|6aDMG|7CDMG|8RCR|9FEWX|aBPWR
202	12133 36354	 * 	155.40	DCR|3VULN|1AART|1DMG|2CDMG|2MSE	17DUST|23MSE|47aVULN|5AART|67CDMG|7BPWR|8RCR|9DMG
203	36533 53121	   	155.32	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2TLV|3DMG|4VULN|5AART|6RCR|7DUR|8ZMB|9ASPD|aERES
204	25212 43253	   	155.27	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1MLV|29CDMG|36VULN|4ASPD|5LWND|7AART|8ZMB|aRCR
205	51135 34222	   	155.24	DCR|3DMG|1VULN|2CDMG	18CANHEL|248DMG|3aCDMG|5MLV|68CGEN|7RCR|8BPWR|9VULN
206	25211 43253	   	155.17	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1MLV|29CDMG|36VULN|4ASPD|5LEGI|7AART|8ZMB|aRCR
207	31533 53163	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8LWND|9DUR|aFEWX
208	31533 53223	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9LWND|aFEWX
209	31533 53231	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|29CGEN|37DMG|4VULN|5AART|6RCR|8DUR|aRMIN
210	31533 53234	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|29CGEN|37DMG|4VULN|5AART|6RCR|8DUR|aLSRICY
211	31533 53321	   	155.16	DCR|2DMG|1AART|1VULN|1ASPD	1BEXP|28CGEN|37DMG|4VULN|5AART|6RCR|9LIT|aASPD
212	31533 55223	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|2CGEN|3DMG|47VULN|5AART|6RCR|8DUR|9LWND|aFEWX
213	31533 55231	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|29CGEN|3DMG|47VULN|5AART|6RCR|8DUR|aRMIN
214	31533 55321	   	155.16	DCR|2VULN|1AART|1DMG|1ASPD	1BEXP|28CGEN|3DMG|47VULN|5AART|6RCR|9LIT|aASPD
215	31523 53222	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4LHND|5AART|6RCR|8DUR|9LWND|aVULN
216	31523 53235	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|29CGEN|37DMG|4LHND|5AART|6RCR|8DUR|aVULN
217	31533 52162	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|27CGEN|3DMG|4aVULN|5AART|6RCR|8LWND|9DUR
218	31533 52222	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|27CGEN|3DMG|4aVULN|5AART|6RCR|8DUR|9LWND
219	31533 52235	   	155.16	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|279CGEN|3DMG|4aVULN|5AART|6RCR|8DUR
220	31523 53162	   	155.16	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4LHND|5AART|6RCR|8LWND|9DUR|aVULN
221	46153 12231	   	155.16	ACR|2VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4ASPD|5DUR|6AART|7DUST|89VULN|aBEXP
222	46153 12232	   	155.16	ACR|2VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4ASPD|5DUR|6AART|7DUST|89VULN|aFEWX
223	46141 12233	   	155.16	ACR|2VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4DUR|5RMIN|6AART|7DUST|89VULN|aASPD
224	51132 34252	   	155.14	DCR|3DMG|1VULN|2CDMG	18CANHEL|248DMG|3aCDMG|5ERES|68CGEN|7RCR|8BPWR|9VULN
225	51132 44222	   	155.14	DCR|3DMG|1VULN|2CDMG	18CANHEL|248DMG|3aCDMG|5ERES|68MLV|7RCR|8BPWR|9VULN
226	31533 53113	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8LWND|9ERES|aDUR
227	31533 53161	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8LWND|9DUR|aERES
228	31533 53211	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2aCGEN|37DMG|4VULN|5AART|6RCR|8DUR|9ERES
229	31533 53212	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9ERES|aFEWX
230	31533 53215	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1aBEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9ERES
231	31533 53216	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9ERES|aMLV
232	31533 53221	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8DUR|9LWND|aERES
233	31533 53232	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|29CGEN|37DMG|4VULN|5AART|6RCR|8DUR|aDUST
234	31533 53233	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|29CGEN|37DMG|4VULN|5AART|6RCR|8DUR|aLEGI
235	31533 53433	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8TLV|9LHND|aDUR
236	31533 55113	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|2CGEN|3DMG|47VULN|5AART|6RCR|8LWND|9ERES|aDUR
237	31533 55211	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|2aCGEN|3DMG|47VULN|5AART|6RCR|8DUR|9ERES
238	31533 55212	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|2CGEN|3DMG|47VULN|5AART|6RCR|8DUR|9ERES|aFEWX
239	31533 55221	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|2CGEN|3DMG|47VULN|5AART|6RCR|8DUR|9LWND|aERES
240	31533 55232	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|29CGEN|3DMG|47VULN|5AART|6RCR|8DUR|aDUST
241	31533 55233	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1BEXP|29CGEN|3DMG|47VULN|5AART|6RCR|8DUR|aLEGI
242	36533 53221	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1BEXP|2TLV|3aDMG|4VULN|5AART|6RCR|7DUR|8CGEN|9LWND
243	51133 51252	   	155.03	DCR|3DMG|1VULN|1CDMG|1ZMB	1CANHEL|246DMG|3CDMG|5VULN|7BELT|8ZMB|9RCR|aFEWX
244	24222 15522	   	155.03	DCR|2VULN|1AART|2CDMG|1ZMB	19MLV|2TLV|3RPLT|49VULN|5BELT|69CDMG|7RCR|8AART|9BPWR|aZMB
