0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51112 22552	1	 * 	277.29	DCR|4VULN|3DMG|1DUR	18LHND|2RPLT|358DMG|458aVULN|58BPWR|6RCR|7BBNT|9DUR
165	51112 22533	1	   	248.06	DCR|3VULN|3DMG|1AART	18aLHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9AART
166	51112 22536	1	   	248.06	DCR|3VULN|3DMG|1AART	18LHND|2RPLT|358DMG|458VULN|58BPWR|6RCR|7BBNT|9AART|aRMIN
167	22235 16212	1	   	247.96	DCR|3VULN|3DMG|1AART	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7AART|9RCR|aLHND
168	22235 16215	1	   	247.96	DCR|3VULN|3DMG|1AART	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7AART|9RCR|aBEXP
169	66113 51312	6	   	247.96	DCR|3VULN|3DMG|1AART	1AART|28aVULN|3LWND|45aDMG|6RCR|7TBNT|9aBEXP|aBPWR
170	66215 22212	4	   	247.96	DCR|3VULN|3DMG|1AART	1AART|26aVULN|3LHND|48aDMG|5TBNT|7RCR|9aBEXP|aBPWR
171	22235 16213	1	   	247.86	DCR|3VULN|3DMG|1AART	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7AART|9RCR|aERES
172	22235 16216	1	   	247.86	DCR|3VULN|3DMG|1AART	1CGEN|256DMG|358VULN|4RPLT|5BPWR|7AART|9RCR|aLEGI
173	34141 22684	7	   	247.83	DCR|4VULN|2DUR|1AART	168DUST|2MBVNT|3AART|458aVULN|78DUR|8BPWR|9RCR
174	15236 11225	1	   	247.61	DCR|2VULN|3DMG|2CDMG|1TLV	1LEGI|27VULN|37CDMG|4CGEN|5TLV|678DMG|7BPWR|9RCR|aBEXP
175	34141 38742	9	   	247.54	DCR|5VULN|1ASPD|1AART	1DUST|2MBVNT|3AART|4589aVULN|6RCR|7ASPD
176	15235 11223	1	   	247.51	DCR|2VULN|3DMG|2CDMG|1DUR	1LEGI|27VULN|37CDMG|4CGEN|5ERES|678DMG|7BPWR|9RCR|aDUR
177	15236 11224	1	   	247.51	DCR|2VULN|3DMG|2CDMG|1TLV	1LEGI|27VULN|37CDMG|4CGEN|5TLV|678DMG|7BPWR|9RCR|aTBNT
178	34422 52821	10	   	247.47	DCR|4VULN|1DMG|2CDMG	1DUST|2MBVNT|35CDMG|4567VULN|5BPWR|8RCR|9CGEN|aDMG
179	34422 53531	8	   	247.47	DCR|4VULN|1DMG|2CDMG	1DUST|2MBVNT|35CDMG|456aVULN|5BPWR|7DMG|8RCR|9LWND
180	34422 53541	9	   	247.47	DCR|4VULN|1DMG|2CDMG	1DUST|2MBVNT|35CDMG|456aVULN|5BPWR|7DMG|8RCR|9LHND
181	26223 14263	10	   	247.47	DCR|4VULN|1DMG|2CDMG	1CGEN|26CDMG|3DMG|4ERES|567aVULN|6BPWR|8DUST|9RCR
182	34422 23661	10	   	247.37	DCR|4VULN|1DMG|2CDMG	1DUST|2MBVNT|35CDMG|4579VULN|5BPWR|6ERES|8RCR|aDMG
183	34422 52841	10	   	247.37	DCR|4VULN|1DMG|2CDMG	1DUST|2MBVNT|35CDMG|4567VULN|5BPWR|8RCR|9ERES|aDMG
