0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13332 55242	8	 * 	311.28	DCR|4VULN|3DUR|2DMG|3TLV	127aVULN|3RPLT|478DUR|57aTLV|6RCR|7aBPWR|9aDMG
163	13361 42631	8	   	282.87	DCR|4VULN|3DMG|3TLV	1279VULN|3RPLT|49CGEN|579TLV|678DMG|79BPWR|aRCR
164	13532 11136	9	   	282.77	DCR|4VULN|3DMG|2TLV	126aVULN|3MLV|48aDMG|5aTLV|7RCR|9DMSP|aBPWR
165	13532 11156	9	   	282.77	DCR|4VULN|3DMG|2TLV	126aVULN|3MLV|48aDMG|5aTLV|7RCR|9RCVC|aBPWR
166	15532 11136	9	   	282.77	DCR|4VULN|3DMG|2TLV	126aVULN|2aBPWR|3MLV|48aDMG|5aTLV|7RCR|9DMSP
167	12331 42323	10	   	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	178VULN|2CDMG|37DUR|4MLV|5TLV|67DMG|7BPWR|9LWND|aRCR
168	13161 15112	8	   	282.33	DCR|3VULN|3DUR|1TLV|2CDMG	12aVULN|3aCDMG|4ASPD|5TLV|6RCR|7AART|89aDUR|aBPWR
169	15161 15112	8	   	282.33	DCR|3VULN|3DUR|1TLV|2CDMG	12aVULN|2aBPWR|3aCDMG|4ASPD|5TLV|6RCR|7AART|89aDUR
170	13332 55331	9	   	282.26	DCR|4VULN|2TLV|2DUR|1CDMG	127aVULN|3RPLT|47DUR|57TLV|6RCR|7BPWR|8LIT|9CDMG
171	15332 55331	9	   	282.26	DCR|4VULN|2TLV|2DUR|1CDMG	127aVULN|27BPWR|3RPLT|47DUR|57TLV|6RCR|8LIT|9CDMG
172	21121 16114	6	   	282.02	DCR|4VULN|2DUR|1TLV|2ASPD|1CDMG	1RCVC|2aASPD|378aVULN|4CDMG|5TLV|6RCR|9aDUR|aBPWR
173	13521 14613	9	   	281.91	DCR|3VULN|3DMG|1TLV|2CDMG	12aVULN|3MLV|4aCDMG|5TLV|6RCR|7ASPD|89aDMG|aBPWR
174	13521 14613	10	   	281.91	DCR|3VULN|3DMG|1TLV|2CDMG	12aVULN|3MLV|4aCDMG|5TLV|6RCR|7ASPD|89aDMG|aBPWR
175	12131 42332	7	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	179VULN|29CDMG|37CGEN|4LWND|59TLV|678DMG|79BPWR|aRCR
176	12131 42632	8	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	179VULN|29CDMG|37CGEN|4LWND|59TLV|678DMG|79BPWR|aRCR
177	12151 42332	7	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	179VULN|29CDMG|37CGEN|4FEWX|59TLV|678DMG|79BPWR|aRCR
178	12151 42632	8	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	179VULN|29CDMG|37CGEN|4FEWX|59TLV|678DMG|79BPWR|aRCR
179	12222 52323	7	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	17aVULN|27CDMG|38aDMG|4CGEN|57TLV|6RCR|7aBPWR|9aMLV
180	12222 52623	8	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	17aVULN|27CDMG|38aDMG|4CGEN|57TLV|6RCR|7aBPWR|9aMLV
181	12222 52663	9	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	17aVULN|27CDMG|38aDMG|4CGEN|57TLV|6RCR|7aBPWR|9aZMB
182	12222 52663	10	   	281.89	DCR|3VULN|3DMG|2TLV|2CDMG	17aVULN|27CDMG|38aDMG|4CGEN|57TLV|6RCR|7aBPWR|9aZMB
183	12111 42332	7	   	281.79	DCR|3VULN|3DMG|2TLV|2CDMG	179VULN|27CDMG|39CGEN|4LEGI|59TLV|678DMG|79BPWR|aRCR
184	12111 42632	8	   	281.79	DCR|3VULN|3DMG|2TLV|2CDMG	179VULN|27CDMG|39CGEN|4LEGI|59TLV|678DMG|79BPWR|aRCR
185	15111 13133	7	   	281.62	DCR|5VULN|3TLV|1DMG|1CDMG	12789VULN|279BPWR|3CDMG|479TLV|579MLV|6RCR|aDMG
186	12331 42342	7	 * 	281.52	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	17VULN|2CDMG|37DUR|4MLV|59TLV|678DMG|7BPWR|aRCR
187	12331 42642	8	   	281.52	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	17VULN|2CDMG|37DUR|4MLV|59TLV|678DMG|7BPWR|aRCR
