0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52231 33234	10	 * 	283.25	DCR|4VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9CDMG
163	52231 33431	9	   	259.92	DCR|3VULN|3DMG|1CDMG|1SELL	1LIT|26aDMG|346VULN|5SELL|6BPWR|7RCR|8MBVNT|9CDMG
164	52231 33531	9	   	259.92	DCR|3VULN|3DMG|1CDMG|1SELL	1LIT|26aDMG|346VULN|5SELL|6BPWR|7RCR|8DUST|9CDMG
165	52231 32562	6	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	18LIT|26DMG|3469VULN|5SELL|6BPWR|7FEWX|aRCR
166	52231 33562	7	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	18LIT|26DMG|3469VULN|5SELL|6BPWR|7RCR|aRMIN
167	22324 35623	1	   	259.69	DCR|4VULN|2DUR|2ASPD	12RCVC|348aVULN|5TBNT|6aDUR|7RCR|9aASPD|aBPWR
168	21121 66126	2	 * 	259.52	DCR|3VULN|3DMG|2ASPD	18RCVC|279ERES|3aASPD|47aVULN|57aDMG|6RCR|7aBPWR
169	52232 13316	6	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LIT|2DMG|347VULN|5LWND|6DUR|8CDMG|9RCR|aTLV
170	52232 43316	6	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LIT|2DMG|346VULN|5LWND|7DUR|8CDMG|9RCR|aTLV
171	52235 13316	5	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|2DMG|347VULN|5DUR|6LHND|8CDMG|9RCR|aTLV
172	52235 21316	5	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|2DMG|346VULN|5DUR|7LHND|8CDMG|9RCR|aTLV
173	52235 23316	6	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LIT|2DMG|347VULN|5DUR|6LWND|8CDMG|9RCR|aTLV
174	52235 33316	5	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LIT|2DMG|347VULN|5DUR|6LWND|8CDMG|9RCR|aTLV
175	41125 43331	3	   	258.91	DCR|4VULN|2CDMG|1DUR|2LIT	19CGEN|2479VULN|34LIT|49BPWR|5LWND|6RCR|89CDMG|aDUR
176	53133 43331	2	   	258.81	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2479VULN|3LHND|5MLV|6RCR|89CDMG|9BPWR|aDUR
177	53133 43335	2	   	258.81	DCR|4VULN|2CDMG|1TLV|2LIT	19LIT|2479VULN|3LHND|5MLV|6RCR|89CDMG|9BPWR|aTLV
178	53333 43331	3	   	258.81	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2479VULN|3LWND|5MLV|6RCR|89CDMG|9BPWR|aDUR
179	53333 43331	4	   	258.81	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2479VULN|3LWND|5MLV|6RCR|89CDMG|9BPWR|aDUR
180	53333 43335	3	   	258.81	DCR|4VULN|2CDMG|1TLV|2LIT	19LIT|2479VULN|3LWND|5MLV|6RCR|89CDMG|9BPWR|aTLV
181	53333 43335	4	   	258.81	DCR|4VULN|2CDMG|1TLV|2LIT	19LIT|2479VULN|3LWND|5MLV|6RCR|89CDMG|9BPWR|aTLV
182	13333 24441	2	   	258.76	DCR|3VULN|3DUR|1TLV|1CDMG	1DUST|256DUR|36aVULN|4TBNT|6BPWR|7CDMG|8TLV|9RCR
183	21136 25236	1	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	1RCVC|2BBNT|3DMG|46LIT|5679VULN|6BPWR|8DUR|aRCR
184	53332 43331	5	   	258.71	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2479VULN|3LWND|5ERES|6RCR|89CDMG|9BPWR|aDUR
185	53332 43335	5	   	258.71	DCR|4VULN|2CDMG|1TLV|2LIT	19LIT|2479VULN|3LWND|5ERES|6RCR|89CDMG|9BPWR|aTLV
186	53522 43331	5	   	258.71	DCR|4VULN|2CDMG|1DUR|2LIT	19LIT|2379VULN|4ERES|5LWND|6RCR|89CDMG|9BPWR|aDUR
187	52221 35512	8	   	258.57	DCR|3VULN|2DMG|2ASPD|2LIT|1SELL	18LIT|26DMG|368VULN|4RCVC|5SELL|68BPWR|78ASPD|9ERES|aRCR
188	53223 11763	2	   	258.46	DCR|4VULN|1DMG|1DUR|2LIT|1SELL	15LIT|259aVULN|3MBVNT|4SELL|5BPWR|6DMG|7DUR|8RCR
189	31235 43422	5	 * 	258.34	DCR|4VULN|2DUR|3LIT	1RMIN|29aLIT|347aVULN|5aDUR|6RCR|8BBNT|aBPWR
190	52111 51313	3	   	258.10	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1LIT|2DMG|3ASPD|4CDMG|5aVULN|6TLV|78DUR|9RCR
191	53313 31125	3	   	258.04	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	19LIT|269VULN|3LWND|4ASPD|5RPLT|7RCR|89DUR|9BPWR|aTLV
192	52231 33165	10	 * 	257.92	DCR|3VULN|3DMG|3LIT|1SELL	19aLIT|268DMG|346VULN|5SELL|6BPWR|7RCR
193	52231 33261	10	   	257.86	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9DUST|aASPD
194	52231 35631	8	   	257.86	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7ASPD|8ERES|9RCR|aDUR
195	52351 43223	10	 * 	257.81	DCR|3DUR|1VULN|2DMG|2CDMG|1TLV|2LIT	16LIT|24DMG|34CDMG|46BPWR|568DUR|7RCR|9TLV|aVULN
196	52235 11313	6	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|56DUR|7LHND|8CDMG|9RCR
197	52134 63313	1	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|25DUR|3LHND|47aVULN|6DMG|8CDMG|9RCR
198	52136 51313	2	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5CDMG|6BEXP|78DUR|9RCR
199	52232 11313	6	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5LWND|68DUR|7CDMG|9RCR
200	52234 11313	6	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5BEXP|68DUR|7CDMG|9RCR
201	52235 11313	5	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|58DUR|6LHND|7CDMG|9RCR
202	52235 21313	6	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|58DUR|6LWND|7CDMG|9RCR
203	52235 31313	5	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|58DUR|6LWND|7CDMG|9RCR
204	52236 51313	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5CDMG|6BEXP|78DUR|9RCR
205	52236 51313	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5CDMG|6BEXP|78DUR|9RCR
206	52432 61313	1	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|28DUR|34aVULN|5BEXP|6DMG|7CDMG|9RCR
207	52434 12313	1	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|28DUR|34aVULN|5CDMG|6DMG|7LHND|9RCR
208	53134 11313	2	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|3LHND|5CDMG|6DMG|78DUR|9RCR
209	53311 63313	5	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|27aVULN|3LWND|45DUR|6DMG|8CDMG|9RCR
210	53314 63313	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|27aVULN|3LWND|45DUR|6DMG|8CDMG|9RCR
211	53315 61313	5	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|25aVULN|3LWND|48DUR|6DMG|7CDMG|9RCR
212	53334 11313	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|3LWND|5CDMG|6DMG|78DUR|9RCR
213	53334 11313	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|3LWND|5CDMG|6DMG|78DUR|9RCR
214	55313 63313	5	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24DUR|3LWND|57aVULN|6DMG|8CDMG|9RCR
215	41133 33231	7	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	19CGEN|249VULN|35LIT|6CDMG|7RCR|89aDUR|9BPWR
216	13125 61611	10	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|27DUR|3LIT|456VULN|8CDMG|9RCR|aDMG
217	52235 31313	6	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|58DUR|6DUST|7CDMG|9RCR
218	13125 21313	6	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|28DUR|3LIT|45aVULN|6DMG|7CDMG|9RCR
219	13125 61313	5	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|28DUR|3LIT|45aVULN|6DMG|7CDMG|9RCR
220	13434 11313	1	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|2LIT|34aVULN|5CDMG|6DMG|78DUR|9RCR
221	51434 11313	2	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DUST|34aVULN|5CDMG|6DMG|78DUR|9RCR
222	51515 21313	6	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DUST|35aVULN|48DUR|6DMG|7CDMG|9RCR
223	51534 11313	4	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DUST|34aVULN|5CDMG|6DMG|78DUR|9RCR
224	51534 11313	3	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DUST|34aVULN|5CDMG|6DMG|78DUR|9RCR
225	52136 61313	2	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5CDMG|6DUST|78DUR|9RCR
226	52236 61313	4	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5CDMG|6DUST|78DUR|9RCR
227	52236 61313	3	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|34aVULN|5CDMG|6DUST|78DUR|9RCR
228	53215 21313	6	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|25aVULN|3DUST|48DUR|6DMG|7CDMG|9RCR
229	53215 61313	5	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|25aVULN|3DUST|48DUR|6DMG|7CDMG|9RCR
230	53234 11313	4	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|3DUST|5CDMG|6DMG|78DUR|9RCR
231	53234 11313	3	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|3DUST|5CDMG|6DMG|78DUR|9RCR
232	53514 11313	4	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|23aVULN|4LEGI|5CDMG|6DMG|78DUR|9RCR
233	55225 21313	6	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|28DUR|3DUST|45aVULN|6DMG|7CDMG|9RCR
234	52351 21351	3	   	257.57	DCR|3VULN|2DMG|2CDMG|2LIT	19LIT|29DMG|36CDMG|4CGEN|589VULN|7RCR|9BPWR|aRCVC
235	52351 21352	3	   	257.47	DCR|3VULN|2DMG|2CDMG|2LIT	19LIT|29DMG|36CDMG|4CGEN|589VULN|7RCR|9BPWR|aERES
236	52231 33162	8	   	257.37	DCR|3VULN|3DMG|1ASPD|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9RMIN|aASPD
237	52233 33135	9	   	257.37	DCR|3VULN|2DMG|2CDMG|2LIT	15LIT|28DMG|34aVULN|69CDMG|7RCR
238	52233 33161	8	   	257.37	DCR|3VULN|2DMG|2CDMG|2LIT	15LIT|28DMG|349VULN|6aCDMG|7RCR
239	52313 11441	10	   	257.37	DCR|3VULN|2DMG|2CDMG|2LIT	19LIT|2aDMG|39CDMG|4ERES|5DUST|6RCR|789VULN|9BPWR
240	41131 25342	9	   	257.28	DCR|3VULN|3DUR|1DMG|1SELL	19CGEN|249VULN|3LIT|5SELL|6DMG|79aDUR|8RCR|9BPWR
241	52231 33145	10	   	257.12	DCR|3VULN|3DMG|1ASPD|2SELL	1LIT|268DMG|346VULN|59SELL|6BPWR|7RCR|aASPD
242	52232 33435	5	   	257.08	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|29aDMG|34VULN|5LWND|6BBNT|79DUR|8RCR|9BPWR
243	31231 24341	10	   	256.94	DCR|2VULN|3DMG|2DUR|2LIT|1SELL	1RMIN|29LIT|34VULN|5SELL|69aDMG|79DUR|8RCR|9BPWR
244	52436 13313	1	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1LIT|2DUR|347aVULN|5ASPD|6LHND|8CDMG|9RCR
245	52436 21313	1	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1LIT|2DUR|346aVULN|5ASPD|7LHND|8CDMG|9RCR
246	52436 33313	1	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1LIT|2DUR|347aVULN|5ASPD|6LWND|8CDMG|9RCR
247	53516 23313	4	   	256.65	DCR|4VULN|1DUR|1CDMG|1ASPD	1LIT|236aVULN|4LEGI|5ASPD|7DUR|8CDMG|9RCR
248	52233 33125	9	   	256.65	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1CDMG	15LIT|28DMG|34VULN|6CDMG|7RCR|9TLV|aDUR
249	52233 33165	9	   	256.65	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1CDMG	15LIT|28DMG|34VULN|6CDMG|7RCR|9DUR|aTLV
250	52321 63113	2	   	256.65	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	13LIT|23DMG|3BPWR|4TLV|5CDMG|6DUR|7aVULN|8ERES|9RCR
251	52231 33333	9	   	256.62	DCR|3VULN|2DMG|1TLV|1AART|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9TLV|aAART
252	52231 33263	8	   	256.52	DCR|3VULN|2DMG|1DUR|1AART|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9BBNT|aAART
253	52231 33263	7	   	256.52	DCR|3VULN|2DMG|1DUR|1AART|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9BBNT|aAART
254	23121 66161	1	   	256.39	DCR|4VULN|2DMG|1ASPD	18RCVC|27MLV|3ASPD|479aVULN|57DMG|6RCR|7BPWR
255	23121 66161	2	   	256.39	DCR|4VULN|2DMG|1ASPD	18RCVC|27MLV|3ASPD|479aVULN|57DMG|6RCR|7BPWR
256	52233 33353	8	 * 	256.26	DCR|3VULN|2DMG|3LIT|1CDMG	159LIT|29DMG|34aVULN|6CDMG|7RCR|89CGEN|9BPWR
257	52233 33156	8	   	256.05	DCR|2VULN|3DMG|1TLV|2LIT|1CDMG	15LIT|289DMG|34VULN|6CDMG|7RCR|aTLV
258	52313 11442	9	   	256.03	DCR|3VULN|1DMG|2CDMG|1DUR|2LIT	19LIT|2DMG|39CDMG|4ERES|5DUST|6RCR|789VULN|9BPWR|aDUR
259	52231 33123	9	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9BELT|aAART
260	52231 33113	10	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aBELT
261	52231 33113	9	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aFEWX
262	52231 33114	10	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aLWND
263	52231 33115	9	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aLHND
264	52231 33123	8	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aFEWX
265	52231 33125	8	   	256.03	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aLHND
266	52233 33145	7	   	256.01	DCR|4VULN|1DMG|2LIT|1CDMG	15LIT|2DMG|349aVULN|6CDMG|7RCR|8DLOT
267	53223 62334	8	 * 	256.01	DCR|4VULN|2TLV|2LIT|1CDMG	17LIT|2678VULN|3DUST|4ERES|57TLV|7BPWR|9CDMG|aRCR
268	22323 42543	1	 * 	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	12RCVC|34aVULN|5DMG|6aDUR|7aCDMG|8RPLT|9RCR|aBPWR
269	52231 33111	10	   	255.93	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aERES
270	52231 33112	9	   	255.93	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aERES
271	52231 33115	10	   	255.93	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aDUST
272	52231 33115	8	   	255.93	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9BBNT|aAART
273	52231 33122	8	   	255.93	DCR|3VULN|3DMG|1AART|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9AART|aERES
274	52351 33335	9	 * 	255.91	DCR|2VULN|3DMG|2CDMG|1DUR	1LIT|249DMG|34CDMG|4BPWR|5DUR|6MLV|7aVULN|8RCR
275	52351 33311	10	   	255.91	DCR|2VULN|3DMG|2CDMG|1DUR	1LIT|24aDMG|34CDMG|4BPWR|5DUR|6MLV|79VULN|8RCR
276	31132 25652	2	 * 	255.55	DCR|5VULN|1DMG	1RMIN|2LIT|34679VULN|56MLV|6BPWR|8RCR|aDMG
277	31232 25652	4	   	255.55	DCR|5VULN|1DMG	1RMIN|2LIT|34679VULN|56MLV|6BPWR|8RCR|aDMG
278	31232 25652	3	   	255.55	DCR|5VULN|1DMG	1RMIN|2LIT|34679VULN|56MLV|6BPWR|8RCR|aDMG
279	53313 31126	3	   	255.44	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD	19LIT|269VULN|3LWND|4ASPD|5RPLT|7RCR|89DUR|9BPWR|aCDMG
280	22512 53261	8	   	255.05	DCR|4VULN|2DMG|1AART	1RCVC|269LWND|3AART|489aVULN|59DMG|7RCR|9BPWR
281	53313 31123	3	   	255.02	DCR|3VULN|3DUR|2LIT|1ASPD	19LIT|269VULN|3LWND|4ASPD|5RPLT|7RCR|89aDUR|9BPWR
282	14113 51413	1	   	254.97	DCR|3VULN|3DUR|1TLV|1AART	18aDUST|2AART|38aDUR|4MLV|5TLV|6RCVC|78aVULN|8aBPWR|9RCR
283	16312 22363	5	   	254.95	DCR|4VULN|2DMG|1AART	129DUST|3aDMG|489aVULN|59aLHND|6AART|7RCR|9aBPWR
284	52351 11313	7	   	254.84	DCR|2VULN|2DMG|2DUR|2CDMG	1LIT|24DMG|34CDMG|4BPWR|58DUR|6LWND|7aVULN|9RCR
285	52351 33312	9	   	254.84	DCR|2VULN|2DMG|2DUR|2CDMG	1LIT|24DMG|34CDMG|4BPWR|5aDUR|6MLV|79VULN|8RCR
286	52134 41123	2	 * 	254.76	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|29DMG|34VULN|5RPLT|6LHND|7RCR|89aDUR|9BPWR
287	52234 41123	4	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|29DMG|34VULN|5RPLT|6LHND|7RCR|89aDUR|9BPWR
288	52234 41123	3	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|29DMG|34VULN|5RPLT|6LHND|7RCR|89aDUR|9BPWR
289	52351 51313	7	   	254.74	DCR|2VULN|2DMG|2DUR|2CDMG	1LIT|24DMG|34CDMG|4BPWR|58DUR|6DUST|7aVULN|9RCR
290	52351 51313	8	   	254.74	DCR|2VULN|2DMG|2DUR|2CDMG	1LIT|24DMG|34CDMG|4BPWR|58DUR|6DUST|7aVULN|9RCR
291	31231 24342	9	   	254.51	DCR|2VULN|3DUR|2DMG|2LIT|1SELL	1RMIN|29LIT|34VULN|5SELL|69DMG|79aDUR|8RCR|9BPWR
292	52631 33313	2	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1LIT|2DMG|3LWND|47aVULN|5ASPD|6TLV|8CDMG|9RCR
293	53535 33133	9	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1LIT|239VULN|4RCVC|5TLV|6CDMG|7RCR|8DMG|aASPD
294	52116 23313	2	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2DMG|36aVULN|4ERES|5ASPD|7DUR|8CDMG|9RCR
295	52145 23313	5	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2DMG|3ASPD|4ERES|5DUR|67aVULN|8CDMG|9RCR
296	52216 23313	3	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2DMG|36aVULN|4ERES|5ASPD|7DUR|8CDMG|9RCR
297	41135 43322	5	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1CGEN|247VULN|3LIT|5aDUR|6RCR|8CDMG|9TLV
298	52433 43322	1	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|2aDUR|347VULN|5MLV|6RCR|8CDMG|9TLV
299	53333 41323	5	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|24aVULN|3LWND|5TLV|6RCR|7CDMG|89DUR
300	52231 33438	9	   	253.92	DCR|3VULN|2DMG|1CDMG|1AART|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8MBVNT|9CDMG|aAART
301	53235 61313	2	   	253.84	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|24aVULN|3MBVNT|5CDMG|6TLV|78DUR|9RCR
302	53513 41323	5	   	253.84	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|23aVULN|4LEGI|5TLV|6RCR|7CDMG|89DUR
303	52221 33355	8	   	253.71	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	19LIT|26DMG|369VULN|4RCVC|5SELL|69BPWR|7RCR|89CGEN|aDUR
304	52233 33222	8	   	253.64	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1CDMG	15LIT|2DMG|34VULN|6CDMG|7RCR|8aDUR|9TLV
305	52233 33222	7	   	253.64	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1CDMG	15LIT|2DMG|34VULN|6CDMG|7RCR|8aDUR|9TLV
306	41131 21355	6	   	253.61	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	19CGEN|248VULN|39LIT|5SELL|69DMG|7RCR|9BPWR|aDUR
307	52235 43332	10	   	253.55	DCR|3VULN|2DMG|1DUR|2LIT	17LIT|29DMG|346VULN|5DUR|8ERES|aRCR
308	31235 13441	6	   	253.51	DCR|3VULN|3DUR|1TLV	1RMIN|2LIT|34aVULN|567DUR|8RCR|9TLV
309	31235 43251	5	   	253.51	DCR|3VULN|3DUR|1TLV	1RMIN|2LIT|347VULN|589DUR|6RCR|aTLV
310	55513 13123	9	   	253.51	DCR|3VULN|3DUR|1TLV	1LIT|246DUR|37aVULN|5TLV|8RCR|9RCVC
311	52231 33333	10	   	253.51	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1aLIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9TLV
312	52231 33336	9	   	253.51	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1aLIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8CGEN|9TLV
313	52231 34531	7	   	253.51	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	18LIT|26DMG|346VULN|5SELL|6BPWR|7LHND|9RCR|aDUR
314	52232 41432	10	   	253.50	DCR|4VULN|2DMG	1LIT|29DMG|3468VULN|5LWND|7MLV|aRCR
315	52232 42432	10	   	253.50	DCR|4VULN|2DMG	1LIT|29DMG|3468VULN|5LWND|7CGEN|aRCR
316	53223 62611	10	 * 	253.43	DCR|3VULN|1DMG|2TLV|2LIT|1CDMG	17LIT|267VULN|3DUST|4ERES|57TLV|7BPWR|8CDMG|9RCR|aDMG
317	41135 13142	8	   	253.42	DCR|2VULN|3DUR|1DMG|1TLV|2LIT	17CGEN|24VULN|37LIT|567DUR|7BPWR|8RCR|9TLV|aDMG
318	52231 61353	6	   	253.42	DCR|4VULN|1DMG|2LIT|1ASPD|1SELL	19LIT|2DMG|3489VULN|5SELL|69CGEN|7RCR|9BPWR|aASPD
319	13423 14213	1	   	253.41	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1DUST|25LIT|35aVULN|4SELL|5BPWR|67DMG|8DUR|9RCR
320	52231 33265	10	   	253.41	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1aLIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9DUST
321	52231 33513	7	   	253.41	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	18LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|9TBNT|aDUR
322	52423 51223	1	   	253.37	DCR|3VULN|3DUR|1TLV|1SELL	1LIT|257DUR|35aVULN|4SELL|5BPWR|6TLV|8RCR|9RPLT
323	52231 31362	6	   	253.35	DCR|4VULN|2DMG|1SELL	1LIT|26DMG|3469VULN|5SELL|6BPWR|7RCVC|8LHND|aRCR
324	52231 31662	6	   	253.35	DCR|4VULN|2DMG|1SELL	1LIT|26DMG|3469VULN|5SELL|6BPWR|7RCVC|8FEWX|aRCR
325	31254 11353	7	   	253.32	DCR|4VULN|2TLV|2LIT|1ASPD|1SELL	1RMIN|29LIT|3789VULN|4SELL|59TLV|6RCR|9BPWR|aASPD
326	52311 11225	4	 * 	253.31	DCR|2VULN|3DMG|2TLV|1CDMG	1LIT|26aDMG|3CDMG|4ERES|5aVULN|7RCR|8MLV|9aTLV|aBPWR
327	52351 11125	3	   	253.31	DCR|2VULN|3DMG|2TLV|1CDMG	1LIT|26aDMG|3CDMG|4CGEN|5aVULN|7RCR|8ERES|9aTLV|aBPWR
328	32515 52123	1	   	253.31	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1RMIN|2SELL|38aDUR|4aVULN|5CDMG|6ZMB|7RCR|9aDMG|aBPWR
