0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41112 31625	10	 * 	282.47	ACR|4VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689aVULN|789DUR|89BPWR
177	63511 23323	3	   	254.85	DCR|3VULN|3DMG|1DUR	19aLWND|29aDMG|3DUR|45LHND|6RCR|79aVULN|8RMIN|9aBPWR
178	65113 23323	1	   	254.85	DCR|3VULN|3DMG|1DUR	19aLWND|29aDMG|34LHND|5DUR|6RCR|79aVULN|8RMIN|9aBPWR
179	65211 23323	1	   	254.85	DCR|3VULN|3DMG|1DUR	19aLWND|29aDMG|3DUR|45LHND|6RCR|79aVULN|8RMIN|9aBPWR
180	12423 12252	10	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	123DUST|458VULN|6RCR|78DMG|8BPWR|9TLV|aDUR
181	12425 12252	10	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	123DUST|458VULN|58BPWR|6RCR|78DMG|9TLV|aDUR
182	13131 33643	3	 * 	254.84	DCR|2VULN|2DMG|2DUR|2TLV	1DUST|2aVULN|3CGEN|47TLV|5aDUR|6RCR|8LIT|9aDMG|aBPWR
183	13621 33643	4	   	254.84	DCR|2VULN|2DMG|2DUR|2TLV	1DUST|2aVULN|37TLV|4CGEN|5aDUR|6RCR|8LIT|9aDMG|aBPWR
184	53131 32232	5	   	254.82	DCR|4VULN|2DUR|1TLV	19aMLV|238aVULN|4BEXP|5TLV|6RCR|7aDUR|aBPWR
185	53131 34312	5	   	254.82	DCR|4VULN|2DUR|1TLV	1aMLV|238aVULN|47BEXP|5TLV|6RCR|9aDUR|aBPWR
186	53642 32232	3	   	254.82	DCR|4VULN|2DUR|1TLV	19aMLV|258aVULN|3FEWX|4TLV|6RCR|7aDUR|aBPWR
187	55133 32222	4	   	254.82	DCR|4VULN|2DUR|1TLV	1aMLV|2LHND|358aVULN|4FEWX|6TLV|7aDUR|9RCR|aBPWR
188	55153 32222	5	   	254.82	DCR|4VULN|2DUR|1TLV	1aMLV|2LHND|358aVULN|4BEXP|6TLV|7aDUR|9RCR|aBPWR
189	55163 32222	3	   	254.82	DCR|4VULN|2DUR|1TLV	1aMLV|2LHND|358aVULN|4FEWX|6TLV|7aDUR|9RCR|aBPWR
190	41113 61621	9	   	254.76	ACR|4VULN|3DMG|1TLV|1AART	1AART|289DMG|3DUST|4RCR|5789VULN|689LHND|89BPWR|aTLV
191	33513 23243	1	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1LEGI|237aVULN|4ASPD|5DUR|6RCR|8CGEN|9DMG
192	53111 72111	10	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1MLV|2369VULN|4MBVNT|5TLV|7ASPD|8DMG|aRCR
193	63322 23322	2	   	254.75	DCR|3VULN|3DMG|1DUR	139LWND|239DMG|39BPWR|4DUR|5BEXP|6RCR|79aVULN|8RMIN
194	65322 23322	1	   	254.75	DCR|3VULN|3DMG|1DUR	139LWND|239DMG|39BPWR|4DUR|5BEXP|6RCR|79aVULN|8RMIN
195	65314 47323	3	   	254.75	DCR|3VULN|3DMG|1DUR	179LWND|279VULN|3MBVNT|4FEWX|5DUR|679DMG|79BPWR|8RMIN|aRCR
196	13363 32534	3	   	254.66	DCR|4VULN|2CDMG|1TLV|1ASPD	17DUST|2467VULN|3MBVNT|57CDMG|7BPWR|8RCR|9TLV|aASPD
197	13513 26261	2	   	254.66	DCR|4VULN|3LIT|1DUR|1ASPD	19DUST|239aVULN|4ASPD|5DUR|6RCR|789LIT|9BPWR
198	13513 26261	3	   	254.66	DCR|4VULN|3LIT|1DUR|1ASPD	19DUST|239aVULN|4ASPD|5DUR|6RCR|789LIT|9BPWR
199	13532 26261	5	   	254.66	DCR|4VULN|3LIT|1DUR|1ASPD	19DUST|239aVULN|4ASPD|5DUR|6RCR|789LIT|9BPWR
200	13533 26261	4	   	254.66	DCR|4VULN|3LIT|1DUR|1ASPD	19DUST|239aVULN|4ASPD|5DUR|6RCR|789LIT|9BPWR
201	33513 23143	1	   	254.66	DCR|4VULN|1DMG|1DUR|1ASPD	1LEGI|237aVULN|4ASPD|5DUR|6RCR|8ERES|9DMG
202	63153 23321	2	   	254.65	DCR|3VULN|3DMG|1DUR	19LWND|249DMG|3LHND|5DUR|6RCR|79aVULN|8RMIN|9BPWR
203	63252 23321	2	   	254.65	DCR|3VULN|3DMG|1DUR	19LWND|249DMG|3DUR|5BEXP|6RCR|79aVULN|8RMIN|9BPWR
204	63453 23321	3	   	254.65	DCR|3VULN|3DMG|1DUR	19LWND|249DMG|3LHND|5DUR|6RCR|79aVULN|8RMIN|9BPWR
205	63552 23321	3	   	254.65	DCR|3VULN|3DMG|1DUR	19LWND|249DMG|3DUR|5BEXP|6RCR|79aVULN|8RMIN|9BPWR
206	65153 23321	1	   	254.65	DCR|3VULN|3DMG|1DUR	19LWND|249DMG|3LHND|5DUR|6RCR|79aVULN|8RMIN|9BPWR
207	65252 23321	1	   	254.65	DCR|3VULN|3DMG|1DUR	19LWND|249DMG|3DUR|5BEXP|6RCR|79aVULN|8RMIN|9BPWR
208	65344 47323	3	   	254.65	DCR|3VULN|3DMG|1DUR	179LWND|279VULN|3MBVNT|4DUST|5DUR|679DMG|79BPWR|8RMIN|aRCR
209	12423 12226	9	   	254.65	DCR|4VULN|2DMG|1AART	123DUST|4589VULN|6RCR|78DMG|8BPWR|aAART
210	12425 12226	9	   	254.65	DCR|4VULN|2DMG|1AART	123DUST|4589VULN|58BPWR|6RCR|78DMG|aAART
211	13642 32232	3	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|258aVULN|3TLV|49MLV|6RCR|7aDUR|aBPWR
212	25133 32222	4	   	254.62	DCR|4VULN|2DUR|1TLV	1aERES|2LHND|358aVULN|4FEWX|6TLV|7aDUR|9RCR|aBPWR
213	25153 32222	5	   	254.62	DCR|4VULN|2DUR|1TLV	1aERES|2LHND|358aVULN|4BEXP|6TLV|7aDUR|9RCR|aBPWR
214	25153 42222	6	   	254.62	DCR|4VULN|2DUR|1TLV	1aERES|2LHND|358aVULN|4BEXP|6TLV|7aDUR|9RCR|aBPWR
215	25163 32222	3	   	254.62	DCR|4VULN|2DUR|1TLV	1aERES|2LHND|358aVULN|4FEWX|6TLV|7aDUR|9RCR|aBPWR
216	63323 43351	5	   	254.61	DCR|2VULN|3DUR|2DMG|2LIT|1SELL	1aLWND|25DMG|3SELL|458DUR|5aBPWR|6RCR|7aLIT|9aVULN
217	15113 23323	1	   	254.55	DCR|3VULN|3DMG|1DUR	19aDUST|29aDMG|34LHND|5DUR|6RCR|79aVULN|8RMIN|9aBPWR
218	13631 52336	8	   	254.52	DCR|4VULN|2DUR|1TLV	157DUST|2789VULN|3TLV|4FEWX|67DUR|7BPWR|aRCR
219	23123 66126	3	   	254.52	DCR|4VULN|2DUR|1TLV	1ERES|2367VULN|45DUR|8RCR|9LWND|aTLV
220	15153 23321	1	   	254.45	DCR|3VULN|3DMG|1DUR	19DUST|249DMG|3LHND|5DUR|6RCR|79aVULN|8RMIN|9BPWR
221	63153 23242	3	   	254.45	DCR|3VULN|3DMG|1DUR	1LWND|249DMG|37aVULN|5DUR|6RCR|8CGEN
222	11384 82215	8	   	254.45	DCR|3VULN|3DMG|1TLV	178DUST|24FEWX|3MBVNT|578VULN|678DMG|78BPWR|9TLV|aRCR
223	23123 64324	3	   	254.42	DCR|4VULN|2DUR|1TLV	1ERES|2368VULN|45DUR|7TLV|9TBNT|aRCR
224	23123 66137	3	   	254.42	DCR|4VULN|2DUR|1TLV	1ERES|2367VULN|45DUR|8RCR|9MBVNT|aTLV
225	63153 23142	3	   	254.35	DCR|3VULN|3DMG|1DUR	1LWND|249DMG|37aVULN|5DUR|6RCR|8ERES
226	41312 15631	4	   	254.34	ACR|2VULN|3DMG|3DUR|2AART|1CDMG	15AART|268DMG|38aDUR|4RCR|78VULN|8BPWR|9CDMG
227	33513 23645	1	   	254.13	DCR|5VULN|1DUR|1ASPD	1LEGI|2379aVULN|4ASPD|5DUR|6RCR|8MBVNT
228	13253 35362	3	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1DUST|27aVULN|3ASPD|4DMG|5CDMG|6DUR|8RCR|9LIT
229	23143 13541	3	   	253.84	DCR|3VULN|2DUR|1TLV|1CDMG	1ERES|239VULN|4CDMG|58DUR|6RCR|7LIT|aTLV
230	53143 14331	3	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5DUR|6RCR|7RMIN|9TLV
231	53143 16331	3	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5DUR|6RCR|7ZMB|9TLV
232	53163 14331	4	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5DUR|6RCR|7RMIN|9TLV
233	53163 16331	4	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5DUR|6RCR|7ZMB|9TLV
234	53163 22322	6	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|239aVULN|4CDMG|5BELT|6RCR|7TLV|8DUR
235	53163 22532	6	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5BELT|6RCR|7TLV|9DUR
236	21162 52162	9	   	253.63	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	14aERES|25DUR|3aVULN|6TLV|7ASPD|8aDMG|9RCR|aBPWR
237	23143 14331	3	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1ERES|238aVULN|4CDMG|5DUR|6RCR|7RMIN|9TLV
238	53143 15331	3	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5DUR|6RCR|7ERES|9TLV
239	53163 15331	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1MLV|238aVULN|4CDMG|5DUR|6RCR|7ERES|9TLV
240	63211 35353	1	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|2CDMG|3568VULN|4DUST|7DUR|9RCR|aTLV
241	63323 32512	10	   	253.58	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1SELL	1LWND|25DMG|3SELL|45DUR|5BPWR|68VULN|7ASPD|9RCR|aTLV
242	63651 22333	2	   	253.48	DCR|3VULN|2DMG|2DUR	16LWND|24DMG|3CGEN|569VULN|6BPWR|78DUR|aRCR
243	65152 22333	3	   	253.48	DCR|3VULN|2DMG|2DUR	16LWND|259VULN|3CGEN|46DMG|6BPWR|78DUR|aRCR
244	41121 21541	10	   	253.46	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1AART|269DMG|39DUST|4MLV|5DUR|79VULN|8RCR|9BPWR|aTLV
245	53112 54425	9	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1MLV|2369VULN|4MBVNT|5DUR|7DMG|8RCR|aAART
246	63562 31333	6	   	253.38	DCR|3VULN|2DMG|2DUR	17LWND|26DMG|38DUR|4ERES|569VULN|6BPWR|aRCR
247	33555 22333	1	   	253.38	DCR|3VULN|2DMG|2DUR	1LEGI|239VULN|46DMG|56CGEN|6BPWR|78DUR|aRCR
248	63122 62333	4	   	253.38	DCR|3VULN|2DMG|2DUR	1LWND|26DMG|359VULN|4CGEN|78DUR|aRCR
249	63122 62333	5	   	253.38	DCR|3VULN|2DMG|2DUR	1LWND|26DMG|359VULN|4CGEN|78DUR|aRCR
250	43284 31744	10	   	253.33	DCR|3VULN|2DUR|1DMG|2AART	14AART|28FEWX|3MBVNT|5DMG|68aVULN|78DUR|8BPWR|9RCR
251	12413 13414	6	   	253.28	DCR|3VULN|2DMG|2DUR	123DUST|49DUR|59aVULN|6RCR|7RPLT|89DMG|9BPWR
252	23352 22333	2	   	253.28	DCR|3VULN|2DMG|2DUR	16ERES|259VULN|3LWND|46DMG|6BPWR|78DUR|aRCR
253	63562 33333	6	   	253.28	DCR|3VULN|2DMG|2DUR	1LWND|26DMG|38DUR|47ERES|569VULN|6BPWR|aRCR
254	12426 12335	6	   	253.28	DCR|3VULN|2DMG|2DUR	123DUST|47aVULN|5RCVC|6RCR|8aDUR|9aDMG|aBPWR
255	63153 41333	3	   	253.28	DCR|3VULN|2DMG|2DUR	1LWND|24DMG|369VULN|58DUR|7ERES|aRCR
256	13553 31233	2	   	253.18	DCR|3VULN|2DMG|2DUR	1DUST|239VULN|46DMG|58DUR|7ERES|aRCR
257	13553 31233	3	   	253.18	DCR|3VULN|2DMG|2DUR	1DUST|239VULN|46DMG|58DUR|7ERES|aRCR
258	33553 31333	1	   	253.18	DCR|3VULN|2DMG|2DUR	1LEGI|239VULN|46DMG|58DUR|7ERES|aRCR
259	63562 32213	10	   	253.14	DCR|3VULN|2DMG|2DUR|1SELL	1LWND|26DMG|38DUR|4ERES|56aVULN|6BPWR|7SELL|9RCR
260	63323 34513	10	   	253.14	DCR|3VULN|2DMG|2DUR|1SELL	1LWND|25DMG|3SELL|45DUR|5BPWR|68aVULN|7ERES|9RCR
261	41315 21332	9	 * 	252.89	ACR|2VULN|3DMG|3DUR|2TLV|1AART	1AART|269DMG|38aDUR|4RCR|5aTLV|7aVULN|aBPWR
262	53352 22363	2	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	16MLV|258VULN|3LWND|46DMG|6BPWR|7DUR|9CDMG|aRCR
