0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31614 31241	10	 * 	297.64	DCR|3VULN|3DUR|2DMG|3ASPD	178VULN|2ERES|378DUR|4CGEN|5aDMG|678ASPD|78BPWR|9RCR
167	32643 13221	9	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1346VULN|24DUR|4BPWR|5ZMB|7RPLT|8RCR|9CDMG|aTLV
168	32645 32213	4	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1347VULN|24DUR|4BPWR|5LHND|6RCR|8CDMG|9BEXP|aTLV
169	32645 32221	4	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1347VULN|24DUR|4BPWR|5LHND|6RCR|8CDMG|9TLV|aRCVC
170	32645 32222	4	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1347VULN|24DUR|4BPWR|5LHND|6RCR|8CDMG|9TLV|aCGEN
171	32645 32223	4	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1347VULN|24DUR|4BPWR|5aLHND|6RCR|8CDMG|9TLV
172	32643 13233	10	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1346VULN|24DUR|4BPWR|5ZMB|7RPLT|8RCR|9TLV|aCDMG
173	32643 13235	9	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1346VULN|24DUR|4BPWR|5ZMB|7RPLT|8RCR|9TLV|aCDMG
174	34353 13422	9	   	268.37	DCR|4VULN|2CDMG|1TLV|2LIT|1NUKE	179aVULN|2NUKE|3TLV|4AART|5aLIT|6aCDMG|8RCR|aBPWR
175	32111 46211	4	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1578VULN|2DUR|3LIT|4DMG|6DUST|9TLV|aRCR
176	32112 46211	5	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1578VULN|2DUR|3LIT|4DMG|6DUST|9TLV|aRCR
177	32112 66211	4	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1678VULN|2DUR|3LIT|4DMG|5DUST|9TLV|aRCR
178	32115 66211	5	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1678VULN|2DUR|3LIT|4DMG|5DUST|9TLV|aRCR
179	32511 31242	8	   	268.30	DCR|3VULN|3DUR|3ASPD	178VULN|278DUR|3RMIN|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aLIT
180	32511 31242	9	   	268.30	DCR|3VULN|3DUR|3ASPD	178VULN|278DUR|3RMIN|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aLIT
181	24361 41232	8	   	268.30	DCR|4VULN|3ASPD|1DMG|1NUKE	189LHND|2NUKE|3789VULN|4AART|589ASPD|6RCR|89BPWR|aDMG
182	33254 21236	10	   	268.30	DCR|4VULN|2DUR|1DMG	168aVULN|238LHND|4AART|58DUR|7RCR|8BPWR|9DMG
183	33354 21231	9	   	268.30	DCR|4VULN|2DUR|1DMG	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG|aDUST
184	33354 21233	10	   	268.30	DCR|4VULN|2DUR|1DMG	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG|aDUST
185	33354 21234	9	   	268.30	DCR|4VULN|2DUR|1DMG	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG|aTBNT
186	33354 21235	10	   	268.30	DCR|4VULN|2DUR|1DMG	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG|aERES
187	33354 21235	9	   	268.30	DCR|4VULN|2DUR|1DMG	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG|aBBNT
188	34611 31242	9	   	268.20	DCR|3VULN|3DUR|3ASPD|1NUKE	178VULN|2NUKE|378DUR|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aLIT
189	32612 31146	3	   	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	13479VULN|2DUR|5CDMG|6RPLT|8RCR|aASPD
190	32641 51223	10	   	267.95	DCR|4VULN|3DUR|1TLV	1345VULN|247DUR|4BPWR|6TLV|89MLV|aRCR
191	32642 11223	10	   	267.95	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|89MLV|aRCR
192	32642 11253	10	   	267.95	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8MLV|9CGEN|aRCR
193	32642 11412	7	   	267.95	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8RCR|9FEWX|aBEXP
194	32642 23621	10	   	267.95	DCR|4VULN|3DUR|1TLV	134aVULN|249DUR|4BPWR|5TLV|6BEXP|7LWND|8RCR
195	32643 41133	9	   	267.95	DCR|4VULN|3DUR|1TLV	134aVULN|248DUR|4BPWR|5ZMB|6TLV|7CGEN|9RCR
196	32643 41133	10	   	267.95	DCR|4VULN|3DUR|1TLV	134aVULN|248DUR|4BPWR|5ZMB|6TLV|7CGEN|9RCR
197	32636 23211	8	   	267.88	DCR|5VULN|1TLV|1DUR	1358aVULN|2DUR|4LIT|6BELT|7RCR|9TLV
198	32641 22143	5	   	267.85	DCR|4VULN|3DUR|1TLV	1345VULN|249DUR|4BPWR|6TBNT|7RCR|8BELT|aTLV
199	32642 11153	10	   	267.85	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8ERES|9CGEN|aRCR
200	32642 11247	7	   	267.85	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8MBVNT|9CGEN|aRCR
201	32642 11263	10	   	267.85	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8MLV|9DUST|aRCR
202	32642 11411	7	   	267.85	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8RCR|9FEWX|aBBNT
203	32642 31353	10	   	267.85	DCR|4VULN|3DUR|1TLV	1348VULN|249DUR|4BPWR|5TLV|6ERES|7CGEN|aRCR
204	32643 42133	10	   	267.85	DCR|4VULN|3DUR|1TLV	134aVULN|248DUR|4BPWR|5ZMB|6TLV|7ERES|9RCR
205	32643 42133	9	   	267.85	DCR|4VULN|3DUR|1TLV	134aVULN|248DUR|4BPWR|5ZMB|6TLV|7ERES|9RCR
206	32642 11163	10	   	267.75	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8ERES|9DUST|aRCR
207	32642 32423	10	   	267.75	DCR|4VULN|3DUR|1TLV	1348VULN|249DUR|4BPWR|5TLV|67ERES|aRCR
