0	Index      	 *	Score 	Summary	Detail	
1	13225 43262	 * 	275.21	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9TLV
167	22113 38645	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|27RCR|3aDMG|4MBVNT|5FEWX|6LHND|8VULN|9CDMG
168	21313 21413	   	246.37	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TLV|2LWND|3DUR|4RAT|5RCVC|6RPLT|7MLV|89RCR|aDMG
169	51233 21413	   	246.37	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1RAT|2LWND|3DUR|4TLV|5RCVC|6RPLT|7MLV|89RCR|aDMG
170	52233 21413	   	246.37	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1RAT|2BEXP|3DUR|4TLV|5RCVC|6RPLT|7MLV|89RCR|aDMG
171	12313 21413	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1DUST|2TLV|3DUR|4RAT|5RCVC|6RPLT|7MLV|89RCR|aDMG
172	16233 21413	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1DUST|2RAT|3DUR|4TLV|5RCVC|6RPLT|7MLV|89RCR|aDMG
173	23313 21413	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TLV|2AETHUN|3DUR|4RAT|5RCVC|6RPLT|7MLV|89RCR|aDMG
174	25313 21413	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TLV|2DUST|3DUR|4RAT|5RCVC|6RPLT|7MLV|89RCR|aDMG
175	33541 34221	 * 	245.74	DCR|3VULN|3DMG|1TLV|1AAC	1TBNT|279VULN|37LIT|479DMG|5AAC|6RCR|79BPWR|89ERES|aTLV
176	22624 11421	 * 	245.57	ACR|DCR|3TLV|2DMG|2MLV	19aTLV|27RCR|3BOSS|4TSLARM|5aMLV|6RMIN|8aDMG|aBPWR
