0	Index      	 *	Score 	Summary	Detail	
1	11521 67113	 * 	272.11	DCR|2MLV|2TLV|2DMG|1VULN	1DUST|2aTLV|3ERES|4DUR|5aMLV|6MBVNT|7VULN|8aDMG|9RCR|aBPWR
163	13313 33163	   	243.05	DCR|2VULN|2MLV|1DMG|1AAC	14DUST|24MLV|3AAC|4BPWR|5LHND|67VULN|8TBNT|9RCR|aDMG
164	13311 51663	   	243.05	DCR|2VULN|2MLV|1DMG|1AAC	14DUST|24MLV|3AAC|4BPWR|5BBNT|6LWND|78VULN|9RCR|aDMG
165	51121 26236	   	242.80	DCR|2VULN|2TLV|1MLV|1ASPD	1LWND|29TLV|3AETHUN|4ASPD|5MLV|67VULN|8RCVC|aRCR
166	11121 26236	   	242.70	DCR|2VULN|2TLV|1MLV|1ASPD	1DUST|29TLV|3AETHUN|4ASPD|5MLV|67VULN|8RCVC|aRCR
167	11321 43626	   	242.62	DCR|1VULN|2AAC|1TLV|1MLV|1ASPD	1DUST|2TLV|3aAAC|4DUR|5MLV|6ASPD|7VULN|8MDPS|9RCR
168	13354 43213	   	242.40	DCR|3VULN|1MLV|1AAC|1ASPD	1DUST|2MLV|3AAC|4ERES|57aVULN|6ASPD|8RAT|9RCR
169	51321 43361	   	242.31	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1LWND|2TLV|3AAC|4DUR|5MLV|68ASPD|7VULN|9RCR|aBBNT
170	11321 43361	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|68ASPD|7VULN|9RCR|aBBNT
171	11321 43364	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|68ASPD|7VULN|9RCR|aRPLT
172	11321 43366	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|68ASPD|7VULN|9RCR|aLWND
173	11321 45362	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|68ASPD|7LHND|9RCR|aVULN
174	51321 41362	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1LWND|2TLV|3AAC|4DUR|5MLV|68ASPD|7AETHUN|9RCR|aVULN
175	51321 43362	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC	1LWND|2TLV|3AAC|4DUR|5MLV|68ASPD|7VULN|9RCR|aAEFBLL
176	51321 43363	   	242.21	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC|1MSE	1LWND|2TLV|3AAC|4DUR|5MLV|68ASPD|7VULN|9RCR|aMSE
177	13121 31136	   	242.21	DCR|2MLV|2TLV|1VULN|1ASPD	1DUST|25MLV|3AETHUN|4ASPD|6VULN|7AEBURN|89TLV|aRCR
