0	Index      	 *	Score 	Summary	Detail	
1	23312 34364	 * 	234.92	DCR|4VULN|2DMG|1AART|2DUR	1aDUR|24DMG|349aVULN|4aBPWR|5aLWND|6AART|7RCR|8RMIN
166	33251 15513	   	205.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	15VULN|2DMG|3FEWX|4ASPD|6aAART|7DUR|8MBVNT|9RCR
167	33251 25321	   	205.94	DCR|4VULN|1ASPD|1DMG|1ZMB	156aVULN|2DMG|3FEWX|4ASPD|7RCR|8ZMB|9RPLT
168	23316 51142	   	205.75	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8LWND|9ASPD|aMLV
169	23316 51314	   	205.75	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8RPLT|9AELBLL|aASPD
170	23311 11531	   	205.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|57CGEN|6AART|8BELT|9ASPD|aRCR
171	23313 14531	   	205.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|34VULN|4BPWR|57AME|6AART|8BELT|9ASPD|aRCR
172	33251 25341	   	205.69	DCR|4VULN|1ASPD|1DMG|1ZMB|1SELL	156aVULN|2DMG|3FEWX|4ASPD|7RCR|8ZMB|9SELL
173	33251 25513	   	205.65	DCR|3VULN|2DMG|1ASPD|1DUR	156VULN|29DMG|3FEWX|4ASPD|7RCR|8MLV|aDUR
174	33251 25253	   	205.65	DCR|3VULN|2DMG|1ASPD|1DUR	156VULN|29DMG|3FEWX|4ASPD|7RCR|8DUR|aLIT
175	23316 51232	   	205.55	DCR|3VULN|3DMG|1NUKE|1DUR|1MSE	1DUR|249DMG|346VULN|4BPWR|5LIT|7RCR|8MSE|aNUKE
176	23316 51241	   	205.55	DCR|3VULN|2DMG|1ASPD|1NUKE|1DUR|1MSE	1DUR|24DMG|346VULN|4BPWR|5LIT|7RCR|8MSE|9ASPD|aNUKE
177	33251 25252	   	205.55	DCR|3VULN|2DMG|1ASPD|1DUR|1MSE	156VULN|29DMG|3FEWX|4ASPD|7RCR|8DUR|aMSE
178	33212 34264	   	205.52	DCR|3VULN|2DMG|1AART	19aVULN|24DMG|34aFEWX|4aBPWR|5aLWND|6AART|7RCR|8RMIN
179	42714 35131	 * 	205.45	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1aLIT|2MBVNT|3AART|4ASPD|5aVULN|6MDPS|7RMIN|8RCR|9aDMG|aBPWR
180	33322 34254	   	205.32	DCR|3VULN|2DMG|1AART	13aVULN|2aDMG|4DUST|5LWND|6AART|7RCR|8RMIN|9aAELBLL|aBPWR
181	33246 22232	   	205.29	DCR|3VULN|1MDPS|2DMG|1AART|1ZMB	189VULN|29DMG|3FEWX|4AART|5MDPS|6ZMB|79ERES|9BPWR|aRCR
182	23312 33515	   	205.26	DCR|3VULN|2DMG|1AART|1DUR	1DUR|24DMG|34aVULN|4BPWR|5LWND|6AART|7TLV|8MBVNT|9RCR
183	21345 23216	   	205.16	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2RMIN|3VULN|47AART|5FEWX|6RCR|8CDMG|9ASPD|aZMB
184	23316 53352	   	204.99	DCR|3VULN|2DMG|1ASPD|2DUR	17DUR|24DMG|346VULN|4BPWR|5LIT|8FEWX|9ASPD|aRCR
185	33326 32652	   	204.99	DCR|3VULN|2DMG|1ASPD|2DUR	137VULN|27DMG|4DUST|5LIT|67DUR|7BPWR|8AELBLL|9ASPD|aRCR
