0	Index      	 *	Score 	Summary	Detail	
1	41112 25224	 * 	200.34	DCR|3ASPD|3BEXP|1VULN|1DMG|1BASICY	138BEXP|235ASPD|3BPWR|4BASICY|6AAC|7VULN|9DMG|aRCR
150	41513 25133	   	171.25	1BASARM|2VULN|2ASPD|1BASICY|1BEXP|1CDMG|1AAC	1BEXP|23ASPD|4BASICY|5aVULN|6FEWX|7CDMG|8BASARM|9AAC
151	41121 13331	   	171.19	2VULN|3ASPD|1BASARM|3BEXP	138BEXP|236ASPD|38BPWR|4LWND|58VULN|78FEWX|9DUST|aBASARM
152	41141 13331	   	171.19	2VULN|3ASPD|1BASARM|3BEXP	138BEXP|236ASPD|38BPWR|4DUR|58VULN|78FEWX|9DUST|aBASARM
153	41121 12341	   	171.09	2VULN|3ASPD|1BASARM|3BEXP	138BEXP|236ASPD|38BPWR|4LWND|58VULN|78DUST|9DUR|aBASARM
154	11113 25116	   	170.87	1BASARM|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG	13DUR|23ASPD|3BPWR|4BASICY|5VULN|6BEXP|7CDMG|8BASARM|9LHND|aDMG
155	11113 25126	   	170.87	1BASARM|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG	13DUR|23ASPD|3BPWR|4BASICY|5VULN|6BEXP|7CDMG|8BASARM|9FEWX|aDMG
156	32313 27377	 * 	170.82	ACR|2ASPD|1DMG|1BEXP|1AART	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6BEXP|7DMG|89ASPD|aAART
157	11513 25116	   	170.77	1BASARM|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG	1DUR|23ASPD|4BASICY|5VULN|6BEXP|7CDMG|8BASARM|9LHND|aDMG
158	11513 25126	   	170.77	1BASARM|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG	1DUR|23ASPD|4BASICY|5VULN|6BEXP|7CDMG|8BASARM|9FEWX|aDMG
159	21113 25156	   	170.67	1BASARM|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG	13DUST|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9BEXP|aDMG
160	21113 35156	   	170.67	1BASARM|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG	13DUST|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|9BEXP|aDMG
161	41135 11326	 * 	170.65	DCR|1BASARM|2ASPD|2BEXP	13BEXP|23ASPD|3BPWR|45RCVC|6ERES|7DUST|8LIT|9BASARM|aRCR
162	41135 12326	   	170.65	DCR|1BASARM|2ASPD|2BEXP	13BEXP|23ASPD|3BPWR|45RCVC|6ERES|7LIT|8LEGI|9BASARM|aRCR
163	41135 21326	   	170.65	DCR|1BASARM|2ASPD|2BEXP	13BEXP|23ASPD|3BPWR|45RCVC|6AME|7DUST|8LIT|9BASARM|aRCR
164	41135 22326	   	170.65	DCR|1BASARM|2ASPD|2BEXP	13BEXP|23ASPD|3BPWR|45RCVC|6AME|7LIT|8LEGI|9BASARM|aRCR
165	41113 53335	   	170.56	1BASARM|2ASPD|1VULN|2BEXP|1DMG|1BASICY	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6CGEN|7ERES|8BASARM|9VENICY|aDMG
166	41113 33116	   	170.52	1BASARM|2ASPD|1VULN|2BEXP|1DMG|1BASICY|1SELL	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7SELL|8BASARM|9LHND|aDMG
167	41113 33126	   	170.52	1BASARM|2ASPD|1VULN|2BEXP|1DMG|1BASICY|1SELL	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7SELL|8BASARM|9FEWX|aDMG
168	32316 61243	   	170.51	ACR|2VULN|1ASPD|1DMG|1AART	1RPLT|2LIT|3ZMB|4RCR|56VULN|7DMG|8AART|9ASPD|aCGEN
169	41132 11163	 * 	170.43	3ASPD|1BASARM|2BEXP|1DMG|1VULN	13BEXP|236ASPD|3BPWR|4RCVC|5ERES|7ZMB|8DMG|9BASARM|aVULN
170	41136 11163	   	170.43	3ASPD|1BASARM|2BEXP|1DMG|1VULN	13BEXP|236ASPD|3BPWR|4RCVC|5AME|7ZMB|8DMG|9BASARM|aVULN
171	32316 61242	   	170.41	ACR|2VULN|1ASPD|1DMG|1AART	1RPLT|2LIT|3ZMB|4RCR|56VULN|7DMG|8AART|9ASPD|aLEGI
172	65363 31121	   	170.39	ACR|1BASARM|1VULN|2AART	1MDPS|2RMIN|3BASARM|49AART|5RCR|6BELT|7VULN|8aCGEN
173	65363 31122	   	170.39	ACR|1BASARM|1VULN|2AART	1MDPS|2RMIN|3BASARM|49AART|5RCR|6BELT|7VULN|8CGEN|aDUR
