0	Index      	 *	Score 	Summary	Detail	
1	42112 63531	 * 	212.45	ACR|2VULN|2DMG|2BEXP|2AART	1aBEXP|29AART|3MDPS|4RCR|5aVULN|6LWND|7LHND|8aDMG|aBPWR
159	42116 21141	   	183.22	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9DUR|aVULN
160	42116 51113	   	183.22	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8RCVC|9VULN|aLIT
161	42112 32411	 * 	183.13	ACR|1VULN|1ASPD|1BASICY|1BEXP|1AART|1CDMG	1BEXP|2AART|3MDPS|4RCR|5VULN|6DMSP|7CDMG|8ASPD|9CGEN|aBASICY
162	42116 21112	   	183.12	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9VULN|aNUKE
163	42116 21121	   	183.12	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8RCVC|9DUST|aVULN
164	42116 51112	   	183.12	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8RCVC|9VULN|aNUKE
165	42116 51121	   	183.12	ACR|2ASPD|2BEXP|1VULN|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8RCVC|9DUST|aVULN
166	42112 32151	   	183.03	ACR|1VULN|1ASPD|1BASICY|1AART|1CDMG|1BEXP	1BEXP|2AART|3MDPS|4RCR|5VULN|6DMSP|7CDMG|8TLV|9ASPD|aBASICY
167	42112 32351	   	183.03	ACR|1VULN|1ASPD|1BASICY|1AART|1CDMG|1BEXP	1BEXP|2AART|3MDPS|4RCR|5VULN|6DMSP|7CDMG|8AME|9ASPD|aBASICY
168	32155 21412	   	183.01	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|23DUR|4RCR|59LIT|6AART|7ZMB|8BASARM|aASPD
169	33156 15131	 * 	182.78	ACR|3ASPD|1VULN|1BASICY|1BEXP	1VULN|2TLV|3BELT|49aASPD|5RCR|6BEXP|7LHND|8BASICY
170	33156 16131	   	182.78	ACR|3ASPD|1VULN|1BASICY|1BEXP	1VULN|2TLV|3BELT|49aASPD|5RCR|6BEXP|7DUR|8BASICY
171	33156 11141	   	182.76	ACR|2VULN|3BEXP|1ASPD|1AART	1aVULN|2TLV|3BELT|4ASPD|5RCR|689BEXP|7AART
172	22112 53431	   	182.71	ACR|1BASARM|1VULN|1ASPD|1AART	1DUR|2AART|3MDPS|4RCR|5VULN|6LHND|7NUKE|8MSLREG|9ASPD|aBASARM
173	22112 41541	   	182.54	ACR|2VULN|2DMG|1AART|1BEXP	1aDUR|2AART|3MDPS|4RCR|5aVULN|6FEWX|7BEXP|8aDMG|9RCVC|aBPWR
174	22112 51541	   	182.54	ACR|2VULN|2DMG|1AART|1BEXP	1aDUR|2AART|3MDPS|4RCR|5aVULN|6LHND|7BEXP|8aDMG|9RCVC|aBPWR
