0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33384 48264	4	 * 	295.18	DCR|3VULN|3DMG|3DUR|3ASPD	1MBVNT|279DUR|389VULN|479DMG|567ASPD|79BPWR|aRCR
172	32631 41382	1	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	1MBVNT|29ASPD|3469VULN|56MLV|69BPWR|7TLV|89DUR|aRCR
173	38324 53215	9	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1MBVNT|2359VULN|4RPLT|69DUR|7RCR|89ASPD|9BPWR|aTLV
174	38424 53215	9	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1MBVNT|2359VULN|39BPWR|4RPLT|69DUR|7RCR|89ASPD|aTLV
175	34433 24737	1	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aCDMG
176	34733 24737	1	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2489VULN|379DUR|59LIT|6RCR|9BPWR|aCDMG
177	38331 24737	5	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aCDMG
178	38333 24737	3	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aCDMG
179	38333 24737	4	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aCDMG
180	38431 24737	5	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aCDMG
181	38433 24737	4	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aCDMG
182	38433 24737	3	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aCDMG
183	38433 24737	2	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aCDMG
184	33153 23737	2	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|239DUR|39BPWR|4789VULN|59LIT|6RCR|aCDMG
185	33333 24737	3	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aCDMG
186	33341 24737	5	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aCDMG
187	33343 24737	4	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aCDMG
188	33353 24737	4	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|279DUR|3589VULN|49LIT|6RCR|9BPWR|aCDMG
189	33363 23737	3	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|249DUR|3789VULN|59LIT|6RCR|9BPWR|aCDMG
190	33513 24737	2	   	267.65	DCR|4VULN|3DUR|2LIT|1CDMG	1MBVNT|279DUR|39LIT|4589VULN|6RCR|9BPWR|aCDMG
191	33383 24414	3	   	267.42	DCR|4VULN|3DUR|1DMG	1MBVNT|247DUR|348aVULN|4BPWR|5LIT|6RCR|9DMG
192	34783 24414	1	   	267.42	DCR|4VULN|3DUR|1DMG	1MBVNT|248aVULN|347DUR|4BPWR|5LIT|6RCR|9DMG
193	38783 24414	2	   	267.42	DCR|4VULN|3DUR|1DMG	1MBVNT|248aVULN|347DUR|4BPWR|5LIT|6RCR|9DMG
194	33334 23672	6	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1MBVNT|28DUR|38VULN|4DUST|5TLV|6AART|78DMG|8BPWR|9CDMG|aRCR
195	33345 58431	8	   	267.06	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1MBVNT|2DUR|3468VULN|5AART|7RCR|9TLV|aDMG
196	38341 23282	8	 * 	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|49TLV|5CGEN|6BEXP|79DMG|9BPWR|aRCR
197	38341 33282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|49TLV|5CGEN|6FEWX|79DMG|9BPWR|aRCR
198	38342 73282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|49TLV|5FEWX|6CGEN|79DMG|9BPWR|aRCR
199	38344 73282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|49TLV|5LHND|6CGEN|79DMG|9BPWR|aRCR
200	38441 23282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|39BPWR|49TLV|5CGEN|6BEXP|79DMG|aRCR
201	38441 33282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|39BPWR|49TLV|5CGEN|6FEWX|79DMG|aRCR
202	38442 73282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|39BPWR|49TLV|5FEWX|6CGEN|79DMG|aRCR
203	38444 73282	8	   	267.02	DCR|4VULN|2DMG|2TLV	1MBVNT|2389VULN|39BPWR|49TLV|5LHND|6CGEN|79DMG|aRCR
204	56211 42332	10	   	266.50	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	18LIT|258VULN|3CDMG|4LWND|6RMIN|78DMG|8BPWR|9TLV|aRCR
205	33383 28841	3	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	1MBVNT|248DUR|34aVULN|4BPWR|5LIT|6RCR|7CDMG|9TLV
206	38342 44373	5	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|48TLV|5FEWX|6CDMG|78aDUR|8BPWR|9RCR
207	38342 62373	7	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|48TLV|5FEWX|6CDMG|78aDUR|8BPWR|9RCR
208	38342 64373	6	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|48TLV|5FEWX|6CDMG|78aDUR|8BPWR|9RCR
209	38345 44373	4	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|48TLV|5FEWX|6CDMG|78aDUR|8BPWR|9RCR
210	38442 44373	5	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|38BPWR|48TLV|5FEWX|6CDMG|78aDUR|9RCR
211	38442 62373	7	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|38BPWR|48TLV|5FEWX|6CDMG|78aDUR|9RCR
212	38442 64373	6	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|38BPWR|48TLV|5FEWX|6CDMG|78aDUR|9RCR
213	38445 44373	4	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|238VULN|38BPWR|48TLV|5FEWX|6CDMG|78aDUR|9RCR
214	38644 45432	8	 * 	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	1MBVNT|2578VULN|38CDMG|48DUR|6RMIN|8BPWR|9RCR|aDMG
215	38346 24712	7	   	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|23aVULN|46TLV|568DUR|6BPWR|7CDMG|9RCR
216	38446 24712	7	   	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	1MBVNT|23aVULN|36BPWR|46TLV|568DUR|7CDMG|9RCR
217	33383 21332	3	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1MBVNT|24DUR|348VULN|4BPWR|5aLIT|6RCR|7DMG|9TLV
218	34783 21332	1	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1MBVNT|248VULN|34DUR|4BPWR|5aLIT|6RCR|7DMG|9TLV
219	38783 21332	2	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1MBVNT|248VULN|34DUR|4BPWR|5aLIT|6RCR|7DMG|9TLV
220	35337 24374	3	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|28FEWX|348aVULN|5CDMG|6TLV|78DUR|8BPWR|9RCR
221	35347 24374	4	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|28FEWX|348aVULN|5CDMG|6TLV|78DUR|8BPWR|9RCR
222	34427 24374	1	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|238aVULN|48FEWX|5CDMG|6TLV|78DUR|8BPWR|9RCR
223	38327 24374	3	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|238aVULN|48FEWX|5CDMG|6TLV|78DUR|8BPWR|9RCR
224	38427 24374	2	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|238aVULN|48FEWX|5CDMG|6TLV|78DUR|8BPWR|9RCR
225	38427 24374	3	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|238aVULN|38BPWR|48FEWX|5CDMG|6TLV|78DUR|9RCR
226	33333 23742	3	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|3478VULN|5LIT|6RCR|9DMG|aTLV
227	33341 14833	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|3489VULN|5LIT|6TLV|7RCR|aDMG
228	33341 23742	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|3478VULN|5LIT|6RCR|9DMG|aTLV
229	33343 23742	4	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|3478VULN|5LIT|6RCR|9DMG|aTLV
230	33344 32172	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|346aVULN|5ASPD|7RCR|8DMG|9TLV
231	33353 23742	4	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|3578VULN|4LIT|6RCR|9DMG|aTLV
232	33513 23742	2	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2DUR|3LIT|4578VULN|6RCR|9DMG|aTLV
233	34433 23742	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|4DUR|5LIT|6RCR|9DMG|aTLV
234	34733 23742	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2478VULN|3DUR|5LIT|6RCR|9DMG|aTLV
235	38331 14833	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2389VULN|4DUR|5LIT|6TLV|7RCR|aDMG
236	38331 23742	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|4DUR|5LIT|6RCR|9DMG|aTLV
237	38333 23742	3	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|4DUR|5LIT|6RCR|9DMG|aTLV
238	38333 23742	4	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|4DUR|5LIT|6RCR|9DMG|aTLV
239	38334 32172	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|236aVULN|4DUR|5ASPD|7RCR|8DMG|9TLV
240	38431 14833	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2389VULN|3BPWR|4DUR|5LIT|6TLV|7RCR|aDMG
241	38431 23742	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|3BPWR|4DUR|5LIT|6RCR|9DMG|aTLV
242	38433 23742	3	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|3BPWR|4DUR|5LIT|6RCR|9DMG|aTLV
243	38433 23742	2	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|4DUR|5LIT|6RCR|9DMG|aTLV
244	38433 23742	4	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2378VULN|3BPWR|4DUR|5LIT|6RCR|9DMG|aTLV
245	38434 32172	5	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|236aVULN|3BPWR|4DUR|5ASPD|7RCR|8DMG|9TLV
246	38733 23742	2	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1MBVNT|2478VULN|3DUR|5LIT|6RCR|9DMG|aTLV
247	38342 44374	6	 * 	265.58	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|238aVULN|48TLV|5FEWX|6DUR|78CDMG|8BPWR|9RCR
248	38442 44374	6	   	265.58	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|238aVULN|38BPWR|48TLV|5FEWX|6DUR|78CDMG|9RCR
249	34487 24374	1	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|238aVULN|48DUST|5CDMG|6TLV|78DUR|8BPWR|9RCR
250	38237 24374	3	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1MBVNT|248aVULN|38DUST|5CDMG|6TLV|78DUR|8BPWR|9RCR
251	24111 52252	6	   	265.55	DCR|4VULN|3DUR|1TLV	179LHND|2789VULN|3DUST|4LWND|579DUR|6RCR|79BPWR|aTLV
252	38346 14374	5	   	265.48	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|238aVULN|48TLV|5DUR|6DUST|78CDMG|8BPWR|9RCR
253	38346 14374	6	   	265.48	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|238aVULN|48TLV|5DUR|6DUST|78CDMG|8BPWR|9RCR
254	38446 14374	6	   	265.48	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|238aVULN|38BPWR|48TLV|5DUR|6DUST|78CDMG|9RCR
255	38446 14374	5	   	265.48	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|238aVULN|38BPWR|48TLV|5DUR|6DUST|78CDMG|9RCR
256	38615 44433	7	   	265.48	DCR|4VULN|2TLV|2CDMG|1DUR	1MBVNT|2458VULN|35CDMG|5BPWR|6aTLV|7DUR|9RCR
257	34636 33316	8	   	265.25	DCR|4VULN|3DUR|1TLV	1MBVNT|2LWND|357DUR|4589VULN|5BPWR|6TLV|aRCR
258	34636 33326	9	   	265.25	DCR|4VULN|3DUR|1TLV	1MBVNT|2LWND|357DUR|4589VULN|5BPWR|6TLV|aRCR
