0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16636 32233	7	 * 	284.15	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|4789aVULN|5LIT|6RCR
175	16636 23123	9	   	259.61	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	1DUR|2TLV|3DMG|47aVULN|58LIT|6ASPD|9RCR
176	13115 32631	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2LIT|3LWND|478VULN|6RCR|9DMG|aTLV
177	13232 32443	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2LIT|3CGEN|4TLV|57aVULN|6RCR|9DMG
178	13232 34243	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	17DUR|2LIT|3CGEN|4TLV|58aVULN|6RCR|9DMG
179	16635 22131	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|479VULN|5ASPD|6RCR|aLHND
180	16635 22131	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|479VULN|5ASPD|6RCR|aMLV
181	16635 22132	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|47aVULN|5ASPD|6RCR|9BEXP
182	16635 22132	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|479VULN|5ASPD|6RCR|aFEWX
183	16635 22132	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2TLV|3DMG|47aVULN|5ASPD|6RCR|8BEXP
184	16635 22133	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|479VULN|5ASPD|6RCR|aRMIN
185	16635 22133	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|479VULN|5ASPD|6RCR|aLWND
186	16635 22232	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2TLV|3DMG|47aVULN|5ASPD|6RCR|8FEWX
187	34315 32631	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2LIT|35DUR|478VULN|6RCR|9DMG|aTLV
188	13432 34243	6	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	17DUR|2LIT|3ERES|4TLV|58aVULN|6RCR|9DMG
189	16635 22332	8	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2TLV|3DMG|47aVULN|5ASPD|6RCR|8DUST
190	63326 14231	6	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1AART|2467VULN|3TLV|5CGEN|8RCR|9DMG|aASPD
191	63326 16233	7	   	259.19	DCR|4VULN|2TLV|1DMG|1AART	1AART|2467VULN|37TLV|57CGEN|7BPWR|8RCR|9DMG|aFEWX
192	63311 43384	7	   	259.12	DCR|4VULN|1TLV|1DMG|1AART	1AART|279aVULN|3TLV|4MBVNT|5DMG|6RCR|8LIT
193	63333 43118	9	   	259.12	DCR|4VULN|1TLV|1DMG|1AART	1AART|278aVULN|3TLV|4ASPD|5MBVNT|6RCR|9DMG
194	63333 43176	8	   	259.12	DCR|4VULN|1TLV|1DMG|1AART	1AART|2789VULN|3TLV|4ASPD|5MBVNT|6RCR|aDMG
195	63326 16232	7	 * 	259.09	DCR|4VULN|3TLV|1DMG|1AART	1AART|2467VULN|37aTLV|57CGEN|7BPWR|8RCR|9DMG
196	63326 14232	6	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	1AART|2467VULN|3aTLV|5CGEN|8RCR|9DMG
197	63311 43421	10	   	258.89	DCR|4VULN|2TLV|1DMG|1AART	1AART|279aVULN|38TLV|4MBVNT|5DMG|6RCR
198	13416 33231	7	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDUR|29LIT|3ERES|4FEWX|59DMG|6RCR|7TLV|89VULN|9BPWR
199	13416 33631	8	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDUR|29LIT|3ERES|4FEWX|59DMG|6RCR|7TLV|89VULN|9BPWR
200	34266 33231	7	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1LWND|29LIT|3ERES|4aDUR|59DMG|6RCR|7TLV|89VULN|9BPWR
201	16636 32223	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2TLV|3DMG|478VULN|5LIT|6RCR|9CDMG|aLHND
202	16636 32221	7	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2TLV|3DMG|478VULN|5LIT|6RCR|9CDMG|aLEGI
203	63312 32152	10	   	257.41	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1AART|28VULN|38TLV|4MBVNT|578DUR|6RCVC|8BPWR|9DMG|aRCR
204	63321 22213	4	 * 	257.27	DCR|5VULN|2TLV|1AART	1AART|24789VULN|36TLV|5RCVC|aRCR
205	63324 22213	4	   	257.27	DCR|5VULN|2TLV|1AART	1AART|24789VULN|36TLV|5DMSP|aRCR
206	16522 33162	7	   	257.22	DCR|3VULN|3TLV|2DUR|1AART	17DUR|267TLV|367VULN|4RCVC|5AART|67BPWR|8BEXP|9LIT|aRCR
207	16522 33362	8	   	257.22	DCR|3VULN|3TLV|2DUR|1AART	17DUR|267TLV|367VULN|4RCVC|5AART|67BPWR|8BEXP|9LIT|aRCR
208	63322 34362	7	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1AART|249VULN|36TLV|56DUR|6BPWR|7CGEN|8LIT|aRCR
209	63322 36362	6	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1AART|249VULN|36TLV|56DUR|6BPWR|7MLV|8LIT|aRCR
210	63322 11611	9	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	1AART|248VULN|37TLV|56DUR|9RCR|aASPD
211	63322 11616	10	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	1AART|248VULN|37TLV|56DUR|9RCR|aLIT
212	63322 32265	6	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	1AART|249VULN|36TLV|56DUR|6BPWR|7ERES|8RCR|aLIT
213	63322 32362	6	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	1AART|249VULN|36TLV|56DUR|6BPWR|7ERES|8LIT|aRCR
214	61432 25231	7	   	256.97	DCR|2VULN|3DUR|2DMG|2ASPD|1AART	1AART|235DUR|49ASPD|69VULN|79DMG|8RMIN|9BPWR|aRCR
215	63322 15512	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1AART|248VULN|3TLV|58DUR|68ASPD|7TBNT|8BPWR|9RCR|aCGEN
216	63322 15513	5	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1AART|248VULN|3TLV|58DUR|68ASPD|7TBNT|8BPWR|9RCR|aERES
217	63322 11615	10	   	256.48	DCR|3VULN|2TLV|2DUR|2AART	1aAART|248VULN|37TLV|56DUR|9RCR
218	32342 12152	6	   	256.13	DCR|3VULN|3DUR|1DMG|1AART	1LWND|258VULN|3AART|45aDUR|5BPWR|6DMG|7LIT|9RCR
219	32342 42152	5	   	256.13	DCR|3VULN|3DUR|1DMG|1AART	1LWND|258VULN|3AART|45aDUR|5BPWR|6DMG|7LIT|9RCR
220	62342 12152	6	   	256.13	DCR|3VULN|3DUR|1DMG|1AART	1AART|2LWND|358VULN|45aDUR|5BPWR|6DMG|7LIT|9RCR
221	13211 22645	1	   	255.75	DCR|3VULN|3DUR|2DMG	128DUR|2aBPWR|3aMLV|46aVULN|5LEGI|7aDMG|9RCR
222	63311 44384	7	   	255.66	DCR|3VULN|2DMG|1TLV|1AART	1AART|29aVULN|3TLV|4MBVNT|57DMG|6RCR|8LIT
223	63333 43113	10	   	255.66	DCR|3VULN|2DMG|1TLV|1AART	1AART|278VULN|3TLV|4ASPD|5MBVNT|6RCR|9aDMG
224	63311 45121	10	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	1AART|29aVULN|3aTLV|4MBVNT|5aDMG|6RCR|7BELT|8RCVC|aBPWR
225	63311 43411	10	   	255.43	DCR|3VULN|2DMG|2TLV|1AART	1AART|27aVULN|38TLV|4MBVNT|59DMG|6RCR
226	63311 44421	10	   	255.43	DCR|3VULN|2DMG|2TLV|1AART	1AART|29aVULN|38TLV|4MBVNT|57DMG|6RCR
227	63311 43426	9	   	255.43	DCR|3VULN|2DMG|2TLV|1AART	1AART|279VULN|38TLV|4MBVNT|5aDMG|6RCR
228	63311 43476	8	   	255.43	DCR|3VULN|2DMG|2TLV|1AART	1AART|279VULN|38TLV|4MBVNT|5aDMG|6RCR
229	63322 22661	6	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1AART|2479VULN|3TLV|5DUR|6LIT|8RCR|aLHND
230	63322 22662	6	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1AART|2479VULN|3TLV|5DUR|6LIT|8RCR|aBEXP
231	63322 22663	6	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1AART|2479VULN|3TLV|5DUR|6LIT|8RCR|aRPLT
232	63326 14312	6	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1AART|2467VULN|3TLV|5CGEN|8LIT|9DUR|aRCR
233	63326 16213	7	   	255.38	DCR|4VULN|2TLV|1DUR|1AART	1AART|2467VULN|37TLV|57CGEN|7BPWR|8RCR|9FEWX|aDUR
234	63322 22362	6	   	255.31	DCR|4VULN|1TLV|1DUR|1AART	1AART|2479VULN|3TLV|5DUR|6LIT|8ERES|aRCR
235	63322 25362	7	   	255.31	DCR|4VULN|1TLV|1DUR|1AART	1AART|2479VULN|3TLV|5DUR|6LIT|8ERES|aRCR
236	63431 21311	6	   	255.30	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1AART|268aVULN|38DUR|4DLOT|5SELL|7RCR|8BPWR|9DMG
237	63431 21353	6	   	255.30	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1AART|2689VULN|38DUR|4DLOT|5SELL|7RCR|8BPWR|aDMG
238	63431 22111	8	   	255.30	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1AART|267aVULN|37DUR|4DLOT|5SELL|7BPWR|8RCR|9DMG
239	63431 22153	8	   	255.30	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1AART|2679VULN|37DUR|4DLOT|5SELL|7BPWR|8RCR|aDMG
240	63333 67231	8	   	255.16	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1AART|2aVULN|3TLV|4aASPD|5MBVNT|6DUR|7ERES|8aDMG|9RCR|aBPWR
241	32446 33133	8	 * 	255.13	ACR|3VULN|3DMG|1TLV|2AART|1DUR	18LWND|268VULN|3RCR|47AART|568DMG|68BPWR|9TLV|aDUR
242	63333 43528	10	   	254.79	DCR|3VULN|2TLV|2LIT|1CDMG|1AART	1AART|27aVULN|3aTLV|4ASPD|5MBVNT|6RCR|8CDMG|9aLIT|aBPWR
243	16312 33222	9	   	254.73	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	158DUR|2TLV|38LIT|45FEWX|58BPWR|6LWND|78VULN|9RCR|aDMG
244	16312 43222	9	   	254.73	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	158DUR|2TLV|38LIT|45FEWX|58BPWR|6LHND|78VULN|9RCR|aDMG
245	16342 33222	9	   	254.73	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	158DUR|2TLV|38LIT|45BEXP|58BPWR|6LWND|78VULN|9RCR|aDMG
246	16342 43222	9	   	254.73	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	158DUR|2TLV|38LIT|45BEXP|58BPWR|6LHND|78VULN|9RCR|aDMG
247	63311 44781	5	   	254.65	DCR|2VULN|3DMG|2TLV|1AART|1SELL	1AART|27VULN|37TLV|4MBVNT|57aDMG|6SELL|7BPWR|8ASPD|9RCR
248	16364 33222	9	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	148DUR|2TLV|38LIT|5BEXP|6LWND|78VULN|8BPWR|9RCR|aDMG
249	16365 33222	9	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	148DUR|2TLV|38LIT|5FEWX|6LWND|78VULN|8BPWR|9RCR|aDMG
250	63311 44111	10	   	254.56	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1AART|28VULN|3TLV|4MBVNT|579DMG|6RCR|aDUR
251	63311 44113	9	   	254.56	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1AART|28VULN|3TLV|4MBVNT|579DMG|6RCR|aDUR
252	63311 16811	10	   	254.56	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1AART|27VULN|3TLV|4MBVNT|569DMG|8RCR|aDUR
253	63311 16813	9	   	254.56	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1AART|27VULN|3TLV|4MBVNT|569DMG|8RCR|aDUR
254	32342 33414	10	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1LWND|257VULN|3AART|45DUR|5BPWR|6FEWX|8CDMG|9TLV|aRCR
255	32342 12265	10	   	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	1LWND|25VULN|3AART|457DUR|5BPWR|69DMG|8CDMG|aRCR
256	63311 41255	8	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|29aVULN|3TLV|4MBVNT|5DMG|6RCR|7ASPD|8DUR
257	63311 41455	7	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|29aVULN|3TLV|4MBVNT|5DMG|6RCR|7ASPD|8DUR
258	63311 43131	10	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|278VULN|3TLV|4MBVNT|5DMG|6RCR|9DUR|aLIT
259	63311 43725	8	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|27aVULN|3TLV|4MBVNT|5DMG|6RCR|8DUR|9ASPD
260	63311 43746	8	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|27aVULN|3TLV|4MBVNT|5DMG|6RCR|8DUR|9LIT
261	63311 43825	7	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|27aVULN|3TLV|4MBVNT|5DMG|6RCR|8DUR|9ASPD
262	63311 43846	7	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|27aVULN|3TLV|4MBVNT|5DMG|6RCR|8DUR|9LIT
263	63311 44455	6	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|29aVULN|3TLV|4MBVNT|5DMG|6RCR|7ASPD|8DUR
264	63333 63117	10	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|278VULN|3TLV|4ASPD|5MBVNT|6DUR|9DMG|aRCR
265	63333 42255	8	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|29aVULN|3TLV|4ASPD|5MBVNT|6RCR|7DMG|8DUR
266	63333 42455	7	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|29aVULN|3TLV|4ASPD|5MBVNT|6RCR|7DMG|8DUR
267	63333 43114	10	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|278VULN|3TLV|4ASPD|5MBVNT|6RCR|9DMG|aDUR
268	16316 23263	10	   	254.24	DCR|2VULN|2DMG|2TLV|1DUR	1DUR|28TLV|3LIT|4FEWX|58DMG|6ASPD|78VULN|8BPWR|9LHND|aRCR
269	13115 32243	7	   	254.19	DCR|4VULN|2DUR|1DMG	15DUR|2LIT|3LWND|478aVULN|6RCR|9DMG
270	13115 32633	9	   	254.19	DCR|4VULN|2DUR|1DMG	15DUR|2LIT|3LWND|478aVULN|6RCR|9DMG
271	13115 32643	8	   	254.19	DCR|4VULN|2DUR|1DMG	15DUR|2LIT|3LWND|478aVULN|6RCR|9DMG
272	34315 32243	7	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|2LIT|35DUR|478aVULN|6RCR|9DMG
273	34315 32633	9	   	254.19	DCR|4VULN|2DUR|1DMG	1LWND|2LIT|35DUR|478aVULN|6RCR|9DMG
274	36663 13312	9	   	254.18	DCR|3VULN|2DMG|2TLV	1LWND|25TLV|36DMG|479VULN|8RCR|aLIT
275	41233 41432	8	   	254.18	DCR|3VULN|2DMG|2TLV	1ERES|289VULN|3ASPD|4LHND|59TLV|6DUST|79DMG|9BPWR|aRCR
