0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21542 23353	5	 * 	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RMIN|34aVULN|4aBPWR|57aDUR|6RCR|8aDMG|9BELT
172	21541 32322	8	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2RMIN|347VULN|4BPWR|5DMG|6CGEN|8DUR|9TLV|aRCR
173	21554 12122	8	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2RMIN|367VULN|4CGEN|5TLV|8DMG|9DUR|aRCR
174	25365 11322	1	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	16RCVC|2BEXP|347VULN|5DMG|8DUR|9TLV|aRCR
175	25365 12322	1	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	16RCVC|2BEXP|348VULN|5DMG|7DUR|9TLV|aRCR
176	51365 11322	1	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1BEXP|26RCVC|347VULN|5DMG|8DUR|9TLV|aRCR
177	51365 12322	1	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1BEXP|26RCVC|348VULN|5DMG|7DUR|9TLV|aRCR
178	21525 23353	3	   	237.44	DCR|4VULN|1DUR|1CDMG	1RCVC|2RMIN|349aVULN|5FEWX|6RCR|7DUR|8CDMG
179	21542 12322	7	   	237.36	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2RMIN|346VULN|4BPWR|5DUR|7ERES|8DMG|9TLV|aRCR
180	26365 11322	1	   	237.36	DCR|3VULN|1DMG|1TLV|1DUR	16RCVC|2DUST|347VULN|5DMG|8DUR|9TLV|aRCR
181	36652 21132	7	   	237.36	DCR|3VULN|1DMG|1TLV|1DUR	1LWND|27aVULN|3RPLT|4TLV|5DMG|6DUR|8RCR|9BBNT
182	36652 21232	8	   	237.36	DCR|3VULN|1DMG|1TLV|1DUR	1LWND|27aVULN|3RPLT|4TLV|5DMG|6DUR|8RCR|9BBNT
183	32142 35142	10	   	237.31	DCR|2VULN|3DMG|1DUR|1AART	17LWND|2RPLT|3ERES|47VULN|579DMG|6AART|7BPWR|8DUR|aRCR
184	21542 21143	5	   	237.04	DCR|3VULN|2DUR|2ASPD	1RCVC|2RMIN|34aVULN|4aBPWR|5aDUR|6RCR|7ERES|8LHND|9aASPD
185	36511 13335	7	 * 	237.02	DCR|2VULN|2DMG|2ASPD|2TLV	17LWND|29VULN|37ASPD|4CGEN|59ERES|67TLV|79BPWR|89DMG|aRCR
