0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43241 33223	3	 * 	303.02	DCR|3VULN|3DUR|2DMG|3LIT|1TLV	146DUR|279LIT|3TLV|569VULN|69BPWR|89DMG|aRCR
182	21621 16224	5	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	125aVULN|3TLV|4DUR|6RCR|7DMG|8CDMG|9FEWX
183	21621 22542	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1259VULN|3TLV|4DUR|6LHND|7RCR|8CDMG|aDMG
184	21111 31465	10	   	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	125VULN|378DUR|4ASPD|6DMG|9CDMG|aRCR
185	41315 23144	6	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUR|2467VULN|3CDMG|5TLV|8DMG|9MBVNT|aRCR
186	21621 33244	7	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1257VULN|3TLV|4DUR|6DMG|8CDMG|9MBVNT|aRCR
187	43413 21242	1	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	18DUR|2BBNT|378VULN|49DMG|5LWND|68TLV|8BPWR|aRCR
188	21211 21331	6	 * 	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3LWND|4aASPD|6LHND|7CDMG|8RCR|9aDUR|aBPWR
189	21211 51331	6	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3LWND|4aASPD|6BEXP|7CDMG|8RCR|9aDUR|aBPWR
190	21212 16331	7	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|3LWND|4aASPD|5LHND|6CDMG|8RCR|9aDUR|aBPWR
191	21212 61331	6	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	126aVULN|3LWND|4aASPD|5LHND|7CDMG|8RCR|9aDUR|aBPWR
192	21411 21331	6	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3BEXP|4aASPD|6LWND|7CDMG|8RCR|9aDUR|aBPWR
193	21411 31331	5	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3BEXP|4aASPD|6LWND|7CDMG|8RCR|9aDUR|aBPWR
194	21631 52235	9	   	273.39	DCR|4VULN|2DUR|3TLV|2LIT	1269VULN|379TLV|4ZMB|56LIT|69BPWR|89DUR|aRCR
195	21626 22336	7	   	273.35	DCR|3VULN|2DMG|2DUR|2TLV	12aVULN|36TLV|4aDUR|5LEGI|7RCR|8aDMG|9TBNT|aBPWR
196	21211 21331	5	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3LWND|4aASPD|6DUST|7CDMG|8RCR|9aDUR|aBPWR
197	21213 16331	7	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|3LWND|4aASPD|5DUST|6CDMG|8RCR|9aDUR|aBPWR
198	21213 61331	6	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	126aVULN|3LWND|4aASPD|5DUST|7CDMG|8RCR|9aDUR|aBPWR
199	21341 21331	6	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3aASPD|4LEGI|6LWND|7CDMG|8RCR|9aDUR|aBPWR
200	21341 31331	5	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3aASPD|4LEGI|6LWND|7CDMG|8RCR|9aDUR|aBPWR
201	21355 31331	4	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	124aVULN|3aASPD|5LEGI|6LWND|7CDMG|8RCR|9aDUR|aBPWR
202	21511 21331	6	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	125aVULN|3DUST|4aASPD|6LWND|7CDMG|8RCR|9aDUR|aBPWR
203	22552 42311	10	   	273.31	DCR|3VULN|2DMG|3CDMG|1TLV	147VULN|2ZMB|367CDMG|57DMG|7BPWR|8LIT|9RCR|aTLV
204	22552 42312	9	   	273.31	DCR|3VULN|2DMG|3CDMG|1DUR	147VULN|2ZMB|367CDMG|57DMG|7BPWR|8LIT|9RCR|aDUR
