0	Index      	 *	Score 	Summary	Detail	
1	35332 12625	 * 	215.50	DCR|3VULN|3DMG|1ASPD|1DUR	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8ASPD|9DUR|aRCR
162	35332 12115	   	187.79	DCR|3VULN|3DMG	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8TLV|9RCVC|aRCR
163	35332 12515	   	187.79	DCR|3VULN|3DMG	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8ERES|9RCVC|aRCR
164	35332 42315	   	187.79	DCR|3VULN|3DMG|1AAC	17AELBLL|2MULARM|357VULN|478DMG|6AAC|7BPWR|9RCVC|aRCR
165	36522 33312	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AELBLL|2DMG|3ASPD|4DUST|5BEXP|6DUR|7AART|8RCR|9VULN|aCDMG
166	41242 13423	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2DMG|36MLV|4ASPD|5VULN|7DUR|8RCR|9AART|aDUST
167	21453 23451	   	187.70	DCR|3VULN|1AART|1ASPD|1ZMB	1MLV|247VULN|3AME|5MBVNT|6AART|8ZMB|9ASPD|aRCR
168	21453 23461	   	187.70	DCR|3VULN|1AART|1DMG|1ZMB	1MLV|247VULN|3AME|5MBVNT|6AART|8ZMB|9DMG|aRCR
169	32231 42612	   	187.45	DCR|2VULN|2AART|1DMG	1AELBLL|2RCVC|34AART|5LHND|6RCR|7RMIN|8DMG|9aVULN
170	32231 43612	   	187.45	DCR|2VULN|2AART|1DMG	1AELBLL|2RCVC|34AART|5LHND|6RCR|7MLV|8DMG|9aVULN
171	21133 24213	   	187.36	DCR|4VULN|1AART|1DUR	1MLV|249aVULN|34ERES|4BPWR|5MBVNT|6AART|7RCR|8DUR
172	32231 41612	   	187.35	DCR|2VULN|2AART|1DMG	1AELBLL|2RCVC|34AART|5LHND|6RCR|7ERES|8DMG|9aVULN
173	36223 11463	   	187.25	DCR|2VULN|2DMG|1CDMG|2DUR|1AAC	15AELBLL|29DMG|36DUR|45VULN|5BPWR|7AAC|8RCR|aCDMG
174	35332 12235	   	187.13	DCR|3VULN|3DMG	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8BEXP|9CGEN|aRCR
175	35332 12145	   	187.03	DCR|3VULN|3DMG	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8TLV|9BEXP|aRCR
176	35332 12265	   	187.03	DCR|3VULN|3DMG	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|8BEXP|9ERES|aRCR
177	36336 16321	   	187.01	DCR|2VULN|1AART|1ASPD|1DMG	1AELBLL|2DMG|3RCVC|4ASPD|5RPLT|6AART|79VULN|8RCR|aLWND
178	36336 16323	   	187.01	DCR|2VULN|1AART|1ASPD|1DMG	1AELBLL|2DMG|3RCVC|4ASPD|5RPLT|6AART|79VULN|8RCR|aLIT
179	35332 12135	   	186.93	DCR|3VULN|3DMG	17AELBLL|2MULARM|357VULN|467DMG|7BPWR|89TLV|aRCR
180	21341 21632	   	186.91	DCR|2VULN|1AART|1ASPD|1DMG	1MLV|2aVULN|3RCVC|4AART|5ERES|6ASPD|7AME|8RCR|9DMG
181	21341 22632	   	186.91	DCR|2VULN|1AART|1ASPD|1DMG	1MLV|2aVULN|3RCVC|4AART|5ERES|6ASPD|7RMIN|8RCR|9DMG
182	36336 16322	   	186.91	DCR|2VULN|1AART|1ASPD|1DMG	1AELBLL|2DMG|3RCVC|4ASPD|5RPLT|6AART|79VULN|8RCR|aERES
183	51312 22661	   	186.71	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|27VULN|3RCVC|4DUST|5ERES|6AART|8RCR|9DMG|aASPD
184	21133 24331	   	186.68	DCR|2VULN|1AART|1ASPD|1DMG	1MLV|24VULN|34ERES|4BPWR|5MBVNT|6AART|7RCR|8RCVC|9DMG|aASPD
185	41242 23433	   	186.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3MLV|4ASPD|57VULN|6FEWX|8RCR|9RPLT|aZMB
186	41242 33433	   	186.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3MLV|4ASPD|57VULN|6BEXP|8RCR|9RPLT|aZMB
187	42152 33412	   	186.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2LHND|3LIT|46VULN|5LWND|7ASPD|8RCR|9DMG|aZMB
188	41235 22521	   	186.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|37MLV|4RPLT|56VULN|8ZMB|9AART|aRCR
189	21635 21311	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|aAELBLL
190	21635 21313	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|aLIT
191	21635 21315	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1aMLV|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR
192	21635 21316	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|aLWND
193	26635 21313	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2LHND|3AART|4BEXP|57ASPD|6DUR|8RCR|9aVULN
194	63635 21313	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1LHND|2MLV|3AART|4BEXP|57ASPD|6DUR|8RCR|9aVULN
195	51635 21311	   	186.06	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	1AAC|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|aAELBLL
196	51635 21312	   	186.06	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	1AAC|29VULN|3AART|4aBEXP|57ASPD|6DUR|8RCR
197	21635 21312	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR|1MSE	1MLV|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|aMSE
198	21635 21336	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2aVULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9TLV
199	32235 42312	   	186.03	DCR|2VULN|2AART|1ZMB|1DUR	1AELBLL|2RCVC|34AART|5DUR|6RCR|7RMIN|8ZMB|9aVULN
200	36323 61162	   	186.02	DCR|2VULN|2AART|1DMG	1aAELBLL|2DMG|34RCVC|57AART|6aBEXP|8RCR|9aVULN|aBPWR
201	51635 21313	   	185.96	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	1AAC|29VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|aLEGI
202	21635 21363	 * 	185.92	DCR|1SPLARM|3ASPD|1VULN|1AART|1DUR	1MLV|2VULN|3AART|4BEXP|57aASPD|6DUR|8RCR|9SPLARM
203	36223 53412	   	185.92	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9MLV|aFEWX
204	36223 53413	   	185.92	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9MLV|aDMSP
205	36223 53422	   	185.92	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9LHND|aBEXP
206	36223 53423	   	185.92	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9aLHND
207	36223 53411	   	185.82	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9MLV|aLEGI
208	36223 53432	   	185.82	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9ERES|aFEWX
209	36223 53433	   	185.82	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9ERES|aDMSP
210	21635 21321	   	185.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1MLV|2VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG|aERES
211	21635 21322	   	185.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR|1MSE	1MLV|2VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG|aMSE
212	36223 53431	   	185.72	DCR|2VULN|2DMG|1ASPD|1DUR	15AELBLL|27DMG|3DUR|45VULN|5BPWR|6ASPD|8RCR|9ERES|aLEGI
213	32235 42353	   	185.71	DCR|2AART|1VULN|1ASPD|1ZMB|1DUR	1AELBLL|2RCVC|34AART|5DUR|6RCR|7RMIN|8ZMB|9ASPD|aVULN
214	36553 12311	   	185.66	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1AELBLL|2DMG|3ASPD|4LHND|5SELL|6AART|7CDMG|8ZMB|9VULN|aRCR
215	51635 21321	   	185.65	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1DUR	1AAC|2VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG|aERES
216	51635 21322	   	185.65	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|1DUR|1MSE	1AAC|2VULN|3AART|4BEXP|57ASPD|6DUR|8RCR|9DMG|aMSE
217	36523 12311	   	185.56	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1AELBLL|2DMG|3ASPD|4DUST|5SELL|6AART|7CDMG|8ZMB|9VULN|aRCR
218	42152 33411	 * 	185.54	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1CDMG|2LHND|3LIT|46VULN|5LWND|7ASPD|8RCR|9DMG|aMDPS
