0	Index      	 *	Score 	Summary	Detail	
1	13151 16432	 * 	223.58	DCR|3VULN|2DMG|1AART|2ZMB|1AAC	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9AART|aAAC
156	11616 13325	   	195.63	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aMLV
157	11616 13326	   	195.63	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aRPLT
158	15316 13322	   	195.63	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aMBVNT
159	11613 16422	   	195.63	DCR|3VULN|2DMG|1CDMG	1RCVC|2LEGI|378VULN|48DMG|58AELBLL|6RCR|8BPWR|9LHND|aCDMG
160	11616 13322	   	195.53	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aMBVNT
161	12151 16422	 * 	195.53	DCR|3VULN|2DMG|1NUKE|1CDMG	1RCVC|28DMG|3NUKE|478VULN|5RMIN|6RCR|8BPWR|9LHND|aCDMG
162	63614 31112	   	195.51	ACR|3ASPD|2DMG|1VULN|1AART|2DUR	19aASPD|29DUR|3AART|4VULN|5RCR|6BEXP|7RCVC|89DMG|9BPWR
163	11611 16322	   	195.43	DCR|3VULN|2DMG|1CDMG	1RCVC|2LEGI|378VULN|45DMG|6RCR|9LHND|aCDMG
164	61121 16323	 * 	195.41	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR	1aASPD|2DMSP|3NUKE|4LEGI|5RMIN|6RCR|7aVULN|8AART|9aDUR|aBPWR
165	63212 66223	   	195.34	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|1DUR|1SELL	1aASPD|2DUR|3SELL|4RCR|5aDMG|6CDMG|7VULN|8aFEWX|9AART|aBPWR
166	56212 13235	 * 	195.24	DCR|2AART|1MDPS|1VULN|2CDMG|1DMG|1ZMB	1RPLT|2ZMB|35CDMG|4DMG|6MDPS|7RCR|8aAART|9VULN
167	63212 66123	   	195.14	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|1DUR|1SELL	1aASPD|2DUR|3SELL|4RCR|5aDMG|6CDMG|7VULN|8aDUST|9AART|aBPWR
168	11616 16323	   	195.13	DCR|4VULN|2DMG	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9LHND|aBEXP
169	63514 11321	   	195.06	DCR|2VULN|2DMG|1ASPD|2DUR	1ASPD|2aDUR|3CGEN|45DMG|6RCR|7RPLT|89VULN
170	65114 11321	   	195.06	DCR|2VULN|2DMG|1ASPD|2DUR	1ASPD|2CGEN|3aDUR|45DMG|6RCR|7RPLT|89VULN
171	15316 11121	   	195.03	DCR|3VULN|3DMG	1RCVC|2LHND|359VULN|458DMG|5BPWR|6RCR|7RPLT|aDMSP
172	15316 11122	   	195.03	DCR|3VULN|3DMG	1RCVC|2LHND|359VULN|458DMG|5BPWR|6RCR|7RPLT|aCGEN
173	15316 11125	   	195.03	DCR|3VULN|3DMG	1RCVC|2LHND|359VULN|458DMG|5BPWR|6RCR|7RPLT|aMLV
174	15316 11126	   	195.03	DCR|3VULN|3DMG	1RCVC|2LHND|359VULN|458DMG|5BPWR|6RCR|7aRPLT
175	11616 16132	   	195.03	DCR|4VULN|2DMG	1RCVC|2LEGI|3579VULN|45DMG|5BPWR|6RCR|8TLV|aBEXP
176	11616 16133	   	195.03	DCR|4VULN|2DMG	1RCVC|2LEGI|3579VULN|45DMG|5BPWR|6RCR|8TLV|aFEWX
177	12151 16134	 * 	195.03	DCR|4VULN|2DMG|1NUKE	1RCVC|2aDMG|3NUKE|479aVULN|5RMIN|6RCR|8aTLV|aBPWR
178	12135 63212	 * 	195.03	DCR|2DMG|2ASPD|1VULN|1AART|1NUKE	1RCVC|25DMG|3NUKE|46ASPD|7AELBLL|8RCR|9VULN|aAART
179	64114 11321	   	194.96	DCR|2VULN|2DMG|1ASPD|2DUR	1ASPD|2ERES|3aDUR|45DMG|6RCR|7RPLT|89VULN
180	15316 11123	   	194.93	DCR|3VULN|3DMG|1MSE	1RCVC|2LHND|359VULN|458DMG|5BPWR|6RCR|7RPLT|aMSE
181	15316 11124	   	194.93	DCR|3VULN|3DMG|1SELL	1RCVC|2LHND|359VULN|458DMG|5BPWR|6RCR|7RPLT|aSELL
182	15316 11141	   	194.93	DCR|3VULN|3DMG	1RCVC|2LHND|35aVULN|458DMG|5BPWR|6RCR|7RPLT|9BASARM
183	15316 11151	   	194.93	DCR|3VULN|3DMG	1RCVC|2LHND|35aVULN|458DMG|5BPWR|6RCR|7RPLT|9TSLARM
184	11616 16131	   	194.93	DCR|4VULN|2DMG|1MSE	1RCVC|2LEGI|3579VULN|45DMG|5BPWR|6RCR|8TLV|aMSE
185	11616 16311	   	194.93	DCR|4VULN|2DMG|1SELL	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9SELL|aLWND
186	11616 16312	   	194.93	DCR|4VULN|2DMG|1SELL	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9SELL|aFEWX
187	13121 16323	   	194.84	DCR|2VULN|1AART|1DMG|2DUR|2ZMB	1RCVC|2aZMB|3DMG|4LEGI|5RMIN|6RCR|7aVULN|8AART|9aDUR|aBPWR
188	11611 11534	   	194.83	DCR|3VULN|3DMG	1RCVC|2LEGI|39aVULN|45aDMG|6RCR|7RPLT|8aERES|aBPWR
189	11616 11141	   	194.83	DCR|3VULN|3DMG	1RCVC|2LEGI|35aVULN|458DMG|5BPWR|6RCR|7RPLT|9BASARM
190	11616 11151	   	194.83	DCR|3VULN|3DMG	1RCVC|2LEGI|35aVULN|458DMG|5BPWR|6RCR|7RPLT|9TSLARM
191	11611 16136	   	194.73	DCR|3VULN|3DMG	1RCVC|2LEGI|379VULN|45aDMG|6RCR|8TLV
192	11611 16412	   	194.73	DCR|3VULN|3DMG|1SELL	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9SELL|aLWND
193	11611 16413	   	194.73	DCR|3VULN|3DMG|1SELL	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9SELL|aLHND
194	11611 16431	   	194.73	DCR|3VULN|3DMG|1MSE	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9MSE|aRMIN
195	11611 16432	   	194.73	DCR|3VULN|3DMG|1MSE	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9MSE|aBEXP
196	11611 16433	   	194.73	DCR|3VULN|3DMG|1MSE	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9MSE|aFEWX
197	22311 16344	   	194.64	DCR|2DMG|1VULN|1AART|1CDMG|2DUR	1LWND|29DUR|3AELBLL|45DMG|6RCR|7VULN|8AART|aCDMG
198	61234 12433	 * 	194.21	ACR|3ASPD|2VULN|2AART|1MDPS|2DUR	18aASPD|2DMSP|39AART|4MDPS|5RCR|6aDUR|7aVULN|aBPWR
199	12524 51311	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DMG|3LIT|49VULN|5ASPD|6AART|7ZMB|8RCR|aFEWX
200	12524 51313	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DMG|3LIT|49VULN|5ASPD|6AART|7ZMB|8RCR|aCGEN
201	13512 52311	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3LIT|4DMG|59VULN|6AART|7ASPD|8RCR|aFEWX
202	13512 52313	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3LIT|4DMG|59VULN|6AART|7ASPD|8RCR|aCGEN
203	13512 52343	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3LIT|4DMG|5aVULN|6AART|7ASPD|8RCR|9BEXP
204	61512 51311	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2DMSP|3LIT|4DMG|59VULN|6AART|7ZMB|8RCR|aFEWX
205	61512 51313	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2DMSP|3LIT|4DMG|59VULN|6AART|7ZMB|8RCR|aCGEN
206	13156 52311	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3DMG|49VULN|5LIT|6AART|7ASPD|8RCR|aFEWX
207	13156 52313	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3DMG|49VULN|5LIT|6AART|7ASPD|8RCR|aCGEN
208	13126 52313	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3DMG|4LEGI|5LIT|6AART|7ASPD|8RCR|9aVULN
209	13512 52314	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3LIT|4DMG|59VULN|6AART|7ASPD|8RCR|aTLV
210	52216 12151	   	193.93	DCR|2VULN|2DMG|2ASPD	1RPLT|2RMIN|39VULN|4FEWX|5BELT|69ASPD|7RCR|89DMG|9BPWR|aLHND
211	62321 16325	 * 	193.88	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1SELL	1ASPD|2SELL|3BEXP|4ERES|5CDMG|6RCR|79VULN|8AART|aZMB
212	52216 12152	   	193.83	DCR|2VULN|2DMG|2ASPD	1RPLT|2RMIN|39VULN|4FEWX|5BELT|69ASPD|7RCR|89DMG|9BPWR|aTLV
213	13121 16355	   	193.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3DMG|4LEGI|5RMIN|6RCR|7VULN|8AART|9ASPD|aCDMG
214	52262 61332	 * 	193.72	DCR|3VULN|1AART|1DMG|1CDMG	17RPLT|2RMIN|358VULN|4DMG|6CDMG|9AART|aRCR
215	12424 16223	   	193.63	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2aDMG|3DMSP|4DUR|5LEGI|6RCR|7aVULN|8aFEWX|9AART|aBPWR
216	12424 16313	   	193.63	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2aDMG|3DMSP|4DUR|5LEGI|6RCR|7aVULN|8AART|9aBEXP|aBPWR
