0	Index      	 *	Score 	Summary	Detail	
1	12164 82152	 * 	210.71	DCR|3VULN|3DMG|2AART|1ASPD	12AART|357DMG|4MBVNT|67aVULN|7BPWR|8ASPD|9RCR
168	12123 32266	   	181.90	DCR|2AART|2DMG|2VULN|1ASPD	12AART|39DMG|49VULN|5MBVNT|69LWND|7RPLT|8RCR|9BPWR|aASPD
169	12123 82266	   	181.90	DCR|2AART|2DMG|2VULN|1ASPD	12AART|39DMG|49VULN|5MBVNT|69LHND|7RPLT|8RCR|9BPWR|aASPD
170	12163 22266	   	181.90	DCR|2AART|2DMG|2VULN|1ASPD	12AART|39DMG|4MBVNT|5RPLT|69VULN|79LWND|8RCR|9BPWR|aASPD
171	15311 35232	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23VULN|4CDMG|5BEXP|6RCR|7LHND|8FEWX|9aDMG
172	15311 35332	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23VULN|4CDMG|5BEXP|6RCR|7LHND|8LWND|9aDMG
173	13125 62331	   	181.80	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	1AART|26RCVC|37DMG|47VULN|578DUR|7BPWR|9ASPD|aRCR
174	13531 22331	   	181.80	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	1AART|25RCVC|37VULN|478DUR|67DMG|7BPWR|9ASPD|aRCR
175	13542 22331	   	181.80	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	1AART|2RCVC|37VULN|4DMSP|578DUR|67DMG|7BPWR|9ASPD|aRCR
176	15561 22331	   	181.80	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	1AART|27VULN|378DUR|45RCVC|67DMG|7BPWR|9ASPD|aRCR
177	15311 34232	   	181.76	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23VULN|4CDMG|5BEXP|6RCR|7LEGI|8FEWX|9aDMG
178	15311 34332	   	181.76	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23VULN|4CDMG|5BEXP|6RCR|7LEGI|8LWND|9aDMG
179	23156 52133	   	181.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1CGEN|2DUR|37AART|4aVULN|5CDMG|6RCR|8RPLT|9DMG
180	12164 41552	   	181.43	DCR|3DMG|2AART|1VULN|1ZMB	12AART|356DMG|4MBVNT|7BEXP|8ZMB|9RCR|aVULN
181	12164 43552	   	181.43	DCR|3DMG|2AART|1VULN|1ZMB	12AART|356DMG|4MBVNT|7LWND|8ZMB|9RCR|aVULN
182	15221 22312	   	181.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|247VULN|37FEWX|5RCVC|67DMG|7BPWR|8DUR|9RMIN|aRCR
183	12125 41363	   	181.37	DCR|3AART|2VULN|2DMG|1DUR	129AART|38DMG|48VULN|5DUR|6TLV|78LIT|8BPWR|aRCR
184	33156 52133	   	181.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1ERES|2DUR|37AART|4aVULN|5CDMG|6RCR|8RPLT|9DMG
185	14321 51431	 * 	181.34	DCR|3VULN|1AART|1DMG|2ZMB	1AART|2aLHND|34aVULN|5RCVC|6RCR|7LIT|8DMG|9aZMB|aBPWR
186	15321 51431	   	181.34	DCR|3VULN|1AART|1DMG|2ZMB	1AART|23aVULN|4aLHND|5RCVC|6RCR|7LIT|8DMG|9aZMB|aBPWR
187	23166 31622	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3AART|4CDMG|5RCR|68aVULN|7DMG|9LHND
188	33166 31632	   	181.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3AART|4CDMG|5RCR|68aVULN|7DMG|9FEWX
189	12161 72438	   	181.14	DCR|2AART|2DMG|1VULN|2DUR|1ASPD	12AART|39DMG|4MBVNT|5ASPD|6RCR|7aDUR|8VULN
190	12126 13242	   	181.06	DCR|2AART|2VULN|2DMG|1ZMB	12AART|35DMG|48VULN|6FEWX|7LHND|9ZMB|aRCR
191	12126 16242	   	181.06	DCR|2AART|2VULN|2DMG|1ZMB	12AART|35DMG|48VULN|6FEWX|7LWND|9ZMB|aRCR
192	22331 22646	 * 	181.04	DCR|3DMG|1AART|1VULN|2CDMG	18CGEN|2RPLT|3LHND|48CDMG|578DMG|6RCR|8BPWR|9VULN|aAART
193	12121 62138	   	180.98	DCR|2AART|2DMG|1VULN|2ZMB|2ASPD	12AART|37DMG|4VULN|57ASPD|67ZMB|7BPWR|8MBVNT|9MGNSTR|aRCR
194	15311 36612	   	180.91	DCR|4VULN|1AART|1CDMG|1ASPD	1AART|238aVULN|4CDMG|5BEXP|6RCR|7ASPD|9CGEN
195	15311 36633	   	180.91	DCR|4VULN|1AART|1CDMG|1ASPD	1AART|238aVULN|4CDMG|5BEXP|6RCR|7ASPD|9LIT
196	15316 63323	   	180.91	DCR|4VULN|1AART|1CDMG|1DUR	1AART|239aVULN|4CDMG|5DUR|6RCR|7LSRICY|8RMIN
197	15311 32652	   	180.91	DCR|4VULN|1AART|1CDMG|1ASPD	1AART|238aVULN|4CDMG|5BEXP|6RCR|7RMIN|9ASPD
