0	Index      	 *	Score 	Summary	Detail	
1	11245 24333	 * 	179.67	DCR|3VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57aVULN|6RCR|8AART|9TLV
164	51326 23324	   	161.75	DCR|2VULN|2DMG|1AART|1DUR	189TLV|28DMG|3DUR|4RPLT|5DUST|68VULN|7AART|8BPWR|aRCR
165	32313 62535	 * 	161.74	DCR|5VULN|2ZMB|1DUR	17LIT|2DUR|3457aVULN|67ZMB|7BPWR|8RCR|9FEWX
166	32123 42281	 * 	161.37	4VULN|3DMG|1AART|3DUR	168LIT|279DUR|389DMG|4689VULN|5MBVNT|689BPWR|aAART
167	34322 31256	   	161.11	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6CGEN|7AART|9DUR|aZMB
168	21323 55212	   	161.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7DMG|8RCVC|9ERES|aAART
169	21323 55242	   	161.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7DMG|8RCVC|9TLV|aAART
170	21323 53361	   	161.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7AART|8BEXP|9RPLT|aDMG
171	21323 53614	   	161.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7AART|8MLV|9LWND|aDMG
172	33252 41411	 * 	161.03	DCR|1AART|1VULN|2FLTHEA|1CDMG|1ZMB|1DUR	16LIT|2CGEN|3AART|4DUR|56FLTHEA|6BPWR|7RCR|8VULN|9CDMG|aZMB
173	21323 53314	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7AART|8BEXP|9ERES|aDMG
174	21323 53624	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7AART|8MLV|9DUST|aDMG
175	25333 53234	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2LWND|3ERES|4LIT|5CDMG|6RCR|7AART|8VULN|9ZMB|aDMG
176	32523 53234	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUR|3LWND|4ERES|5CDMG|6RCR|7AART|8VULN|9ZMB|aDMG
177	32623 53234	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DUR|3LHND|4ERES|5CDMG|6RCR|7AART|8VULN|9ZMB|aDMG
178	34411 22215	 * 	160.93	DCR|4VULN|2CDMG|3DUR	18aLIT|2aCDMG|378DUR|468aVULN|5RPLT|8aBPWR|9RCR
179	21323 53414	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7AART|8DUST|9ERES|aDMG
180	33243 66132	   	160.81	DCR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CGEN|3AART|49aVULN|5ASPD|6MGNLIT|7CDMG|8RCR
181	34232 41273	 * 	160.59	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	19LIT|29CDMG|3MBVNT|4CGEN|5RCR|6ZMB|7AART|89VULN|9BPWR|aDUR
182	33425 21214	   	160.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2CGEN|3CDMG|4ASPD|5DUR|689VULN|7AART|aRCR
183	34412 11214	   	160.54	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|2CDMG|3DUR|489VULN|5ASPD|6MLV|7AART|aRCR
184	34412 31214	   	160.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2CDMG|3DUR|489VULN|5ASPD|6CGEN|7AART|aRCR
185	34282 41273	   	160.49	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	19LIT|29CDMG|3MBVNT|4TLV|5RCR|6ZMB|7AART|89VULN|9BPWR|aDUR
186	34412 21214	   	160.44	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|2CDMG|3DUR|489VULN|5ASPD|6TLV|7AART|aRCR
187	21323 51261	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7FEWX|8AART|9RPLT|aDMG
188	21323 56261	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7BEXP|8AART|9RPLT|aDMG
189	41313 53234	   	160.43	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LIT|4LHND|5CDMG|6RCR|7DUR|8AART|9CGEN|aDMG
190	41313 53261	   	160.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LIT|4LHND|5CDMG|6RCR|7DUR|8AART|9RPLT|aDMG
191	11245 21315	   	160.40	DCR|2DMG|1AART|1VULN|1DUR|1ASPD	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7CGEN|8AART|9ASPD|aDUR
192	11245 23215	   	160.40	DCR|2DMG|1AART|1VULN|1DUR|1ASPD	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7RMIN|8AART|9ASPD|aDUR
193	32123 22272	   	160.40	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR|aCGEN
194	32123 22273	   	160.40	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR|aBEXP
195	32363 22272	   	160.40	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR|aCGEN
196	32363 22273	   	160.40	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR|aBEXP
197	41321 14261	   	160.38	DCR|4VULN|1DMG|1ZMB	148aVULN|2ZMB|35LIT|6DMG|7RCR|9RPLT
198	16153 44182	   	160.37	DCR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2ZMB|3RCVC|4CDMG|5MBVNT|6aVULN|78DMG|9RCR
199	21323 51214	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7FEWX|8AART|9ERES|aDMG
200	21323 56214	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4VULN|5CDMG|6RCR|7BEXP|8AART|9ERES|aDMG
201	41313 53214	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LIT|4LHND|5CDMG|6RCR|7DUR|8AART|9ERES|aDMG
202	32123 22276	   	160.30	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR|aLSRREG
203	32123 22278	   	160.30	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR|aERES
204	32363 22276	   	160.30	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR|aLSRREG
205	32363 22278	   	160.30	DCR|3VULN|2DMG|2DUR	18LIT|27DUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR|aERES
206	11151 24133	   	159.98	DCR|3DMG|3CDMG|1VULN	1MLV|25aDMG|3RCVC|456CDMG|5BPWR|7CGEN|8VULN|9RCR
207	51245 21333	   	159.98	DCR|2DMG|1AART|1VULN|1CDMG	14TLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|79CGEN|8AART|aCDMG
208	41321 14251	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	148VULN|2ZMB|35LIT|6DMG|7RCR|9CDMG|aFEWX
209	41321 14253	   	159.93	DCR|3VULN|1DMG|1CDMG|1ZMB	148VULN|2ZMB|35LIT|6DMG|7RCR|9CDMG|aBEXP
210	36213 15351	   	159.91	DCR|2VULN|2DMG|1AART	18LIT|2RMIN|3AART|4CGEN|5RPLT|68DMG|78VULN|8BPWR|9RCR|aLEGI
211	36213 15352	   	159.91	DCR|2VULN|2DMG|1AART	18LIT|2RMIN|3AART|4CGEN|5RPLT|68DMG|78VULN|8BPWR|9RCR|aDUST
212	51151 24133	   	159.88	DCR|3DMG|3CDMG|1VULN	1TLV|25aDMG|3RCVC|456CDMG|5BPWR|7CGEN|8VULN|9RCR
213	51151 32533	   	159.88	DCR|3DMG|3CDMG|1VULN	1TLV|25aDMG|3RCVC|458CDMG|5BPWR|6MLV|7VULN|9RCR
214	21323 53231	   	159.86	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9CGEN|aRCVC
215	33242 16135	   	159.81	DCR|2VULN|2DMG|1AART	1LIT|25CGEN|3AART|45VULN|5BPWR|6RPLT|7aDMG|8MBVNT|9RCR
216	34412 53233	   	159.78	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	1LIT|2CDMG|3aDUR|48VULN|5ASPD|6RCR|7AART|9CGEN
217	21323 53221	   	159.76	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9ERES|aRCVC
218	21323 53261	   	159.76	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9TLV|aRCVC
219	41123 24363	   	159.76	DCR|3VULN|1AART|1ZMB|1DUR	157VULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9DUST|aDUR
220	34412 53223	   	159.68	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	1LIT|2CDMG|3aDUR|48VULN|5ASPD|6RCR|7AART|9ERES
221	64111 44612	   	159.50	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2BELT|3ASPD|4MBVNT|5aVULN|6RCR|7DUR|8DMG|9AART
222	11432 24212	   	159.31	DCR|3VULN|2DMG|1CDMG	1MLV|29DMG|3CGEN|458VULN|6CDMG|7LIT|aRCR
223	34313 23612	   	159.31	DCR|3VULN|2DMG|1CDMG	1LIT|2CDMG|346VULN|58LWND|79DMG|aRCR
224	34313 63212	   	159.31	DCR|3VULN|2DMG|1CDMG	16LIT|2CDMG|348VULN|5LWND|79DMG|aRCR
225	64411 42112	   	159.28	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2BELT|3DMG|4MBVNT|5aVULN|6RCR|7CDMG|8RPLT|9AART
226	41313 55333	   	159.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LIT|4LHND|5CDMG|6RCR|7DMG|8BELT|9DUR|aAART
227	33443 26212	   	159.21	DCR|3VULN|2DMG|1CDMG	1LIT|2CGEN|3CDMG|468VULN|5TLV|79DMG|aRCR
228	34314 13212	   	159.21	DCR|3VULN|2DMG|1CDMG	1LIT|2CDMG|348VULN|5TLV|6RMIN|79DMG|aRCR
229	34343 26212	   	159.21	DCR|3VULN|2DMG|1CDMG	1LIT|2CDMG|368VULN|4CGEN|5TLV|79DMG|aRCR
230	36314 23212	   	159.21	DCR|3VULN|2DMG|1CDMG	1LIT|2RMIN|3TLV|4CDMG|568VULN|79DMG|aRCR
231	36443 23212	   	159.21	DCR|3VULN|2DMG|1CDMG	1LIT|2RMIN|3CDMG|468VULN|5TLV|79DMG|aRCR
232	51432 24212	   	159.21	DCR|3VULN|2DMG|1CDMG	1TLV|29DMG|3CGEN|458VULN|6CDMG|7LIT|aRCR
233	41123 24623	   	159.16	DCR|3VULN|1AART|1ZMB|1DUR	157VULN|2ZMB|3ERES|4RPLT|6RCR|8DUST|9AART|aDUR
234	41123 25622	   	159.16	DCR|3VULN|1AART|1ZMB|1DUR	158VULN|2ZMB|3ERES|4RPLT|6RCR|7DUR|9AART|aDUST
235	41123 25623	   	159.16	DCR|3VULN|1AART|1ZMB|1DUR	158VULN|2ZMB|3ERES|4RPLT|6RCR|7DUR|9AART|aBASHEA
236	34363 23212	   	159.11	DCR|3VULN|2DMG|1CDMG	1LIT|2CDMG|368VULN|4ERES|5TLV|79DMG|aRCR
237	34322 11212	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6MLV|7AART|aRPLT
238	34322 11214	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6MLV|7AART|aRMIN
239	34322 11215	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6MLV|7AART|aLHND
240	34322 11216	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6MLV|7AART|aCGEN
241	34322 31212	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6CGEN|7AART|aRPLT
242	34322 31214	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6CGEN|7AART|aRMIN
243	34322 31215	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6CGEN|7AART|aLHND
244	34322 31216	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6aCGEN|7AART
245	34322 51212	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6RMIN|7AART|aRPLT
246	34322 51214	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6aRMIN|7AART
247	34322 51216	   	158.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6RMIN|7AART|aDMSP
248	34322 21212	   	158.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6TLV|7AART|aRPLT
249	34322 21214	   	158.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6TLV|7AART|aRMIN
250	34322 21215	   	158.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6TLV|7AART|aLHND
251	34322 21216	   	158.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|389VULN|4ASPD|5RCR|6TLV|7AART|aCGEN
252	34214 46412	   	158.68	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2CDMG|3MBVNT|48VULN|5MLV|6RCR|7DMG|9ERES|aAART
253	34214 46452	   	158.68	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2CDMG|3MBVNT|48VULN|5MLV|6RCR|7DMG|9TLV|aAART
254	34214 46842	   	158.68	DCR|2DMG|1AART|1VULN|1CDMG	1LIT|2CDMG|3MBVNT|4VULN|5MLV|6RCR|79DMG|8ERES|aAART
255	41123 24241	   	158.66	DCR|3VULN|1AART|1ZMB|1DUR	157VULN|2ZMB|3ERES|4RPLT|6RCR|8BELT|9DUR|aAART
256	33243 66111	   	158.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CGEN|3AART|4VULN|5ASPD|6MGNLIT|7CDMG|8RCR|9DMG|aZMB
257	34322 21221	   	158.62	ACR|3VULN|1AART|1CDMG|1ASPD	1LIT|2CDMG|38aVULN|4ASPD|5RCR|69TLV|7AART
258	44421 21333	 * 	158.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	16VULN|28FEWX|3DUR|4LWND|5DMG|7FLTHEA|9RCR|aAART
259	21323 53212	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9LHND|aRMIN
260	21323 53214	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9LHND|aMLV
261	21323 53215	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9LHND|aBEXP
262	21323 53216	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9LHND|aLWND
263	21323 53232	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9CGEN|aBEXP
264	21323 53234	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9CGEN|aLWND
265	21323 53235	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9aCGEN
266	21323 53615	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4aVULN|5CDMG|6RCR|7AART|8MLV|9LWND
267	36442 23312	 * 	158.52	DCR|2VULN|2DMG|2ZMB|1CDMG	1LIT|2RMIN|3CDMG|46VULN|58ZMB|79DMG|aRCR
268	32121 35165	 * 	158.49	DCR|2VULN|2DMG|2ASPD|2DUR	15aLIT|27DUR|3aDMG|45VULN|5aBPWR|6CGEN|8aASPD|9RCR
269	11155 35222	   	158.47	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2DMG|3RCVC|4CDMG|5VULN|6AART|7RCR|8ASPD|9ERES|aDUR
270	21323 53211	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9LHND|aLEGI
271	21323 53213	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9LHND|aDUST
272	21323 53222	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9ERES|aBEXP
273	21323 53224	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9ERES|aLWND
274	21323 53225	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9ERES|aCGEN
275	21323 53262	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9TLV|aBEXP
276	21323 53264	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9TLV|aLWND
277	21323 53265	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9TLV|aCGEN
278	21323 53315	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4aVULN|5CDMG|6RCR|7AART|8BEXP|9ERES
279	21323 53625	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4aVULN|5CDMG|6RCR|7AART|8MLV|9DUST
280	25333 53235	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2LWND|3ERES|4LIT|5CDMG|6RCR|7AART|8aVULN|9ZMB
281	32523 53235	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2DUR|3LWND|4ERES|5CDMG|6RCR|7AART|8aVULN|9ZMB
282	32623 53235	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2DUR|3LHND|4ERES|5CDMG|6RCR|7AART|8aVULN|9ZMB
283	11151 21633	 * 	158.37	DCR|2DMG|3CDMG|1AART|1ZMB	1MLV|25DMG|3RCVC|456CDMG|5BPWR|7ZMB|8DUST|9RCR|aAART
284	21323 53226	   	158.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9ERES|aTLV
285	21323 53266	   	158.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9aTLV
286	21323 53415	   	158.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4aVULN|5CDMG|6RCR|7AART|8DUST|9ERES
287	32123 42374	   	158.29	DCR|2VULN|2DMG|1CDMG|2DUR	16LIT|27DUR|38DMG|46VULN|5MBVNT|6BPWR|9RCR|aCDMG
288	51151 21633	   	158.27	DCR|2DMG|3CDMG|1AART|1ZMB	1TLV|25DMG|3RCVC|456CDMG|5BPWR|7ZMB|8DUST|9RCR|aAART
289	11155 35231	 * 	158.24	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1MLV|2DMG|3RCVC|4CDMG|5VULN|6AART|7RCR|89ASPD|aLWND
290	11155 35232	   	158.24	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG	1MLV|2DMG|3RCVC|4CDMG|5VULN|6AART|7RCR|89ASPD|aLHND
291	41233 51231	 * 	158.22	DCR|2VULN|2FLTHEA|1DMG|2DUR|1ZMB	18VULN|2ZMB|38BEXP|4LWND|56DUR|78FLTHEA|8BPWR|9RCR|aDMG
292	41523 51231	   	158.22	DCR|2VULN|2FLTHEA|1DMG|2DUR|1ZMB	18VULN|2ZMB|38LWND|4BEXP|56DUR|78FLTHEA|8BPWR|9RCR|aDMG
293	41241 51231	   	158.22	DCR|2VULN|2FLTHEA|1DMG|2DUR|1ZMB	18VULN|2ZMB|38BEXP|46DUR|5LWND|78FLTHEA|8BPWR|9RCR|aDMG
294	32123 22374	   	158.19	DCR|2VULN|2DMG|1CDMG|2DUR	1LIT|27DUR|38DMG|46VULN|5MBVNT|9RCR|aCDMG
295	32363 22374	   	158.19	DCR|2VULN|2DMG|1CDMG|2DUR	1LIT|27DUR|36VULN|48DMG|5MBVNT|9RCR|aCDMG
296	41543 21231	   	158.12	DCR|2VULN|2FLTHEA|1DMG|2DUR|1ZMB	18VULN|2ZMB|38LWND|45DUR|6DUST|78FLTHEA|8BPWR|9RCR|aDMG
297	32123 42252	   	158.10	DCR|3VULN|2DMG|2DUR	168LIT|27DUR|38DMG|468VULN|5MBVNT|68BPWR|9CGEN|aRCR
298	32363 42234	   	158.10	DCR|3DMG|2VULN|2DUR	168LIT|27DUR|38VULN|468DMG|5MBVNT|68BPWR|9RMIN|aRCR
299	32363 42264	   	158.10	DCR|3DMG|2VULN|2DUR	168LIT|27DUR|38VULN|468DMG|5MBVNT|68BPWR|9CGEN|aRCR
300	41333 62261	   	158.03	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LIT|4FEWX|5CDMG|6DUR|7RCR|8AART|9RPLT|aDMG
301	11245 16332	   	158.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	14MLV|24DMG|3RPLT|4BPWR|5VULN|6DUR|7AART|8CDMG|9TLV|aRCR
302	11312 32533	   	158.00	DCR|3VULN|2DMG|2DUR	1MLV|26DMG|39DUR|4CGEN|568VULN|6BPWR|7LSRICY|aRCR
303	32363 42227	   	158.00	DCR|3DMG|2VULN|2DUR	168LIT|27DUR|38VULN|468DMG|5MBVNT|68BPWR|9AIRHEL|aRCR
304	32363 42247	   	158.00	DCR|3DMG|2VULN|2DUR	168LIT|27DUR|38VULN|468DMG|5MBVNT|68BPWR|9AIRHEA|aRCR
305	11245 21351	   	157.97	DCR|2DMG|2AART|1VULN	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7CGEN|89AART|aBEXP
306	11245 21352	   	157.97	DCR|2DMG|2AART|1VULN	14aMLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7CGEN|89AART
307	11245 23251	   	157.97	DCR|2DMG|2AART|1VULN	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7RMIN|89AART|aBEXP
308	41313 53235	   	157.95	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1aVULN|2ZMB|3LIT|4LHND|5CDMG|6RCR|7DUR|8AART|9CGEN
309	34322 11451	   	157.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|3VULN|4ASPD|5RCR|6MLV|7AART|8DMG|9ZMB|aRCVC
310	34322 31451	   	157.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|3VULN|4ASPD|5RCR|6CGEN|7AART|8DMG|9ZMB|aRCVC
311	41333 62214	   	157.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LIT|4FEWX|5CDMG|6DUR|7RCR|8AART|9ERES|aDMG
312	11312 35533	   	157.90	DCR|3VULN|2DMG|2DUR	1MLV|26DMG|39DUR|4CGEN|568VULN|6BPWR|7LSRREG|aRCR
313	51312 32533	   	157.90	DCR|3VULN|2DMG|2DUR	1TLV|26DMG|39DUR|4CGEN|568VULN|6BPWR|7LSRICY|aRCR
314	11245 23252	   	157.87	DCR|2DMG|2AART|1VULN	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7RMIN|89AART|aTLV
315	42143 22513	   	157.87	DCR|3VULN|2DMG	18aVULN|2CGEN|3ERES|4DUST|5RCVC|6RCR|79DMG
316	21323 51215	   	157.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4aVULN|5CDMG|6RCR|7FEWX|8AART|9ERES
317	21323 56215	   	157.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|4aVULN|5CDMG|6RCR|7BEXP|8AART|9ERES
318	41313 53215	   	157.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1aVULN|2ZMB|3LIT|4LHND|5CDMG|6RCR|7DUR|8AART|9ERES
319	34322 21451	   	157.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|3VULN|4ASPD|5RCR|6TLV|7AART|8DMG|9ZMB|aRCVC
320	51312 35533	   	157.80	DCR|3VULN|2DMG|2DUR	1TLV|26DMG|39DUR|4CGEN|568VULN|6BPWR|7LSRREG|aRCR
321	32313 24535	   	157.68	DCR|5VULN|1ZMB|1DUR	1LIT|2DUR|3456aVULN|7ZMB|8RCR|9FEWX
322	41313 15314	   	157.67	DCR|3VULN|1AART|1CDMG|1ZMB	189VULN|2ZMB|3LIT|4LHND|5CDMG|6MLV|7AART|aRCR
323	41333 11314	   	157.67	DCR|3VULN|1AART|1CDMG|1ZMB	189VULN|2ZMB|3LIT|4FEWX|5CDMG|6MLV|7AART|aRCR
324	41333 31514	   	157.67	DCR|3VULN|1AART|1CDMG|1ZMB	189VULN|2ZMB|3LIT|4FEWX|5CDMG|6CGEN|7AART|aRCR
