0	Index      	 *	Score 	Summary	Detail	
1	33236 26712	 * 	204.56	DCR|3VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78aVULN|8BPWR|9DUR
160	33236 26372	 * 	175.63	DCR|2AART|2DMG|1VULN|2ZMB	19DMG|2LHND|38AART|4aZMB|5MBVNT|6RCR|7VULN
161	31556 31214	   	175.55	DCR|2VULN|2DMG|1AART|2DUR	18DMG|2LWND|38VULN|48ERES|5AART|6MBVNT|7RCR|8BPWR|9aDUR
162	42243 11135	   	175.23	ACR|3VULN|1AART|1DMG|2DUR	1aDUR|2TLV|3AART|4RCR|58aVULN|6FEWX|7DMG|9aERES|aBPWR
163	31312 24316	   	175.22	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	134DMG|24LWND|4BPWR|56DUR|7ZMB|8VULN|9AART|aRCR
164	32313 43424	 * 	175.04	DCR|2VULN|2DMG|3ZMB|1DUR	1aDMG|2DUR|39aZMB|47VULN|5TLV|6RCR|8aCGEN|aBPWR
165	35335 32433	   	174.84	ACR|2VULN|2DMG|1AART|1ZMB	13DMG|2RCVC|4BASICY|5RCR|6FEWX|7AART|8aVULN|9ZMB
166	33236 26316	   	174.78	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2LHND|38AART|4ZMB|5MBVNT|6RCR|7VULN|9DUR|aCDMG
167	33236 26318	 * 	174.78	DCR|2AART|1DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DMG|2LHND|38AART|4ZMB|5MBVNT|6RCR|7VULN|9DUR|aFLTHEA
168	53243 11263	 * 	174.75	ACR|3DMG|2AART|1VULN	18MLV|28LHND|3aAART|4RCR|5VULN|6FEWX|789DMG|8BPWR
169	52243 41212	   	174.70	ACR|2DMG|1AART|1VULN|3DUR|1ZMB	18MLV|289DUR|3AART|4RCR|5VULN|6LHND|78DMG|8BPWR|aZMB
170	33226 26312	   	174.65	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DMG|2LHND|38AART|4ASPD|5MBVNT|6RCR|7aVULN|9DUR
