0	Index      	 *	Score 	Summary	Detail	
1	35221 21253	 * 	198.97	DCR|3VULN|3DMG|1AART|1CDMG	167VULN|2CANSTR|347CGEN|567DMG|67BPWR|8CDMG|9AART|aRCR
183	35412 21326	 * 	170.69	ACR|4VULN|1AART|2ASPD	158aVULN|2aCANSTR|3AART|4RCR|6CGEN|7LWND|9aASPD|aBPWR
184	33366 64223	   	170.53	DCR|5VULN|3ZMB	13489VULN|2NUKE|389BPWR|5MBVNT|689ZMB|7RCR|aLIT
185	51211 61325	   	170.47	DCR|3DMG|2VULN|1AART	1BELT|28VULN|348DMG|5NUKE|68ERES|7AART|8BPWR|9TLV|aRCR
186	33366 64224	   	170.43	DCR|5VULN|3ZMB	13489VULN|2NUKE|389BPWR|5MBVNT|689ZMB|7RCR|aERES
187	15232 54321	 * 	170.32	DCR|3VULN|2DMG|1FLTHEA	1RCVC|29DMG|3TLV|489VULN|569DUST|7RCR|9BPWR|aFLTHEA
188	26234 23134	   	170.27	DCR|4VULN|1AART|1CDMG	1NUKE|23CGEN|4589VULN|6RCR|7AART|aCDMG
189	33314 23164	   	170.27	DCR|4VULN|1AART|1CDMG	1358VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|9DMSP|aCDMG
190	33314 23334	   	170.27	DCR|4VULN|1AART|1CDMG	1359VULN|2NUKE|3BPWR|48MLV|6RCR|7AART|aCDMG
191	33334 23164	   	170.17	DCR|4VULN|1AART|1CDMG	1358VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|9DMSP|aCDMG
192	33334 23353	   	170.17	DCR|4VULN|1AART|1CDMG	135aVULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8CDMG|9LIT
193	33362 23164	   	170.17	DCR|4VULN|1AART|1CDMG	1348VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|9DMSP|aCDMG
194	33363 23164	   	170.17	DCR|4VULN|1AART|1CDMG	1348VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|9DMSP|aCDMG
195	33363 23353	   	170.17	DCR|4VULN|1AART|1CDMG	134aVULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8CDMG|9LIT
196	33342 23134	   	170.17	DCR|4VULN|1AART|1CDMG	1389VULN|2NUKE|3BPWR|4DMSP|5TLV|6RCR|7AART|aCDMG
197	33343 23134	   	170.17	DCR|4VULN|1AART|1CDMG	1389VULN|2NUKE|3BPWR|4DMSP|5ERES|6RCR|7AART|aCDMG
198	36144 12133	   	170.11	DCR|3VULN|1AART|1DMG|2DUR	159VULN|2aDUR|3BEXP|4DMG|6LWND|7AART|8RCR
199	36344 12133	   	170.11	DCR|3VULN|1AART|1DMG|2DUR	159VULN|2aDUR|3FEWX|4DMG|6LWND|7AART|8RCR
200	33334 23234	   	170.07	DCR|4VULN|1AART|1CDMG	1359VULN|2NUKE|3BPWR|48ERES|6RCR|7AART|aCDMG
201	33363 23234	   	170.07	DCR|4VULN|1AART|1CDMG	1349VULN|2NUKE|3BPWR|58ERES|6RCR|7AART|aCDMG
202	35412 13531	   	170.04	ACR|3VULN|1AART|2CDMG|1ASPD	158VULN|2CANSTR|3AART|4RCR|68BEXP|78CDMG|8BPWR|9ASPD|aLIT
203	35412 13532	   	170.04	ACR|3VULN|1AART|2CDMG|1ASPD	158VULN|2CANSTR|3AART|4RCR|68BEXP|78CDMG|8BPWR|9ASPD|aCGEN
204	35412 33531	   	170.04	ACR|3VULN|1AART|2CDMG|1ASPD	158VULN|2CANSTR|3AART|4RCR|68FEWX|78CDMG|8BPWR|9ASPD|aLIT
205	35412 33532	   	170.04	ACR|3VULN|1AART|2CDMG|1ASPD	158VULN|2CANSTR|3AART|4RCR|68FEWX|78CDMG|8BPWR|9ASPD|aCGEN
206	35412 13533	   	169.94	ACR|3VULN|1AART|2CDMG|1ASPD	158VULN|2CANSTR|3AART|4RCR|68BEXP|78CDMG|8BPWR|9ASPD|aDUST
207	35412 33533	   	169.94	ACR|3VULN|1AART|2CDMG|1ASPD	158VULN|2CANSTR|3AART|4RCR|68FEWX|78CDMG|8BPWR|9ASPD|aDUST
208	15114 22215	   	169.82	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DMG|3RPLT|45VULN|6AART|7RCR|8DUR|9RMIN|aCDMG
209	15114 22235	   	169.82	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DMG|3RPLT|45VULN|6AART|7RCR|8DUR|9MLV|aCDMG
210	15334 23621	   	169.79	DCR|2VULN|2DMG|1AART	1aRCVC|28DMG|3CGEN|45VULN|6RCR|7AART|9RPLT
211	36133 15253	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	15VULN|2DUR|3BEXP|4BELT|6RCR|7LHND|89DMG|aAART
212	15234 23621	   	169.69	DCR|2VULN|2DMG|1AART	1aRCVC|28DMG|3TLV|45VULN|6RCR|7AART|9RPLT
213	36133 12453	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	15VULN|2DUR|3BEXP|4BELT|6RCR|79DMG|8DUST|aAART
214	36133 16253	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	15VULN|2DUR|3BEXP|4BELT|6RCR|7DUST|89DMG|aAART
215	36133 14322	   	169.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	159VULN|2DUR|3BEXP|4BELT|6RCR|7CDMG|8AART|aASPD
216	33361 34232	   	169.54	DCR|5VULN|1DMG|2DUR	13478VULN|2NUKE|38BPWR|58BASHEA|68DUR|9RCR|aDMG
217	33365 34232	   	169.54	DCR|5VULN|1DMG|2DUR	13478VULN|2NUKE|38BPWR|58SNIHEL|68DUR|9RCR|aDMG
218	33314 23522	   	169.52	DCR|3VULN|1AART|1DMG|1ASPD	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8LWND|9DMG|aASPD
219	33314 23523	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8LWND|9DMG|aDUR
220	33314 23642	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4aMLV|6RCR|7AART|8DMG|9DUR
221	33314 23643	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9DUR|aBEXP
222	26234 23131	   	169.45	DCR|5VULN|1AART	1NUKE|23CGEN|4589aVULN|6RCR|7AART
223	33314 23124	   	169.45	DCR|5VULN|1AART	1358aVULN|2NUKE|3BPWR|4MLV|6RCR|7AART|9RPLT
224	33314 23132	   	169.45	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|aLHND
225	33314 23133	   	169.45	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|aLWND
226	33314 23135	   	169.45	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|aDMSP
227	33314 23136	   	169.45	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|aBELT
228	33314 23161	   	169.45	DCR|5VULN|1AART	1358aVULN|2NUKE|3BPWR|4MLV|6RCR|7AART|9DMSP
229	33314 23331	   	169.45	DCR|5VULN|1AART	1359aVULN|2NUKE|3BPWR|48MLV|6RCR|7AART
230	35512 42123	 * 	169.44	DCR|4VULN|1DMG|2CDMG	1359VULN|2CANSTR|49LWND|69CDMG|7RCR|8DMSP|9BPWR|aDMG
231	33334 23522	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8LWND|9DMG|aASPD
232	33334 23523	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8LWND|9DMG|aDUR
233	33334 23625	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8DMG|9RPLT|aDUR
234	33334 23636	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8DMG|9MLV|aDUR
235	33334 23642	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8DMG|9DUR|aMLV
236	33362 23522	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8LWND|9DMG|aASPD
237	33362 23523	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8LWND|9DMG|aDUR
238	33362 23642	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9DUR|aMLV
239	33363 23522	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8LWND|9DMG|aASPD
240	33363 23523	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8LWND|9DMG|aDUR
241	33363 23625	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8DMG|9RPLT|aDUR
242	33363 23636	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8DMG|9MLV|aDUR
243	33363 23642	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8DMG|9DUR|aMLV
244	33314 23616	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9ERES|aDUR
245	33314 23632	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9LEGI|aASPD
246	33314 23633	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9LEGI|aDUR
247	33314 23641	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9DUR|aLEGI
248	33334 23123	   	169.35	DCR|5VULN|1AART	1358aVULN|2NUKE|3BPWR|4ERES|6RCR|7AART|9RPLT
249	33334 23132	   	169.35	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|aLHND
250	33334 23133	   	169.35	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|aLWND
251	33334 23135	   	169.35	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|aDMSP
252	33334 23136	   	169.35	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|aBELT
253	33334 23161	   	169.35	DCR|5VULN|1AART	1358aVULN|2NUKE|3BPWR|4ERES|6RCR|7AART|9DMSP
254	33334 23463	   	169.35	DCR|5VULN|1AART	1359aVULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8RPLT
255	33362 23124	   	169.35	DCR|5VULN|1AART	1348aVULN|2NUKE|3BPWR|5TLV|6RCR|7AART|9RPLT
256	33362 23132	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|aLHND
257	33362 23133	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|aLWND
258	33362 23135	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|aDMSP
259	33362 23136	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|aBELT
260	33362 23161	   	169.35	DCR|5VULN|1AART	1348aVULN|2NUKE|3BPWR|5TLV|6RCR|7AART|9DMSP
261	33363 23123	   	169.35	DCR|5VULN|1AART	1348aVULN|2NUKE|3BPWR|5ERES|6RCR|7AART|9RPLT
262	33363 23132	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|aLHND
263	33363 23133	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|aLWND
264	33363 23135	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|aDMSP
265	33363 23136	   	169.35	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|aBELT
266	33363 23161	   	169.35	DCR|5VULN|1AART	1348aVULN|2NUKE|3BPWR|5ERES|6RCR|7AART|9DMSP
267	33363 23463	   	169.35	DCR|5VULN|1AART	1349aVULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8RPLT
268	33314 23131	   	169.35	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|aDUST
269	33342 23131	   	169.35	DCR|5VULN|1AART	1389aVULN|2NUKE|3BPWR|4DMSP|5TLV|6RCR|7AART
270	33343 23131	   	169.35	DCR|5VULN|1AART	1389aVULN|2NUKE|3BPWR|4DMSP|5ERES|6RCR|7AART
271	32424 22326	 * 	169.32	DCR|3VULN|2AART|1CDMG	15aVULN|2RPLT|3RCVC|4CGEN|68AART|7RCR|9CDMG
272	32424 22361	   	169.32	DCR|3VULN|2AART|1CDMG	159VULN|2RPLT|3RCVC|4CGEN|68AART|7RCR|aCDMG
273	32434 22326	   	169.32	DCR|3VULN|2AART|1CDMG	15aVULN|2RPLT|3RCVC|4MLV|68AART|7RCR|9CDMG
274	33232 24123	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2NUKE|3MBVNT|4DUR|5ERES|6RCR|7AART|9DMG
275	33334 23615	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|49ERES|6RCR|7AART|8DMG|aDUR
276	33334 23641	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8DMG|9DUR|aLEGI
277	33334 23643	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	135VULN|2NUKE|3BPWR|4aERES|6RCR|7AART|8DMG|9DUR
278	33362 23616	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9ERES|aDUR
279	33362 23632	   	169.32	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9LEGI|aASPD
280	33362 23633	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9LEGI|aDUR
281	33362 23641	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9DUR|aLEGI
282	33362 23643	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9DUR|aERES
283	33363 23615	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|59ERES|6RCR|7AART|8DMG|aDUR
284	33363 23641	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8DMG|9DUR|aLEGI
285	33363 23643	   	169.32	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2NUKE|3BPWR|5aERES|6RCR|7AART|8DMG|9DUR
286	33334 23131	   	169.25	DCR|5VULN|1AART	13589VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|aDUST
287	33334 23231	   	169.25	DCR|5VULN|1AART	1359aVULN|2NUKE|3BPWR|48ERES|6RCR|7AART
288	33362 23131	   	169.25	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|aDUST
289	33363 23131	   	169.25	DCR|5VULN|1AART	13489VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|aDUST
290	33363 23231	   	169.25	DCR|5VULN|1AART	1349aVULN|2NUKE|3BPWR|58ERES|6RCR|7AART
291	35412 15211	   	169.24	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2CANSTR|3AART|4RCR|6BEXP|7DUR|8CDMG|9DMG|aRCVC
292	35412 35211	   	169.24	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2CANSTR|3AART|4RCR|6FEWX|7DUR|8CDMG|9DMG|aRCVC
293	15213 23611	   	169.22	DCR|2DMG|2AART|1VULN|1DUR	1RCVC|28DMG|35TLV|4DUR|6RCR|79AART|aVULN
294	15314 34321	   	169.20	DCR|3VULN|2DMG|2DUR	1RCVC|26DMG|3CGEN|49DUR|568VULN|6BPWR|7RCR|aBELT
295	33314 25341	   	169.17	DCR|4VULN|2DMG	1358VULN|2NUKE|3BPWR|4MLV|6RCR|7DUST|9aDMG
296	35412 13513	 * 	169.14	ACR|3VULN|1AART|3CDMG	158VULN|2CANSTR|3AART|4RCR|68BEXP|78aCDMG|8BPWR|9LHND
297	35412 33513	   	169.14	ACR|3VULN|1AART|3CDMG	158VULN|2CANSTR|3AART|4RCR|68FEWX|78aCDMG|8BPWR|9LHND
298	31132 63251	   	169.11	DCR|3VULN|2DMG|1ZMB|1DUR	178VULN|28DUST|3BEXP|4RCVC|5ZMB|68DMG|8BPWR|9RCR|aDUR
299	15324 34321	   	169.10	DCR|3VULN|2DMG|2DUR	1RCVC|26DMG|3CGEN|4DUST|568VULN|6BPWR|7RCR|9aDUR
300	15314 34323	   	169.10	DCR|3VULN|2DMG|2DUR	1RCVC|26DMG|3CGEN|49DUR|568VULN|6BPWR|7RCR|aNUKE
301	15314 34331	   	169.10	DCR|3VULN|2DMG|2DUR	1RCVC|26DMG|3CGEN|4aDUR|568VULN|6BPWR|7RCR|9DUST
302	33334 25341	   	169.07	DCR|4VULN|2DMG	1358VULN|2NUKE|3BPWR|4ERES|6RCR|7DUST|9aDMG
303	33362 25341	   	169.07	DCR|4VULN|2DMG	1348VULN|2NUKE|3BPWR|5TLV|6RCR|7DUST|9aDMG
304	33363 25341	   	169.07	DCR|4VULN|2DMG	1348VULN|2NUKE|3BPWR|5ERES|6RCR|7DUST|9aDMG
