0	Index      	 *	Score 	Summary	Detail	
1	12316 25125	 * 	221.05	ACR|3DMG|1BASARM|1VULN|1BEXP	1MDPS|2VULN|3RCR|4TLV|569DMG|7LHND|8BEXP|aBASARM
160	12344 53331	 * 	193.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4DMG|5LWND|6CGEN|7DUR|8ASPD|9BASARM|aMLV
161	12344 53332	   	193.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4DMG|5aLWND|6CGEN|7DUR|8ASPD|9BASARM
162	15351 51233	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5LWND|6DMG|7LIT|8CGEN|9BASARM|aBEXP
163	15352 51231	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5BEXP|6DMG|7LIT|8CGEN|9BASARM|aLWND
164	15342 16312	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9RMIN|aLWND
165	12316 35214	   	193.00	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9DUR|aBEXP
166	12316 35222	   	193.00	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9BEXP|aDMSP
167	12316 35223	   	193.00	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8aLWND|9BEXP
168	12316 35225	   	193.00	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9BEXP|aDUR
169	12316 35234	   	193.00	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9FEWX|aBEXP
170	12344 43331	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4DMG|5LWND|6TLV|7DUR|8ASPD|9BASARM|aMLV
171	12344 43332	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4DMG|5aLWND|6TLV|7DUR|8ASPD|9BASARM
172	12344 53333	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4DMG|5LWND|6CGEN|7DUR|8ASPD|9BASARM|aERES
173	15353 25321	   	192.92	ACR|1BASARM|1ASPD|1DMG|1AART	1MDPS|2DUR|3RCR|4ASPD|5AAC|6DMG|7RPLT|8AART|9VENTOX|aBASARM
174	15316 52331	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DUR|3RCR|4TLV|5DMG|6VULN|7LHND|8ASPD|9BASARM|aMLV
175	15316 52332	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DUR|3RCR|4TLV|5DMG|6VULN|7LHND|8ASPD|9BASARM|aLWND
176	15351 51133	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5LWND|6DMG|7LIT|8AME|9BASARM|aBEXP
177	15352 51131	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5BEXP|6DMG|7LIT|8AME|9BASARM|aLWND
178	15352 51233	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5BEXP|6DMG|7LIT|8CGEN|9BASARM|aAME
179	15322 16343	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|29DUR|3RCR|4AAC|5BEXP|6LHND|7BASARM|8ASPD|aDMG
180	15322 16363	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4AAC|5BEXP|69LHND|7BASARM|8ASPD|aDMG
181	15332 16343	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|29DUR|3RCR|4NUKE|5BEXP|6LHND|7BASARM|8ASPD|aDMG
182	15332 16363	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4NUKE|5BEXP|69LHND|7BASARM|8ASPD|aDMG
183	15341 16223	 * 	192.92	ACR|1BASARM|1DMG|2CDMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5LWND|6LHND|7BASARM|8BEXP|9aCDMG
184	15342 16311	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9RMIN|aAME
185	15342 16313	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9RMIN|aERES
186	15342 16321	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9DUST|aCGEN
187	15342 16331	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9SPLARM|aLWND
188	15342 16332	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9SPLARM|aDMSP
189	15351 16212	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5LWND|6LHND|7BASARM|8BEXP|9LEGI|aDMG
190	15351 16223	 * 	192.92	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5LWND|6LHND|7BASARM|8BEXP|9aCDMG
191	12316 31235	   	192.90	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|29VULN|3RCR|4TLV|5DMG|6CDMG|7DUR|8aASPD
192	12316 32335	   	192.90	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|29VULN|3RCR|4TLV|5DMG|6CDMG|7aASPD|8DUR
193	12316 35221	   	192.90	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9BEXP|aSPLARM
194	12316 35631	   	192.90	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8MSLTOX|9LIT|aBEXP
195	12341 62235	   	192.90	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|29VULN|3RCR|4DMG|5LHND|6CDMG|7AME|8aASPD
196	12343 22156	   	192.90	ACR|2VULN|2DMG|1ASPD|1CDMG	1MDPS|29VULN|3RCR|46DMG|5AAC|7CDMG|8LIT|aASPD
197	12345 31235	   	192.90	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|29VULN|3RCR|4DMG|5TLV|6CDMG|7DUR|8aASPD
198	12345 32335	   	192.90	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|29VULN|3RCR|4DMG|5TLV|6CDMG|7aASPD|8DUR
199	12351 62235	   	192.90	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|29VULN|3RCR|4aASPD|5LHND|6CDMG|7AME|8DMG
200	12344 43333	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4DMG|5LWND|6TLV|7DUR|8ASPD|9BASARM|aERES
201	12355 14213	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4ASPD|5TLV|6AME|7ZMB|8BASARM|9LWND|aDMG
202	12355 14223	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4ASPD|5TLV|6AME|7ZMB|8BASARM|9FEWX|aDMG
203	15353 25311	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	1MDPS|2DUR|3RCR|4ASPD|5AAC|6DMG|7RPLT|8AART|9MSLTOX|aBASARM
204	15316 52333	   	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2DUR|3RCR|4TLV|5DMG|6VULN|7LHND|8ASPD|9BASARM|aERES
205	15352 51133	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4ASPD|5BEXP|6DMG|7LIT|8aAME|9BASARM
206	15322 16335	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4AAC|5BEXP|6LHND|7BASARM|8ASPD|9SPLARM|aDMG
207	15332 16335	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4NUKE|5BEXP|6LHND|7BASARM|8ASPD|9SPLARM|aDMG
208	15342 16323	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|4DMG|5BEXP|6LHND|7BASARM|8ASPD|9aDUST
209	12316 22531	   	192.80	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|2aVULN|3RCR|4TLV|56DMG|78CDMG|9BEXP
210	12345 22531	   	192.80	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|2aVULN|3RCR|46DMG|5TLV|78CDMG|9BEXP
211	12345 35311	   	192.80	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|48DMG|57TLV|67CDMG|7BPWR|9AME|aBEXP
212	12345 35332	   	192.80	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|48DMG|57TLV|67CDMG|7BPWR|9BEXP|aERES
213	12353 32315	   	192.80	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|26VULN|3RCR|4aASPD|5AAC|7CDMG|8DMG|9DUST
214	12353 32346	   	192.80	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|26VULN|3RCR|4aASPD|5AAC|7CDMG|8DMG|9MBVNT
215	12353 42361	   	192.80	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|2aVULN|3RCR|46ASPD|5AAC|7CDMG|8DMG|9ERES
216	12355 32315	   	192.80	ACR|2VULN|2ASPD|1DMG|1CDMG	1MDPS|26VULN|3RCR|4aASPD|5TLV|7CDMG|8DMG|9DUST
217	12313 46241	   	192.72	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4TLV|5AAC|6ASPD|7CGEN|8BASARM|9MULARM|aDMG
218	12353 16241	   	192.72	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4ASPD|5AAC|6AME|7CGEN|8BASARM|9MULARM|aDMG
219	12355 14233	   	192.72	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2VULN|3RCR|4ASPD|5TLV|6AME|7ZMB|8BASARM|9DUST|aDMG
220	12316 35112	   	192.58	ACR|3VULN|2DMG|2CDMG	1MDPS|27aVULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|89LIT
221	12342 65231	   	192.07	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|4DMG|5BEXP|6CDMG|7RMIN|89ASPD|aLHND
222	12352 65231	   	192.07	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|49ASPD|5BEXP|6CDMG|7RMIN|8DMG|aLHND
223	12342 16363	   	191.97	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|4DMG|5BEXP|6LHND|7SPLREG|8aASPD|9CDMG
224	12342 65233	   	191.97	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|4DMG|5BEXP|6CDMG|7RMIN|89ASPD|aERES
225	12352 65233	   	191.97	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|49ASPD|5BEXP|6CDMG|7RMIN|8DMG|aERES
226	15352 52333	 * 	191.96	ACR|2ASPD|2BEXP|1DMG|1VULN	1MDPS|2DUR|3RCR|48ASPD|59BEXP|6DMG|7LHND|aVULN
227	16352 53333	   	191.96	ACR|2ASPD|2BEXP|1DMG|1VULN	1MDPS|2LHND|3RCR|48ASPD|59BEXP|6DMG|7FEWX|aVULN
228	12353 42314	   	191.87	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|46ASPD|5AAC|7CDMG|8DMG|9DUST|aBEXP
229	12355 22336	   	191.73	ACR|2VULN|2DMG|1ASPD|1BEXP	1MDPS|29VULN|3RCR|4ASPD|59TLV|69DMG|7AAC|8RCVC|9BPWR|aBEXP
230	12353 42336	   	191.72	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG|1SELL	1MDPS|2VULN|3RCR|46ASPD|5AAC|7CDMG|8DMG|9SELL|aBEXP
231	12342 31155	 * 	191.42	ACR|2VULN|2BEXP|2BASICY|1DMG	1MDPS|2aVULN|3RCR|4DMG|5aBEXP|6DUST|7AAC|8ERES|9aBASICY|aBPWR
232	12352 31155	 * 	191.42	ACR|2VULN|2BEXP|2BASICY|1ASPD	1MDPS|2aVULN|3RCR|4ASPD|5aBEXP|6DUST|7AAC|8ERES|9aBASICY|aBPWR
233	15352 16322	   	191.30	ACR|1BASARM|2ASPD|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9RCVC|aRPLT
234	15352 16323	   	191.30	ACR|1BASARM|2ASPD|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9RCVC|aCGEN
