0	Index      	 *	Score 	Summary	Detail	
1	36138 14143	 * 	221.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aASPD
156	66222 43223	   	194.33	ACR|1BASARM|1ASPD|1DMG|2CDMG	1ASPD|2AME|39LHND|4RCR|5FEWX|67CDMG|8DMG|aBASARM
157	45124 12122	   	194.30	ACR|1BASARM|2VULN|1AART|1CDMG	1RCVC|2LWND|3aVULN|4RCR|5MLV|6BASARM|7LIT|8CDMG|9AART
158	45125 12122	   	194.20	ACR|1BASARM|2VULN|1CDMG|1AART	1RCVC|2LWND|3aVULN|4RCR|5ERES|6BASARM|7LIT|8CDMG|9AART
159	16316 33511	   	194.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1AAC|2DUST|34DMG|5RCR|6FEWX|7CDMG|8BEXP|9DUR|aBASARM
160	16316 33181	   	193.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1AAC|2DUST|34DMG|5RCR|6FEWX|7CDMG|8MBVNT|9BEXP|aBASARM
161	35123 13244	   	193.85	ACR|1BASARM|2ASPD|1VULN|1AAC	12FEWX|3VULN|4RCR|5ERES|6BASARM|7LHND|89ASPD|aAAC
162	64632 13312	   	193.60	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1ASPD|2DUST|3RCR|4ZMB|5FEWX|6VULN|7BEXP|8DUR|9BASARM|aAAC
163	53635 11112	 * 	193.29	ACR|3VULN|1BASARM|1DMG	179VULN|2ZMB|3RCR|4AAC|58ERES|6BASARM|aDMG
164	34322 12366	 * 	193.22	ACR|4VULN|3DMG	159FEWX|2aERES|39aDMG|4RCR|689aVULN|7RCVC|9aBPWR
165	63612 41213	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ASPD|2LHND|3RCR|4CGEN|59FEWX|6CDMG|7DMSP|8DMG|aBASARM
166	63612 41223	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ASPD|29LHND|3RCR|4CGEN|5FEWX|6CDMG|7DMSP|8DMG|aBASARM
167	36113 53213	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|45LHND|6CGEN|7DMG|8ASPD|aBASARM
168	36113 53223	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|459LHND|6CGEN|7DMG|8ASPD|aBASARM
169	36113 53263	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|45LHND|69CGEN|7DMG|8ASPD|aBASARM
170	36113 62361	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|45LHND|6DMG|7DUR|8LWND|9ASPD|aBASARM
171	36124 21223	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	16FEWX|2CDMG|3RCR|4CGEN|5ASPD|79LHND|8DMG|aBASARM
172	36124 21263	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	16FEWX|2CDMG|3RCR|49CGEN|5ASPD|7LHND|8DMG|aBASARM
173	36124 51213	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|46CGEN|5ASPD|7LHND|8DMG|aBASARM
174	36124 51223	   	193.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|46CGEN|5ASPD|79LHND|8DMG|aBASARM
175	36136 34435	 * 	193.03	ACR|2BEXP|1ASPD|1DMG|1BASICY|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5ASPD|67BEXP|8AME|9BASICY|aDMG
176	36113 13213	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|45LHND|6TLV|7DMG|8ASPD|aBASARM
177	36113 13223	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|459LHND|6TLV|7DMG|8ASPD|aBASARM
178	36113 61213	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|45LHND|6DMG|7ERES|8ASPD|aBASARM
179	36113 61223	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|459LHND|6DMG|7ERES|8ASPD|aBASARM
180	36115 11213	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|4LHND|5ASPD|6TLV|7DMSP|8DMG|aBASARM
181	36115 11223	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|49LHND|5ASPD|6TLV|7DMSP|8DMG|aBASARM
182	36116 53223	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	16FEWX|2CDMG|3RCR|49LHND|56AME|6BPWR|7DMG|8ASPD|aBASARM
183	36161 15213	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|45DUR|6TLV|7DMG|8ASPD|aBASARM
184	36161 61213	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|45DUR|6DMG|7ERES|8ASPD|aBASARM
185	36165 12213	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|47DUR|5ASPD|6TLV|8DMG|aBASARM
186	22222 62532	   	192.98	ACR|3ASPD|1BASICY|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79DUR|89CDMG|9BPWR|aBASICY
187	22222 66532	   	192.98	ACR|3ASPD|1BASICY|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79LHND|89CDMG|9BPWR|aBASICY
188	36111 36161	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|4LHND|5DUR|68DUST|7DMG|9ASPD|aBASARM
189	36155 11213	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	19FEWX|2CDMG|3RCR|4LEGI|5ASPD|6TLV|7DMSP|8DMG|aBASARM
190	22225 13511	   	192.85	ACR|1BASARM|2AART|1ASPD|1BEXP	19AART|2BELT|3LEGI|4RCR|5RMIN|6DUR|7BEXP|8BASARM|aASPD
191	22225 21511	   	192.85	ACR|1BASARM|2AART|1ASPD|1BEXP	19AART|2BELT|3LEGI|4RCR|5RMIN|6BEXP|7FEWX|8BASARM|aASPD
192	36112 22256	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3RCR|4LHND|5AIRARM|6TLV|7ERES|8BASARM|9DMG|aASPD
193	22225 22511	   	192.75	ACR|1BASARM|2AART|1ASPD|1BEXP	19AART|2BELT|3LEGI|4RCR|5RMIN|6BEXP|7DUST|8BASARM|aASPD
194	45125 11112	   	192.55	ACR|3VULN|1BASARM|1DMG	1RCVC|2LWND|379VULN|4RCR|58ERES|6BASARM|aDMG
195	36132 41436	   	192.55	ACR|1BASARM|3BEXP|1CDMG	17FEWX|2CDMG|3RCR|4MBVNT|57AIRARM|679BEXP|7BPWR|8AAC|aBASARM
196	36132 44136	   	192.55	ACR|1BASARM|3BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5AIRARM|689BEXP|7RMIN|aBASARM
197	36132 45136	   	192.55	ACR|1BASARM|3BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5AIRARM|689BEXP|7ZMB|aBASARM
198	36136 32823	   	192.46	ACR|2ASPD|2BEXP|1DMG|1CDMG	19FEWX|2CDMG|3RCR|4MBVNT|59ASPD|69BEXP|7RCVC|8RPLT|9BPWR|aDMG
199	62355 21333	   	192.27	ACR|3ASPD|2DMG|1VULN	179ASPD|2aDMG|3ZMB|4RCVC|5RCR|6MLV|8VULN
200	35122 52231	   	192.24	ACR|2VULN|2ASPD|2DMG	125FEWX|3aVULN|4RCR|6DUR|7DMSP|8aDMG|9aASPD|aBPWR
201	14355 31333	   	192.17	ACR|3ASPD|2DMG|1VULN	1AAC|2aDMG|3ZMB|4RCVC|5RCR|679ASPD|8VULN
202	62355 31333	   	192.17	ACR|3ASPD|2DMG|1VULN	169ASPD|2aDMG|3ZMB|4RCVC|5RCR|7AME|8VULN
203	36136 33474	   	192.07	ACR|2ASPD|1VULN|1DMG|1CDMG|1BEXP	1FEWX|2CDMG|3RCR|4MBVNT|59ASPD|6BEXP|7LHND|8VULN|aDMG
204	36136 37242	   	192.07	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	19FEWX|2CDMG|3RCR|4MBVNT|59ASPD|6BEXP|7VULN|89ERES|9BPWR|aDMG
205	34322 11632	   	192.04	ACR|2VULN|2ASPD|2DMG	159FEWX|2ERES|39DMG|4RCR|6aVULN|7DUST|89ASPD|9BPWR
206	34323 11634	   	191.94	ACR|2VULN|2ASPD|2DMG	19FEWX|25ERES|39DMG|4RCR|6aVULN|7DUST|89ASPD|9BPWR
207	53313 56211	 * 	191.67	2VULN|3ASPD|3DMG|1BASARM	17VULN|2ZMB|347DMG|567ASPD|7BPWR|8RMIN|9BASARM|aLWND
208	53313 56213	   	191.67	2VULN|3ASPD|3DMG|1BASARM	17VULN|2ZMB|347DMG|567ASPD|7BPWR|8RMIN|9BASARM|aFEWX
