0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61522 21214	5	 * 	273.49	ACR|3VULN|3DMG|3DUR|3TLV|1NUKE	1RCR|28aDMG|356DUR|48aTLV|78aVULN|8aBPWR|9NUKE
165	34227 13325	1	   	245.77	DCR|3VULN|2DMG|2TLV	1aDMG|2MBVNT|35aVULN|456ERES|5aBPWR|7RCR|8aTLV|9RMIN
166	34233 82633	1	   	245.67	DCR|3VULN|2DMG|2TLV	19DMG|2MBVNT|369VULN|467DUST|5TBNT|69BPWR|89TLV|aRCR
167	34234 82633	1	   	245.67	DCR|3VULN|2DMG|2TLV	19DMG|2MBVNT|369VULN|456DUST|69BPWR|7BBNT|89TLV|aRCR
168	32115 43223	10	   	245.10	DCR|2VULN|3DMG|1TLV|2ASPD	158DMG|28LHND|39ASPD|4TLV|6BELT|78VULN|8BPWR|aRCR
169	41115 43223	10	   	245.10	DCR|2VULN|3DMG|1TLV|2ASPD	18LHND|258DMG|39ASPD|4TLV|6BELT|78VULN|8BPWR|aRCR
170	61522 21123	5	   	245.03	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aRPLT
171	61522 21126	5	   	245.03	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aRMIN
172	61522 61123	6	   	245.03	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aRPLT
173	61522 63123	7	   	245.03	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aRPLT
174	61522 21124	5	   	244.93	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aERES
175	61451 21133	8	   	244.84	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|28DMG|38LHND|47DUR|5LIT|689VULN|8BPWR|aTLV
176	61513 15133	8	   	244.84	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|28DMG|38DUR|4LIT|56LWND|789VULN|8BPWR|aTLV
177	61514 22133	8	   	244.84	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|28DMG|38DUR|4LIT|57LHND|689VULN|8BPWR|aTLV
178	61514 23133	8	   	244.84	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|28DMG|38DUR|4LIT|5LHND|689VULN|7DMSP|8BPWR|aTLV
179	63231 23625	1	   	244.83	ACR|4VULN|2DMG|2DUR|1CDMG	1RCR|2DUST|3589VULN|45DUR|5BPWR|67DMG|aCDMG
180	32222 33266	6	   	244.76	DCR|2VULN|3DMG|1TLV|1DUR|1SELL	17aDMG|2LHND|3aDUST|4TLV|5DUR|6SELL|8RCR|9aVULN|aBPWR
181	35233 51216	8	   	244.72	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	16DMG|2AART|39VULN|4DMSP|5TLV|7LIT|8RCR|aCDMG
182	62222 13162	5	   	244.71	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|269VULN|3aTLV|49MLV|56DUR|69BPWR|7LWND|89DMG
183	32233 21153	1	   	244.70	DCR|2VULN|3DUR|2DMG|1CDMG	15DMG|2ZMB|3FEWX|456DUR|5BPWR|7aVULN|8CDMG|9RCR
184	32433 21153	1	   	244.70	DCR|2VULN|3DUR|2DMG|1CDMG	15DMG|2ZMB|3LHND|456DUR|5BPWR|7aVULN|8CDMG|9RCR
185	63231 23613	1	   	244.64	ACR|3VULN|2DMG|2DUR|1TLV	1RCR|2DUST|358VULN|45DUR|5BPWR|67DMG|9LIT|aTLV
186	62236 12513	9	   	244.61	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|28aVULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|9LHND
187	62236 12523	10	   	244.61	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|289VULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|aZMB
188	62236 12533	9	   	244.61	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|28aVULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|9LWND
189	12433 21873	1	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1RMIN|2MBVNT|35DMG|456DUR|5BPWR|7aVULN|8RCR|9CDMG
190	12433 21163	1	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1RMIN|2MBVNT|35DMG|456DUR|5BPWR|7aVULN|8CDMG|9RCR
191	62236 12522	9	   	244.51	ACR|3VULN|2DMG|3TLV|2DUR	1RCR|289VULN|38aTLV|4FEWX|56DUR|78DMG|8BPWR
192	62222 15112	5	   	244.51	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|26aVULN|3aTLV|4MLV|56DUR|6aBPWR|7MBVNT|8aDMG|9BBNT
193	31356 63322	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2MLV|3BBNT|4aDUR|5LHND|6RCR|7DMSP|8TLV|9aVULN|aBPWR
194	33526 62122	4	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|28FEWX|3aDUR|4TLV|5TBNT|6RCR|7CGEN|9aVULN|aBPWR
195	21664 72413	4	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	18ZMB|2MLV|38DMG|4MBVNT|5aVULN|6TLV|78DUR|8BPWR|9RCR
196	31335 65322	2	   	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2MLV|3BBNT|4aFEWX|57DUR|6RCR|8TLV|9aVULN|aBPWR
197	35415 13121	4	   	243.97	DCR|3VULN|2DMG|2AART|2LIT	19DMG|27AART|35LIT|458VULN|5BPWR|6RCR|aBEXP
198	35415 13123	4	   	243.97	DCR|3VULN|2DMG|2AART|2LIT	19DMG|27AART|35LIT|458VULN|5BPWR|6RCR|aLHND
199	63523 21236	4	 * 	243.96	ACR|3VULN|3DUR|3TLV|3ASPD	1RCR|28aASPD|356DUR|458TLV|58aBPWR|78aVULN|9aBEXP
200	32526 63322	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2LHND|3aDUR|4ERES|5TBNT|6RCR|7DMSP|8TLV|9aVULN|aBPWR
201	12433 46713	1	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|2MBVNT|35DMG|45DUR|5BPWR|6ZMB|7TLV|8aVULN|9RCR
202	32332 62434	8	   	243.89	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	17DMG|27LHND|3CGEN|4TLV|5SELL|67VULN|7BPWR|8aDUR|9RCR
203	34221 88234	1	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2MBVNT|3aVULN|45ERES|6TLV|7BELT|8aDUR|9RCR|aBPWR
204	35116 22325	3	   	243.78	DCR|2VULN|2DUR|1TLV|1DMG|2AART	1DMG|25AART|36DUR|46VULN|6BPWR|7BBNT|8LWND|9RCR|aTLV
205	63522 21214	5	   	243.76	ACR|3VULN|3DUR|3TLV|3ASPD|1NUKE	1RCR|28aASPD|356DUR|48aTLV|78aVULN|8aBPWR|9NUKE
206	34223 43482	1	   	243.73	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2MBVNT|3aVULN|49ERES|5BBNT|6TLV|7RCR|8aDUR|aBPWR
207	35231 12741	10	   	243.64	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19DMG|2AART|35VULN|4DMSP|6MBVNT|79ASPD|89DUR|9BPWR|aRCR
