0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35113 26312	9	 * 	292.76	DCR|4VULN|3DUR|3CDMG|2LIT	127DUR|379aVULN|4DUST|5aLIT|67aCDMG|7aBPWR|8RCR
166	35113 23312	9	   	263.88	DCR|3VULN|3DUR|2CDMG|2LIT	127DUR|39aVULN|4DUST|5aLIT|6aCDMG|8RCR|aBPWR
167	11133 26322	9	   	263.67	DCR|3VULN|3DUR|3CDMG	127FEWX|37aVULN|4LIT|59aDUR|67aCDMG|7aBPWR|8RCR
168	13213 26322	9	   	263.67	DCR|3VULN|3DUR|3CDMG	147FEWX|27aVULN|3LIT|59aDUR|67aCDMG|7aBPWR|8RCR
169	13533 26322	9	   	263.67	DCR|3VULN|3DUR|3CDMG	137FEWX|27aVULN|4LIT|59aDUR|67aCDMG|7aBPWR|8RCR
170	35131 26322	9	   	263.67	DCR|3VULN|3DUR|3CDMG	127DUR|37aVULN|4LIT|5aLHND|67aCDMG|7aBPWR|8RCR|9RCVC
171	21161 43251	1	   	263.61	DCR|3VULN|2DMG|3CDMG|2LIT	135CDMG|24aVULN|6LWND|7RCR|8aDMG|9aLIT|aBPWR
172	21161 13251	1	   	263.51	DCR|3VULN|2DMG|3CDMG|2LIT	135CDMG|24aVULN|6LEGI|7RCR|8aDMG|9aLIT|aBPWR
173	36161 22131	3	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUR|27DMG|3ASPD|4RMIN|569VULN|8RCR|aCDMG
174	36461 22131	2	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUR|27DMG|3ASPD|4RMIN|569VULN|8RCR|aCDMG
175	22324 25324	10	 * 	263.05	DCR|3VULN|2DUR|3CDMG|2ASPD	129CDMG|3MBVNT|45aVULN|69DUR|79ASPD|8RCR|9BPWR
176	22324 25843	10	   	263.05	DCR|3VULN|2DUR|3CDMG|2ASPD	128CDMG|3MBVNT|459VULN|68DUR|78ASPD|8BPWR|aRCR
177	32336 44112	2	   	262.83	DCR|4VULN|2DUR|1TLV	1aDUR|2TLV|3569VULN|4LIT|7RCR|8TBNT
178	31163 32411	6	   	262.79	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	18DUR|2FEWX|38CDMG|4ERES|57VULN|68DMG|8BPWR|9TLV|aRCR
179	31163 36411	7	   	262.79	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	18DUR|2FEWX|38CDMG|4ERES|57VULN|68DMG|8BPWR|9TLV|aRCR
180	35153 31221	8	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	124DUR|34aVULN|4BPWR|5BEXP|6BELT|7CDMG|8RCR|9DMG
