0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35235 13423	7	 * 	296.41	DCR|3VULN|3DMG|3DUR|1CDMG	137LWND|238DUR|378BPWR|4RPLT|578VULN|678DMG|9RCR|aCDMG
174	51312 36633	8	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|35aDUR|5BPWR|67DMG|8RCR|9FEWX
175	51312 44452	6	   	266.71	DCR|3VULN|3DUR|2DMG	19CGEN|245VULN|359DUR|59BPWR|6MBVNT|7RCR|89DMG|aDUST
176	51332 31413	10	   	266.71	DCR|3VULN|3DUR|2DMG	14CGEN|25aVULN|357DUR|5BPWR|68DMG|9RCR
177	51312 31411	8	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aLWND
178	51312 31411	9	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aLWND
179	51312 31412	8	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aMLV
180	51312 31412	9	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aMLV
181	51312 31412	10	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aLWND
182	51312 31415	10	   	266.71	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aLHND
183	51332 36213	10	   	266.71	DCR|3VULN|3DUR|2DMG	14CGEN|25aVULN|358DUR|5BPWR|67DMG|9RCR
184	51342 26332	8	   	266.66	DCR|4VULN|3DUR|2LIT	1CGEN|2458VULN|345DUR|45BPWR|6RMIN|7aLIT|9RCR
185	27612 41172	7	   	266.63	DCR|3VULN|3ASPD|2DUR|2TLV	1MBVNT|258ASPD|345VULN|58BPWR|68TLV|78DUR|9RCR|aZMB
186	27612 41174	7	   	266.63	DCR|3VULN|3ASPD|2DUR|2TLV	1MBVNT|258ASPD|345VULN|58BPWR|68TLV|78DUR|9RCR|aFEWX
187	21224 44148	7	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|3aBPWR|4aDMG|5RPLT|6RCR|78aVULN
188	21224 48148	6	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|3aBPWR|4aDMG|5RPLT|6RCR|78aVULN
189	21225 44833	8	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|39BPWR|49DMG|5FEWX|6ERES|79aVULN|8RCR
190	21624 44148	7	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|4aDMG|5RPLT|6RCR|78aVULN|aBPWR
191	21624 48148	6	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|4aDMG|5RPLT|6RCR|78aVULN|aBPWR
192	21625 44833	8	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|49DMG|5FEWX|6ERES|79aVULN|8RCR|9BPWR
193	51312 36214	10	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|358DUR|5BPWR|67DMG|9RCR|aDUST
194	51312 36215	9	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|358DUR|5BPWR|67DMG|9RCR|aDUST
195	51312 36215	8	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|358DUR|5BPWR|67DMG|9RCR|aDUST
196	51312 36631	10	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|35aDUR|5BPWR|67DMG|8RCR|9DUST
197	21263 12134	4	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|238DUR|38BPWR|4MLV|58DMG|678VULN|9DUST|aRCR
198	21268 12134	5	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|238DUR|38BPWR|4MLV|58DMG|678VULN|9DUST|aRCR
199	21268 12134	6	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|238DUR|38BPWR|4MLV|58DMG|678VULN|9DUST|aRCR
200	21663 12134	4	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|238DUR|4MLV|58DMG|678VULN|8BPWR|9DUST|aRCR
201	21668 12134	5	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|238DUR|4MLV|58DMG|678VULN|8BPWR|9DUST|aRCR
202	21668 12134	6	   	266.61	DCR|3VULN|3DUR|2DMG	1MBVNT|238DUR|4MLV|58DMG|678VULN|8BPWR|9DUST|aRCR
203	51312 31414	10	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aDUST
204	51312 31415	9	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aDUST
205	51312 31415	8	   	266.61	DCR|3VULN|3DUR|2DMG	1CGEN|245VULN|357DUR|5BPWR|68DMG|9RCR|aDUST
206	27612 41171	7	   	266.53	DCR|3VULN|3ASPD|2DUR|2TLV	1MBVNT|258ASPD|345VULN|58BPWR|68TLV|78DUR|9RCR|aTBNT
207	21221 84833	8	   	266.51	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|39BPWR|49DMG|5DUST|6ERES|79aVULN|8RCR
208	21621 84833	8	   	266.51	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|49DMG|5DUST|6ERES|79aVULN|8RCR|9BPWR
209	21221 84754	8	   	266.51	DCR|3VULN|3DUR|2DMG	1MBVNT|239DUR|39BPWR|49DMG|5DUST|6ERES|789VULN|aRCR
210	27613 32632	10	 * 	266.50	DCR|4VULN|2DMG|2ASPD	1MBVNT|29ASPD|3469VULN|5CGEN|7LWND|89DMG|9BPWR|aRCR
211	32512 32122	9	   	266.50	DCR|4VULN|2DMG|2ASPD	17LWND|25ASPD|3456VULN|5BPWR|89DMG|aRCR
