0	Index      	 *	Score 	Summary	Detail	
1	26432 42122	 * 	226.78	DCR|1SPLARM|3ASPD|2DMG|1AART|1VULN	19CGEN|2AART|3SPLARM|49DMG|579ASPD|6RCR|8RPLT|9BPWR|aVULN
158	13334 22165	   	197.53	DCR|3VULN|1AART|1ASPD|1DMG	1MULARM|268VULN|3ASPD|4RPLT|5AART|7DMG|9CGEN|aRCR
159	41232 14735	 * 	197.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1VULN|2ASPD|3CDMG|4MBVNT|5MDPS|69AART|7RCR|8LWND|aDMG
160	61232 14735	   	197.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2VULN|3CDMG|4MBVNT|5MDPS|69AART|7RCR|8LWND|aDMG
161	64232 14335	   	197.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LWND|3CDMG|4MBVNT|5MDPS|69AART|7RCR|8VULN|aDMG
162	13334 22155	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1MULARM|268VULN|3ASPD|4RPLT|5AART|7DMG|9ERES|aRCR
163	41425 12311	   	197.43	DCR|3VULN|1AART|1DMG|1ASPD	149VULN|2ASPD|3DMG|5AART|6AELBLL|7ERES|8MLV|aRCR
164	41425 32311	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	149VULN|2ASPD|3DMG|5AART|6DMSP|7ERES|8MLV|aRCR
165	61425 12311	   	197.43	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|249VULN|3DMG|5AART|6AELBLL|7ERES|8MLV|aRCR
166	61425 32311	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|249VULN|3DMG|5AART|6DMSP|7ERES|8MLV|aRCR
167	62111 31626	   	197.41	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2RPLT|3DUR|4RCVC|5CDMG|6AART|7ZMB|89VULN|aRCR
168	61223 52421	   	197.29	DCR|2VULN|2ASPD|1AART|2CDMG|1SELL	14ASPD|26VULN|36CDMG|5SELL|6BPWR|7MLV|8AART|9ERES|aRCR
169	21442 23216	 * 	197.28	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1CGEN|29VULN|35DMG|4MDPS|6AART|7TLV|8RCR|aCDMG
170	13364 32224	   	196.80	DCR|3ASPD|1VULN|1AART|1DMG|1ZMB	1MULARM|2VULN|378ASPD|4AART|5ZMB|6DMG|9MLV|aRCR
