0	Index      	 *	Score 	Summary	Detail	
1	45612 33123	 * 	221.70	DCR|3VULN|3ASPD|1DMG|3DUR	157DUR|2DMG|378VULN|4BELT|67aASPD|7BPWR|9RCR
161	45612 33232	   	193.27	DCR|2VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9FEWX|aRCVC
162	11153 13211	   	193.24	DCR|3VULN|2DMG|1ASPD	18TLV|268VULN|34BEXP|5ASPD|78DMG|8BPWR|9RCR|aDUST
163	62243 22524	 * 	193.23	DCR|2VULN|2ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3DMG|4CGEN|56ASPD|7CDMG|89VULN|aRCR
164	62282 22524	   	193.23	DCR|2VULN|2ASPD|1DMG|1CDMG	1MBVNT|2RMIN|3DMG|46ASPD|5AME|7CDMG|89VULN|aRCR
165	36223 65332	   	193.15	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1LWND|2MBVNT|3AART|45VULN|6RCR|7BEXP|8CDMG|9DMG|aMDPS
166	61223 65332	   	193.15	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1MBVNT|2LWND|3AART|45VULN|6RCR|7BEXP|8CDMG|9DMG|aMDPS
167	63113 26227	   	193.13	DCR|3VULN|2DMG|2ZMB	1MBVNT|27aLIT|39aVULN|47DMG|57CGEN|6RCR|7aBPWR|8aZMB
168	32313 25414	   	193.13	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|46ASPD|5VULN|7MLV|8AART|9RCR
169	32313 26414	   	193.13	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|46ASPD|5VULN|7CGEN|8AART|9RCR
170	32363 21414	   	193.13	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|4MLV|5VULN|67ASPD|8AART|9RCR
171	36223 61332	   	193.05	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1LWND|2MBVNT|3AART|45VULN|6RCR|7LEGI|8CDMG|9DMG|aMDPS
172	61223 61332	   	193.05	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1MBVNT|2LWND|3AART|45VULN|6RCR|7LEGI|8CDMG|9DMG|aMDPS
173	32313 21414	   	193.03	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|46ASPD|5VULN|7TLV|8AART|9RCR
174	32313 22414	   	193.03	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|46ASPD|5VULN|7ERES|8AART|9RCR
175	32313 31414	   	193.03	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|47ASPD|5VULN|6TLV|8AART|9RCR
176	32343 21414	   	193.03	DCR|2DMG|2ASPD|1AART|1VULN	1LWND|2SNIFST|3aDMG|4ERES|5VULN|67ASPD|8AART|9RCR
177	35252 14232	   	192.88	DCR|3DMG|2VULN|2CDMG	16LWND|248DMG|34CDMG|4BPWR|5CGEN|79VULN|aRCR
178	45612 33211	   	192.85	DCR|2VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9ERES|aMLV
179	45612 33213	   	192.85	DCR|2VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9ERES|aBEXP
180	45612 33233	   	192.85	DCR|2VULN|2ASPD|1DMG|3DUR|1MSE	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9FEWX|aMSE
181	62265 42131	   	192.84	DCR|2VULN|2DMG|1CDMG|1DUR	1MBVNT|2RMIN|35DMG|49VULN|6RCR|7CDMG|8BEXP|aDUR
182	45113 12431	   	192.61	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1aDUR|2DMG|3FEWX|4RCVC|5ASPD|69VULN|7CDMG|8RCR
183	46644 34132	   	192.58	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2MBVNT|36aVULN|4ASPD|5RCVC|7DMG|8RCR|9RMIN
184	63483 21842	   	192.56	DCR|2DMG|1AART|1VULN|1ASPD|2DUR	1MBVNT|258LIT|3ASPD|4AART|68DMG|78DUR|8BPWR|9RCR|aVULN
185	35323 14153	 * 	192.54	DCR|2VULN|2CDMG|1ASPD|1DMG	1LWND|2DMG|3CGEN|4RMIN|5ASPD|68VULN|7RCR|9aCDMG
186	33224 42332	   	192.52	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1DUR	1LWND|2FEWX|37AART|4VULN|5DUR|6RCR|8CDMG|9DMG|aMDPS
187	11235 13433	   	192.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|24aVULN|3CDMG|5ZMB|6LWND|7DUR|8RCR|9DMG
188	11235 41433	   	192.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|24aVULN|3CDMG|5ZMB|6DUR|7BEXP|8RCR|9DMG
189	11246 13433	   	192.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|25aVULN|3CDMG|4ZMB|6LWND|7DUR|8RCR|9DMG
190	35612 32351	   	192.46	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1LWND|27DMG|3VULN|4BELT|5aDUR|6ASPD|8AART|9RCR
191	36212 68431	   	192.31	DCR|3VULN|1AART|1ASPD	1LWND|2MBVNT|3AART|4ASPD|5RMIN|6RCR|78aVULN|9LHND
192	61212 68431	   	192.31	DCR|3VULN|1AART|1ASPD	1MBVNT|2LWND|3AART|4ASPD|5RMIN|6RCR|78aVULN|9LHND
193	33221 42321	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2FEWX|3AART|49VULN|5LHND|6RCR|7DUR|8CDMG|aDMG
194	33224 45321	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2FEWX|3AART|49VULN|5DUR|6RCR|7BEXP|8CDMG|aDMG
195	63115 24425	   	192.19	DCR|3VULN|1ASPD|1DMG|1ZMB	1MBVNT|28LIT|389VULN|4DMG|5ZMB|6RCR|78MLV|8BPWR|aASPD
196	63432 26225	   	192.19	DCR|3VULN|1ASPD|1DMG|1ZMB	1MBVNT|27LIT|3ASPD|47CGEN|579VULN|6RCR|7BPWR|8ZMB|aDMG
197	62248 44138	   	192.17	DCR|2VULN|2DMG|1MDPS|1AART	1MBVNT|2RMIN|3aDMG|4CGEN|5MDPS|6RCR|7aVULN|8AART|9aFEWX|aBPWR
198	36223 63312	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9RPLT|aDMG
199	36223 63321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9FEWX|aDMG
200	36223 63331	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aMLV
201	36223 63337	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aCGEN
202	36464 48321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3FEWX|49VULN|5DUR|6RCR|7AART|8CDMG|aDMG
203	61223 63312	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9RPLT|aDMG
204	61223 63321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9FEWX|aDMG
205	61223 63331	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aMLV
206	61223 63337	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aCGEN
207	61464 48321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3FEWX|49VULN|5DUR|6RCR|7AART|8CDMG|aDMG
208	63141 63713	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LIT|38VULN|4DUR|5LWND|6RCR|7AART|9DMG|aCDMG
209	64263 42321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2FEWX|3DUR|49VULN|5BEXP|6RCR|7AART|8CDMG|aDMG
210	33222 42321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2FEWX|3AART|49VULN|5LEGI|6RCR|7DUR|8CDMG|aDMG
211	46633 42321	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|39VULN|4BEXP|5FEWX|6RCR|7AART|8CDMG|aDMG
212	36218 12841	   	192.08	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2MBVNT|37AART|4ASPD|5aVULN|6DUR|8RCR|9RMIN
213	61218 12841	   	192.08	DCR|2VULN|2AART|1ASPD|1DUR	1MBVNT|2LWND|37AART|4ASPD|5aVULN|6DUR|8RCR|9RMIN
214	33224 42334	   	192.05	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LWND|2FEWX|37AART|4VULN|5DUR|6RCR|8CDMG|9DMG|aRMIN
215	36223 63183	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8TLV|9ASPD|aCDMG
216	36223 63333	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1MSE	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aMSE
217	36223 63335	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aDUST
218	36223 63338	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aTLV
219	36223 63354	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9ERES|aASPD
220	36223 63361	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9LEGI|aDMG
221	36223 63523	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8ASPD|9ERES|aCDMG
222	61223 63183	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8TLV|9ASPD|aCDMG
223	61223 63333	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1MSE	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aMSE
224	61223 63335	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aDUST
225	61223 63338	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aTLV
226	61223 63354	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9ERES|aASPD
227	61223 63361	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9LEGI|aDMG
228	61223 63523	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8ASPD|9ERES|aCDMG
229	64164 48321	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2FEWX|3LEGI|49VULN|5DUR|6RCR|7AART|8CDMG|aDMG
230	63133 34465	   	191.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1MBVNT|2LIT|347VULN|5CGEN|6RCR|8DMG|9ZMB|aASPD
231	62265 42133	   	191.97	DCR|2VULN|2DMG|2CDMG	1MBVNT|2RMIN|35DMG|49VULN|6RCR|7aCDMG|8BEXP
232	63113 26225	   	191.94	DCR|2VULN|2DMG|1ASPD|1ZMB	1MBVNT|27LIT|39VULN|47DMG|57CGEN|6RCR|7BPWR|8ZMB|aASPD
233	33226 45131	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	1LWND|2FEWX|37AART|4aVULN|5ERES|6RCR|8DUR|9DMG
234	36464 48224	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	1LWND|2MBVNT|3FEWX|48VULN|5DUR|6RCR|7aAART|9DMG
235	61464 48224	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	1MBVNT|2LWND|3FEWX|48VULN|5DUR|6RCR|7aAART|9DMG
236	33224 42421	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2FEWX|37AART|4aVULN|5DUR|6RCR|8ASPD|9ERES
237	65354 24442	   	191.91	DCR|3VULN|1ASPD|1CDMG|1ZMB	1MBVNT|2RCVC|3ZMB|4CDMG|59aVULN|6RCR|7RPLT|8ASPD
238	63135 73212	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LIT|34VULN|5BEXP|6DUR|7AART|8RCR|9DMG|aASPD
239	63445 83322	   	191.91	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|2LIT|37ASPD|4CANSTR|5AART|6CDMG|8aVULN|9RCR
240	64164 48224	   	191.82	DCR|2VULN|2AART|1DMG|1DUR	1MBVNT|2FEWX|3LEGI|48VULN|5DUR|6RCR|7aAART|9DMG
241	63432 21425	   	191.79	DCR|2VULN|2ASPD|1DMG|2ZMB	1MBVNT|28LIT|38ASPD|4CGEN|59VULN|6RCR|78ZMB|8BPWR|aDMG
242	63462 21425	   	191.79	DCR|2VULN|2ASPD|1DMG|2ZMB	1MBVNT|28LIT|38ASPD|4MLV|59VULN|6RCR|78ZMB|8BPWR|aDMG
243	63472 21425	   	191.79	DCR|2VULN|2ASPD|1DMG|2ZMB	1MBVNT|28LIT|38ASPD|4AME|59VULN|6RCR|78ZMB|8BPWR|aDMG
244	62163 12522	 * 	191.72	DCR|4VULN|2ASPD|2RMIN|1SELL	1MBVNT|23RMIN|4689VULN|59ASPD|7SELL|9BPWR|aRCR
