0	Index      	 *	Score 	Summary	Detail	
1	31124 14143	 * 	225.49	DCR|3VULN|3DMG|3DUR|2SPLREG	18aDMG|238DUR|49BEXP|5aSPLREG|68aVULN|7RCR|8aBPWR
163	33343 11256	 * 	195.61	DCR|2AART|2ASPD|1VULN|1DMG	1DMG|2RCVC|34ASPD|5LIT|68AART|7RCR|9LWND|aVULN
164	33343 11262	   	195.61	DCR|2AART|2ASPD|1VULN|1DMG	1DMG|2RCVC|34ASPD|5LIT|68AART|7RCR|9MLV|aVULN
165	33343 11626	   	195.61	DCR|2AART|2ASPD|1VULN|1DMG	1DMG|2RCVC|34ASPD|5LIT|6aAART|7RCR|8FEWX|9VULN
166	42335 13241	 * 	195.60	DCR|3VULN|1MDPS|1AART|1NUKE|1ZMB	1ZMB|2MBVNT|358VULN|4MDPS|6RCR|7AART|9AME|aNUKE
167	42335 13261	   	195.60	DCR|3VULN|1MDPS|1AART|1NUKE|1ZMB	1ZMB|2MBVNT|358VULN|4MDPS|6RCR|7AART|9RMIN|aNUKE
168	31124 14114	   	195.52	DCR|2VULN|2DMG|3DUR|1ZMB	18DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|9AELBLL|aZMB
169	31134 14114	   	195.52	DCR|2VULN|2DMG|3DUR|1ZMB	18DMG|238DUR|4LWND|5SPLREG|68VULN|7RCR|8BPWR|9AELBLL|aZMB
170	33343 11242	   	195.51	DCR|2AART|2ASPD|1VULN|1DMG	1DMG|2RCVC|34ASPD|5LIT|68AART|7RCR|9ERES|aVULN
171	33343 11316	   	195.51	DCR|2AART|2ASPD|1VULN|1DMG	1DMG|2RCVC|34ASPD|5LIT|6aAART|7RCR|8VULN|9DUST
172	33343 11367	   	195.51	DCR|2AART|2ASPD|1VULN|1DMG	1DMG|2RCVC|34ASPD|5LIT|6aAART|7RCR|8VULN|9MBVNT
173	42335 13237	 * 	195.50	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|2MBVNT|358VULN|4MDPS|6RCR|7AART|9DLOT|aASPD
174	42335 13238	 * 	195.50	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1ZMB|2MBVNT|358VULN|4MDPS|6RCR|7AART|9DLOT|aDMG
175	42335 13271	   	195.50	DCR|3VULN|1MDPS|1AART|1NUKE|1ZMB	1ZMB|2MBVNT|358VULN|4MDPS|6RCR|7AART|9ERES|aNUKE
