0	Index      	 *	Score 	Summary	Detail	
1	64313 23845	 * 	210.37	DCR|3VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aDMG
160	68382 31111	   	189.36	DCR|4VULN|1AART|1DUR	1MBVNT|2DUR|3578VULN|4LIT|6RCR|9DUST|aAART
161	68382 31413	   	189.36	DCR|4VULN|1AART|1DUR	1MBVNT|2DUR|3579VULN|4LIT|6RCR|8ERES|aAART
162	68382 34313	   	189.36	DCR|4VULN|1AART|1DUR	1MBVNT|2DUR|3589VULN|4LIT|6RCR|7ERES|aAART
163	64482 42142	   	189.30	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|47VULN|5DUR|6RCR|8AART|9ZMB|aCDMG
164	63712 16331	   	189.22	DCR|2VULN|1AART|2CDMG|1DMG	1MBVNT|2LIT|3RPLT|48VULN|56CDMG|7RCR|9DMG|aAART
165	68324 12153	   	189.21	DCR|3VULN|1ASPD|1DMG|2DUR	1MBVNT|28DUR|37aVULN|4DMG|5RPLT|6ASPD|9RCR
166	63384 72312	 * 	188.92	DCR|3VULN|1MDPS|1ASPD|1DMG	1MBVNT|2LIT|3ERES|489VULN|5ASPD|6DMG|7RCR|aMDPS
167	63834 72312	   	188.92	DCR|3VULN|1MDPS|1ASPD|1DMG	1MBVNT|2LIT|3ASPD|4ERES|589VULN|6DMG|7RCR|aMDPS
168	64113 23361	   	188.83	DCR|2VULN|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7RCR|8MLV|9DMG|aNUKE
169	64313 23361	   	188.83	DCR|2VULN|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8MLV|9DMG|aNUKE
170	64113 23337	   	188.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7RCR|8MLV|9CDMG|aAART
171	64113 23661	   	188.73	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7RCR|8AAC|9DMG|aNUKE
172	64313 23661	   	188.73	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8AAC|9DMG|aNUKE
173	64313 23635	   	188.63	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8AAC|9CDMG|aAART
174	64434 72141	   	188.63	DCR|2VULN|1AART|1DMG|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|4ERES|59VULN|6DMG|7RCR|8AART|aCDMG
175	64483 72141	   	188.63	DCR|2VULN|1AART|1DMG|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|49VULN|5ERES|6DMG|7RCR|8AART|aCDMG
176	12536 23314	   	188.55	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2RPLT|36ASPD|4VULN|5CDMG|7DMG|8RCR|9DUR|aZMB
177	62446 44383	   	188.41	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1MBVNT|2LWND|3AART|4ASPD|5RMIN|6FEWX|7RCR|8VULN|9CDMG|aDMG
178	64134 46361	 * 	188.22	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3LWND|4DMG|5VULN|6ASPD|7LHND|8AART|9RCR|aNUKE
179	43511 23236	   	188.14	DCR|2VULN|2AART|1CDMG|1AAC|1DUR	1AAC|2CDMG|3FEWX|49VULN|5DUR|6RCVC|7RCR|8aAART
180	62441 67213	   	188.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|4ASPD|5MLV|67VULN|8RCR|9CDMG|aDUR
181	62442 77213	   	188.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|4ASPD|5CGEN|67VULN|8RCR|9CDMG|aDUR
182	33331 56233	   	188.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1DMSP|2BELT|3RPLT|4ZMB|5ASPD|67aVULN|8RCR|9DMG
183	52331 56233	   	188.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1BELT|2DMSP|3RPLT|4ZMB|5ASPD|67aVULN|8RCR|9DMG
184	62444 67213	   	187.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|4ASPD|5TLV|67VULN|8RCR|9CDMG|aDUR
185	68318 23332	   	187.96	DCR|2VULN|2ASPD|1AART|1DUR	1MBVNT|2DUR|3aVULN|4FEWX|59ASPD|6LEGI|7RCR|8AART
186	66413 23811	   	187.96	DCR|3VULN|1ASPD|1DMG|1DUR	1MBVNT|2AME|3BEXP|458VULN|6ASPD|7RCR|9DUR|aDMG
187	62411 64544	   	187.95	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5MLV|68VULN|9RCR|aASPD
188	62442 74141	   	187.95	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|2LWND|37AART|4ASPD|5CGEN|6aVULN|8ZMB|9RCR
189	64313 23748	   	187.88	DCR|2VULN|2ASPD|1AART|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6aASPD|7RCR|8RCVC|9AART
190	61331 76312	   	187.86	DCR|2VULN|2AART|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8aVULN|9CGEN
191	66113 23811	   	187.86	DCR|3VULN|1ASPD|1DMG|1DUR	1MBVNT|2AME|3DUST|458VULN|6ASPD|7RCR|9DUR|aDMG
192	67413 23811	   	187.86	DCR|3VULN|1ASPD|1DMG|1DUR	1MBVNT|2TLV|3BEXP|458VULN|6ASPD|7RCR|9DUR|aDMG
193	62414 64544	   	187.85	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5TLV|68VULN|9RCR|aASPD
194	62322 43836	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|36VULN|4DMG|5DUR|7ERES|8AART|9ASPD|aRCR
195	61331 76322	   	187.76	DCR|2VULN|2AART|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8aVULN|9ERES
196	61331 76332	   	187.76	DCR|2VULN|2AART|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8aVULN|9TLV
197	67113 23811	   	187.76	DCR|3VULN|1ASPD|1DMG|1DUR	1MBVNT|2TLV|3DUST|458VULN|6ASPD|7RCR|9DUR|aDMG
198	62411 64252	   	187.72	DCR|3VULN|2AART|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5MLV|69aVULN|8RCR
199	62412 74252	   	187.72	DCR|3VULN|2AART|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5CGEN|69aVULN|8RCR
200	62322 42847	   	187.68	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2LWND|36aVULN|4DMG|5DUR|7AME|8AART|9RCR
201	62323 33847	   	187.68	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2LWND|35aVULN|4DMG|6CGEN|7DUR|8AART|9RCR
202	12536 23362	 * 	187.67	DCR|2ASPD|1VULN|2CDMG|1DMG|1ZMB	1ERES|2RPLT|36ASPD|4VULN|5aCDMG|7DMG|8RCR|9ZMB
203	68318 23331	   	187.65	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	1MBVNT|2DUR|3VULN|4FEWX|59ASPD|6LEGI|7RCR|8AART|aDMG
204	68322 26124	   	187.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1MBVNT|25DUR|38VULN|4DMG|6ASPD|7LIT|9RCR|aCDMG
205	62414 64252	   	187.62	DCR|3VULN|2AART|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5TLV|69aVULN|8RCR
206	61331 76234	   	187.54	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8LIT|9VULN|aASPD
207	61331 76314	   	187.54	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8VULN|9CGEN|aASPD
208	61331 76344	   	187.54	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8VULN|9LIT|aASPD
209	63141 75141	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1MBVNT|2LIT|3LWND|4AAC|5AART|6RCR|7DMG|8ASPD|9aVULN
210	12536 23325	   	187.50	DCR|2DMG|2ASPD|1VULN|1CDMG	1ERES|2RPLT|36ASPD|4VULN|5CDMG|7aDMG|8RCR|9FEWX
211	61331 76324	   	187.44	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8VULN|9ERES|aASPD
212	61331 76334	   	187.44	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6RCR|7CDMG|8VULN|9TLV|aASPD
213	21313 36214	   	187.32	DCR|2VULN|1AART|2CDMG|1DMG	1LWND|29CDMG|3RPLT|45VULN|6CGEN|7AART|8RCR|aDMG
214	64235 72323	 * 	187.31	DCR|3ASPD|2DMG|1VULN|1RMIN	1MBVNT|2RMIN|3BELT|478ASPD|57LWND|67DMG|7BPWR|9VULN|aRCR
215	24356 23213	   	187.26	DCR|3VULN|1ASPD|1CDMG|1ZMB	15LWND|235VULN|4RCVC|5BPWR|6ASPD|7FEWX|8RCR|9ZMB|aCDMG
216	11443 31331	   	187.04	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB	1ERES|2LIT|3ASPD|4AART|57DMG|6AAC|8ZMB|9VULN|aRCR
217	68324 45234	   	187.04	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2DUR|39VULN|46DMG|5RPLT|7RCVC|8AART|aRCR
218	68382 31341	   	186.93	DCR|4VULN|1DMG|1DUR	1MBVNT|2DUR|3579VULN|4LIT|6RCR|8RCVC|aDMG
219	64482 42316	 * 	186.88	DCR|5VULN|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|4789aVULN|5DUR|6RCR
220	64113 21661	   	186.83	DCR|2VULN|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7CGEN|8RCR|9DMG|aNUKE
221	64113 22661	   	186.83	DCR|2VULN|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7MLV|8RCR|9DMG|aNUKE
222	64313 21661	   	186.83	DCR|2VULN|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7CGEN|8RCR|9DMG|aNUKE
223	64313 22661	   	186.83	DCR|2VULN|1ASPD|1DMG|1NUKE|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7MLV|8RCR|9DMG|aNUKE
224	62431 67214	   	186.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2LWND|3AART|4RMIN|5MLV|67VULN|8RCR|9CDMG|aASPD
225	62432 77214	   	186.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2LWND|3AART|4RMIN|5CGEN|67VULN|8RCR|9CDMG|aASPD
226	64113 21637	   	186.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7CGEN|8RCR|9CDMG|aAART
227	64113 22637	   	186.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7MLV|8RCR|9CDMG|aAART
228	62438 74214	   	186.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2LWND|3AART|4RMIN|56VULN|7CGEN|8RCR|9CDMG|aASPD
229	64311 23848	   	186.70	DCR|2VULN|2ASPD|1AART|1RMIN	1MBVNT|2RMIN|3BEXP|48VULN|5AELBLL|6aASPD|7RCR|9AART
230	62434 67214	   	186.63	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2LWND|3AART|4RMIN|5TLV|67VULN|8RCR|9CDMG|aASPD
231	64113 23281	   	186.59	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3LWND|459VULN|6ASPD|7RCR|8FEWX|aDMG
232	64113 23821	   	186.59	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3LWND|458VULN|6ASPD|7RCR|9FEWX|aDMG
233	64313 23241	   	186.59	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|459VULN|6ASPD|7RCR|8FEWX|aDMG
234	64313 23821	   	186.59	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9FEWX|aDMG
235	64313 23871	   	186.59	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9LHND|aDMG
236	64713 53241	   	186.59	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3LHND|459VULN|6ASPD|7RCR|8FEWX|aDMG
237	64823 23434	   	186.58	DCR|1VULN|1ASPD|1NUKE|1CDMG|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3RCVC|4DUR|5VULN|6ASPD|7RCR|8ZMB|9CDMG|aNUKE
238	64882 23434	   	186.58	DCR|1VULN|1ASPD|1NUKE|1CDMG|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3RCVC|4VULN|5DUR|6ASPD|7RCR|8ZMB|9CDMG|aNUKE
239	25633 11333	 * 	186.58	DCR|3ASPD|2AART|1VULN	1LWND|245ASPD|35LIT|5BPWR|6RPLT|7VULN|8RCR|9aAART
240	62431 64254	   	186.55	DCR|2VULN|2AART|1ASPD|1RMIN	1MBVNT|2LWND|37AART|4RMIN|5MLV|69VULN|8RCR|aASPD
241	62432 74254	   	186.55	DCR|2VULN|2AART|1ASPD|1RMIN	1MBVNT|2LWND|37AART|4RMIN|5CGEN|69VULN|8RCR|aASPD
242	64134 46336	   	186.54	DCR|2VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3LWND|4DMG|59VULN|6ASPD|7LHND|8AART|aRCR
243	64113 23871	   	186.49	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3LWND|458VULN|6ASPD|7RCR|9LEGI|aDMG
244	64313 23881	   	186.49	DCR|3VULN|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9DUST|aDMG
245	62434 64254	   	186.45	DCR|2VULN|2AART|1ASPD|1RMIN	1MBVNT|2LWND|37AART|4RMIN|5TLV|69VULN|8RCR|aASPD
246	64113 23366	   	186.35	DCR|2VULN|2DMG|1ASPD|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7RCR|8MLV|9aDMG
247	64313 23366	   	186.35	DCR|2VULN|2DMG|1ASPD|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8MLV|9aDMG
248	64434 36171	   	186.32	DCR|2AART|1VULN|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|4ERES|5VULN|6RCR|7ASPD|89AART|aCDMG
249	64434 35171	   	186.32	DCR|2AART|1VULN|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|4ERES|5VULN|6RCR|79AART|8ASPD|aCDMG
250	24213 26261	   	186.31	DCR|3VULN|1AART|1ASPD|1SPLREG	1LWND|24aVULN|3MLV|5AART|6SPLREG|7DUST|8ASPD|9RCR
251	24323 26261	   	186.31	DCR|3VULN|1AART|1ASPD|1SPLREG	1LWND|23aVULN|4MLV|5AART|6SPLREG|7DUST|8ASPD|9RCR
252	24333 26261	   	186.31	DCR|3VULN|1AART|1ASPD|1SPLREG	1LWND|23aVULN|4AME|5AART|6SPLREG|7DUST|8ASPD|9RCR
253	36232 52325	   	186.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4BELT|56VULN|7RPLT|8ASPD|9RCR|aAART
254	68382 32334	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	1MBVNT|2DUR|358VULN|4LIT|6RCR|7MLV|9DMG|aCDMG
255	36252 13522	   	185.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|5VULN|6AART|7LIT|8ASPD|9RCR|aLHND
256	36352 13523	   	185.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3BEXP|4DMG|5VULN|6AART|7LIT|8ASPD|9RCR|aDUR
257	68353 24313	   	185.85	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2DUR|35VULN|4SELL|6ASPD|7AART|8SNIFST|9RCR|aCDMG
258	62411 64214	   	185.81	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5MLV|6VULN|8RCR|9CDMG|aASPD
259	62412 74214	   	185.81	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5CGEN|6VULN|8RCR|9CDMG|aASPD
260	36152 14234	   	185.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2CDMG|3FEWX|4DMG|5VULN|6AART|7ZMB|8ASPD|9MBVNT|aRCR
261	36352 14234	   	185.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMSP|2CDMG|3BEXP|4DMG|5VULN|6AART|7ZMB|8ASPD|9MBVNT|aRCR
262	36252 13521	   	185.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|5VULN|6AART|7LIT|8ASPD|9RCR|aERES
263	11424 31163	   	185.75	DCR|4VULN|1ASPD|1DUR	1ERES|2LIT|3ASPD|478aVULN|5LHND|6RCR|9DUR
264	68382 31241	   	185.75	DCR|4VULN|1DMG|1DUR	1MBVNT|2DUR|3579VULN|48LIT|6RCR|aDMG
265	68382 32314	   	185.75	DCR|4VULN|1DMG|1DUR	1MBVNT|2DUR|3589VULN|4LIT|6RCR|7MLV|aDMG
266	62411 64542	   	185.72	DCR|3VULN|2AART|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5MLV|68aVULN|9RCR
267	62414 64214	   	185.71	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5TLV|6VULN|8RCR|9CDMG|aASPD
268	12524 33362	 * 	185.69	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1ERES|2RPLT|3ASPD|4DUR|5MDPS|6CDMG|7RCR|89AART|aVULN
269	62322 63311	   	185.69	DCR|3VULN|2DMG|1DUR	1MBVNT|29LWND|389VULN|4aDMG|5DUR|69MLV|7RCR|9BPWR
270	62322 47336	   	185.68	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2LWND|369VULN|4DMG|5DUR|7LHND|8AART|aRCR
271	62323 15336	   	185.68	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2LWND|359VULN|4DMG|6LHND|7DUR|8AART|aRCR
272	43216 33161	 * 	185.66	ACR|3VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3RCR|479VULN|5AART|6BEXP|8ZMB|aDMG
273	68382 31414	   	185.65	DCR|4VULN|1DMG|1DUR	1MBVNT|2DUR|3579VULN|4LIT|6RCR|8ERES|aDMG
274	68382 34314	   	185.65	DCR|4VULN|1DMG|1DUR	1MBVNT|2DUR|3589VULN|4LIT|6RCR|7ERES|aDMG
275	62448 34383	   	185.63	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2LWND|3AART|4ASPD|5FEWX|6RMIN|7RCR|8VULN|9CDMG|aDMG
276	62414 64542	   	185.62	DCR|3VULN|2AART|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5TLV|68aVULN|9RCR
277	24523 23613	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8BELT|9FEWX|aAART
278	24333 63531	   	185.56	DCR|4VULN|1AART|1DUR	1LWND|239aVULN|4AME|5AART|6DUR|7BEXP|8RCR
279	24523 23123	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8MBVNT|9FEWX|aAART
280	24523 23173	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8MBVNT|9BEXP|aAART
281	24523 23323	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8DUST|9FEWX|aAART
282	24523 23363	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8DUST|9BEXP|aAART
283	63384 72142	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ERES|49VULN|5ASPD|6DMG|7RCR|8AART|aCGEN
284	63384 72341	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ERES|48VULN|5ASPD|6DMG|7RCR|9CGEN|aAART
285	63834 72142	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ASPD|4ERES|59VULN|6DMG|7RCR|8AART|aCGEN
286	63834 72341	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ASPD|4ERES|58VULN|6DMG|7RCR|9CGEN|aAART
287	62322 83311	   	185.49	DCR|3VULN|2DMG|1DUR	1MBVNT|29LWND|389VULN|4aDMG|5DUR|69TLV|7RCR|9BPWR
288	62322 63381	   	185.49	DCR|3VULN|2DMG|1DUR	1MBVNT|2LWND|389VULN|4aDMG|5DUR|6MLV|7RCR
289	68233 23381	   	185.49	DCR|3VULN|2DMG|1DUR	1MBVNT|2DUR|3MLV|4aDMG|589VULN|6FEWX|7RCR
290	32411 34235	   	185.48	DCR|2ASPD|1AART|1VULN|1CDMG|2DUR	1DMSP|28SPLJET|38ASPD|4CDMG|5LIT|6AART|78DUR|8BPWR|9RCR|aVULN
291	68213 42444	   	185.42	DCR|2VULN|1AART|1ASPD|2DUR|1ZMB	1MBVNT|26DUR|3MLV|47VULN|5AART|8ZMB|9RCR|aASPD
292	68213 42445	   	185.42	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1MBVNT|26DUR|3MLV|47VULN|5AART|8ZMB|9RCR|aDMG
293	63384 72131	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ERES|4aVULN|5ASPD|6DMG|7RCR|8AART|9CANSTR
294	63384 72143	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG|1MSE	1MBVNT|2LIT|3ERES|49VULN|5ASPD|6DMG|7RCR|8AART|aMSE
295	63384 72144	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ERES|49VULN|5ASPD|6DMG|7RCR|8AART|aLEGI
296	63834 72131	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ASPD|4ERES|5aVULN|6DMG|7RCR|8AART|9CANSTR
297	63834 72143	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG|1MSE	1MBVNT|2LIT|3ASPD|4ERES|59VULN|6DMG|7RCR|8AART|aMSE
298	63834 72144	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ASPD|4ERES|59VULN|6DMG|7RCR|8AART|aLEGI
299	62322 83381	   	185.39	DCR|3VULN|2DMG|1DUR	1MBVNT|2LWND|389VULN|4aDMG|5DUR|6TLV|7RCR
300	11426 31153	   	185.37	DCR|3VULN|1AART|1ASPD	1ERES|2LIT|3ASPD|478VULN|5FEWX|6RCR|9CGEN|aAART
301	61164 46244	   	185.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR|1SELL	1MBVNT|2SELL|3MDPS|459VULN|5BPWR|6ASPD|7AART|8DUR|aRCR
302	11426 31111	   	185.27	DCR|3VULN|1AART|1ASPD	1ERES|2LIT|3ASPD|478VULN|5FEWX|6RCR|9DUST|aAART
303	11426 31143	   	185.27	DCR|3VULN|1AART|1ASPD	1ERES|2LIT|3ASPD|478VULN|5FEWX|6RCR|9TLV|aAART
304	24423 23241	   	185.22	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1ZMB	1LWND|25VULN|3BEXP|4DMG|6ASPD|7RCR|8AAC|9ZMB|aNUKE
305	24423 23261	   	185.22	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC	1LWND|25VULN|3BEXP|4DMG|6ASPD|7RCR|8AAC|9CGEN|aNUKE
306	11422 22312	   	185.20	DCR|3VULN|1MDPS|1ASPD|1CDMG	1ERES|2LIT|3ASPD|489VULN|5RPLT|6CDMG|7RCR|aMDPS
307	64113 23815	   	185.17	DCR|3VULN|1ASPD|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3LWND|458VULN|6ASPD|7RCR|9DUR|aZMB
308	64313 23815	   	185.17	DCR|3VULN|1ASPD|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9DUR|aZMB
309	24523 23241	   	185.12	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1ZMB	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8AAC|9ZMB|aNUKE
310	24523 23261	   	185.12	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC	1LWND|25VULN|3LEGI|4DMG|6ASPD|7RCR|8AAC|9CGEN|aNUKE
311	21313 36212	 * 	185.09	DCR|3VULN|1AART|2CDMG	1LWND|29CDMG|3RPLT|45aVULN|6CGEN|7AART|8RCR
312	21316 36242	   	185.09	DCR|3VULN|1AART|2CDMG	1LWND|25CDMG|3RPLT|49aVULN|6CGEN|7AART|8RCR
313	64238 25324	   	185.06	DCR|3VULN|2ASPD|1DUR|1RMIN	1MBVNT|2RMIN|3BELT|48ASPD|5DUR|67aVULN|9RCR
314	64113 23634	   	184.91	DCR|2VULN|1ASPD|1NUKE|1CDMG|1AAC|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7RCR|8AAC|9CDMG|aNUKE
315	12533 13215	   	184.84	DCR|3VULN|3ASPD	19ERES|2RPLT|39aASPD|459VULN|67BELT|8RCR|9BPWR
316	12533 24213	   	184.84	DCR|3VULN|3ASPD	19ERES|2RPLT|369ASPD|459VULN|7BELT|8RCR|9BPWR|aLHND
317	12533 24214	   	184.84	DCR|3VULN|3ASPD	19ERES|2RPLT|369ASPD|459VULN|7BELT|8RCR|9BPWR|aBEXP
318	12533 24215	   	184.84	DCR|3VULN|3ASPD	19ERES|2RPLT|369ASPD|459VULN|7BELT|8RCR|9BPWR|aLWND
319	12533 24216	   	184.84	DCR|3VULN|3ASPD	19ERES|2RPLT|369ASPD|459VULN|7BELT|8RCR|9BPWR|aFEWX
